Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	gro	2	6	0	0	0.5
emp	gro	2	6	0	0	0.5
CG2678	gro	2	6	0	0	0.5
crc	gro	2	6	1e-04	0	0.5
pros	gro	2	6	1e-04	0	0.5
neur	gro	2	6	2e-04	0	0.5
Rab5	gro	2	6	0	0	0.5
Rab7	gro	2	6	0	0	0.5
Mmp2	gro	2	6	0	0	0.5
W	gro	2	6	0	0	0.5
bowl	gro	2	6	0	0	0.5
fd59A	gro	2	6	0	0	0.5
e	gro	2	6	0	0	0.5
ben	gro	2	6	0	0	0.5
rdo	gro	2	6	0	0	0.5
lin	gro	2	6	0	0	0.5
tra	gro	2	6	0	0	0.5
tra2	gro	2	6	3e-04	0	0.5
cathD	gro	2	6	0	0	0.5
d	gro	2	6	0	0	0.5
lva	gro	2	6	0	0	0.5
pbl	gro	2	6	2e-04	0	0.5
CG33205	gro	2	6	3e-04	0	0.5
da	gro	2	6	0	0	0.5
cactin	gro	2	6	0	0	0.5
hpo	gro	2	6	0	0	0.5
Sema.2a	gro	2	6	0	0	0.5
Eip74EF	gro	2	6	0	0	0.5
eg	gro	2	6	0	0	0.5
Arc42	gro	2	6	3e-04	0	0.5
toy	gro	2	6	1e-04	0	0.5
Galpha73B	gro	2	6	0	0	0.5
RhoGAPp190	gro	2	6	0	0	0.5
MED11	gro	2	6	3e-04	0	0.5
cher	gro	2	6	0	0	0.5
BicD	gro	2	6	0	0	0.5
MYPT.75D	gro	2	6	3e-04	0	0.5
mus304	gro	2	6	8e-04	0	0.5
CdsA	gro	2	6	2e-04	0	0.5
btl	gro	2	6	0	0	0.5
Cyt.c.d	gro	2	6	0	0	0.5
tok	gro	2	6	0	0	0.5
ttk	gro	2	6	0	0	0.5
tamo	gro	2	6	0	0	0.5
CG6416	gro	2	6	2e-04	0	0.5
flfl	gro	2	6	3e-04	0	0.5
Pvr	gro	2	6	0	0	0.5
kay	gro	2	6	3e-04	0	0.5
Jra	gro	2	6	0	0	0.5
msk	gro	2	6	2e-04	0	0.5
tll	gro	2	6	0	0	0.5
Tm1	gro	2	6	2e-04	0	0.5
srp	gro	2	6	0	0	0.5
Btk29A	gro	2	6	0	0	0.5
fred	gro	2	6	1e-04	0	0.5
Src64B	gro	2	6	0	0	0.5
Mmp1	gro	2	6	0	0	0.5
sll	gro	2	6	0	0	0.5
Hmgs	gro	2	6	0	0	0.5
caps	gro	2	6	1e-04	0	0.5
Su.var.2.10	gro	2	6	0	0	0.5
CycB	gro	2	6	0	0	0.5
spir	gro	2	6	0	0	0.5
spn.A	gro	2	6	0	0	0.5
Ptpmeg	gro	2	6	1e-04	0	0.5
qua	gro	2	6	0	0	0.5
msn	gro	2	6	0	0	0.5
ena	gro	2	6	1e-04	0	0.5
spen	gro	2	6	0	0	0.5
emc	gro	2	6	0	0	0.5
tsh	gro	2	6	2e-04	0	0.5
Dat	gro	2	6	0	0	0.5
Lac	gro	2	6	0	0	0.5
dup	gro	2	6	0	0	0.5
CG3075	gro	2	6	1e-04	0	0.5
Akap200	gro	2	6	0	0	0.5
CG18369	gro	2	6	0	0	0.5
bnl	gro	2	6	0	0	0.5
sec23	gro	2	6	0	0	0.5
Pde8	gro	2	6	0	0	0.5
Arp66B	gro	2	6	0	0	0.5
cos	gro	2	6	0	0	0.5
Borr	gro	2	6	4e-04	0	0.5
X140up	gro	2	6	0	0	0.5
Dhc64C	gro	2	6	0	0	0.5
Not1	gro	2	6	1e-04	0	0.5
CG9520	gro	2	6	6e-04	0	0.5
bib	gro	2	6	0	0	0.5
mib1	gro	2	6	0	0	0.5
cas	gro	2	6	1e-04	0	0.5
Abi	gro	2	6	0	0	0.5
betaTub56D	gro	2	6	1e-04	0	0.5
nej	gro	2	6	0	0	0.5
dlg1	gro	2	6	0	0	0.5
Lcp65Ag1	gro	2	6	0	0	0.5
Es2	gro	2	6	0	0	0.5
MED24	gro	2	6	1e-04	0	0.5
Vhl	gro	2	6	0	0	0.5
tral	gro	2	6	0	0	0.5
sns	gro	2	6	2e-04	0	0.5
mbl	gro	2	6	4e-04	0	0.5
sav	gro	2	6	0	0	0.5
lola	gro	2	6	0	0	0.5
robo	gro	2	6	1e-04	0	0.5
CG32486	gro	2	6	0	0	0.5
santa.maria	gro	2	6	0	0	0.5
stumps	gro	2	6	0	0	0.5
abd.A	gro	2	6	0	0	0.5
dock	gro	2	6	0	0	0.5
Lar	gro	2	6	2e-04	0	0.5
l.1.G0289	gro	2	6	3e-04	0	0.5
Abl	gro	2	6	1e-04	0	0.5
Syb	gro	2	6	0	0	0.5
dome	gro	2	6	2e-04	0	0.5
ofs	gro	2	6	0	0	0.5
MED4	gro	2	6	0	0	0.5
scrib	gro	2	6	0	0	0.5
siz	gro	2	6	0	0	0.5
cbx	gro	2	6	1e-04	0	0.5
dsx	gro	2	6	1e-04	0	0.5
Sb	gro	2	6	2e-04	0	0.5
sax	gro	2	6	0	0	0.5
foxo	gro	2	6	0	0	0.5
Cyp1	gro	2	6	0	0	0.5
brm	gro	2	6	0	0	0.5
rad50	gro	2	6	7e-04	0	0.5
chico	gro	2	6	3e-04	0	0.5
cp309	gro	2	6	0	0	0.5
hdc	gro	2	6	4e-04	0	0.5
Axn	gro	2	6	0	0	0.5
Apc2	gro	2	6	0	0	0.5
PhKgamma	gro	2	6	0	0	0.5
eya	gro	2	6	0	0	0.5
sktl	gro	2	6	2e-04	0	0.5
sqd	gro	2	6	0	0	0.5
Akt1	gro	2	6	2e-04	0	0.5
scyl	gro	2	6	0	0	0.5
cnk	gro	2	6	0	0	0.5
CG8149	gro	2	6	0	0	0.5
CG34379	gro	2	6	0	0	0.5
Yp1	gro	2	6	5e-04	0	0.5
yrt	gro	2	6	0	0	0.5
bap	gro	2	6	0	0	0.5
tud	gro	2	6	0	0	0.5
ct	gro	2	6	1e-04	0	0.5
tup	gro	2	6	0	0	0.5
G.ialpha65A	gro	2	6	7e-04	0	0.5
knrl	gro	2	6	0	0	0.5
Pkn	gro	2	6	0	0	0.5
Sry.delta	gro	2	6	3e-04	0	0.5
Alh	gro	2	6	0	0	0.5
pnut	gro	2	6	0	0	0.5
phyl	gro	2	6	0	0	0.5
CG17739	gro	2	6	0	0	0.5
B4	gro	2	6	0	0	0.5
CG2681	gro	2	6	0	0	0.5
tow	gro	2	6	7e-04	0	0.5
hkl	gro	2	6	0	0	0.5
sina	gro	2	6	0	0	0.5
ry	gro	2	6	0	0	0.5
rux	gro	2	6	0	0	0.5
boss	gro	2	6	0	0	0.5
Mkp3	gro	2	6	0	0	0.5
inaC	gro	2	6	1e-04	0	0.5
sno	gro	2	6	0	0	0.5
jagn	gro	2	6	0	0	0.5
dpn	gro	2	6	0	0	0.5
wrapper	gro	2	6	0	0	0.5
Ca.alpha1D	gro	2	6	1e-04	0	0.5
E2f	gro	2	6	0	0	0.5
Dp	gro	2	6	0	0	0.5
l.2.efl	gro	2	6	0	0	0.5
cnc	gro	2	6	2e-04	0	0.5
Atg5	gro	2	6	1e-04	0	0.5
acj6	gro	2	6	0	0	0.5
Trl	gro	2	6	0	0	0.5
d4	gro	2	6	0	0	0.5
CG16719	gro	2	6	0	0	0.5
CadN	gro	2	6	0	0	0.5
gro	gro	2	6	0	0	0.5
sec13	gro	2	6	0	0	0.5
klar	gro	2	6	0	0	0.5
Rack1	gro	2	6	0	0	0.5
Sobp	gro	2	6	0	0	0.5
ash1	gro	2	6	1e-04	0	0.5
inv	gro	2	6	1e-04	0	0.5
shot	gro	2	6	0	0	0.5
Oseg1	gro	2	6	0	0	0.5
Spred	gro	2	6	0	0	0.5
puc	gro	2	6	0	0	0.5
Atg6	gro	2	6	0	0	0.5
CG3829	gro	2	6	0	0	0.5
sle	gro	2	6	0	0	0.5
Cka	gro	2	6	0	0	0.5
form3	gro	2	6	0	0	0.5
Pk61C	gro	2	6	1e-04	0	0.5
Pcaf	gro	2	6	0	0	0.5
sbb	gro	2	6	0	0	0.5
Ef1gamma	gro	2	6	2e-04	0	0.5
FKBP59	gro	2	6	0	0	0.5
Eip71CD	gro	2	6	0	0	0.5
xmas.2	gro	2	6	0	0	0.5
ppan	gro	2	6	0	0	0.5
Iswi	gro	2	6	3e-04	0	0.5
ine	gro	2	6	0	0	0.5
Tina.1	gro	2	6	0	0	0.5
bon	gro	2	6	0	0	0.5
pot	gro	2	6	0	0	0.5
chic	gro	2	6	0	0	0.5
Hem	gro	2	6	0	0	0.5
chif	gro	2	6	0	0	0.5
S6kII	gro	2	6	1e-04	0	0.5
wal	gro	2	6	0	0	0.5
wls	gro	2	6	0	0	0.5
Ddx1	gro	2	6	1e-04	0	0.5
Sulf1	gro	2	6	0	0	0.5
CG3987	gro	2	6	0	0	0.5
Abd.B	gro	2	6	0	0	0.5
Uba1	gro	2	6	2e-04	0	0.5
bigmax	gro	2	6	2e-04	0	0.5
NAT1	gro	2	6	0	0	0.5
wupA	gro	2	6	0	0	0.5
Vps28	gro	2	6	0	0	0.5
G.oalpha47A	gro	2	6	3e-04	0	0.5
G.salpha60A	gro	2	6	0	0	0.5
dsf	gro	2	6	0	0	0.5
Khc	gro	2	6	3e-04	0	0.5
CG10641	gro	2	6	0	0	0.5
Alk	gro	2	6	0	0	0.5
ey	gro	2	6	0	0	0.5
noc	gro	2	6	0	0	0.5
ix	gro	2	6	0	0	0.5
Optix	gro	2	6	0	0	0.5
sdt	gro	2	6	1e-04	0	0.5
Sxl	gro	2	6	0	0	0.5
rib	gro	2	6	0	0	0.5
sas	gro	2	6	0	0	0.5
Scgdelta	gro	2	6	0	0	0.5
sw	gro	2	6	0	0	0.5
fal	gro	2	6	0	0	0.5
ea	gro	2	6	0	0	0.5
Ice	gro	2	6	0	0	0.5
cic	gro	2	6	0	0	0.5
Dok	gro	2	6	1e-04	0	0.5
rhea	gro	2	6	0	0	0.5
Glycogenin	gro	2	6	0	0	0.5
cin	gro	2	6	1e-04	0	0.5
chp	gro	2	6	0	0	0.5
Dlic2	gro	2	6	0	0	0.5
Pk92B	gro	2	6	0	0	0.5
Pak	gro	2	6	0	0	0.5
Lim1	gro	2	6	0	0	0.5
CG34450	gro	2	6	1e-04	0	0.5
Su.H.	gro	2	6	0	0	0.5
CG12301	gro	2	6	0	0	0.5
lilli	gro	2	6	1e-04	0	0.5
toe	gro	2	6	0	0	0.5
qkr58E.3	gro	2	6	0	0	0.5
up	gro	2	6	0	0	0.5
hep	gro	2	6	0	0	0.5
Dap160	gro	2	6	0	0	0.5
l.2.gd1	gro	2	6	0	0	0.5
hkb	gro	2	6	3e-04	0	0.5
beta4GalNAcTA	gro	2	6	5e-04	0	0.5
Mer	gro	2	6	9e-04	0	0.5
Mtl	gro	2	6	2e-04	0	0.5
spin	gro	2	6	0	0	0.5
mfas	gro	2	6	1e-04	0	0.5
frc	gro	2	6	0	0	0.5
Krn	gro	2	6	1	-0.99892	0.5
mam	gro	2	6	0	0	0.5
brk	gro	2	6	0	0	0.5
Ark	gro	2	6	0	0	0.5
mmy	gro	2	6	0	0	0.5
mri	gro	2	6	0	0	0.5
Crk	gro	2	6	2e-04	0	0.5
ssh	gro	2	6	0	0	0.5
fs.1.K10	gro	2	6	0	0	0.5
Psn	gro	2	6	0	0	0.5
CG9509	gro	2	6	0	0	0.5
CkIIalpha	gro	2	6	0	0	0.5
car	gro	2	6	0	0	0.5
capu	gro	2	6	1e-04	0	0.5
cact	gro	2	6	0	0	0.5
Patj	gro	2	6	0	0	0.5
dpp	gro	2	6	0	0	0.5
xl6	gro	2	6	0	0	0.5
dally	gro	2	6	0	0	0.5
Pi3K92E	gro	2	6	1e-04	0	0.5
E.bx.	gro	2	6	1e-04	0	0.5
emb	gro	2	6	0	0	0.5
CtBP	gro	2	6	4e-04	0	0.5
Dad	gro	2	6	0	0	0.5
amx	gro	2	6	0	0	0.5
