Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	grp	2	6	0	0	0.5
emp	grp	2	6	0	0	0.5
CG2678	grp	2	6	3e-04	0	0.5
crc	grp	2	6	0	0	0.5
pros	grp	2	6	0	0	0.5
neur	grp	2	6	5e-04	0	0.5
Rab5	grp	2	6	3e-04	0	0.5
Rab7	grp	2	6	0	0	0.5
Mmp2	grp	2	6	0	0	0.5
W	grp	2	6	2e-04	0	0.5
bowl	grp	2	6	6e-04	0	0.5
fd59A	grp	2	6	0	0	0.5
e	grp	2	6	1e-04	0	0.5
ben	grp	2	6	1e-04	0	0.5
rdo	grp	2	6	0	0	0.5
lin	grp	2	6	0	0	0.5
tra	grp	2	6	1e-04	0	0.5
tra2	grp	2	6	0	0	0.5
cathD	grp	2	6	1e-04	0	0.5
d	grp	2	6	1e-04	0	0.5
lva	grp	2	6	8e-04	0	0.5
pbl	grp	2	6	0	0	0.5
CG33205	grp	2	6	0	0	0.5
da	grp	2	6	7e-04	0	0.5
cactin	grp	2	6	0.0016	0	0.5
hpo	grp	2	6	2e-04	0	0.5
Sema.2a	grp	2	6	0	0	0.5
Eip74EF	grp	2	6	0	0	0.5
eg	grp	2	6	3e-04	0	0.5
Arc42	grp	2	6	6e-04	0	0.5
toy	grp	2	6	4e-04	0	0.5
Galpha73B	grp	2	6	9e-04	0	0.5
RhoGAPp190	grp	2	6	2e-04	0	0.5
MED11	grp	2	6	0	0	0.5
cher	grp	2	6	0	0	0.5
BicD	grp	2	6	0	0	0.5
MYPT.75D	grp	2	6	1e-04	0	0.5
mus304	grp	2	6	0	0	0.5
CdsA	grp	2	6	0	0	0.5
btl	grp	2	6	0	0	0.5
Cyt.c.d	grp	2	6	0	0	0.5
tok	grp	2	6	0	0	0.5
ttk	grp	2	6	0	0	0.5
tamo	grp	2	6	0.0014	0	0.5
CG6416	grp	2	6	0	0	0.5
flfl	grp	2	6	2e-04	0	0.5
Pvr	grp	2	6	0	0	0.5
kay	grp	2	6	5e-04	0	0.5
Jra	grp	2	6	1e-04	0	0.5
msk	grp	2	6	0	0	0.5
tll	grp	2	6	0	0	0.5
Tm1	grp	2	6	1e-04	0	0.5
srp	grp	2	6	1e-04	0	0.5
Btk29A	grp	2	6	0.001	0	0.5
fred	grp	2	6	3e-04	0	0.5
Src64B	grp	2	6	0	0	0.5
Mmp1	grp	2	6	0	0	0.5
sll	grp	2	6	0	0	0.5
Hmgs	grp	2	6	9e-04	0	0.5
caps	grp	2	6	0	0	0.5
Su.var.2.10	grp	2	6	0	0	0.5
CycB	grp	2	6	0	0	0.5
spir	grp	2	6	3e-04	0	0.5
spn.A	grp	2	6	0	0	0.5
Ptpmeg	grp	2	6	0	0	0.5
qua	grp	2	6	5e-04	0	0.5
msn	grp	2	6	0	0	0.5
ena	grp	2	6	0	0	0.5
spen	grp	2	6	0	0	0.5
emc	grp	2	6	0	0	0.5
tsh	grp	2	6	2e-04	0	0.5
Dat	grp	2	6	0	0	0.5
Lac	grp	2	6	1e-04	0	0.5
dup	grp	2	6	0	0	0.5
CG3075	grp	2	6	0	0	0.5
Akap200	grp	2	6	0	0	0.5
CG18369	grp	2	6	0	0	0.5
bnl	grp	2	6	0.0012	0	0.5
sec23	grp	2	6	0	0	0.5
Pde8	grp	2	6	0	0	0.5
Arp66B	grp	2	6	1e-04	0	0.5
cos	grp	2	6	0	0	0.5
Borr	grp	2	6	0	0	0.5
X140up	grp	2	6	4e-04	0	0.5
Dhc64C	grp	2	6	0	0	0.5
Not1	grp	2	6	0	0	0.5
CG9520	grp	2	6	0	0	0.5
bib	grp	2	6	0	0	0.5
mib1	grp	2	6	0	0	0.5
cas	grp	2	6	1e-04	0	0.5
Abi	grp	2	6	0	0	0.5
betaTub56D	grp	2	6	2e-04	0	0.5
nej	grp	2	6	3e-04	0	0.5
dlg1	grp	2	6	7e-04	0	0.5
Lcp65Ag1	grp	2	6	0	0	0.5
Es2	grp	2	6	0	0	0.5
MED24	grp	2	6	1e-04	0	0.5
Vhl	grp	2	6	0	0	0.5
tral	grp	2	6	5e-04	0	0.5
sns	grp	2	6	3e-04	0	0.5
mbl	grp	2	6	0	0	0.5
sav	grp	2	6	0	0	0.5
lola	grp	2	6	1e-04	0	0.5
robo	grp	2	6	0	0	0.5
CG32486	grp	2	6	4e-04	0	0.5
santa.maria	grp	2	6	0	0	0.5
stumps	grp	2	6	0	0	0.5
abd.A	grp	2	6	0	0	0.5
dock	grp	2	6	5e-04	0	0.5
Lar	grp	2	6	0	0	0.5
l.1.G0289	grp	2	6	2e-04	0	0.5
Abl	grp	2	6	0	0	0.5
Syb	grp	2	6	4e-04	0	0.5
dome	grp	2	6	0	0	0.5
ofs	grp	2	6	3e-04	0	0.5
MED4	grp	2	6	1e-04	0	0.5
scrib	grp	2	6	2e-04	0	0.5
siz	grp	2	6	0	0	0.5
cbx	grp	2	6	0	0	0.5
dsx	grp	2	6	1e-04	0	0.5
Sb	grp	2	6	0	0	0.5
sax	grp	2	6	0	0	0.5
foxo	grp	2	6	0	0	0.5
Cyp1	grp	2	6	0	0	0.5
brm	grp	2	6	1e-04	0	0.5
rad50	grp	2	6	1e-04	0	0.5
chico	grp	2	6	0	0	0.5
cp309	grp	2	6	0	0	0.5
hdc	grp	2	6	2e-04	0	0.5
Axn	grp	2	6	1e-04	0	0.5
Apc2	grp	2	6	2e-04	0	0.5
PhKgamma	grp	2	6	0	0	0.5
eya	grp	2	6	2e-04	0	0.5
sktl	grp	2	6	3e-04	0	0.5
sqd	grp	2	6	3e-04	0	0.5
Akt1	grp	2	6	3e-04	0	0.5
scyl	grp	2	6	0	0	0.5
cnk	grp	2	6	1e-04	0	0.5
CG8149	grp	2	6	3e-04	0	0.5
CG34379	grp	2	6	4e-04	0	0.5
Yp1	grp	2	6	0	0	0.5
yrt	grp	2	6	0	0	0.5
bap	grp	2	6	5e-04	0	0.5
tud	grp	2	6	2e-04	0	0.5
ct	grp	2	6	0	0	0.5
tup	grp	2	6	0	0	0.5
G.ialpha65A	grp	2	6	0	0	0.5
knrl	grp	2	6	0	0	0.5
Pkn	grp	2	6	0	0	0.5
Sry.delta	grp	2	6	0	0	0.5
Alh	grp	2	6	0	0	0.5
pnut	grp	2	6	0	0	0.5
phyl	grp	2	6	3e-04	0	0.5
CG17739	grp	2	6	6e-04	0	0.5
B4	grp	2	6	0	0	0.5
CG2681	grp	2	6	2e-04	0	0.5
tow	grp	2	6	5e-04	0	0.5
hkl	grp	2	6	1e-04	0	0.5
sina	grp	2	6	4e-04	0	0.5
ry	grp	2	6	0	0	0.5
rux	grp	2	6	2e-04	0	0.5
boss	grp	2	6	0.0012	0	0.5
Mkp3	grp	2	6	0	0	0.5
inaC	grp	2	6	0.9027	-0.99552	0.5
sno	grp	2	6	0	0	0.5
jagn	grp	2	6	0	0	0.5
dpn	grp	2	6	1e-04	0	0.5
wrapper	grp	2	6	1e-04	0	0.5
Ca.alpha1D	grp	2	6	0	0	0.5
E2f	grp	2	6	8e-04	0	0.5
Dp	grp	2	6	2e-04	0	0.5
l.2.efl	grp	2	6	6e-04	0	0.5
cnc	grp	2	6	4e-04	0	0.5
Atg5	grp	2	6	2e-04	0	0.5
acj6	grp	2	6	0	0	0.5
Trl	grp	2	6	0	0	0.5
d4	grp	2	6	2e-04	0	0.5
CG16719	grp	2	6	0	0	0.5
CadN	grp	2	6	6e-04	0	0.5
gro	grp	2	6	3e-04	0	0.5
sec13	grp	2	6	3e-04	0	0.5
klar	grp	2	6	0	0	0.5
Rack1	grp	2	6	2e-04	0	0.5
Sobp	grp	2	6	0	0	0.5
ash1	grp	2	6	6e-04	0	0.5
inv	grp	2	6	0	0	0.5
shot	grp	2	6	1e-04	0	0.5
Oseg1	grp	2	6	1e-04	0	0.5
Spred	grp	2	6	0.8954	0.9997	0.5
puc	grp	2	6	0	0	0.5
Atg6	grp	2	6	0	0	0.5
CG3829	grp	2	6	0	0	0.5
sle	grp	2	6	3e-04	0	0.5
Cka	grp	2	6	0	0	0.5
form3	grp	2	6	2e-04	0	0.5
Pk61C	grp	2	6	0	0	0.5
Pcaf	grp	2	6	1e-04	0	0.5
sbb	grp	2	6	0	0	0.5
Ef1gamma	grp	2	6	5e-04	0	0.5
FKBP59	grp	2	6	0	0	0.5
Eip71CD	grp	2	6	0	0	0.5
xmas.2	grp	2	6	0	0	0.5
ppan	grp	2	6	0	0	0.5
Iswi	grp	2	6	0	0	0.5
ine	grp	2	6	0	0	0.5
Tina.1	grp	2	6	0	0	0.5
