Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	hdc	2	6	4e-04	0	0.5
emp	hdc	2	6	5e-04	0	0.5
CG2678	hdc	2	6	0	0	0.5
crc	hdc	2	6	0	0	0.5
pros	hdc	2	6	1e-04	0	0.5
neur	hdc	2	6	6e-04	0	0.5
Rab5	hdc	2	6	0	0	0.5
Rab7	hdc	2	6	0	0	0.5
Mmp2	hdc	2	6	0	0	0.5
W	hdc	2	6	0	0	0.5
bowl	hdc	2	6	0	0	0.5
fd59A	hdc	2	6	0	0	0.5
e	hdc	2	6	0	0	0.5
ben	hdc	2	6	0	0	0.5
rdo	hdc	2	6	0	0	0.5
lin	hdc	2	6	1e-04	0	0.5
tra	hdc	2	6	0	0	0.5
tra2	hdc	2	6	0	0	0.5
cathD	hdc	2	6	0	0	0.5
d	hdc	2	6	0	0	0.5
lva	hdc	2	6	2e-04	0	0.5
pbl	hdc	2	6	0	0	0.5
CG33205	hdc	2	6	0	0	0.5
da	hdc	2	6	3e-04	0	0.5
cactin	hdc	2	6	4e-04	0	0.5
hpo	hdc	2	6	0	0	0.5
Sema.2a	hdc	2	6	1e-04	0	0.5
Eip74EF	hdc	2	6	0	0	0.5
eg	hdc	2	6	0	0	0.5
Arc42	hdc	2	6	0	0	0.5
toy	hdc	2	6	8e-04	0	0.5
Galpha73B	hdc	2	6	1e-04	0	0.5
RhoGAPp190	hdc	2	6	2e-04	0	0.5
MED11	hdc	2	6	0	0	0.5
cher	hdc	2	6	0	0	0.5
BicD	hdc	2	6	0	0	0.5
MYPT.75D	hdc	2	6	0	0	0.5
mus304	hdc	2	6	0	0	0.5
CdsA	hdc	2	6	0	0	0.5
btl	hdc	2	6	1e-04	0	0.5
Cyt.c.d	hdc	2	6	5e-04	0	0.5
tok	hdc	2	6	2e-04	0	0.5
ttk	hdc	2	6	0	0	0.5
tamo	hdc	2	6	0	0	0.5
CG6416	hdc	2	6	0	0	0.5
flfl	hdc	2	6	0	0	0.5
Pvr	hdc	2	6	0	0	0.5
