Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	her	2	6	0	0	0.5
emp	her	2	6	0	0	0.5
CG2678	her	2	6	0	0	0.5
crc	her	2	6	0	0	0.5
pros	her	2	6	0	0	0.5
neur	her	2	6	0	0	0.5
Rab5	her	2	6	0	0	0.5
Rab7	her	2	6	0	0	0.5
Mmp2	her	2	6	0	0	0.5
W	her	2	6	0	0	0.5
bowl	her	2	6	2e-04	0	0.5
fd59A	her	2	6	1e-04	0	0.5
e	her	2	6	4e-04	0	0.5
ben	her	2	6	0	0	0.5
rdo	her	2	6	0	0	0.5
lin	her	2	6	0	0	0.5
tra	her	2	6	0	0	0.5
tra2	her	2	6	2e-04	0	0.5
cathD	her	2	6	1e-04	0	0.5
d	her	2	6	0	0	0.5
lva	her	2	6	0	0	0.5
pbl	her	2	6	0	0	0.5
CG33205	her	2	6	0	0	0.5
da	her	2	6	5e-04	0	0.5
cactin	her	2	6	0	0	0.5
hpo	her	2	6	0	0	0.5
Sema.2a	her	2	6	0	0	0.5
Eip74EF	her	2	6	0	0	0.5
eg	her	2	6	0	0	0.5
Arc42	her	2	6	0	0	0.5
toy	her	2	6	1e-04	0	0.5
Galpha73B	her	2	6	0	0	0.5
RhoGAPp190	her	2	6	0	0	0.5
MED11	her	2	6	0	0	0.5
cher	her	2	6	3e-04	0	0.5
BicD	her	2	6	0	0	0.5
MYPT.75D	her	2	6	2e-04	0	0.5
mus304	her	2	6	0	0	0.5
CdsA	her	2	6	0	0	0.5
btl	her	2	6	0	0	0.5
Cyt.c.d	her	2	6	3e-04	0	0.5
tok	her	2	6	0	0	0.5
ttk	her	2	6	0	0	0.5
tamo	her	2	6	0	0	0.5
CG6416	her	2	6	0	0	0.5
flfl	her	2	6	0.4743	0	0.5
Pvr	her	2	6	1e-04	0	0.5
kay	her	2	6	0	0	0.5
Jra	her	2	6	0	0	0.5
msk	her	2	6	0	0	0.5
tll	her	2	6	0	0	0.5
Tm1	her	2	6	0	0	0.5
srp	her	2	6	0	0	0.5
Btk29A	her	2	6	0	0	0.5
fred	her	2	6	0	0	0.5
Src64B	her	2	6	1e-04	0	0.5
Mmp1	her	2	6	0	0	0.5
sll	her	2	6	0	0	0.5
Hmgs	her	2	6	0	0	0.5
caps	her	2	6	0	0	0.5
Su.var.2.10	her	2	6	0	0	0.5
CycB	her	2	6	2e-04	0	0.5
spir	her	2	6	0	0	0.5
spn.A	her	2	6	0	0	0.5
Ptpmeg	her	2	6	0	0	0.5
qua	her	2	6	0	0	0.5
msn	her	2	6	0	0	0.5
ena	her	2	6	4e-04	0	0.5
spen	her	2	6	0	0	0.5
emc	her	2	6	0	0	0.5
tsh	her	2	6	0	0	0.5
Dat	her	2	6	0.1454	0	0.5
Lac	her	2	6	0	0	0.5
dup	her	2	6	0	0	0.5
CG3075	her	2	6	0	0	0.5
Akap200	her	2	6	0	0	0.5
CG18369	her	2	6	0	0	0.5
bnl	her	2	6	0	0	0.5
sec23	her	2	6	0	0	0.5
Pde8	her	2	6	0	0	0.5
Arp66B	her	2	6	0	0	0.5
cos	her	2	6	0	0	0.5
Borr	her	2	6	0	0	0.5
