Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	hkl	2	6	0	0	0.5
emp	hkl	2	6	0.1381	0	0.5
CG2678	hkl	2	6	9e-04	0	0.5
crc	hkl	2	6	3e-04	0	0.5
pros	hkl	2	6	2e-04	0	0.5
neur	hkl	2	6	2e-04	0	0.5
Rab5	hkl	2	6	6e-04	0	0.5
Rab7	hkl	2	6	0	0	0.5
Mmp2	hkl	2	6	0	0	0.5
W	hkl	2	6	0	0	0.5
bowl	hkl	2	6	0	0	0.5
fd59A	hkl	2	6	2e-04	0	0.5
e	hkl	2	6	1e-04	0	0.5
ben	hkl	2	6	0	0	0.5
rdo	hkl	2	6	0	0	0.5
lin	hkl	2	6	3e-04	0	0.5
tra	hkl	2	6	0	0	0.5
tra2	hkl	2	6	0	0	0.5
cathD	hkl	2	6	0	0	0.5
d	hkl	2	6	1e-04	0	0.5
lva	hkl	2	6	0	0	0.5
pbl	hkl	2	6	0	0	0.5
CG33205	hkl	2	6	0	0	0.5
da	hkl	2	6	0.6674	0.99724	0.5
cactin	hkl	2	6	0	0	0.5
hpo	hkl	2	6	0	0	0.5
Sema.2a	hkl	2	6	0	0	0.5
Eip74EF	hkl	2	6	3e-04	0	0.5
eg	hkl	2	6	0.001	0	0.5
Arc42	hkl	2	6	0	0	0.5
toy	hkl	2	6	0	0	0.5
Galpha73B	hkl	2	6	0	0	0.5
RhoGAPp190	hkl	2	6	0	0	0.5
MED11	hkl	2	6	0	0	0.5
cher	hkl	2	6	0	0	0.5
BicD	hkl	2	6	9e-04	0	0.5
MYPT.75D	hkl	2	6	0	0	0.5
mus304	hkl	2	6	2e-04	0	0.5
CdsA	hkl	2	6	0	0	0.5
btl	hkl	2	6	0	0	0.5
Cyt.c.d	hkl	2	6	5e-04	0	0.5
tok	hkl	2	6	1e-04	0	0.5
ttk	hkl	2	6	1e-04	0	0.5
tamo	hkl	2	6	0	0	0.5
CG6416	hkl	2	6	0	0	0.5
flfl	hkl	2	6	0	0	0.5
Pvr	hkl	2	6	0	0	0.5
kay	hkl	2	6	0	0	0.5
Jra	hkl	2	6	0	0	0.5
msk	hkl	2	6	1e-04	0	0.5
tll	hkl	2	6	5e-04	0	0.5
Tm1	hkl	2	6	5e-04	0	0.5
srp	hkl	2	6	3e-04	0	0.5
Btk29A	hkl	2	6	7e-04	0	0.5
fred	hkl	2	6	0	0	0.5
Src64B	hkl	2	6	0	0	0.5
Mmp1	hkl	2	6	0	0	0.5
sll	hkl	2	6	0.001	0	0.5
Hmgs	hkl	2	6	4e-04	0	0.5
caps	hkl	2	6	1e-04	0	0.5
Su.var.2.10	hkl	2	6	0	0	0.5
CycB	hkl	2	6	4e-04	0	0.5
spir	hkl	2	6	0	0	0.5
spn.A	hkl	2	6	0	0	0.5
Ptpmeg	hkl	2	6	3e-04	0	0.5
qua	hkl	2	6	1e-04	0	0.5
msn	hkl	2	6	4e-04	0	0.5
ena	hkl	2	6	0	0	0.5
spen	hkl	2	6	1e-04	0	0.5
emc	hkl	2	6	0	0	0.5
tsh	hkl	2	6	0	0	0.5
Dat	hkl	2	6	0	0	0.5
Lac	hkl	2	6	0	0	0.5
dup	hkl	2	6	0	0	0.5
CG3075	hkl	2	6	6e-04	0	0.5
Akap200	hkl	2	6	7e-04	0	0.5
CG18369	hkl	2	6	0	0	0.5
bnl	hkl	2	6	5e-04	0	0.5
sec23	hkl	2	6	0	0	0.5
Pde8	hkl	2	6	0	0	0.5
Arp66B	hkl	2	6	0	0	0.5
cos	hkl	2	6	0	0	0.5
Borr	hkl	2	6	5e-04	0	0.5
X140up	hkl	2	6	0	0	0.5
Dhc64C	hkl	2	6	0	0	0.5
Not1	hkl	2	6	3e-04	0	0.5
CG9520	hkl	2	6	0	0	0.5
bib	hkl	2	6	5e-04	0	0.5
mib1	hkl	2	6	0	0	0.5
cas	hkl	2	6	5e-04	0	0.5
Abi	hkl	2	6	3e-04	0	0.5
betaTub56D	hkl	2	6	2e-04	0	0.5
nej	hkl	2	6	0	0	0.5
dlg1	hkl	2	6	0	0	0.5
Lcp65Ag1	hkl	2	6	0	0	0.5
Es2	hkl	2	6	0	0	0.5
MED24	hkl	2	6	0	0	0.5
Vhl	hkl	2	6	0	0	0.5
tral	hkl	2	6	2e-04	0	0.5
sns	hkl	2	6	0.0014	0	0.5
mbl	hkl	2	6	2e-04	0	0.5
sav	hkl	2	6	0	0	0.5
lola	hkl	2	6	0	0	0.5
robo	hkl	2	6	0	0	0.5
CG32486	hkl	2	6	0	0	0.5
santa.maria	hkl	2	6	0.0013	0	0.5
stumps	hkl	2	6	0	0	0.5
abd.A	hkl	2	6	8e-04	0	0.5
dock	hkl	2	6	0	0	0.5
Lar	hkl	2	6	0	0	0.5
l.1.G0289	hkl	2	6	3e-04	0	0.5
Abl	hkl	2	6	0	0	0.5
Syb	hkl	2	6	0	0	0.5
dome	hkl	2	6	0	0	0.5
ofs	hkl	2	6	0	0	0.5
MED4	hkl	2	6	0	0	0.5
scrib	hkl	2	6	0	0	0.5
siz	hkl	2	6	0	0	0.5
cbx	hkl	2	6	0	0	0.5
dsx	hkl	2	6	1e-04	0	0.5
Sb	hkl	2	6	6e-04	0	0.5
sax	hkl	2	6	0	0	0.5
foxo	hkl	2	6	0	0	0.5
Cyp1	hkl	2	6	0	0	0.5
brm	hkl	2	6	0	0	0.5
rad50	hkl	2	6	0	0	0.5
chico	hkl	2	6	3e-04	0	0.5
cp309	hkl	2	6	0	0	0.5
hdc	hkl	2	6	0	0	0.5
Axn	hkl	2	6	0.0022	0	0.5
Apc2	hkl	2	6	0	0	0.5
PhKgamma	hkl	2	6	3e-04	0	0.5
eya	hkl	2	6	0.0011	0	0.5
sktl	hkl	2	6	3e-04	0	0.5
sqd	hkl	2	6	0	0	0.5
Akt1	hkl	2	6	0.0014	0	0.5
scyl	hkl	2	6	0	0	0.5
cnk	hkl	2	6	2e-04	0	0.5
CG8149	hkl	2	6	6e-04	0	0.5
CG34379	hkl	2	6	0	0	0.5
Yp1	hkl	2	6	0	0	0.5
yrt	hkl	2	6	3e-04	0	0.5
bap	hkl	2	6	0	0	0.5
tud	hkl	2	6	1e-04	0	0.5
ct	hkl	2	6	3e-04	0	0.5
