Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	hyd	2	6	7e-04	0	0.5
emp	hyd	2	6	0	0	0.5
CG2678	hyd	2	6	1e-04	0	0.5
crc	hyd	2	6	0	0	0.5
pros	hyd	2	6	5e-04	0	0.5
neur	hyd	2	6	3e-04	0	0.5
Rab5	hyd	2	6	7e-04	0	0.5
Rab7	hyd	2	6	1e-04	0	0.5
Mmp2	hyd	2	6	0.0031	0	0.5
W	hyd	2	6	3e-04	0	0.5
bowl	hyd	2	6	1e-04	0	0.5
fd59A	hyd	2	6	0.001	0	0.5
e	hyd	2	6	1e-04	0	0.5
ben	hyd	2	6	8e-04	0	0.5
rdo	hyd	2	6	1e-04	0	0.5
lin	hyd	2	6	3e-04	0	0.5
tra	hyd	2	6	5e-04	0	0.5
tra2	hyd	2	6	0.0011	0	0.5
cathD	hyd	2	6	3e-04	0	0.5
d	hyd	2	6	4e-04	0	0.5
lva	hyd	2	6	0.0011	0	0.5
pbl	hyd	2	6	9e-04	0	0.5
CG33205	hyd	2	6	5e-04	0	0.5
da	hyd	2	6	1e-04	0	0.5
cactin	hyd	2	6	7e-04	0	0.5
hpo	hyd	2	6	4e-04	0	0.5
Sema.2a	hyd	2	6	0.0011	0	0.5
Eip74EF	hyd	2	6	0.0038	0	0.5
eg	hyd	2	6	3e-04	0	0.5
Arc42	hyd	2	6	7e-04	0	0.5
toy	hyd	2	6	2e-04	0	0.5
Galpha73B	hyd	2	6	4e-04	0	0.5
RhoGAPp190	hyd	2	6	2e-04	0	0.5
MED11	hyd	2	6	1e-04	0	0.5
cher	hyd	2	6	7e-04	0	0.5
BicD	hyd	2	6	0	0	0.5
MYPT.75D	hyd	2	6	2e-04	0	0.5
mus304	hyd	2	6	1e-04	0	0.5
CdsA	hyd	2	6	8e-04	0	0.5
btl	hyd	2	6	6e-04	0	0.5
Cyt.c.d	hyd	2	6	4e-04	0	0.5
tok	hyd	2	6	4e-04	0	0.5
ttk	hyd	2	6	5e-04	0	0.5
tamo	hyd	2	6	3e-04	0	0.5
CG6416	hyd	2	6	0	0	0.5
flfl	hyd	2	6	4e-04	0	0.5
Pvr	hyd	2	6	7e-04	0	0.5
kay	hyd	2	6	0.0018	0	0.5
Jra	hyd	2	6	0.002	0	0.5
msk	hyd	2	6	5e-04	0	0.5
tll	hyd	2	6	0.001	0	0.5
Tm1	hyd	2	6	6e-04	0	0.5
srp	hyd	2	6	1e-04	0	0.5
Btk29A	hyd	2	6	9e-04	0	0.5
fred	hyd	2	6	0.0012	0	0.5
Src64B	hyd	2	6	2e-04	0	0.5
Mmp1	hyd	2	6	1e-04	0	0.5
sll	hyd	2	6	0.0017	0	0.5
Hmgs	hyd	2	6	1e-04	0	0.5
caps	hyd	2	6	9e-04	0	0.5
Su.var.2.10	hyd	2	6	0.0011	0	0.5
CycB	hyd	2	6	1e-04	0	0.5
spir	hyd	2	6	0.0189	0	0.5
spn.A	hyd	2	6	1e-04	0	0.5
Ptpmeg	hyd	2	6	9e-04	0	0.5
qua	hyd	2	6	6e-04	0	0.5
msn	hyd	2	6	6e-04	0	0.5
ena	hyd	2	6	5e-04	0	0.5
spen	hyd	2	6	4e-04	0	0.5
emc	hyd	2	6	3e-04	0	0.5
tsh	hyd	2	6	1e-04	0	0.5
Dat	hyd	2	6	5e-04	0	0.5
Lac	hyd	2	6	1e-04	0	0.5
dup	hyd	2	6	2e-04	0	0.5
CG3075	hyd	2	6	2e-04	0	0.5
Akap200	hyd	2	6	1e-04	0	0.5
CG18369	hyd	2	6	2e-04	0	0.5
bnl	hyd	2	6	2e-04	0	0.5
sec23	hyd	2	6	2e-04	0	0.5
Pde8	hyd	2	6	9e-04	0	0.5
Arp66B	hyd	2	6	0	0	0.5
cos	hyd	2	6	3e-04	0	0.5
Borr	hyd	2	6	3e-04	0	0.5
X140up	hyd	2	6	5e-04	0	0.5
Dhc64C	hyd	2	6	7e-04	0	0.5
Not1	hyd	2	6	2e-04	0	0.5
CG9520	hyd	2	6	1e-04	0	0.5
bib	hyd	2	6	2e-04	0	0.5
mib1	hyd	2	6	4e-04	0	0.5
cas	hyd	2	6	1e-04	0	0.5
Abi	hyd	2	6	0.0011	0	0.5
betaTub56D	hyd	2	6	2e-04	0	0.5
nej	hyd	2	6	0.0035	0	0.5
dlg1	hyd	2	6	8e-04	0	0.5
Lcp65Ag1	hyd	2	6	0.0015	0	0.5
Es2	hyd	2	6	1e-04	0	0.5
MED24	hyd	2	6	9e-04	0	0.5
