Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	hyx	2	6	0	0	0.5
emp	hyx	2	6	0	0	0.5
CG2678	hyx	2	6	0	0	0.5
crc	hyx	2	6	3e-04	0	0.5
pros	hyx	2	6	1e-04	0	0.5
neur	hyx	2	6	0	0	0.5
Rab5	hyx	2	6	0	0	0.5
Rab7	hyx	2	6	2e-04	0	0.5
Mmp2	hyx	2	6	0	0	0.5
W	hyx	2	6	0	0	0.5
bowl	hyx	2	6	0	0	0.5
fd59A	hyx	2	6	0	0	0.5
e	hyx	2	6	0	0	0.5
ben	hyx	2	6	0	0	0.5
rdo	hyx	2	6	0	0	0.5
lin	hyx	2	6	0	0	0.5
tra	hyx	2	6	0	0	0.5
tra2	hyx	2	6	0	0	0.5
cathD	hyx	2	6	0	0	0.5
d	hyx	2	6	0	0	0.5
lva	hyx	2	6	0	0	0.5
pbl	hyx	2	6	4e-04	0	0.5
CG33205	hyx	2	6	0	0	0.5
da	hyx	2	6	0	0	0.5
cactin	hyx	2	6	0	0	0.5
hpo	hyx	2	6	0	0	0.5
Sema.2a	hyx	2	6	0	0	0.5
Eip74EF	hyx	2	6	0	0	0.5
eg	hyx	2	6	0	0	0.5
Arc42	hyx	2	6	0	0	0.5
toy	hyx	2	6	0	0	0.5
Galpha73B	hyx	2	6	0	0	0.5
RhoGAPp190	hyx	2	6	0	0	0.5
MED11	hyx	2	6	0	0	0.5
cher	hyx	2	6	0	0	0.5
BicD	hyx	2	6	0	0	0.5
MYPT.75D	hyx	2	6	2e-04	0	0.5
mus304	hyx	2	6	0	0	0.5
CdsA	hyx	2	6	0	0	0.5
btl	hyx	2	6	0	0	0.5
Cyt.c.d	hyx	2	6	0	0	0.5
tok	hyx	2	6	0	0	0.5
ttk	hyx	2	6	0	0	0.5
tamo	hyx	2	6	0	0	0.5
CG6416	hyx	2	6	0	0	0.5
flfl	hyx	2	6	0	0	0.5
Pvr	hyx	2	6	2e-04	0	0.5
kay	hyx	2	6	2e-04	0	0.5
Jra	hyx	2	6	0	0	0.5
msk	hyx	2	6	1e-04	0	0.5
tll	hyx	2	6	3e-04	0	0.5
Tm1	hyx	2	6	0	0	0.5
srp	hyx	2	6	4e-04	0	0.5
Btk29A	hyx	2	6	1e-04	0	0.5
fred	hyx	2	6	1e-04	0	0.5
Src64B	hyx	2	6	1e-04	0	0.5
Mmp1	hyx	2	6	1e-04	0	0.5
sll	hyx	2	6	0	0	0.5
Hmgs	hyx	2	6	0	0	0.5
caps	hyx	2	6	0	0	0.5
Su.var.2.10	hyx	2	6	2e-04	0	0.5
CycB	hyx	2	6	0	0	0.5
spir	hyx	2	6	0	0	0.5
spn.A	hyx	2	6	0	0	0.5
Ptpmeg	hyx	2	6	0	0	0.5
qua	hyx	2	6	0	0	0.5
msn	hyx	2	6	0	0	0.5
ena	hyx	2	6	0	0	0.5
spen	hyx	2	6	0	0	0.5
emc	hyx	2	6	0	0	0.5
tsh	hyx	2	6	0	0	0.5
Dat	hyx	2	6	0	0	0.5
Lac	hyx	2	6	0	0	0.5
dup	hyx	2	6	0	0	0.5
CG3075	hyx	2	6	1e-04	0	0.5
Akap200	hyx	2	6	0	0	0.5
CG18369	hyx	2	6	1e-04	0	0.5
bnl	hyx	2	6	1e-04	0	0.5
sec23	hyx	2	6	0	0	0.5
Pde8	hyx	2	6	0	0	0.5
Arp66B	hyx	2	6	0	0	0.5
cos	hyx	2	6	1e-04	0	0.5
Borr	hyx	2	6	0	0	0.5
X140up	hyx	2	6	0	0	0.5
Dhc64C	hyx	2	6	0	0	0.5
Not1	hyx	2	6	1e-04	0	0.5
CG9520	hyx	2	6	0	0	0.5
bib	hyx	2	6	1e-04	0	0.5
mib1	hyx	2	6	0	0	0.5
cas	hyx	2	6	0	0	0.5
Abi	hyx	2	6	0	0	0.5
betaTub56D	hyx	2	6	0	0	0.5
nej	hyx	2	6	0	0	0.5
dlg1	hyx	2	6	0	0	0.5
Lcp65Ag1	hyx	2	6	0	0	0.5
Es2	hyx	2	6	3e-04	0	0.5
MED24	hyx	2	6	0	0	0.5
Vhl	hyx	2	6	0	0	0.5
tral	hyx	2	6	0	0	0.5
sns	hyx	2	6	0	0	0.5
mbl	hyx	2	6	0	0	0.5
sav	hyx	2	6	0	0	0.5
lola	hyx	2	6	0	0	0.5
robo	hyx	2	6	0	0	0.5
CG32486	hyx	2	6	0	0	0.5
santa.maria	hyx	2	6	0	0	0.5
stumps	hyx	2	6	0	0	0.5
abd.A	hyx	2	6	0	0	0.5
dock	hyx	2	6	6e-04	0	0.5
Lar	hyx	2	6	0	0	0.5
l.1.G0289	hyx	2	6	0	0	0.5
Abl	hyx	2	6	0	0	0.5
Syb	hyx	2	6	0	0	0.5
dome	hyx	2	6	0	0	0.5
ofs	hyx	2	6	0	0	0.5
MED4	hyx	2	6	3e-04	0	0.5
scrib	hyx	2	6	0	0	0.5
siz	hyx	2	6	0	0	0.5
cbx	hyx	2	6	0	0	0.5
dsx	hyx	2	6	0	0	0.5
Sb	hyx	2	6	0	0	0.5
sax	hyx	2	6	1e-04	0	0.5
foxo	hyx	2	6	0	0	0.5
Cyp1	hyx	2	6	0	0	0.5
brm	hyx	2	6	0	0	0.5
rad50	hyx	2	6	0	0	0.5
chico	hyx	2	6	0	0	0.5
cp309	hyx	2	6	0	0	0.5
hdc	hyx	2	6	0	0	0.5
Axn	hyx	2	6	0	0	0.5
Apc2	hyx	2	6	0	0	0.5
PhKgamma	hyx	2	6	0	0	0.5
eya	hyx	2	6	3e-04	0	0.5
sktl	hyx	2	6	0	0	0.5
sqd	hyx	2	6	2e-04	0	0.5
Akt1	hyx	2	6	0	0	0.5
scyl	hyx	2	6	2e-04	0	0.5
cnk	hyx	2	6	0	0	0.5
CG8149	hyx	2	6	0	0	0.5
CG34379	hyx	2	6	0	0	0.5
Yp1	hyx	2	6	0	0	0.5
yrt	hyx	2	6	5e-04	0	0.5
bap	hyx	2	6	1e-04	0	0.5
tud	hyx	2	6	1e-04	0	0.5
ct	hyx	2	6	0	0	0.5
tup	hyx	2	6	2e-04	0	0.5
G.ialpha65A	hyx	2	6	0	0	0.5
knrl	hyx	2	6	0	0	0.5
Pkn	hyx	2	6	0	0	0.5
Sry.delta	hyx	2	6	0	0	0.5
Alh	hyx	2	6	2e-04	0	0.5
pnut	hyx	2	6	0	0	0.5
phyl	hyx	2	6	0	0	0.5
CG17739	hyx	2	6	0	0	0.5
B4	hyx	2	6	0	0	0.5
CG2681	hyx	2	6	7e-04	0	0.5
tow	hyx	2	6	0	0	0.5
hkl	hyx	2	6	0	0	0.5
sina	hyx	2	6	6e-04	0	0.5
ry	hyx	2	6	0	0	0.5
rux	hyx	2	6	0	0	0.5
boss	hyx	2	6	0	0	0.5
Mkp3	hyx	2	6	0	0	0.5
inaC	hyx	2	6	1e-04	0	0.5
sno	hyx	2	6	0	0	0.5
jagn	hyx	2	6	0	0	0.5
dpn	hyx	2	6	1e-04	0	0.5
wrapper	hyx	2	6	1e-04	0	0.5
Ca.alpha1D	hyx	2	6	0	0	0.5
E2f	hyx	2	6	0	0	0.5
Dp	hyx	2	6	0	0	0.5
l.2.efl	hyx	2	6	5e-04	0	0.5
cnc	hyx	2	6	2e-04	0	0.5
Atg5	hyx	2	6	1e-04	0	0.5
acj6	hyx	2	6	2e-04	0	0.5
Trl	hyx	2	6	0	0	0.5
d4	hyx	2	6	0	0	0.5
CG16719	hyx	2	6	0	0	0.5
CadN	hyx	2	6	0	0	0.5
gro	hyx	2	6	0	0	0.5
sec13	hyx	2	6	0	0	0.5
klar	hyx	2	6	0	0	0.5
Rack1	hyx	2	6	0	0	0.5
Sobp	hyx	2	6	0	0	0.5
ash1	hyx	2	6	2e-04	0	0.5
inv	hyx	2	6	0	0	0.5
shot	hyx	2	6	4e-04	0	0.5
Oseg1	hyx	2	6	0	0	0.5
Spred	hyx	2	6	3e-04	0	0.5
puc	hyx	2	6	0	0	0.5
Atg6	hyx	2	6	7e-04	0	0.5
CG3829	hyx	2	6	2e-04	0	0.5
sle	hyx	2	6	1e-04	0	0.5
Cka	hyx	2	6	0	0	0.5
form3	hyx	2	6	0	0	0.5
Pk61C	hyx	2	6	0	0	0.5
Pcaf	hyx	2	6	0	0	0.5
sbb	hyx	2	6	1e-04	0	0.5
Ef1gamma	hyx	2	6	1e-04	0	0.5
FKBP59	hyx	2	6	0	0	0.5
Eip71CD	hyx	2	6	0	0	0.5
xmas.2	hyx	2	6	0	0	0.5
ppan	hyx	2	6	0	0	0.5
Iswi	hyx	2	6	0	0	0.5
ine	hyx	2	6	0	0	0.5
Tina.1	hyx	2	6	0	0	0.5
bon	hyx	2	6	0	0	0.5
pot	hyx	2	6	0	0	0.5
chic	hyx	2	6	0	0	0.5
Hem	hyx	2	6	0	0	0.5
chif	hyx	2	6	7e-04	0	0.5
S6kII	hyx	2	6	0	0	0.5
wal	hyx	2	6	0	0	0.5
wls	hyx	2	6	0	0	0.5
Ddx1	hyx	2	6	0	0	0.5
Sulf1	hyx	2	6	0	0	0.5
CG3987	hyx	2	6	0	0	0.5
Abd.B	hyx	2	6	1e-04	0	0.5
Uba1	hyx	2	6	2e-04	0	0.5
bigmax	hyx	2	6	0	0	0.5
NAT1	hyx	2	6	0	0	0.5
wupA	hyx	2	6	2e-04	0	0.5
Vps28	hyx	2	6	0	0	0.5
G.oalpha47A	hyx	2	6	0	0	0.5
G.salpha60A	hyx	2	6	4e-04	0	0.5
dsf	hyx	2	6	0	0	0.5
Khc	hyx	2	6	0	0	0.5
CG10641	hyx	2	6	4e-04	0	0.5
Alk	hyx	2	6	0	0	0.5
ey	hyx	2	6	0	0	0.5
noc	hyx	2	6	0	0	0.5
ix	hyx	2	6	0	0	0.5
Optix	hyx	2	6	0	0	0.5
sdt	hyx	2	6	0	0	0.5
Sxl	hyx	2	6	0	0	0.5
rib	hyx	2	6	0	0	0.5
sas	hyx	2	6	0	0	0.5
Scgdelta	hyx	2	6	0	0	0.5
sw	hyx	2	6	2e-04	0	0.5
fal	hyx	2	6	0	0	0.5
ea	hyx	2	6	0	0	0.5
Ice	hyx	2	6	0	0	0.5
cic	hyx	2	6	0	0	0.5
Dok	hyx	2	6	0	0	0.5
rhea	hyx	2	6	0	0	0.5
Glycogenin	hyx	2	6	0	0	0.5
cin	hyx	2	6	0	0	0.5
chp	hyx	2	6	3e-04	0	0.5
Dlic2	hyx	2	6	0	0	0.5
Pk92B	hyx	2	6	0	0	0.5
Pak	hyx	2	6	0	0	0.5
Lim1	hyx	2	6	0	0	0.5
CG34450	hyx	2	6	1e-04	0	0.5
Su.H.	hyx	2	6	1e-04	0	0.5
CG12301	hyx	2	6	9e-04	0	0.5
lilli	hyx	2	6	3e-04	0	0.5
toe	hyx	2	6	0	0	0.5
qkr58E.3	hyx	2	6	0	0	0.5
up	hyx	2	6	0	0	0.5
hep	hyx	2	6	4e-04	0	0.5
Dap160	hyx	2	6	1e-04	0	0.5
l.2.gd1	hyx	2	6	0	0	0.5
hkb	hyx	2	6	0	0	0.5
beta4GalNAcTA	hyx	2	6	0	0	0.5
Mer	hyx	2	6	1e-04	0	0.5
Mtl	hyx	2	6	0	0	0.5
spin	hyx	2	6	0	0	0.5
mfas	hyx	2	6	3e-04	0	0.5
frc	hyx	2	6	0	0	0.5
Krn	hyx	2	6	3e-04	0	0.5
mam	hyx	2	6	1e-04	0	0.5
brk	hyx	2	6	0	0	0.5
Ark	hyx	2	6	0	0	0.5
mmy	hyx	2	6	0	0	0.5
mri	hyx	2	6	0	0	0.5
Crk	hyx	2	6	0	0	0.5
ssh	hyx	2	6	0	0	0.5
fs.1.K10	hyx	2	6	0	0	0.5
Psn	hyx	2	6	3e-04	0	0.5
CG9509	hyx	2	6	0	0	0.5
CkIIalpha	hyx	2	6	0	0	0.5
car	hyx	2	6	0	0	0.5
capu	hyx	2	6	2e-04	0	0.5
cact	hyx	2	6	1e-04	0	0.5
Patj	hyx	2	6	0	0	0.5
dpp	hyx	2	6	3e-04	0	0.5
xl6	hyx	2	6	3e-04	0	0.5
dally	hyx	2	6	4e-04	0	0.5
Pi3K92E	hyx	2	6	0	0	0.5
E.bx.	hyx	2	6	0	0	0.5
emb	hyx	2	6	0	0	0.5
CtBP	hyx	2	6	0	0	0.5
Dad	hyx	2	6	0	0	0.5
amx	hyx	2	6	1e-04	0	0.5
Ank2	hyx	2	6	0	0	0.5
CG34417	hyx	2	6	0	0	0.5
scra	hyx	2	6	0	0	0.5
dsd	hyx	2	6	0	0	0.5
Ephrin	hyx	2	6	0	0	0.5
Appl	hyx	2	6	0	0	0.5
sty	hyx	2	6	0	0	0.5
RhoL	hyx	2	6	0	0	0.5
twi	hyx	2	6	0	0	0.5
tub	hyx	2	6	0	0	0.5
ftz.f1	hyx	2	6	0	0	0.5
wg	hyx	2	6	0	0	0.5
LanB1	hyx	2	6	0	0	0.5
LanA	hyx	2	6	0	0	0.5
LanB2	hyx	2	6	0	0	0.5
Chi	hyx	2	6	1e-04	0	0.5
