Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	inaC	2	6	0	0	0.5
emp	inaC	2	6	1e-04	0	0.5
CG2678	inaC	2	6	3e-04	0	0.5
crc	inaC	2	6	0	0	0.5
pros	inaC	2	6	0	0	0.5
neur	inaC	2	6	2e-04	0	0.5
Rab5	inaC	2	6	6e-04	0	0.5
Rab7	inaC	2	6	0	0	0.5
Mmp2	inaC	2	6	0	0	0.5
W	inaC	2	6	3e-04	0	0.5
bowl	inaC	2	6	0	0	0.5
fd59A	inaC	2	6	0	0	0.5
e	inaC	2	6	1e-04	0	0.5
ben	inaC	2	6	0	0	0.5
rdo	inaC	2	6	7e-04	0	0.5
lin	inaC	2	6	0	0	0.5
tra	inaC	2	6	0	0	0.5
tra2	inaC	2	6	0	0	0.5
cathD	inaC	2	6	0	0	0.5
d	inaC	2	6	0	0	0.5
lva	inaC	2	6	0	0	0.5
pbl	inaC	2	6	0	0	0.5
CG33205	inaC	2	6	1e-04	0	0.5
da	inaC	2	6	0	0	0.5
cactin	inaC	2	6	1e-04	0	0.5
hpo	inaC	2	6	0	0	0.5
Sema.2a	inaC	2	6	1e-04	0	0.5
Eip74EF	inaC	2	6	0.0015	0	0.5
eg	inaC	2	6	0	0	0.5
Arc42	inaC	2	6	0	0	0.5
toy	inaC	2	6	0	0	0.5
Galpha73B	inaC	2	6	0	0	0.5
RhoGAPp190	inaC	2	6	0	0	0.5
MED11	inaC	2	6	0	0	0.5
cher	inaC	2	6	2e-04	0	0.5
BicD	inaC	2	6	0	0	0.5
MYPT.75D	inaC	2	6	2e-04	0	0.5
mus304	inaC	2	6	1e-04	0	0.5
CdsA	inaC	2	6	5e-04	0	0.5
btl	inaC	2	6	0	0	0.5
Cyt.c.d	inaC	2	6	0	0	0.5
tok	inaC	2	6	5e-04	0	0.5
ttk	inaC	2	6	4e-04	0	0.5
tamo	inaC	2	6	3e-04	0	0.5
CG6416	inaC	2	6	1e-04	0	0.5
flfl	inaC	2	6	3e-04	0	0.5
Pvr	inaC	2	6	0	0	0.5
kay	inaC	2	6	2e-04	0	0.5
Jra	inaC	2	6	0	0	0.5
msk	inaC	2	6	2e-04	0	0.5
tll	inaC	2	6	6e-04	0	0.5
Tm1	inaC	2	6	7e-04	0	0.5
srp	inaC	2	6	0	0	0.5
Btk29A	inaC	2	6	1e-04	0	0.5
fred	inaC	2	6	0	0	0.5
Src64B	inaC	2	6	2e-04	0	0.5
Mmp1	inaC	2	6	1e-04	0	0.5
sll	inaC	2	6	0	0	0.5
Hmgs	inaC	2	6	5e-04	0	0.5
caps	inaC	2	6	0.0013	0	0.5
Su.var.2.10	inaC	2	6	0	0	0.5
CycB	inaC	2	6	0	0	0.5
spir	inaC	2	6	4e-04	0	0.5
spn.A	inaC	2	6	0	0	0.5
Ptpmeg	inaC	2	6	0	0	0.5
qua	inaC	2	6	0	0	0.5
msn	inaC	2	6	2e-04	0	0.5
ena	inaC	2	6	2e-04	0	0.5
spen	inaC	2	6	0	0	0.5
emc	inaC	2	6	0	0	0.5
tsh	inaC	2	6	3e-04	0	0.5
Dat	inaC	2	6	5e-04	0	0.5
Lac	inaC	2	6	2e-04	0	0.5
dup	inaC	2	6	0	0	0.5
CG3075	inaC	2	6	0.001	0	0.5
Akap200	inaC	2	6	0	0	0.5
CG18369	inaC	2	6	0	0	0.5
bnl	inaC	2	6	3e-04	0	0.5
sec23	inaC	2	6	0	0	0.5
Pde8	inaC	2	6	0	0	0.5
Arp66B	inaC	2	6	0	0	0.5
cos	inaC	2	6	0	0	0.5
Borr	inaC	2	6	0	0	0.5
X140up	inaC	2	6	0	0	0.5
Dhc64C	inaC	2	6	3e-04	0	0.5
Not1	inaC	2	6	0	0	0.5
CG9520	inaC	2	6	2e-04	0	0.5
bib	inaC	2	6	0	0	0.5
mib1	inaC	2	6	0	0	0.5
cas	inaC	2	6	3e-04	0	0.5
Abi	inaC	2	6	0	0	0.5
betaTub56D	inaC	2	6	0	0	0.5
nej	inaC	2	6	0	0	0.5
dlg1	inaC	2	6	0	0	0.5
Lcp65Ag1	inaC	2	6	0	0	0.5
Es2	inaC	2	6	0	0	0.5
MED24	inaC	2	6	1e-04	0	0.5
Vhl	inaC	2	6	0	0	0.5
tral	inaC	2	6	3e-04	0	0.5
sns	inaC	2	6	0	0	0.5
mbl	inaC	2	6	5e-04	0	0.5
sav	inaC	2	6	0	0	0.5
lola	inaC	2	6	0	0	0.5
robo	inaC	2	6	3e-04	0	0.5
CG32486	inaC	2	6	0	0	0.5
santa.maria	inaC	2	6	1e-04	0	0.5
stumps	inaC	2	6	2e-04	0	0.5
abd.A	inaC	2	6	2e-04	0	0.5
dock	inaC	2	6	6e-04	0	0.5
Lar	inaC	2	6	1e-04	0	0.5
l.1.G0289	inaC	2	6	0	0	0.5
Abl	inaC	2	6	0	0	0.5
Syb	inaC	2	6	0	0	0.5
dome	inaC	2	6	1e-04	0	0.5
ofs	inaC	2	6	0	0	0.5
MED4	inaC	2	6	0	0	0.5
scrib	inaC	2	6	0	0	0.5
siz	inaC	2	6	0	0	0.5
cbx	inaC	2	6	4e-04	0	0.5
dsx	inaC	2	6	1e-04	0	0.5
Sb	inaC	2	6	0	0	0.5
sax	inaC	2	6	5e-04	0	0.5
foxo	inaC	2	6	4e-04	0	0.5
Cyp1	inaC	2	6	0	0	0.5
brm	inaC	2	6	2e-04	0	0.5
rad50	inaC	2	6	0	0	0.5
chico	inaC	2	6	0	0	0.5
cp309	inaC	2	6	4e-04	0	0.5
hdc	inaC	2	6	3e-04	0	0.5
Axn	inaC	2	6	0	0	0.5
Apc2	inaC	2	6	1e-04	0	0.5
PhKgamma	inaC	2	6	0	0	0.5
eya	inaC	2	6	1e-04	0	0.5
sktl	inaC	2	6	0	0	0.5
sqd	inaC	2	6	0	0	0.5
Akt1	inaC	2	6	0	0	0.5
scyl	inaC	2	6	4e-04	0	0.5
cnk	inaC	2	6	0	0	0.5
CG8149	inaC	2	6	5e-04	0	0.5
CG34379	inaC	2	6	0	0	0.5
Yp1	inaC	2	6	0	0	0.5
yrt	inaC	2	6	0	0	0.5
bap	inaC	2	6	0	0	0.5
tud	inaC	2	6	3e-04	0	0.5
ct	inaC	2	6	0	0	0.5
tup	inaC	2	6	3e-04	0	0.5
G.ialpha65A	inaC	2	6	0	0	0.5
knrl	inaC	2	6	2e-04	0	0.5
Pkn	inaC	2	6	7e-04	0	0.5
Sry.delta	inaC	2	6	1e-04	0	0.5
Alh	inaC	2	6	0	0	0.5
pnut	inaC	2	6	2e-04	0	0.5
phyl	inaC	2	6	0	0	0.5
CG17739	inaC	2	6	1e-04	0	0.5
B4	inaC	2	6	8e-04	0	0.5
CG2681	inaC	2	6	6e-04	0	0.5
tow	inaC	2	6	0	0	0.5
hkl	inaC	2	6	0	0	0.5
sina	inaC	2	6	2e-04	0	0.5
ry	inaC	2	6	4e-04	0	0.5
rux	inaC	2	6	0	0	0.5
boss	inaC	2	6	2e-04	0	0.5
Mkp3	inaC	2	6	0	0	0.5
inaC	inaC	2	6	0	0	0.5
sno	inaC	2	6	0	0	0.5
jagn	inaC	2	6	2e-04	0	0.5
dpn	inaC	2	6	1e-04	0	0.5
wrapper	inaC	2	6	0	0	0.5
Ca.alpha1D	inaC	2	6	1e-04	0	0.5
E2f	inaC	2	6	0	0	0.5
