Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	jar	2	6	0.0221	0	0.5
emp	jar	2	6	0.001	0	0.5
CG2678	jar	2	6	0	0	0.5
crc	jar	2	6	7e-04	0	0.5
pros	jar	2	6	0.0033	0	0.5
neur	jar	2	6	2e-04	0	0.5
Rab5	jar	2	6	0.001	0	0.5
Rab7	jar	2	6	0	0	0.5
Mmp2	jar	2	6	4e-04	0	0.5
W	jar	2	6	8e-04	0	0.5
bowl	jar	2	6	0	0	0.5
fd59A	jar	2	6	6e-04	0	0.5
e	jar	2	6	6e-04	0	0.5
ben	jar	2	6	7e-04	0	0.5
rdo	jar	2	6	4e-04	0	0.5
lin	jar	2	6	6e-04	0	0.5
tra	jar	2	6	7e-04	0	0.5
tra2	jar	2	6	0.004	0	0.5
cathD	jar	2	6	3e-04	0	0.5
d	jar	2	6	0.0043	0	0.5
lva	jar	2	6	5e-04	0	0.5
pbl	jar	2	6	0.0015	0	0.5
CG33205	jar	2	6	0.0256	0	0.5
da	jar	2	6	1e-04	0	0.5
cactin	jar	2	6	8e-04	0	0.5
hpo	jar	2	6	1e-04	0	0.5
Sema.2a	jar	2	6	4e-04	0	0.5
Eip74EF	jar	2	6	8e-04	0	0.5
eg	jar	2	6	2e-04	0	0.5
Arc42	jar	2	6	7e-04	0	0.5
toy	jar	2	6	3e-04	0	0.5
Galpha73B	jar	2	6	0	0	0.5
RhoGAPp190	jar	2	6	0	0	0.5
MED11	jar	2	6	1e-04	0	0.5
cher	jar	2	6	0.0067	0	0.5
BicD	jar	2	6	3e-04	0	0.5
MYPT.75D	jar	2	6	8e-04	0	0.5
mus304	jar	2	6	0	0	0.5
CdsA	jar	2	6	1e-04	0	0.5
btl	jar	2	6	6e-04	0	0.5
Cyt.c.d	jar	2	6	0	0	0.5
tok	jar	2	6	0	0	0.5
ttk	jar	2	6	2e-04	0	0.5
tamo	jar	2	6	0.0011	0	0.5
CG6416	jar	2	6	0.002	0	0.5
flfl	jar	2	6	1e-04	0	0.5
Pvr	jar	2	6	2e-04	0	0.5
kay	jar	2	6	0.0018	0	0.5
Jra	jar	2	6	0.0015	0	0.5
msk	jar	2	6	5e-04	0	0.5
tll	jar	2	6	6e-04	0	0.5
Tm1	jar	2	6	1e-04	0	0.5
srp	jar	2	6	0.0014	0	0.5
Btk29A	jar	2	6	1e-04	0	0.5
fred	jar	2	6	3e-04	0	0.5
Src64B	jar	2	6	1e-04	0	0.5
Mmp1	jar	2	6	6e-04	0	0.5
sll	jar	2	6	9e-04	0	0.5
Hmgs	jar	2	6	0	0	0.5
caps	jar	2	6	3e-04	0	0.5
Su.var.2.10	jar	2	6	0.0025	0	0.5
CycB	jar	2	6	9e-04	0	0.5
spir	jar	2	6	0	0	0.5
spn.A	jar	2	6	2e-04	0	0.5
Ptpmeg	jar	2	6	0.0014	0	0.5
qua	jar	2	6	6e-04	0	0.5
msn	jar	2	6	0.0523	0	0.5
ena	jar	2	6	0	0	0.5
spen	jar	2	6	0.0033	0	0.5
emc	jar	2	6	0.011	0	0.5
tsh	jar	2	6	0.0017	0	0.5
Dat	jar	2	6	7e-04	0	0.5
Lac	jar	2	6	0.0141	0	0.5
dup	jar	2	6	0	0	0.5
CG3075	jar	2	6	9e-04	0	0.5
Akap200	jar	2	6	3e-04	0	0.5
CG18369	jar	2	6	0.0013	0	0.5
bnl	jar	2	6	0.0021	0	0.5
sec23	jar	2	6	0.0015	0	0.5
Pde8	jar	2	6	0.0014	0	0.5
Arp66B	jar	2	6	2e-04	0	0.5
cos	jar	2	6	7e-04	0	0.5
Borr	jar	2	6	4e-04	0	0.5
X140up	jar	2	6	8e-04	0	0.5
Dhc64C	jar	2	6	0.001	0	0.5
Not1	jar	2	6	0	0	0.5
CG9520	jar	2	6	4e-04	0	0.5
bib	jar	2	6	0.0023	0	0.5
mib1	jar	2	6	0.0387	0	0.5
cas	jar	2	6	7e-04	0	0.5
Abi	jar	2	6	0.0044	0	0.5
betaTub56D	jar	2	6	1e-04	0	0.5
nej	jar	2	6	2e-04	0	0.5
dlg1	jar	2	6	0	0	0.5
Lcp65Ag1	jar	2	6	5e-04	0	0.5
Es2	jar	2	6	1e-04	0	0.5
MED24	jar	2	6	5e-04	0	0.5
Vhl	jar	2	6	2e-04	0	0.5
tral	jar	2	6	0	0	0.5
sns	jar	2	6	0.0017	0	0.5
mbl	jar	2	6	1e-04	0	0.5
sav	jar	2	6	0	0	0.5
lola	jar	2	6	4e-04	0	0.5
robo	jar	2	6	2e-04	0	0.5
CG32486	jar	2	6	6e-04	0	0.5
santa.maria	jar	2	6	3e-04	0	0.5
