Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	jing	2	6	1e-04	0	0.5
emp	jing	2	6	9e-04	0	0.5
CG2678	jing	2	6	3e-04	0	0.5
crc	jing	2	6	0.001	0	0.5
pros	jing	2	6	4e-04	0	0.5
neur	jing	2	6	1e-04	0	0.5
Rab5	jing	2	6	0.0015	0	0.5
Rab7	jing	2	6	0	0	0.5
Mmp2	jing	2	6	0.0013	0	0.5
W	jing	2	6	4e-04	0	0.5
bowl	jing	2	6	0.001	0	0.5
fd59A	jing	2	6	2e-04	0	0.5
e	jing	2	6	3e-04	0	0.5
ben	jing	2	6	1e-04	0	0.5
rdo	jing	2	6	3e-04	0	0.5
lin	jing	2	6	5e-04	0	0.5
tra	jing	2	6	6e-04	0	0.5
tra2	jing	2	6	3e-04	0	0.5
cathD	jing	2	6	0	0	0.5
d	jing	2	6	0	0	0.5
lva	jing	2	6	0	0	0.5
pbl	jing	2	6	1e-04	0	0.5
CG33205	jing	2	6	0.0011	0	0.5
da	jing	2	6	0	0	0.5
cactin	jing	2	6	7e-04	0	0.5
hpo	jing	2	6	5e-04	0	0.5
Sema.2a	jing	2	6	9e-04	0	0.5
Eip74EF	jing	2	6	7e-04	0	0.5
eg	jing	2	6	1e-04	0	0.5
Arc42	jing	2	6	1e-04	0	0.5
toy	jing	2	6	3e-04	0	0.5
Galpha73B	jing	2	6	7e-04	0	0.5
RhoGAPp190	jing	2	6	3e-04	0	0.5
MED11	jing	2	6	2e-04	0	0.5
cher	jing	2	6	6e-04	0	0.5
BicD	jing	2	6	0	0	0.5
MYPT.75D	jing	2	6	0.0084	0	0.5
mus304	jing	2	6	2e-04	0	0.5
CdsA	jing	2	6	3e-04	0	0.5
btl	jing	2	6	0.0026	0	0.5
Cyt.c.d	jing	2	6	0	0	0.5
tok	jing	2	6	0.0084	0	0.5
ttk	jing	2	6	3e-04	0	0.5
tamo	jing	2	6	0	0	0.5
CG6416	jing	2	6	0	0	0.5
flfl	jing	2	6	0.042	0	0.5
Pvr	jing	2	6	0	0	0.5
kay	jing	2	6	6e-04	0	0.5
Jra	jing	2	6	9e-04	0	0.5
msk	jing	2	6	0	0	0.5
tll	jing	2	6	0.001	0	0.5
Tm1	jing	2	6	1e-04	0	0.5
srp	jing	2	6	0	0	0.5
Btk29A	jing	2	6	5e-04	0	0.5
fred	jing	2	6	2e-04	0	0.5
Src64B	jing	2	6	0.001	0	0.5
Mmp1	jing	2	6	0	0	0.5
sll	jing	2	6	3e-04	0	0.5
Hmgs	jing	2	6	2e-04	0	0.5
caps	jing	2	6	2e-04	0	0.5
Su.var.2.10	jing	2	6	0.0014	0	0.5
CycB	jing	2	6	8e-04	0	0.5
spir	jing	2	6	6e-04	0	0.5
spn.A	jing	2	6	9e-04	0	0.5
Ptpmeg	jing	2	6	7e-04	0	0.5
qua	jing	2	6	5e-04	0	0.5
msn	jing	2	6	5e-04	0	0.5
ena	jing	2	6	6e-04	0	0.5
spen	jing	2	6	0.0017	0	0.5
emc	jing	2	6	0	0	0.5
tsh	jing	2	6	4e-04	0	0.5
Dat	jing	2	6	0.023	0	0.5
Lac	jing	2	6	0	0	0.5
dup	jing	2	6	1e-04	0	0.5
CG3075	jing	2	6	1e-04	0	0.5
Akap200	jing	2	6	4e-04	0	0.5
CG18369	jing	2	6	0.0013	0	0.5
bnl	jing	2	6	8e-04	0	0.5
sec23	jing	2	6	1e-04	0	0.5
Pde8	jing	2	6	6e-04	0	0.5
Arp66B	jing	2	6	0	0	0.5
cos	jing	2	6	0	0	0.5
Borr	jing	2	6	3e-04	0	0.5
X140up	jing	2	6	1e-04	0	0.5
Dhc64C	jing	2	6	3e-04	0	0.5
Not1	jing	2	6	5e-04	0	0.5
CG9520	jing	2	6	1e-04	0	0.5
bib	jing	2	6	2e-04	0	0.5
mib1	jing	2	6	5e-04	0	0.5
cas	jing	2	6	3e-04	0	0.5
Abi	jing	2	6	0.0013	0	0.5
betaTub56D	jing	2	6	6e-04	0	0.5
nej	jing	2	6	0.001	0	0.5
dlg1	jing	2	6	3e-04	0	0.5
Lcp65Ag1	jing	2	6	0.0092	0	0.5
Es2	jing	2	6	1e-04	0	0.5
MED24	jing	2	6	0	0	0.5
Vhl	jing	2	6	0	0	0.5
tral	jing	2	6	6e-04	0	0.5
sns	jing	2	6	6e-04	0	0.5
mbl	jing	2	6	2e-04	0	0.5
sav	jing	2	6	9e-04	0	0.5
lola	jing	2	6	0.0011	0	0.5
robo	jing	2	6	0.001	0	0.5
CG32486	jing	2	6	0.0015	0	0.5
santa.maria	jing	2	6	1e-04	0	0.5
stumps	jing	2	6	0	0	0.5
abd.A	jing	2	6	0	0	0.5
dock	jing	2	6	3e-04	0	0.5
Lar	jing	2	6	2e-04	0	0.5
l.1.G0289	jing	2	6	2e-04	0	0.5
Abl	jing	2	6	0	0	0.5
Syb	jing	2	6	5e-04	0	0.5
dome	jing	2	6	3e-04	0	0.5
ofs	jing	2	6	3e-04	0	0.5
MED4	jing	2	6	9e-04	0	0.5
scrib	jing	2	6	3e-04	0	0.5
siz	jing	2	6	2e-04	0	0.5
cbx	jing	2	6	9e-04	0	0.5
dsx	jing	2	6	0.0022	0	0.5
Sb	jing	2	6	1e-04	0	0.5
sax	jing	2	6	7e-04	0	0.5
foxo	jing	2	6	4e-04	0	0.5
Cyp1	jing	2	6	2e-04	0	0.5
brm	jing	2	6	0.0012	0	0.5
rad50	jing	2	6	9e-04	0	0.5
chico	jing	2	6	2e-04	0	0.5
cp309	jing	2	6	0.0013	0	0.5
hdc	jing	2	6	1e-04	0	0.5
Axn	jing	2	6	3e-04	0	0.5
Apc2	jing	2	6	0	0	0.5
PhKgamma	jing	2	6	2e-04	0	0.5
eya	jing	2	6	3e-04	0	0.5
sktl	jing	2	6	2e-04	0	0.5
sqd	jing	2	6	0.141	0	0.5
Akt1	jing	2	6	0	0	0.5
scyl	jing	2	6	2e-04	0	0.5
cnk	jing	2	6	4e-04	0	0.5
CG8149	jing	2	6	0	0	0.5
CG34379	jing	2	6	0	0	0.5
Yp1	jing	2	6	3e-04	0	0.5
yrt	jing	2	6	0	0	0.5
bap	jing	2	6	0	0	0.5
tud	jing	2	6	2e-04	0	0.5
ct	jing	2	6	7e-04	0	0.5
tup	jing	2	6	8e-04	0	0.5
G.ialpha65A	jing	2	6	6e-04	0	0.5
knrl	jing	2	6	1e-04	0	0.5
Pkn	jing	2	6	8e-04	0	0.5
Sry.delta	jing	2	6	3e-04	0	0.5
Alh	jing	2	6	6e-04	0	0.5
pnut	jing	2	6	3e-04	0	0.5
phyl	jing	2	6	0.0018	0	0.5
CG17739	jing	2	6	1e-04	0	0.5
B4	jing	2	6	4e-04	0	0.5
CG2681	jing	2	6	5e-04	0	0.5
tow	jing	2	6	6e-04	0	0.5
hkl	jing	2	6	3e-04	0	0.5
sina	jing	2	6	0.0161	0	0.5
ry	jing	2	6	1e-04	0	0.5
rux	jing	2	6	0	0	0.5
boss	jing	2	6	0.0011	0	0.5
Mkp3	jing	2	6	0	0	0.5
inaC	jing	2	6	0.001	0	0.5
sno	jing	2	6	1e-04	0	0.5
jagn	jing	2	6	2e-04	0	0.5
dpn	jing	2	6	6e-04	0	0.5
wrapper	jing	2	6	4e-04	0	0.5
Ca.alpha1D	jing	2	6	6e-04	0	0.5
E2f	jing	2	6	2e-04	0	0.5
Dp	jing	2	6	0.0117	0	0.5
l.2.efl	jing	2	6	0.0012	0	0.5
cnc	jing	2	6	2e-04	0	0.5
Atg5	jing	2	6	0.0016	0	0.5
acj6	jing	2	6	0	0	0.5
Trl	jing	2	6	3e-04	0	0.5
d4	jing	2	6	0.0027	0	0.5
CG16719	jing	2	6	7e-04	0	0.5
CadN	jing	2	6	5e-04	0	0.5
gro	jing	2	6	0.0011	0	0.5
sec13	jing	2	6	1e-04	0	0.5
klar	jing	2	6	7e-04	0	0.5
Rack1	jing	2	6	0	0	0.5
Sobp	jing	2	6	0.001	0	0.5
ash1	jing	2	6	1e-04	0	0.5
inv	jing	2	6	0	0	0.5
shot	jing	2	6	2e-04	0	0.5
Oseg1	jing	2	6	0	0	0.5
Spred	jing	2	6	5e-04	0	0.5
puc	jing	2	6	0.0115	0	0.5
Atg6	jing	2	6	0.0014	0	0.5
CG3829	jing	2	6	8e-04	0	0.5
sle	jing	2	6	0.001	0	0.5
Cka	jing	2	6	2e-04	0	0.5
form3	jing	2	6	0.001	0	0.5
Pk61C	jing	2	6	4e-04	0	0.5
Pcaf	jing	2	6	0.0026	0	0.5
sbb	jing	2	6	8e-04	0	0.5
Ef1gamma	jing	2	6	5e-04	0	0.5
FKBP59	jing	2	6	3e-04	0	0.5
Eip71CD	jing	2	6	4e-04	0	0.5
xmas.2	jing	2	6	1e-04	0	0.5
ppan	jing	2	6	0.0035	0	0.5
Iswi	jing	2	6	0.001	0	0.5
ine	jing	2	6	1e-04	0	0.5
Tina.1	jing	2	6	1e-04	0	0.5
bon	jing	2	6	0.0013	0	0.5
pot	jing	2	6	7e-04	0	0.5
chic	jing	2	6	3e-04	0	0.5
Hem	jing	2	6	7e-04	0	0.5
chif	jing	2	6	0	0	0.5
S6kII	jing	2	6	0.001	0	0.5
wal	jing	2	6	1e-04	0	0.5
wls	jing	2	6	0.0062	0	0.5
Ddx1	jing	2	6	5e-04	0	0.5
Sulf1	jing	2	6	0	0	0.5
CG3987	jing	2	6	3e-04	0	0.5
Abd.B	jing	2	6	0	0	0.5
Uba1	jing	2	6	0	0	0.5
bigmax	jing	2	6	0.0011	0	0.5
NAT1	jing	2	6	6e-04	0	0.5
wupA	jing	2	6	1e-04	0	0.5
Vps28	jing	2	6	1e-04	0	0.5
G.oalpha47A	jing	2	6	9e-04	0	0.5
G.salpha60A	jing	2	6	2e-04	0	0.5
dsf	jing	2	6	3e-04	0	0.5
Khc	jing	2	6	7e-04	0	0.5
CG10641	jing	2	6	6e-04	0	0.5
Alk	jing	2	6	0	0	0.5
ey	jing	2	6	4e-04	0	0.5
noc	jing	2	6	0	0	0.5
ix	jing	2	6	1e-04	0	0.5
Optix	jing	2	6	0	0	0.5
sdt	jing	2	6	2e-04	0	0.5
Sxl	jing	2	6	0	0	0.5
rib	jing	2	6	0	0	0.5
sas	jing	2	6	0.0015	0	0.5
Scgdelta	jing	2	6	7e-04	0	0.5
sw	jing	2	6	2e-04	0	0.5
fal	jing	2	6	0.0019	0	0.5
ea	jing	2	6	3e-04	0	0.5
Ice	jing	2	6	6e-04	0	0.5
cic	jing	2	6	1e-04	0	0.5
Dok	jing	2	6	1e-04	0	0.5
rhea	jing	2	6	3e-04	0	0.5
Glycogenin	jing	2	6	7e-04	0	0.5
cin	jing	2	6	2e-04	0	0.5
chp	jing	2	6	6e-04	0	0.5
Dlic2	jing	2	6	0	0	0.5
Pk92B	jing	2	6	1e-04	0	0.5
Pak	jing	2	6	1e-04	0	0.5
Lim1	jing	2	6	6e-04	0	0.5
CG34450	jing	2	6	0	0	0.5
Su.H.	jing	2	6	1e-04	0	0.5
CG12301	jing	2	6	8e-04	0	0.5
lilli	jing	2	6	6e-04	0	0.5
toe	jing	2	6	0	0	0.5
qkr58E.3	jing	2	6	1e-04	0	0.5
up	jing	2	6	0	0	0.5
hep	jing	2	6	1e-04	0	0.5
Dap160	jing	2	6	6e-04	0	0.5
l.2.gd1	jing	2	6	3e-04	0	0.5
hkb	jing	2	6	7e-04	0	0.5
beta4GalNAcTA	jing	2	6	0	0	0.5
Mer	jing	2	6	5e-04	0	0.5
Mtl	jing	2	6	5e-04	0	0.5
spin	jing	2	6	5e-04	0	0.5
mfas	jing	2	6	5e-04	0	0.5
frc	jing	2	6	0.0013	0	0.5
Krn	jing	2	6	0.0125	0	0.5
mam	jing	2	6	0.0011	0	0.5
brk	jing	2	6	1e-04	0	0.5
Ark	jing	2	6	2e-04	0	0.5
mmy	jing	2	6	0.0011	0	0.5
mri	jing	2	6	1e-04	0	0.5
Crk	jing	2	6	4e-04	0	0.5
ssh	jing	2	6	0.0028	0	0.5
fs.1.K10	jing	2	6	0.0053	0	0.5
Psn	jing	2	6	3e-04	0	0.5
CG9509	jing	2	6	3e-04	0	0.5
CkIIalpha	jing	2	6	0.0017	0	0.5
car	jing	2	6	4e-04	0	0.5
capu	jing	2	6	4e-04	0	0.5
cact	jing	2	6	6e-04	0	0.5
Patj	jing	2	6	2e-04	0	0.5
dpp	jing	2	6	0	0	0.5
xl6	jing	2	6	0.0078	0	0.5
dally	jing	2	6	0.0121	0	0.5
Pi3K92E	jing	2	6	2e-04	0	0.5
E.bx.	jing	2	6	2e-04	0	0.5
emb	jing	2	6	0	0	0.5
CtBP	jing	2	6	0.0084	0	0.5
Dad	jing	2	6	1e-04	0	0.5
amx	jing	2	6	0.001	0	0.5
