Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	jumu	2	6	0	0	0.5
emp	jumu	2	6	0	0	0.5
CG2678	jumu	2	6	0	0	0.5
crc	jumu	2	6	0	0	0.5
pros	jumu	2	6	0	0	0.5
neur	jumu	2	6	0	0	0.5
Rab5	jumu	2	6	0	0	0.5
Rab7	jumu	2	6	0	0	0.5
Mmp2	jumu	2	6	0	0	0.5
W	jumu	2	6	0	0	0.5
bowl	jumu	2	6	1e-04	0	0.5
fd59A	jumu	2	6	0	0	0.5
e	jumu	2	6	0	0	0.5
ben	jumu	2	6	0	0	0.5
rdo	jumu	2	6	0	0	0.5
lin	jumu	2	6	0	0	0.5
tra	jumu	2	6	0	0	0.5
tra2	jumu	2	6	0	0	0.5
cathD	jumu	2	6	0	0	0.5
d	jumu	2	6	0	0	0.5
lva	jumu	2	6	1e-04	0	0.5
pbl	jumu	2	6	2e-04	0	0.5
CG33205	jumu	2	6	0	0	0.5
da	jumu	2	6	0	0	0.5
cactin	jumu	2	6	0	0	0.5
hpo	jumu	2	6	0	0	0.5
Sema.2a	jumu	2	6	0	0	0.5
Eip74EF	jumu	2	6	0	0	0.5
eg	jumu	2	6	0	0	0.5
Arc42	jumu	2	6	0	0	0.5
toy	jumu	2	6	2e-04	0	0.5
Galpha73B	jumu	2	6	0	0	0.5
RhoGAPp190	jumu	2	6	0	0	0.5
MED11	jumu	2	6	0	0	0.5
cher	jumu	2	6	0	0	0.5
BicD	jumu	2	6	0	0	0.5
MYPT.75D	jumu	2	6	0	0	0.5
mus304	jumu	2	6	0	0	0.5
CdsA	jumu	2	6	5e-04	0	0.5
btl	jumu	2	6	0	0	0.5
Cyt.c.d	jumu	2	6	0	0	0.5
tok	jumu	2	6	0	0	0.5
ttk	jumu	2	6	0	0	0.5
tamo	jumu	2	6	0	0	0.5
CG6416	jumu	2	6	2e-04	0	0.5
flfl	jumu	2	6	0	0	0.5
Pvr	jumu	2	6	0	0	0.5
kay	jumu	2	6	0	0	0.5
Jra	jumu	2	6	0	0	0.5
msk	jumu	2	6	0	0	0.5
tll	jumu	2	6	0	0	0.5
Tm1	jumu	2	6	1e-04	0	0.5
srp	jumu	2	6	3e-04	0	0.5
Btk29A	jumu	2	6	0	0	0.5
fred	jumu	2	6	0	0	0.5
Src64B	jumu	2	6	0	0	0.5
Mmp1	jumu	2	6	0	0	0.5
sll	jumu	2	6	0	0	0.5
Hmgs	jumu	2	6	0	0	0.5
caps	jumu	2	6	1e-04	0	0.5
Su.var.2.10	jumu	2	6	0	0	0.5
CycB	jumu	2	6	0	0	0.5
spir	jumu	2	6	0	0	0.5
spn.A	jumu	2	6	0	0	0.5
Ptpmeg	jumu	2	6	0	0	0.5
qua	jumu	2	6	0	0	0.5
msn	jumu	2	6	0	0	0.5
ena	jumu	2	6	0	0	0.5
spen	jumu	2	6	0	0	0.5
emc	jumu	2	6	1e-04	0	0.5
tsh	jumu	2	6	4e-04	0	0.5
Dat	jumu	2	6	0	0	0.5
Lac	jumu	2	6	0	0	0.5
dup	jumu	2	6	0	0	0.5
CG3075	jumu	2	6	3e-04	0	0.5
Akap200	jumu	2	6	0	0	0.5
CG18369	jumu	2	6	0	0	0.5
bnl	jumu	2	6	0	0	0.5
sec23	jumu	2	6	0	0	0.5
Pde8	jumu	2	6	0	0	0.5
Arp66B	jumu	2	6	0	0	0.5
cos	jumu	2	6	0	0	0.5
Borr	jumu	2	6	0	0	0.5
X140up	jumu	2	6	2e-04	0	0.5
Dhc64C	jumu	2	6	0	0	0.5
Not1	jumu	2	6	0	0	0.5
CG9520	jumu	2	6	0	0	0.5
bib	jumu	2	6	0	0	0.5
mib1	jumu	2	6	0	0	0.5
cas	jumu	2	6	0	0	0.5
Abi	jumu	2	6	4e-04	0	0.5
betaTub56D	jumu	2	6	0	0	0.5
nej	jumu	2	6	0	0	0.5
dlg1	jumu	2	6	0	0	0.5
Lcp65Ag1	jumu	2	6	0	0	0.5
Es2	jumu	2	6	2e-04	0	0.5
MED24	jumu	2	6	1	0.99929	0.5
Vhl	jumu	2	6	0	0	0.5
tral	jumu	2	6	0	0	0.5
sns	jumu	2	6	2e-04	0	0.5
mbl	jumu	2	6	0	0	0.5
sav	jumu	2	6	0	0	0.5
lola	jumu	2	6	2e-04	0	0.5
robo	jumu	2	6	0	0	0.5
CG32486	jumu	2	6	0	0	0.5
santa.maria	jumu	2	6	0	0	0.5
stumps	jumu	2	6	0	0	0.5
abd.A	jumu	2	6	2e-04	0	0.5
dock	jumu	2	6	0	0	0.5
Lar	jumu	2	6	0	0	0.5
l.1.G0289	jumu	2	6	0	0	0.5
Abl	jumu	2	6	0	0	0.5
Syb	jumu	2	6	1e-04	0	0.5
dome	jumu	2	6	0	0	0.5
ofs	jumu	2	6	0	0	0.5
MED4	jumu	2	6	0	0	0.5
scrib	jumu	2	6	0	0	0.5
siz	jumu	2	6	0	0	0.5
cbx	jumu	2	6	0	0	0.5
dsx	jumu	2	6	0	0	0.5
Sb	jumu	2	6	0	0	0.5
sax	jumu	2	6	0	0	0.5
foxo	jumu	2	6	0	0	0.5
Cyp1	jumu	2	6	0	0	0.5
brm	jumu	2	6	0	0	0.5
rad50	jumu	2	6	0	0	0.5
chico	jumu	2	6	0	0	0.5
cp309	jumu	2	6	4e-04	0	0.5
hdc	jumu	2	6	0	0	0.5
Axn	jumu	2	6	4e-04	0	0.5
Apc2	jumu	2	6	0	0	0.5
PhKgamma	jumu	2	6	0	0	0.5
eya	jumu	2	6	0	0	0.5
sktl	jumu	2	6	0	0	0.5
sqd	jumu	2	6	3e-04	0	0.5
Akt1	jumu	2	6	0	0	0.5
scyl	jumu	2	6	0	0	0.5
cnk	jumu	2	6	1e-04	0	0.5
CG8149	jumu	2	6	0	0	0.5
CG34379	jumu	2	6	0	0	0.5
Yp1	jumu	2	6	0	0	0.5
yrt	jumu	2	6	0	0	0.5
bap	jumu	2	6	1e-04	0	0.5
tud	jumu	2	6	0	0	0.5
ct	jumu	2	6	0	0	0.5
tup	jumu	2	6	0	0	0.5
G.ialpha65A	jumu	2	6	0	0	0.5
knrl	jumu	2	6	0	0	0.5
Pkn	jumu	2	6	0	0	0.5
Sry.delta	jumu	2	6	0	0	0.5
Alh	jumu	2	6	3e-04	0	0.5
pnut	jumu	2	6	0	0	0.5
phyl	jumu	2	6	0	0	0.5
CG17739	jumu	2	6	0	0	0.5
B4	jumu	2	6	1e-04	0	0.5
CG2681	jumu	2	6	3e-04	0	0.5
tow	jumu	2	6	0	0	0.5
hkl	jumu	2	6	6e-04	0	0.5
sina	jumu	2	6	0	0	0.5
ry	jumu	2	6	2e-04	0	0.5
rux	jumu	2	6	0	0	0.5
boss	jumu	2	6	0	0	0.5
Mkp3	jumu	2	6	0	0	0.5
inaC	jumu	2	6	0	0	0.5
sno	jumu	2	6	0	0	0.5
jagn	jumu	2	6	1e-04	0	0.5
dpn	jumu	2	6	0	0	0.5
wrapper	jumu	2	6	0	0	0.5
Ca.alpha1D	jumu	2	6	0	0	0.5
E2f	jumu	2	6	0	0	0.5
Dp	jumu	2	6	0	0	0.5
l.2.efl	jumu	2	6	6e-04	0	0.5
cnc	jumu	2	6	0	0	0.5
Atg5	jumu	2	6	0	0	0.5
acj6	jumu	2	6	0	0	0.5
Trl	jumu	2	6	0	0	0.5
d4	jumu	2	6	0	0	0.5
CG16719	jumu	2	6	0	0	0.5
CadN	jumu	2	6	0	0	0.5
gro	jumu	2	6	0	0	0.5
sec13	jumu	2	6	0	0	0.5
klar	jumu	2	6	0	0	0.5
Rack1	jumu	2	6	0	0	0.5
Sobp	jumu	2	6	1e-04	0	0.5
ash1	jumu	2	6	0	0	0.5
inv	jumu	2	6	0	0	0.5
shot	jumu	2	6	0	0	0.5
Oseg1	jumu	2	6	0	0	0.5
Spred	jumu	2	6	0	0	0.5
puc	jumu	2	6	0	0	0.5
Atg6	jumu	2	6	0	0	0.5
CG3829	jumu	2	6	0	0	0.5
sle	jumu	2	6	0	0	0.5
Cka	jumu	2	6	2e-04	0	0.5
form3	jumu	2	6	0	0	0.5
Pk61C	jumu	2	6	0	0	0.5
Pcaf	jumu	2	6	0	0	0.5
sbb	jumu	2	6	0	0	0.5
Ef1gamma	jumu	2	6	0	0	0.5
FKBP59	jumu	2	6	0	0	0.5
Eip71CD	jumu	2	6	6e-04	0	0.5
xmas.2	jumu	2	6	0	0	0.5
