Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	ken	2	6	0	0	0.5
emp	ken	2	6	3e-04	0	0.5
CG2678	ken	2	6	1e-04	0	0.5
crc	ken	2	6	0	0	0.5
pros	ken	2	6	5e-04	0	0.5
neur	ken	2	6	1e-04	0	0.5
Rab5	ken	2	6	1e-04	0	0.5
Rab7	ken	2	6	0	0	0.5
Mmp2	ken	2	6	5e-04	0	0.5
W	ken	2	6	0	0	0.5
bowl	ken	2	6	0	0	0.5
fd59A	ken	2	6	0	0	0.5
e	ken	2	6	5e-04	0	0.5
ben	ken	2	6	0	0	0.5
rdo	ken	2	6	2e-04	0	0.5
lin	ken	2	6	0.2666	0	0.5
tra	ken	2	6	0	0	0.5
tra2	ken	2	6	0	0	0.5
cathD	ken	2	6	0	0	0.5
d	ken	2	6	2e-04	0	0.5
lva	ken	2	6	0	0	0.5
pbl	ken	2	6	2e-04	0	0.5
CG33205	ken	2	6	0	0	0.5
da	ken	2	6	0	0	0.5
cactin	ken	2	6	0	0	0.5
hpo	ken	2	6	1e-04	0	0.5
Sema.2a	ken	2	6	0	0	0.5
Eip74EF	ken	2	6	3e-04	0	0.5
eg	ken	2	6	1e-04	0	0.5
Arc42	ken	2	6	0	0	0.5
toy	ken	2	6	3e-04	0	0.5
Galpha73B	ken	2	6	0	0	0.5
RhoGAPp190	ken	2	6	0	0	0.5
MED11	ken	2	6	0	0	0.5
cher	ken	2	6	0	0	0.5
BicD	ken	2	6	3e-04	0	0.5
MYPT.75D	ken	2	6	7e-04	0	0.5
mus304	ken	2	6	0	0	0.5
CdsA	ken	2	6	0	0	0.5
btl	ken	2	6	0	0	0.5
Cyt.c.d	ken	2	6	3e-04	0	0.5
tok	ken	2	6	0	0	0.5
ttk	ken	2	6	0	0	0.5
tamo	ken	2	6	0	0	0.5
CG6416	ken	2	6	0	0	0.5
flfl	ken	2	6	2e-04	0	0.5
Pvr	ken	2	6	0	0	0.5
kay	ken	2	6	2e-04	0	0.5
Jra	ken	2	6	0	0	0.5
msk	ken	2	6	3e-04	0	0.5
tll	ken	2	6	1e-04	0	0.5
Tm1	ken	2	6	0	0	0.5
srp	ken	2	6	0	0	0.5
Btk29A	ken	2	6	0	0	0.5
fred	ken	2	6	6e-04	0	0.5
Src64B	ken	2	6	0	0	0.5
Mmp1	ken	2	6	3e-04	0	0.5
sll	ken	2	6	0	0	0.5
Hmgs	ken	2	6	2e-04	0	0.5
caps	ken	2	6	2e-04	0	0.5
Su.var.2.10	ken	2	6	1e-04	0	0.5
CycB	ken	2	6	0	0	0.5
spir	ken	2	6	0	0	0.5
spn.A	ken	2	6	0	0	0.5
Ptpmeg	ken	2	6	0	0	0.5
qua	ken	2	6	0	0	0.5
msn	ken	2	6	0	0	0.5
ena	ken	2	6	0	0	0.5
spen	ken	2	6	0	0	0.5
emc	ken	2	6	0	0	0.5
tsh	ken	2	6	0	0	0.5
Dat	ken	2	6	0	0	0.5
Lac	ken	2	6	3e-04	0	0.5
dup	ken	2	6	0	0	0.5
CG3075	ken	2	6	0	0	0.5
Akap200	ken	2	6	0	0	0.5
CG18369	ken	2	6	1	0.99886	0.5
bnl	ken	2	6	0	0	0.5
sec23	ken	2	6	0	0	0.5
Pde8	ken	2	6	0	0	0.5
Arp66B	ken	2	6	0	0	0.5
cos	ken	2	6	0	0	0.5
Borr	ken	2	6	0	0	0.5
X140up	ken	2	6	5e-04	0	0.5
Dhc64C	ken	2	6	0	0	0.5
Not1	ken	2	6	0	0	0.5
CG9520	ken	2	6	0	0	0.5
bib	ken	2	6	0.0011	0	0.5
mib1	ken	2	6	0	0	0.5
cas	ken	2	6	0	0	0.5
Abi	ken	2	6	0	0	0.5
betaTub56D	ken	2	6	1e-04	0	0.5
nej	ken	2	6	0	0	0.5
dlg1	ken	2	6	0	0	0.5
Lcp65Ag1	ken	2	6	1e-04	0	0.5
Es2	ken	2	6	0	0	0.5
MED24	ken	2	6	2e-04	0	0.5
Vhl	ken	2	6	0	0	0.5
tral	ken	2	6	3e-04	0	0.5
sns	ken	2	6	0	0	0.5
mbl	ken	2	6	0	0	0.5
sav	ken	2	6	0	0	0.5
lola	ken	2	6	1e-04	0	0.5
robo	ken	2	6	0	0	0.5
CG32486	ken	2	6	0	0	0.5
santa.maria	ken	2	6	0	0	0.5
stumps	ken	2	6	0	0	0.5
abd.A	ken	2	6	0	0	0.5
dock	ken	2	6	0	0	0.5
Lar	ken	2	6	0	0	0.5
l.1.G0289	ken	2	6	0	0	0.5
Abl	ken	2	6	0	0	0.5
Syb	ken	2	6	2e-04	0	0.5
dome	ken	2	6	0	0	0.5
ofs	ken	2	6	1e-04	0	0.5
MED4	ken	2	6	0	0	0.5
scrib	ken	2	6	0	0	0.5
siz	ken	2	6	0	0	0.5
cbx	ken	2	6	0	0	0.5
dsx	ken	2	6	1e-04	0	0.5
Sb	ken	2	6	0	0	0.5
sax	ken	2	6	0	0	0.5
foxo	ken	2	6	0	0	0.5
Cyp1	ken	2	6	7e-04	0	0.5
brm	ken	2	6	0	0	0.5
rad50	ken	2	6	0	0	0.5
chico	ken	2	6	0	0	0.5
cp309	ken	2	6	0	0	0.5
hdc	ken	2	6	0.001	0	0.5
Axn	ken	2	6	4e-04	0	0.5
Apc2	ken	2	6	4e-04	0	0.5
PhKgamma	ken	2	6	0	0	0.5
eya	ken	2	6	8e-04	0	0.5
sktl	ken	2	6	0	0	0.5
sqd	ken	2	6	1e-04	0	0.5
Akt1	ken	2	6	0	0	0.5
scyl	ken	2	6	0	0	0.5
cnk	ken	2	6	0	0	0.5
CG8149	ken	2	6	0	0	0.5
CG34379	ken	2	6	0	0	0.5
Yp1	ken	2	6	1e-04	0	0.5
yrt	ken	2	6	0	0	0.5
bap	ken	2	6	1e-04	0	0.5
tud	ken	2	6	2e-04	0	0.5
ct	ken	2	6	0	0	0.5
tup	ken	2	6	0	0	0.5
G.ialpha65A	ken	2	6	3e-04	0	0.5
knrl	ken	2	6	0	0	0.5
Pkn	ken	2	6	0	0	0.5
Sry.delta	ken	2	6	0.0011	0	0.5
Alh	ken	2	6	0	0	0.5
pnut	ken	2	6	1e-04	0	0.5
phyl	ken	2	6	0	0	0.5
CG17739	ken	2	6	0	0	0.5
B4	ken	2	6	0	0	0.5
CG2681	ken	2	6	3e-04	0	0.5
tow	ken	2	6	3e-04	0	0.5
hkl	ken	2	6	3e-04	0	0.5
sina	ken	2	6	2e-04	0	0.5
ry	ken	2	6	0	0	0.5
rux	ken	2	6	0	0	0.5
boss	ken	2	6	0	0	0.5
Mkp3	ken	2	6	0	0	0.5
inaC	ken	2	6	3e-04	0	0.5
sno	ken	2	6	0	0	0.5
jagn	ken	2	6	0	0	0.5
dpn	ken	2	6	0	0	0.5
wrapper	ken	2	6	0	0	0.5
Ca.alpha1D	ken	2	6	1e-04	0	0.5
E2f	ken	2	6	0	0	0.5
Dp	ken	2	6	2e-04	0	0.5
l.2.efl	ken	2	6	0	0	0.5
cnc	ken	2	6	0	0	0.5
Atg5	ken	2	6	0	0	0.5
acj6	ken	2	6	0	0	0.5
Trl	ken	2	6	0	0	0.5
d4	ken	2	6	0	0	0.5
CG16719	ken	2	6	0	0	0.5
CadN	ken	2	6	0	0	0.5
gro	ken	2	6	0	0	0.5
sec13	ken	2	6	0	0	0.5
klar	ken	2	6	0	0	0.5
Rack1	ken	2	6	0	0	0.5
Sobp	ken	2	6	0	0	0.5
ash1	ken	2	6	0	0	0.5
inv	ken	2	6	0	0	0.5
shot	ken	2	6	0	0	0.5
Oseg1	ken	2	6	4e-04	0	0.5
Spred	ken	2	6	0	0	0.5
puc	ken	2	6	0	0	0.5
Atg6	ken	2	6	1e-04	0	0.5
CG3829	ken	2	6	0	0	0.5
sle	ken	2	6	0	0	0.5
Cka	ken	2	6	0	0	0.5
form3	ken	2	6	5e-04	0	0.5
Pk61C	ken	2	6	0	0	0.5
Pcaf	ken	2	6	0	0	0.5
sbb	ken	2	6	0	0	0.5
Ef1gamma	ken	2	6	3e-04	0	0.5
FKBP59	ken	2	6	4e-04	0	0.5
Eip71CD	ken	2	6	0	0	0.5
xmas.2	ken	2	6	0	0	0.5
ppan	ken	2	6	0	0	0.5
Iswi	ken	2	6	0	0	0.5
ine	ken	2	6	0	0	0.5
Tina.1	ken	2	6	6e-04	0	0.5
bon	ken	2	6	0	0	0.5
pot	ken	2	6	1e-04	0	0.5
chic	ken	2	6	0	0	0.5
Hem	ken	2	6	2e-04	0	0.5
chif	ken	2	6	1e-04	0	0.5
S6kII	ken	2	6	0	0	0.5
wal	ken	2	6	0	0	0.5
wls	ken	2	6	0	0	0.5
Ddx1	ken	2	6	0	0	0.5
Sulf1	ken	2	6	0	0	0.5
CG3987	ken	2	6	4e-04	0	0.5
Abd.B	ken	2	6	0	0	0.5
Uba1	ken	2	6	0	0	0.5
bigmax	ken	2	6	7e-04	0	0.5
NAT1	ken	2	6	0	0	0.5
wupA	ken	2	6	3e-04	0	0.5
Vps28	ken	2	6	2e-04	0	0.5
G.oalpha47A	ken	2	6	1e-04	0	0.5
G.salpha60A	ken	2	6	6e-04	0	0.5
dsf	ken	2	6	1e-04	0	0.5
Khc	ken	2	6	0	0	0.5
CG10641	ken	2	6	0	0	0.5
Alk	ken	2	6	0	0	0.5
ey	ken	2	6	2e-04	0	0.5
noc	ken	2	6	0	0	0.5
ix	ken	2	6	0	0	0.5
Optix	ken	2	6	1e-04	0	0.5
sdt	ken	2	6	0	0	0.5
Sxl	ken	2	6	0	0	0.5
rib	ken	2	6	4e-04	0	0.5
sas	ken	2	6	0	0	0.5
Scgdelta	ken	2	6	0	0	0.5
sw	ken	2	6	0	0	0.5
fal	ken	2	6	0	0	0.5
ea	ken	2	6	0	0	0.5
Ice	ken	2	6	0	0	0.5
cic	ken	2	6	0	0	0.5
Dok	ken	2	6	0	0	0.5
rhea	ken	2	6	3e-04	0	0.5
Glycogenin	ken	2	6	0	0	0.5
cin	ken	2	6	9e-04	0	0.5
chp	ken	2	6	0	0	0.5
Dlic2	ken	2	6	3e-04	0	0.5
Pk92B	ken	2	6	0	0	0.5
Pak	ken	2	6	0	0	0.5
Lim1	ken	2	6	0	0	0.5
CG34450	ken	2	6	2e-04	0	0.5
Su.H.	ken	2	6	7e-04	0	0.5
CG12301	ken	2	6	0	0	0.5
lilli	ken	2	6	1e-04	0	0.5
toe	ken	2	6	1e-04	0	0.5
qkr58E.3	ken	2	6	0	0	0.5
up	ken	2	6	1e-04	0	0.5
hep	ken	2	6	0	0	0.5
Dap160	ken	2	6	0	0	0.5
