Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	kis	2	6	0	0	0.5
emp	kis	2	6	0	0	0.5
CG2678	kis	2	6	0	0	0.5
crc	kis	2	6	0	0	0.5
pros	kis	2	6	3e-04	0	0.5
neur	kis	2	6	0	0	0.5
Rab5	kis	2	6	2e-04	0	0.5
Rab7	kis	2	6	5e-04	0	0.5
Mmp2	kis	2	6	1e-04	0	0.5
W	kis	2	6	0	0	0.5
bowl	kis	2	6	3e-04	0	0.5
fd59A	kis	2	6	4e-04	0	0.5
e	kis	2	6	0	0	0.5
ben	kis	2	6	0	0	0.5
rdo	kis	2	6	4e-04	0	0.5
lin	kis	2	6	0	0	0.5
tra	kis	2	6	4e-04	0	0.5
tra2	kis	2	6	0	0	0.5
cathD	kis	2	6	0	0	0.5
d	kis	2	6	0	0	0.5
lva	kis	2	6	0	0	0.5
pbl	kis	2	6	0	0	0.5
CG33205	kis	2	6	0	0	0.5
da	kis	2	6	0	0	0.5
cactin	kis	2	6	1e-04	0	0.5
hpo	kis	2	6	0	0	0.5
Sema.2a	kis	2	6	0	0	0.5
Eip74EF	kis	2	6	6e-04	0	0.5
eg	kis	2	6	0	0	0.5
Arc42	kis	2	6	0	0	0.5
toy	kis	2	6	0	0	0.5
Galpha73B	kis	2	6	6e-04	0	0.5
RhoGAPp190	kis	2	6	0	0	0.5
MED11	kis	2	6	0	0	0.5
cher	kis	2	6	0	0	0.5
BicD	kis	2	6	0	0	0.5
MYPT.75D	kis	2	6	0.7266	0.99835	0.5
mus304	kis	2	6	0.0012	0	0.5
CdsA	kis	2	6	0	0	0.5
btl	kis	2	6	1e-04	0	0.5
Cyt.c.d	kis	2	6	1e-04	0	0.5
tok	kis	2	6	1e-04	0	0.5
ttk	kis	2	6	0	0	0.5
tamo	kis	2	6	0	0	0.5
CG6416	kis	2	6	0	0	0.5
flfl	kis	2	6	3e-04	0	0.5
Pvr	kis	2	6	0	0	0.5
kay	kis	2	6	0	0	0.5
Jra	kis	2	6	6e-04	0	0.5
msk	kis	2	6	7e-04	0	0.5
tll	kis	2	6	0	0	0.5
Tm1	kis	2	6	0	0	0.5
srp	kis	2	6	2e-04	0	0.5
Btk29A	kis	2	6	2e-04	0	0.5
fred	kis	2	6	0	0	0.5
Src64B	kis	2	6	2e-04	0	0.5
Mmp1	kis	2	6	0	0	0.5
sll	kis	2	6	1e-04	0	0.5
Hmgs	kis	2	6	0	0	0.5
caps	kis	2	6	0	0	0.5
Su.var.2.10	kis	2	6	8e-04	0	0.5
CycB	kis	2	6	2e-04	0	0.5
spir	kis	2	6	0	0	0.5
spn.A	kis	2	6	0	0	0.5
Ptpmeg	kis	2	6	0	0	0.5
qua	kis	2	6	0	0	0.5
msn	kis	2	6	4e-04	0	0.5
ena	kis	2	6	1e-04	0	0.5
spen	kis	2	6	2e-04	0	0.5
emc	kis	2	6	0	0	0.5
tsh	kis	2	6	6e-04	0	0.5
Dat	kis	2	6	0	0	0.5
Lac	kis	2	6	0	0	0.5
dup	kis	2	6	7e-04	0	0.5
CG3075	kis	2	6	0	0	0.5
Akap200	kis	2	6	0	0	0.5
CG18369	kis	2	6	2e-04	0	0.5
bnl	kis	2	6	7e-04	0	0.5
sec23	kis	2	6	0	0	0.5
Pde8	kis	2	6	6e-04	0	0.5
Arp66B	kis	2	6	0	0	0.5
cos	kis	2	6	0	0	0.5
Borr	kis	2	6	7e-04	0	0.5
X140up	kis	2	6	2e-04	0	0.5
Dhc64C	kis	2	6	0	0	0.5
Not1	kis	2	6	6e-04	0	0.5
CG9520	kis	2	6	0	0	0.5
bib	kis	2	6	1e-04	0	0.5
mib1	kis	2	6	0	0	0.5
cas	kis	2	6	5e-04	0	0.5
Abi	kis	2	6	5e-04	0	0.5
betaTub56D	kis	2	6	0	0	0.5
nej	kis	2	6	0	0	0.5
dlg1	kis	2	6	0	0	0.5
Lcp65Ag1	kis	2	6	0	0	0.5
Es2	kis	2	6	0	0	0.5
MED24	kis	2	6	0	0	0.5
Vhl	kis	2	6	1e-04	0	0.5
tral	kis	2	6	0	0	0.5
sns	kis	2	6	0	0	0.5
mbl	kis	2	6	0	0	0.5
sav	kis	2	6	4e-04	0	0.5
lola	kis	2	6	0	0	0.5
robo	kis	2	6	0	0	0.5
CG32486	kis	2	6	1e-04	0	0.5
santa.maria	kis	2	6	0	0	0.5
stumps	kis	2	6	0	0	0.5
abd.A	kis	2	6	0	0	0.5
dock	kis	2	6	0	0	0.5
Lar	kis	2	6	0	0	0.5
l.1.G0289	kis	2	6	0.001	0	0.5
Abl	kis	2	6	1e-04	0	0.5
Syb	kis	2	6	0	0	0.5
dome	kis	2	6	0	0	0.5
ofs	kis	2	6	2e-04	0	0.5
MED4	kis	2	6	0	0	0.5
scrib	kis	2	6	0	0	0.5
siz	kis	2	6	0	0	0.5
cbx	kis	2	6	1e-04	0	0.5
dsx	kis	2	6	3e-04	0	0.5
Sb	kis	2	6	0	0	0.5
sax	kis	2	6	0	0	0.5
foxo	kis	2	6	0	0	0.5
Cyp1	kis	2	6	1e-04	0	0.5
brm	kis	2	6	0	0	0.5
rad50	kis	2	6	2e-04	0	0.5
chico	kis	2	6	0	0	0.5
cp309	kis	2	6	0	0	0.5
hdc	kis	2	6	0	0	0.5
Axn	kis	2	6	5e-04	0	0.5
Apc2	kis	2	6	1e-04	0	0.5
PhKgamma	kis	2	6	0	0	0.5
eya	kis	2	6	0	0	0.5
sktl	kis	2	6	0	0	0.5
sqd	kis	2	6	0	0	0.5
Akt1	kis	2	6	0	0	0.5
scyl	kis	2	6	2e-04	0	0.5
cnk	kis	2	6	9e-04	0	0.5
CG8149	kis	2	6	0	0	0.5
CG34379	kis	2	6	0	0	0.5
Yp1	kis	2	6	0	0	0.5
yrt	kis	2	6	1e-04	0	0.5
bap	kis	2	6	1e-04	0	0.5
tud	kis	2	6	0	0	0.5
ct	kis	2	6	0	0	0.5
tup	kis	2	6	1e-04	0	0.5
G.ialpha65A	kis	2	6	0	0	0.5
knrl	kis	2	6	0	0	0.5
Pkn	kis	2	6	0	0	0.5
Sry.delta	kis	2	6	0	0	0.5
Alh	kis	2	6	2e-04	0	0.5
pnut	kis	2	6	2e-04	0	0.5
phyl	kis	2	6	0	0	0.5
CG17739	kis	2	6	0	0	0.5
B4	kis	2	6	0	0	0.5
CG2681	kis	2	6	0	0	0.5
tow	kis	2	6	0	0	0.5
hkl	kis	2	6	0	0	0.5
sina	kis	2	6	0	0	0.5
ry	kis	2	6	0	0	0.5
rux	kis	2	6	0	0	0.5
boss	kis	2	6	9e-04	0	0.5
Mkp3	kis	2	6	2e-04	0	0.5
inaC	kis	2	6	6e-04	0	0.5
sno	kis	2	6	0	0	0.5
jagn	kis	2	6	4e-04	0	0.5
dpn	kis	2	6	0	0	0.5
wrapper	kis	2	6	0	0	0.5
Ca.alpha1D	kis	2	6	0	0	0.5
E2f	kis	2	6	0	0	0.5
Dp	kis	2	6	5e-04	0	0.5
l.2.efl	kis	2	6	0	0	0.5
cnc	kis	2	6	0	0	0.5
Atg5	kis	2	6	0	0	0.5
