Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	knrl	2	6	3e-04	0	0.5
emp	knrl	2	6	9e-04	0	0.5
CG2678	knrl	2	6	1e-04	0	0.5
crc	knrl	2	6	1e-04	0	0.5
pros	knrl	2	6	1e-04	0	0.5
neur	knrl	2	6	0	0	0.5
Rab5	knrl	2	6	4e-04	0	0.5
Rab7	knrl	2	6	2e-04	0	0.5
Mmp2	knrl	2	6	5e-04	0	0.5
W	knrl	2	6	5e-04	0	0.5
bowl	knrl	2	6	0.0017	0	0.5
fd59A	knrl	2	6	3e-04	0	0.5
e	knrl	2	6	5e-04	0	0.5
ben	knrl	2	6	4e-04	0	0.5
rdo	knrl	2	6	0	0	0.5
lin	knrl	2	6	1e-04	0	0.5
tra	knrl	2	6	2e-04	0	0.5
tra2	knrl	2	6	7e-04	0	0.5
cathD	knrl	2	6	0	0	0.5
d	knrl	2	6	1e-04	0	0.5
lva	knrl	2	6	7e-04	0	0.5
pbl	knrl	2	6	1e-04	0	0.5
CG33205	knrl	2	6	0	0	0.5
da	knrl	2	6	1e-04	0	0.5
cactin	knrl	2	6	8e-04	0	0.5
hpo	knrl	2	6	0	0	0.5
Sema.2a	knrl	2	6	2e-04	0	0.5
Eip74EF	knrl	2	6	1e-04	0	0.5
eg	knrl	2	6	1e-04	0	0.5
Arc42	knrl	2	6	0.0016	0	0.5
toy	knrl	2	6	0	0	0.5
Galpha73B	knrl	2	6	0.0046	0	0.5
RhoGAPp190	knrl	2	6	6e-04	0	0.5
MED11	knrl	2	6	1e-04	0	0.5
cher	knrl	2	6	0	0	0.5
BicD	knrl	2	6	4e-04	0	0.5
MYPT.75D	knrl	2	6	0	0	0.5
mus304	knrl	2	6	0.0016	0	0.5
CdsA	knrl	2	6	2e-04	0	0.5
btl	knrl	2	6	2e-04	0	0.5
Cyt.c.d	knrl	2	6	2e-04	0	0.5
tok	knrl	2	6	3e-04	0	0.5
ttk	knrl	2	6	0.0012	0	0.5
tamo	knrl	2	6	1e-04	0	0.5
CG6416	knrl	2	6	3e-04	0	0.5
flfl	knrl	2	6	1e-04	0	0.5
Pvr	knrl	2	6	0.0011	0	0.5
kay	knrl	2	6	1e-04	0	0.5
Jra	knrl	2	6	0	0	0.5
msk	knrl	2	6	5e-04	0	0.5
tll	knrl	2	6	0	0	0.5
Tm1	knrl	2	6	7e-04	0	0.5
srp	knrl	2	6	7e-04	0	0.5
Btk29A	knrl	2	6	1e-04	0	0.5
fred	knrl	2	6	0.001	0	0.5
Src64B	knrl	2	6	3e-04	0	0.5
Mmp1	knrl	2	6	2e-04	0	0.5
sll	knrl	2	6	0.0018	0	0.5
Hmgs	knrl	2	6	1e-04	0	0.5
caps	knrl	2	6	1e-04	0	0.5
Su.var.2.10	knrl	2	6	2e-04	0	0.5
CycB	knrl	2	6	4e-04	0	0.5
spir	knrl	2	6	1e-04	0	0.5
spn.A	knrl	2	6	9e-04	0	0.5
Ptpmeg	knrl	2	6	1e-04	0	0.5
qua	knrl	2	6	3e-04	0	0.5
msn	knrl	2	6	1e-04	0	0.5
ena	knrl	2	6	8e-04	0	0.5
spen	knrl	2	6	2e-04	0	0.5
emc	knrl	2	6	4e-04	0	0.5
tsh	knrl	2	6	0	0	0.5
Dat	knrl	2	6	6e-04	0	0.5
Lac	knrl	2	6	0	0	0.5
dup	knrl	2	6	1e-04	0	0.5
CG3075	knrl	2	6	1e-04	0	0.5
Akap200	knrl	2	6	3e-04	0	0.5
CG18369	knrl	2	6	0	0	0.5
bnl	knrl	2	6	3e-04	0	0.5
sec23	knrl	2	6	2e-04	0	0.5
Pde8	knrl	2	6	2e-04	0	0.5
Arp66B	knrl	2	6	0	0	0.5
cos	knrl	2	6	8e-04	0	0.5
Borr	knrl	2	6	4e-04	0	0.5
X140up	knrl	2	6	1e-04	0	0.5
Dhc64C	knrl	2	6	0.0021	0	0.5
Not1	knrl	2	6	1e-04	0	0.5
CG9520	knrl	2	6	8e-04	0	0.5
bib	knrl	2	6	0	0	0.5
mib1	knrl	2	6	1e-04	0	0.5
cas	knrl	2	6	1e-04	0	0.5
Abi	knrl	2	6	7e-04	0	0.5
betaTub56D	knrl	2	6	5e-04	0	0.5
nej	knrl	2	6	6e-04	0	0.5
dlg1	knrl	2	6	0	0	0.5
Lcp65Ag1	knrl	2	6	6e-04	0	0.5
Es2	knrl	2	6	1e-04	0	0.5
