Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	l.1.G0289	2	6	0.0025	0	0.5
emp	l.1.G0289	2	6	1e-04	0	0.5
CG2678	l.1.G0289	2	6	4e-04	0	0.5
crc	l.1.G0289	2	6	7e-04	0	0.5
pros	l.1.G0289	2	6	1e-04	0	0.5
neur	l.1.G0289	2	6	0.0011	0	0.5
Rab5	l.1.G0289	2	6	2e-04	0	0.5
Rab7	l.1.G0289	2	6	9e-04	0	0.5
Mmp2	l.1.G0289	2	6	9e-04	0	0.5
W	l.1.G0289	2	6	0.0018	0	0.5
bowl	l.1.G0289	2	6	0.0013	0	0.5
fd59A	l.1.G0289	2	6	4e-04	0	0.5
e	l.1.G0289	2	6	6e-04	0	0.5
ben	l.1.G0289	2	6	3e-04	0	0.5
rdo	l.1.G0289	2	6	0	0	0.5
lin	l.1.G0289	2	6	0	0	0.5
tra	l.1.G0289	2	6	0.0024	0	0.5
tra2	l.1.G0289	2	6	0.0014	0	0.5
cathD	l.1.G0289	2	6	5e-04	0	0.5
d	l.1.G0289	2	6	0.0015	0	0.5
lva	l.1.G0289	2	6	2e-04	0	0.5
pbl	l.1.G0289	2	6	6e-04	0	0.5
CG33205	l.1.G0289	2	6	0.0012	0	0.5
da	l.1.G0289	2	6	7e-04	0	0.5
cactin	l.1.G0289	2	6	4e-04	0	0.5
hpo	l.1.G0289	2	6	1e-04	0	0.5
Sema.2a	l.1.G0289	2	6	6e-04	0	0.5
Eip74EF	l.1.G0289	2	6	2e-04	0	0.5
eg	l.1.G0289	2	6	1e-04	0	0.5
Arc42	l.1.G0289	2	6	0.001	0	0.5
toy	l.1.G0289	2	6	7e-04	0	0.5
Galpha73B	l.1.G0289	2	6	5e-04	0	0.5
RhoGAPp190	l.1.G0289	2	6	0.0026	0	0.5
MED11	l.1.G0289	2	6	1e-04	0	0.5
cher	l.1.G0289	2	6	0.0041	0	0.5
BicD	l.1.G0289	2	6	9e-04	0	0.5
MYPT.75D	l.1.G0289	2	6	1e-04	0	0.5
mus304	l.1.G0289	2	6	0.0011	0	0.5
CdsA	l.1.G0289	2	6	3e-04	0	0.5
btl	l.1.G0289	2	6	4e-04	0	0.5
Cyt.c.d	l.1.G0289	2	6	5e-04	0	0.5
tok	l.1.G0289	2	6	1e-04	0	0.5
ttk	l.1.G0289	2	6	9e-04	0	0.5
tamo	l.1.G0289	2	6	9e-04	0	0.5
CG6416	l.1.G0289	2	6	0.0016	0	0.5
flfl	l.1.G0289	2	6	2e-04	0	0.5
Pvr	l.1.G0289	2	6	2e-04	0	0.5
kay	l.1.G0289	2	6	0.002	0	0.5
Jra	l.1.G0289	2	6	0.0052	0	0.5
msk	l.1.G0289	2	6	7e-04	0	0.5
tll	l.1.G0289	2	6	3e-04	0	0.5
Tm1	l.1.G0289	2	6	0	0	0.5
srp	l.1.G0289	2	6	2e-04	0	0.5
Btk29A	l.1.G0289	2	6	0.0011	0	0.5
fred	l.1.G0289	2	6	0.0078	0	0.5
Src64B	l.1.G0289	2	6	7e-04	0	0.5
Mmp1	l.1.G0289	2	6	0	0	0.5
sll	l.1.G0289	2	6	4e-04	0	0.5
Hmgs	l.1.G0289	2	6	2e-04	0	0.5
caps	l.1.G0289	2	6	2e-04	0	0.5
Su.var.2.10	l.1.G0289	2	6	4e-04	0	0.5
CycB	l.1.G0289	2	6	3e-04	0	0.5
spir	l.1.G0289	2	6	8e-04	0	0.5
spn.A	l.1.G0289	2	6	0	0	0.5
Ptpmeg	l.1.G0289	2	6	0.0087	0	0.5
qua	l.1.G0289	2	6	1e-04	0	0.5
msn	l.1.G0289	2	6	0	0	0.5
ena	l.1.G0289	2	6	6e-04	0	0.5
spen	l.1.G0289	2	6	2e-04	0	0.5
emc	l.1.G0289	2	6	0	0	0.5
tsh	l.1.G0289	2	6	2e-04	0	0.5
Dat	l.1.G0289	2	6	1e-04	0	0.5
Lac	l.1.G0289	2	6	4e-04	0	0.5
dup	l.1.G0289	2	6	5e-04	0	0.5
CG3075	l.1.G0289	2	6	0	0	0.5
Akap200	l.1.G0289	2	6	4e-04	0	0.5
CG18369	l.1.G0289	2	6	5e-04	0	0.5
bnl	l.1.G0289	2	6	0.0027	0	0.5
sec23	l.1.G0289	2	6	3e-04	0	0.5
Pde8	l.1.G0289	2	6	3e-04	0	0.5
Arp66B	l.1.G0289	2	6	7e-04	0	0.5
cos	l.1.G0289	2	6	0	0	0.5
Borr	l.1.G0289	2	6	0	0	0.5
X140up	l.1.G0289	2	6	0.001	0	0.5
Dhc64C	l.1.G0289	2	6	2e-04	0	0.5
Not1	l.1.G0289	2	6	0	0	0.5
CG9520	l.1.G0289	2	6	6e-04	0	0.5
bib	l.1.G0289	2	6	2e-04	0	0.5
mib1	l.1.G0289	2	6	4e-04	0	0.5
cas	l.1.G0289	2	6	6e-04	0	0.5
Abi	l.1.G0289	2	6	9e-04	0	0.5
betaTub56D	l.1.G0289	2	6	4e-04	0	0.5
nej	l.1.G0289	2	6	0.0011	0	0.5
dlg1	l.1.G0289	2	6	4e-04	0	0.5
Lcp65Ag1	l.1.G0289	2	6	0.0056	0	0.5
Es2	l.1.G0289	2	6	4e-04	0	0.5
MED24	l.1.G0289	2	6	8e-04	0	0.5
Vhl	l.1.G0289	2	6	5e-04	0	0.5
tral	l.1.G0289	2	6	2e-04	0	0.5
sns	l.1.G0289	2	6	1e-04	0	0.5
mbl	l.1.G0289	2	6	0	0	0.5
sav	l.1.G0289	2	6	2e-04	0	0.5
lola	l.1.G0289	2	6	4e-04	0	0.5
robo	l.1.G0289	2	6	2e-04	0	0.5
CG32486	l.1.G0289	2	6	2e-04	0	0.5
santa.maria	l.1.G0289	2	6	3e-04	0	0.5
stumps	l.1.G0289	2	6	3e-04	0	0.5
abd.A	l.1.G0289	2	6	7e-04	0	0.5
dock	l.1.G0289	2	6	6e-04	0	0.5
Lar	l.1.G0289	2	6	4e-04	0	0.5
l.1.G0289	l.1.G0289	2	6	3e-04	0	0.5
Abl	l.1.G0289	2	6	0.0011	0	0.5
Syb	l.1.G0289	2	6	3e-04	0	0.5
dome	l.1.G0289	2	6	2e-04	0	0.5
ofs	l.1.G0289	2	6	0	0	0.5
MED4	l.1.G0289	2	6	5e-04	0	0.5
scrib	l.1.G0289	2	6	1e-04	0	0.5
siz	l.1.G0289	2	6	1e-04	0	0.5
cbx	l.1.G0289	2	6	4e-04	0	0.5
dsx	l.1.G0289	2	6	2e-04	0	0.5
Sb	l.1.G0289	2	6	0.0029	0	0.5
sax	l.1.G0289	2	6	2e-04	0	0.5
foxo	l.1.G0289	2	6	2e-04	0	0.5
Cyp1	l.1.G0289	2	6	1e-04	0	0.5
brm	l.1.G0289	2	6	0.0094	0	0.5
rad50	l.1.G0289	2	6	9e-04	0	0.5
chico	l.1.G0289	2	6	7e-04	0	0.5
cp309	l.1.G0289	2	6	1e-04	0	0.5
hdc	l.1.G0289	2	6	1e-04	0	0.5
Axn	l.1.G0289	2	6	0.001	0	0.5
Apc2	l.1.G0289	2	6	8e-04	0	0.5
PhKgamma	l.1.G0289	2	6	2e-04	0	0.5
