Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	l.2.efl	2	6	1e-04	0	0.5
emp	l.2.efl	2	6	1e-04	0	0.5
CG2678	l.2.efl	2	6	0	0	0.5
crc	l.2.efl	2	6	2e-04	0	0.5
pros	l.2.efl	2	6	0	0	0.5
neur	l.2.efl	2	6	0	0	0.5
Rab5	l.2.efl	2	6	0	0	0.5
Rab7	l.2.efl	2	6	2e-04	0	0.5
Mmp2	l.2.efl	2	6	0	0	0.5
W	l.2.efl	2	6	1e-04	0	0.5
bowl	l.2.efl	2	6	0	0	0.5
fd59A	l.2.efl	2	6	0	0	0.5
e	l.2.efl	2	6	0	0	0.5
ben	l.2.efl	2	6	0	0	0.5
rdo	l.2.efl	2	6	9e-04	0	0.5
lin	l.2.efl	2	6	5e-04	0	0.5
tra	l.2.efl	2	6	2e-04	0	0.5
tra2	l.2.efl	2	6	0	0	0.5
cathD	l.2.efl	2	6	0	0	0.5
d	l.2.efl	2	6	0.0012	0	0.5
lva	l.2.efl	2	6	0	0	0.5
pbl	l.2.efl	2	6	2e-04	0	0.5
CG33205	l.2.efl	2	6	0	0	0.5
da	l.2.efl	2	6	0	0	0.5
cactin	l.2.efl	2	6	0	0	0.5
hpo	l.2.efl	2	6	0	0	0.5
Sema.2a	l.2.efl	2	6	0	0	0.5
Eip74EF	l.2.efl	2	6	0	0	0.5
eg	l.2.efl	2	6	0	0	0.5
Arc42	l.2.efl	2	6	0	0	0.5
toy	l.2.efl	2	6	0	0	0.5
Galpha73B	l.2.efl	2	6	6e-04	0	0.5
RhoGAPp190	l.2.efl	2	6	0	0	0.5
MED11	l.2.efl	2	6	0	0	0.5
cher	l.2.efl	2	6	0	0	0.5
BicD	l.2.efl	2	6	0	0	0.5
MYPT.75D	l.2.efl	2	6	0	0	0.5
mus304	l.2.efl	2	6	0	0	0.5
CdsA	l.2.efl	2	6	0	0	0.5
btl	l.2.efl	2	6	0	0	0.5
Cyt.c.d	l.2.efl	2	6	0	0	0.5
tok	l.2.efl	2	6	6e-04	0	0.5
ttk	l.2.efl	2	6	3e-04	0	0.5
tamo	l.2.efl	2	6	0	0	0.5
CG6416	l.2.efl	2	6	0	0	0.5
flfl	l.2.efl	2	6	0	0	0.5
Pvr	l.2.efl	2	6	1e-04	0	0.5
kay	l.2.efl	2	6	0	0	0.5
Jra	l.2.efl	2	6	0	0	0.5
msk	l.2.efl	2	6	3e-04	0	0.5
tll	l.2.efl	2	6	0.0014	0	0.5
Tm1	l.2.efl	2	6	0	0	0.5
srp	l.2.efl	2	6	0	0	0.5
Btk29A	l.2.efl	2	6	0	0	0.5
fred	l.2.efl	2	6	5e-04	0	0.5
Src64B	l.2.efl	2	6	0	0	0.5
Mmp1	l.2.efl	2	6	0	0	0.5
sll	l.2.efl	2	6	2e-04	0	0.5
Hmgs	l.2.efl	2	6	1e-04	0	0.5
caps	l.2.efl	2	6	1e-04	0	0.5
Su.var.2.10	l.2.efl	2	6	0	0	0.5
CycB	l.2.efl	2	6	0	0	0.5
spir	l.2.efl	2	6	0	0	0.5
spn.A	l.2.efl	2	6	0	0	0.5
Ptpmeg	l.2.efl	2	6	1e-04	0	0.5
qua	l.2.efl	2	6	0	0	0.5
msn	l.2.efl	2	6	0	0	0.5
ena	l.2.efl	2	6	0	0	0.5
spen	l.2.efl	2	6	0	0	0.5
emc	l.2.efl	2	6	0	0	0.5
