Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	lilli	2	6	7e-04	0	0.5
emp	lilli	2	6	2e-04	0	0.5
CG2678	lilli	2	6	0.0012	0	0.5
crc	lilli	2	6	4e-04	0	0.5
pros	lilli	2	6	0.0015	0	0.5
neur	lilli	2	6	1e-04	0	0.5
Rab5	lilli	2	6	0.0011	0	0.5
Rab7	lilli	2	6	1e-04	0	0.5
Mmp2	lilli	2	6	4e-04	0	0.5
W	lilli	2	6	6e-04	0	0.5
bowl	lilli	2	6	0.0137	0	0.5
fd59A	lilli	2	6	5e-04	0	0.5
e	lilli	2	6	4e-04	0	0.5
ben	lilli	2	6	6e-04	0	0.5
rdo	lilli	2	6	3e-04	0	0.5
lin	lilli	2	6	0.001	0	0.5
tra	lilli	2	6	0.001	0	0.5
tra2	lilli	2	6	3e-04	0	0.5
cathD	lilli	2	6	0.0015	0	0.5
d	lilli	2	6	8e-04	0	0.5
lva	lilli	2	6	9e-04	0	0.5
pbl	lilli	2	6	0	0	0.5
CG33205	lilli	2	6	2e-04	0	0.5
da	lilli	2	6	1e-04	0	0.5
cactin	lilli	2	6	3e-04	0	0.5
hpo	lilli	2	6	7e-04	0	0.5
Sema.2a	lilli	2	6	5e-04	0	0.5
Eip74EF	lilli	2	6	5e-04	0	0.5
eg	lilli	2	6	0.0013	0	0.5
Arc42	lilli	2	6	0.0011	0	0.5
toy	lilli	2	6	2e-04	0	0.5
Galpha73B	lilli	2	6	0.001	0	0.5
RhoGAPp190	lilli	2	6	2e-04	0	0.5
MED11	lilli	2	6	4e-04	0	0.5
cher	lilli	2	6	6e-04	0	0.5
BicD	lilli	2	6	0.0011	0	0.5
MYPT.75D	lilli	2	6	4e-04	0	0.5
mus304	lilli	2	6	0.0023	0	0.5
CdsA	lilli	2	6	0.0153	0	0.5
btl	lilli	2	6	6e-04	0	0.5
Cyt.c.d	lilli	2	6	2e-04	0	0.5
tok	lilli	2	6	3e-04	0	0.5
ttk	lilli	2	6	0.001	0	0.5
tamo	lilli	2	6	2e-04	0	0.5
CG6416	lilli	2	6	7e-04	0	0.5
flfl	lilli	2	6	6e-04	0	0.5
Pvr	lilli	2	6	0	0	0.5
kay	lilli	2	6	1e-04	0	0.5
Jra	lilli	2	6	0	0	0.5
msk	lilli	2	6	0.0021	0	0.5
tll	lilli	2	6	9e-04	0	0.5
Tm1	lilli	2	6	9e-04	0	0.5
srp	lilli	2	6	3e-04	0	0.5
Btk29A	lilli	2	6	0	0	0.5
fred	lilli	2	6	0.0032	0	0.5
Src64B	lilli	2	6	9e-04	0	0.5
Mmp1	lilli	2	6	1e-04	0	0.5
sll	lilli	2	6	0.0026	0	0.5
Hmgs	lilli	2	6	0.0013	0	0.5
caps	lilli	2	6	8e-04	0	0.5
Su.var.2.10	lilli	2	6	0.0015	0	0.5
CycB	lilli	2	6	0	0	0.5
spir	lilli	2	6	5e-04	0	0.5
spn.A	lilli	2	6	2e-04	0	0.5
Ptpmeg	lilli	2	6	5e-04	0	0.5
qua	lilli	2	6	0.0118	0	0.5
msn	lilli	2	6	8e-04	0	0.5
ena	lilli	2	6	9e-04	0	0.5
spen	lilli	2	6	0.0013	0	0.5
emc	lilli	2	6	0.0077	0	0.5
tsh	lilli	2	6	0.006	0	0.5
Dat	lilli	2	6	9e-04	0	0.5
Lac	lilli	2	6	0.0017	0	0.5
dup	lilli	2	6	1e-04	0	0.5
CG3075	lilli	2	6	1e-04	0	0.5
Akap200	lilli	2	6	0.0011	0	0.5
CG18369	lilli	2	6	6e-04	0	0.5
bnl	lilli	2	6	0.001	0	0.5
sec23	lilli	2	6	1e-04	0	0.5
Pde8	lilli	2	6	0.0013	0	0.5
Arp66B	lilli	2	6	6e-04	0	0.5
cos	lilli	2	6	3e-04	0	0.5
Borr	lilli	2	6	0.0012	0	0.5
X140up	lilli	2	6	0.011	0	0.5
Dhc64C	lilli	2	6	0.0017	0	0.5
Not1	lilli	2	6	7e-04	0	0.5
CG9520	lilli	2	6	0.0016	0	0.5
bib	lilli	2	6	0.0058	0	0.5
mib1	lilli	2	6	0.0023	0	0.5
cas	lilli	2	6	0.0012	0	0.5
Abi	lilli	2	6	0.0014	0	0.5
betaTub56D	lilli	2	6	4e-04	0	0.5
nej	lilli	2	6	4e-04	0	0.5
dlg1	lilli	2	6	3e-04	0	0.5
Lcp65Ag1	lilli	2	6	5e-04	0	0.5
Es2	lilli	2	6	5e-04	0	0.5
MED24	lilli	2	6	0.001	0	0.5
Vhl	lilli	2	6	0.0017	0	0.5
tral	lilli	2	6	0.0011	0	0.5
sns	lilli	2	6	1e-04	0	0.5
mbl	lilli	2	6	5e-04	0	0.5
sav	lilli	2	6	1e-04	0	0.5
lola	lilli	2	6	6e-04	0	0.5
robo	lilli	2	6	5e-04	0	0.5
CG32486	lilli	2	6	2e-04	0	0.5
santa.maria	lilli	2	6	9e-04	0	0.5
stumps	lilli	2	6	9e-04	0	0.5
abd.A	lilli	2	6	0.0018	0	0.5
dock	lilli	2	6	6e-04	0	0.5
Lar	lilli	2	6	0	0	0.5
l.1.G0289	lilli	2	6	8e-04	0	0.5
Abl	lilli	2	6	0	0	0.5
Syb	lilli	2	6	8e-04	0	0.5
dome	lilli	2	6	3e-04	0	0.5
ofs	lilli	2	6	3e-04	0	0.5
MED4	lilli	2	6	0.0028	0	0.5
scrib	lilli	2	6	0.0011	0	0.5
siz	lilli	2	6	0.0023	0	0.5
cbx	lilli	2	6	0.0048	0	0.5
dsx	lilli	2	6	6e-04	0	0.5
Sb	lilli	2	6	0	0	0.5
sax	lilli	2	6	3e-04	0	0.5
foxo	lilli	2	6	0.0011	0	0.5
Cyp1	lilli	2	6	0.0061	0	0.5
brm	lilli	2	6	0.0014	0	0.5
rad50	lilli	2	6	2e-04	0	0.5
chico	lilli	2	6	6e-04	0	0.5
cp309	lilli	2	6	1e-04	0	0.5
hdc	lilli	2	6	3e-04	0	0.5
Axn	lilli	2	6	4e-04	0	0.5
Apc2	lilli	2	6	7e-04	0	0.5
PhKgamma	lilli	2	6	0	0	0.5
eya	lilli	2	6	0	0	0.5
sktl	lilli	2	6	0.003	0	0.5
sqd	lilli	2	6	7e-04	0	0.5
Akt1	lilli	2	6	0.002	0	0.5
scyl	lilli	2	6	0.0128	0	0.5
cnk	lilli	2	6	0.001	0	0.5
CG8149	lilli	2	6	1e-04	0	0.5
CG34379	lilli	2	6	0.0025	0	0.5
Yp1	lilli	2	6	1e-04	0	0.5
yrt	lilli	2	6	3e-04	0	0.5
bap	lilli	2	6	3e-04	0	0.5
tud	lilli	2	6	3e-04	0	0.5
ct	lilli	2	6	8e-04	0	0.5
tup	lilli	2	6	0.0089	0	0.5
G.ialpha65A	lilli	2	6	0.0073	0	0.5
knrl	lilli	2	6	0.002	0	0.5
Pkn	lilli	2	6	0.0021	0	0.5
Sry.delta	lilli	2	6	8e-04	0	0.5
Alh	lilli	2	6	0.002	0	0.5
pnut	lilli	2	6	0.0015	0	0.5
phyl	lilli	2	6	4e-04	0	0.5
CG17739	lilli	2	6	4e-04	0	0.5
B4	lilli	2	6	1e-04	0	0.5
CG2681	lilli	2	6	0.001	0	0.5
tow	lilli	2	6	6e-04	0	0.5
hkl	lilli	2	6	1e-04	0	0.5
sina	lilli	2	6	6e-04	0	0.5
ry	lilli	2	6	0.0012	0	0.5
rux	lilli	2	6	3e-04	0	0.5
boss	lilli	2	6	5e-04	0	0.5
Mkp3	lilli	2	6	3e-04	0	0.5
inaC	lilli	2	6	3e-04	0	0.5
sno	lilli	2	6	3e-04	0	0.5
jagn	lilli	2	6	4e-04	0	0.5
dpn	lilli	2	6	3e-04	0	0.5
wrapper	lilli	2	6	0.001	0	0.5
Ca.alpha1D	lilli	2	6	7e-04	0	0.5
E2f	lilli	2	6	1e-04	0	0.5
Dp	lilli	2	6	4e-04	0	0.5
l.2.efl	lilli	2	6	4e-04	0	0.5
cnc	lilli	2	6	0	0	0.5
Atg5	lilli	2	6	0	0	0.5
acj6	lilli	2	6	2e-04	0	0.5
Trl	lilli	2	6	3e-04	0	0.5
d4	lilli	2	6	1e-04	0	0.5
CG16719	lilli	2	6	7e-04	0	0.5
CadN	lilli	2	6	7e-04	0	0.5
gro	lilli	2	6	2e-04	0	0.5
sec13	lilli	2	6	8e-04	0	0.5
klar	lilli	2	6	1e-04	0	0.5
Rack1	lilli	2	6	0.0023	0	0.5
Sobp	lilli	2	6	5e-04	0	0.5
ash1	lilli	2	6	8e-04	0	0.5
inv	lilli	2	6	9e-04	0	0.5
shot	lilli	2	6	2e-04	0	0.5
Oseg1	lilli	2	6	4e-04	0	0.5
Spred	lilli	2	6	3e-04	0	0.5
puc	lilli	2	6	0.0013	0	0.5
Atg6	lilli	2	6	6e-04	0	0.5
CG3829	lilli	2	6	1e-04	0	0.5
sle	lilli	2	6	1e-04	0	0.5
Cka	lilli	2	6	5e-04	0	0.5
form3	lilli	2	6	0.002	0	0.5
Pk61C	lilli	2	6	2e-04	0	0.5
Pcaf	lilli	2	6	3e-04	0	0.5
sbb	lilli	2	6	4e-04	0	0.5
Ef1gamma	lilli	2	6	8e-04	0	0.5
FKBP59	lilli	2	6	0.001	0	0.5
Eip71CD	lilli	2	6	1e-04	0	0.5
xmas.2	lilli	2	6	9e-04	0	0.5
ppan	lilli	2	6	5e-04	0	0.5
Iswi	lilli	2	6	5e-04	0	0.5
ine	lilli	2	6	0	0	0.5
Tina.1	lilli	2	6	6e-04	0	0.5
bon	lilli	2	6	4e-04	0	0.5
pot	lilli	2	6	0.0011	0	0.5
chic	lilli	2	6	0.0013	0	0.5
Hem	lilli	2	6	3e-04	0	0.5
chif	lilli	2	6	2e-04	0	0.5
S6kII	lilli	2	6	0.002	0	0.5
wal	lilli	2	6	0.0015	0	0.5
wls	lilli	2	6	6e-04	0	0.5
Ddx1	lilli	2	6	5e-04	0	0.5
Sulf1	lilli	2	6	0.0014	0	0.5
CG3987	lilli	2	6	6e-04	0	0.5
Abd.B	lilli	2	6	0.0011	0	0.5
Uba1	lilli	2	6	0.0021	0	0.5
bigmax	lilli	2	6	0.0052	0	0.5
NAT1	lilli	2	6	3e-04	0	0.5
wupA	lilli	2	6	7e-04	0	0.5
Vps28	lilli	2	6	8e-04	0	0.5
G.oalpha47A	lilli	2	6	0.0024	0	0.5
G.salpha60A	lilli	2	6	0.001	0	0.5
dsf	lilli	2	6	0.0017	0	0.5
Khc	lilli	2	6	8e-04	0	0.5
CG10641	lilli	2	6	1e-04	0	0.5
Alk	lilli	2	6	0.0011	0	0.5
ey	lilli	2	6	0.0018	0	0.5
noc	lilli	2	6	9e-04	0	0.5
ix	lilli	2	6	2e-04	0	0.5
Optix	lilli	2	6	8e-04	0	0.5
sdt	lilli	2	6	8e-04	0	0.5
Sxl	lilli	2	6	8e-04	0	0.5
rib	lilli	2	6	0.0023	0	0.5
sas	lilli	2	6	4e-04	0	0.5
Scgdelta	lilli	2	6	0.0067	0	0.5
sw	lilli	2	6	4e-04	0	0.5
fal	lilli	2	6	7e-04	0	0.5
ea	lilli	2	6	8e-04	0	0.5
Ice	lilli	2	6	3e-04	0	0.5
cic	lilli	2	6	5e-04	0	0.5
Dok	lilli	2	6	1e-04	0	0.5
rhea	lilli	2	6	2e-04	0	0.5
Glycogenin	lilli	2	6	0.001	0	0.5
cin	lilli	2	6	3e-04	0	0.5
chp	lilli	2	6	0.0014	0	0.5
Dlic2	lilli	2	6	3e-04	0	0.5
Pk92B	lilli	2	6	0	0	0.5
Pak	lilli	2	6	5e-04	0	0.5
Lim1	lilli	2	6	2e-04	0	0.5
CG34450	lilli	2	6	1e-04	0	0.5
Su.H.	lilli	2	6	0.0013	0	0.5
CG12301	lilli	2	6	0.0014	0	0.5
lilli	lilli	2	6	0.002	0	0.5
toe	lilli	2	6	2e-04	0	0.5
qkr58E.3	lilli	2	6	9e-04	0	0.5
up	lilli	2	6	7e-04	0	0.5
hep	lilli	2	6	0.0016	0	0.5
Dap160	lilli	2	6	6e-04	0	0.5
l.2.gd1	lilli	2	6	0.001	0	0.5
hkb	lilli	2	6	5e-04	0	0.5
beta4GalNAcTA	lilli	2	6	4e-04	0	0.5
Mer	lilli	2	6	8e-04	0	0.5
Mtl	lilli	2	6	0.0021	0	0.5
spin	lilli	2	6	0.008	0	0.5
mfas	lilli	2	6	8e-04	0	0.5
frc	lilli	2	6	1e-04	0	0.5
Krn	lilli	2	6	7e-04	0	0.5
mam	lilli	2	6	5e-04	0	0.5
brk	lilli	2	6	4e-04	0	0.5
Ark	lilli	2	6	2e-04	0	0.5
mmy	lilli	2	6	0.0021	0	0.5
mri	lilli	2	6	4e-04	0	0.5
Crk	lilli	2	6	4e-04	0	0.5
ssh	lilli	2	6	0	0	0.5
fs.1.K10	lilli	2	6	3e-04	0	0.5
Psn	lilli	2	6	7e-04	0	0.5
CG9509	lilli	2	6	1e-04	0	0.5
CkIIalpha	lilli	2	6	0.0035	0	0.5
car	lilli	2	6	0.0016	0	0.5
capu	lilli	2	6	4e-04	0	0.5
cact	lilli	2	6	1e-04	0	0.5
Patj	lilli	2	6	0.0032	0	0.5
dpp	lilli	2	6	4e-04	0	0.5
xl6	lilli	2	6	8e-04	0	0.5
dally	lilli	2	6	0	0	0.5
Pi3K92E	lilli	2	6	6e-04	0	0.5
E.bx.	lilli	2	6	1e-04	0	0.5
emb	lilli	2	6	0.0013	0	0.5
CtBP	lilli	2	6	1e-04	0	0.5
Dad	lilli	2	6	4e-04	0	0.5
amx	lilli	2	6	3e-04	0	0.5
Ank2	lilli	2	6	0.0016	0	0.5
CG34417	lilli	2	6	0.0019	0	0.5
scra	lilli	2	6	5e-04	0	0.5
dsd	lilli	2	6	6e-04	0	0.5
Ephrin	lilli	2	6	9e-04	0	0.5
Appl	lilli	2	6	9e-04	0	0.5
sty	lilli	2	6	0.0018	0	0.5
RhoL	lilli	2	6	1e-04	0	0.5
twi	lilli	2	6	6e-04	0	0.5
tub	lilli	2	6	9e-04	0	0.5
ftz.f1	lilli	2	6	0	0	0.5
wg	lilli	2	6	0.0028	0	0.5
LanB1	lilli	2	6	0.0142	0	0.5
LanA	lilli	2	6	0.0017	0	0.5
LanB2	lilli	2	6	4e-04	0	0.5
Chi	lilli	2	6	4e-04	0	0.5
nmo	lilli	2	6	4e-04	0	0.5
ics	lilli	2	6	3e-04	0	0.5
oaf	lilli	2	6	0.001	0	0.5
dco	lilli	2	6	8e-04	0	0.5
Dys	lilli	2	6	7e-04	0	0.5
drm	lilli	2	6	4e-04	0	0.5
RpL30	lilli	2	6	5e-04	0	0.5
how	lilli	2	6	0.001	0	0.5
dei	lilli	2	6	0.0015	0	0.5
CG1244	lilli	2	6	6e-04	0	0.5
Chc	lilli	2	6	3e-04	0	0.5
Orct	lilli	2	6	8e-04	0	0.5
sgl	lilli	2	6	1e-04	0	0.5
CG17221	lilli	2	6	8e-04	0	0.5
gkt	lilli	2	6	8e-04	0	0.5
by	lilli	2	6	0.0012	0	0.5
Pka.C3	lilli	2	6	1e-04	0	0.5
vlc	lilli	2	6	2e-04	0	0.5
fl.2.d	lilli	2	6	0.001	0	0.5
Nf1	lilli	2	6	9e-04	0	0.5
CG6372	lilli	2	6	5e-04	0	0.5
Rho1	lilli	2	6	0.0066	0	0.5
kuk	lilli	2	6	2e-04	0	0.5
l.2.gl	lilli	2	6	1e-04	0	0.5
Ald	lilli	2	6	0.0014	0	0.5
jumu	lilli	2	6	0.0014	0	0.5
glu	lilli	2	6	2e-04	0	0.5
fs.2.ltoPP43	lilli	2	6	2e-04	0	0.5
CycE	lilli	2	6	0.0012	0	0.5
CG8247	lilli	2	6	5e-04	0	0.5
CSN4	lilli	2	6	0.0012	0	0.5
X18w	lilli	2	6	0.0012	0	0.5
bs	lilli	2	6	0.0534	0	0.5
Nrt	lilli	2	6	3e-04	0	0.5
mask	lilli	2	6	7e-04	0	0.5
gl	lilli	2	6	6e-04	0	0.5
Cp1	lilli	2	6	0.001	0	0.5
ex	lilli	2	6	6e-04	0	0.5
jing	lilli	2	6	2e-04	0	0.5
shrb	lilli	2	6	3e-04	0	0.5
raw	lilli	2	6	0.0017	0	0.5
CG9445	lilli	2	6	0.0013	0	0.5
gbb	lilli	2	6	4e-04	0	0.5
Hs2st	lilli	2	6	0.0011	0	0.5
sls	lilli	2	6	6e-04	0	0.5
kis	lilli	2	6	5e-04	0	0.5
run	lilli	2	6	1e-04	0	0.5
pnr	lilli	2	6	0.004	0	0.5
pn	lilli	2	6	0.0011	0	0.5
pnt	lilli	2	6	1e-04	0	0.5
Fmr1	lilli	2	6	0.0014	0	0.5
Myo31DF	lilli	2	6	3e-04	0	0.5
ALiX	lilli	2	6	4e-04	0	0.5
sgg	lilli	2	6	1e-04	0	0.5
mbt	lilli	2	6	8e-04	0	0.5
Sin3A	lilli	2	6	5e-04	0	0.5
dnc	lilli	2	6	2e-04	0	0.5
morgue	lilli	2	6	9e-04	0	0.5
Set2	lilli	2	6	2e-04	0	0.5
exu	lilli	2	6	9e-04	0	0.5
odd	lilli	2	6	4e-04	0	0.5
esc	lilli	2	6	3e-04	0	0.5
dah	lilli	2	6	7e-04	0	0.5
Taf4	lilli	2	6	2e-04	0	0.5
Jafrac2	lilli	2	6	3e-04	0	0.5
Fas3	lilli	2	6	0.017	0	0.5
wus	lilli	2	6	0.0029	0	0.5
Wnt5	lilli	2	6	0.0012	0	0.5
sprt	lilli	2	6	9e-04	0	0.5
jar	lilli	2	6	3e-04	0	0.5
v	lilli	2	6	3e-04	0	0.5
Snap	lilli	2	6	7e-04	0	0.5
vap	lilli	2	6	7e-04	0	0.5
Src42A	lilli	2	6	0.0019	0	0.5
esg	lilli	2	6	0.0136	0	0.5
zfh1	lilli	2	6	0.001	0	0.5
alien	lilli	2	6	4e-04	0	0.5
peb	lilli	2	6	8e-04	0	0.5
par.1	lilli	2	6	8e-04	0	0.5
hyd	lilli	2	6	0.0018	0	0.5
trc	lilli	2	6	3e-04	0	0.5
Eip63E	lilli	2	6	0.0016	0	0.5
ird5	lilli	2	6	0.0015	0	0.5
