Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	lin	2	6	0.0016	0	0.5
emp	lin	2	6	0	0	0.5
CG2678	lin	2	6	5e-04	0	0.5
crc	lin	2	6	0	0	0.5
pros	lin	2	6	3e-04	0	0.5
neur	lin	2	6	1e-04	0	0.5
Rab5	lin	2	6	1e-04	0	0.5
Rab7	lin	2	6	3e-04	0	0.5
Mmp2	lin	2	6	1e-04	0	0.5
W	lin	2	6	0	0	0.5
bowl	lin	2	6	6e-04	0	0.5
fd59A	lin	2	6	5e-04	0	0.5
e	lin	2	6	4e-04	0	0.5
ben	lin	2	6	0	0	0.5
rdo	lin	2	6	0	0	0.5
lin	lin	2	6	3e-04	0	0.5
tra	lin	2	6	8e-04	0	0.5
tra2	lin	2	6	4e-04	0	0.5
cathD	lin	2	6	0.0013	0	0.5
d	lin	2	6	5e-04	0	0.5
lva	lin	2	6	6e-04	0	0.5
pbl	lin	2	6	3e-04	0	0.5
CG33205	lin	2	6	0	0	0.5
da	lin	2	6	3e-04	0	0.5
cactin	lin	2	6	1e-04	0	0.5
hpo	lin	2	6	8e-04	0	0.5
Sema.2a	lin	2	6	0.001	0	0.5
Eip74EF	lin	2	6	8e-04	0	0.5
eg	lin	2	6	0	0	0.5
Arc42	lin	2	6	8e-04	0	0.5
toy	lin	2	6	0	0	0.5
Galpha73B	lin	2	6	0	0	0.5
RhoGAPp190	lin	2	6	8e-04	0	0.5
MED11	lin	2	6	6e-04	0	0.5
cher	lin	2	6	1e-04	0	0.5
BicD	lin	2	6	0.0015	0	0.5
MYPT.75D	lin	2	6	4e-04	0	0.5
mus304	lin	2	6	0	0	0.5
CdsA	lin	2	6	2e-04	0	0.5
btl	lin	2	6	1e-04	0	0.5
Cyt.c.d	lin	2	6	1e-04	0	0.5
tok	lin	2	6	1e-04	0	0.5
ttk	lin	2	6	0.0012	0	0.5
tamo	lin	2	6	5e-04	0	0.5
CG6416	lin	2	6	0.001	0	0.5
flfl	lin	2	6	0.0167	0	0.5
Pvr	lin	2	6	0	0	0.5
kay	lin	2	6	0	0	0.5
Jra	lin	2	6	5e-04	0	0.5
msk	lin	2	6	5e-04	0	0.5
tll	lin	2	6	4e-04	0	0.5
Tm1	lin	2	6	0	0	0.5
srp	lin	2	6	5e-04	0	0.5
Btk29A	lin	2	6	1e-04	0	0.5
fred	lin	2	6	3e-04	0	0.5
Src64B	lin	2	6	0	0	0.5
Mmp1	lin	2	6	0.0075	0	0.5
sll	lin	2	6	2e-04	0	0.5
Hmgs	lin	2	6	0	0	0.5
caps	lin	2	6	3e-04	0	0.5
Su.var.2.10	lin	2	6	0	0	0.5
CycB	lin	2	6	0.0015	0	0.5
spir	lin	2	6	0	0	0.5
spn.A	lin	2	6	8e-04	0	0.5
Ptpmeg	lin	2	6	0	0	0.5
qua	lin	2	6	0	0	0.5
msn	lin	2	6	0	0	0.5
ena	lin	2	6	3e-04	0	0.5
spen	lin	2	6	0	0	0.5
emc	lin	2	6	0	0	0.5
tsh	lin	2	6	0	0	0.5
Dat	lin	2	6	0.0453	0	0.5
Lac	lin	2	6	1e-04	0	0.5
dup	lin	2	6	8e-04	0	0.5
CG3075	lin	2	6	3e-04	0	0.5
Akap200	lin	2	6	6e-04	0	0.5
CG18369	lin	2	6	0	0	0.5
bnl	lin	2	6	2e-04	0	0.5
sec23	lin	2	6	5e-04	0	0.5
Pde8	lin	2	6	0	0	0.5
Arp66B	lin	2	6	4e-04	0	0.5
cos	lin	2	6	0.002	0	0.5
Borr	lin	2	6	0	0	0.5
X140up	lin	2	6	0	0	0.5
Dhc64C	lin	2	6	0	0	0.5
Not1	lin	2	6	0.0013	0	0.5
CG9520	lin	2	6	0	0	0.5
bib	lin	2	6	3e-04	0	0.5
mib1	lin	2	6	4e-04	0	0.5
cas	lin	2	6	0	0	0.5
Abi	lin	2	6	5e-04	0	0.5
betaTub56D	lin	2	6	1e-04	0	0.5
nej	lin	2	6	0	0	0.5
dlg1	lin	2	6	1e-04	0	0.5
Lcp65Ag1	lin	2	6	2e-04	0	0.5
Es2	lin	2	6	2e-04	0	0.5
MED24	lin	2	6	3e-04	0	0.5
Vhl	lin	2	6	0	0	0.5
tral	lin	2	6	6e-04	0	0.5
sns	lin	2	6	5e-04	0	0.5
mbl	lin	2	6	2e-04	0	0.5
sav	lin	2	6	2e-04	0	0.5
lola	lin	2	6	6e-04	0	0.5
robo	lin	2	6	9e-04	0	0.5
CG32486	lin	2	6	0	0	0.5
santa.maria	lin	2	6	0	0	0.5
stumps	lin	2	6	2e-04	0	0.5
abd.A	lin	2	6	0.0015	0	0.5
dock	lin	2	6	0	0	0.5
Lar	lin	2	6	8e-04	0	0.5
l.1.G0289	lin	2	6	1e-04	0	0.5
Abl	lin	2	6	3e-04	0	0.5
Syb	lin	2	6	8e-04	0	0.5
dome	lin	2	6	6e-04	0	0.5
ofs	lin	2	6	0.0011	0	0.5
MED4	lin	2	6	0.0016	0	0.5
scrib	lin	2	6	5e-04	0	0.5
siz	lin	2	6	3e-04	0	0.5
cbx	lin	2	6	0	0	0.5
dsx	lin	2	6	0	0	0.5
Sb	lin	2	6	2e-04	0	0.5
sax	lin	2	6	0	0	0.5
foxo	lin	2	6	5e-04	0	0.5
Cyp1	lin	2	6	0.001	0	0.5
brm	lin	2	6	6e-04	0	0.5
rad50	lin	2	6	4e-04	0	0.5
chico	lin	2	6	4e-04	0	0.5
cp309	lin	2	6	5e-04	0	0.5
hdc	lin	2	6	0.0023	0	0.5
Axn	lin	2	6	0.0019	0	0.5
Apc2	lin	2	6	0	0	0.5
PhKgamma	lin	2	6	3e-04	0	0.5
eya	lin	2	6	0	0	0.5
sktl	lin	2	6	0	0	0.5
sqd	lin	2	6	0.009	0	0.5
Akt1	lin	2	6	0	0	0.5
scyl	lin	2	6	8e-04	0	0.5
cnk	lin	2	6	1e-04	0	0.5
CG8149	lin	2	6	0.0019	0	0.5
CG34379	lin	2	6	6e-04	0	0.5
Yp1	lin	2	6	9e-04	0	0.5
yrt	lin	2	6	5e-04	0	0.5
bap	lin	2	6	7e-04	0	0.5
tud	lin	2	6	0.0036	0	0.5
ct	lin	2	6	8e-04	0	0.5
tup	lin	2	6	7e-04	0	0.5
G.ialpha65A	lin	2	6	8e-04	0	0.5
knrl	lin	2	6	5e-04	0	0.5
Pkn	lin	2	6	1e-04	0	0.5
Sry.delta	lin	2	6	0.0025	0	0.5
Alh	lin	2	6	9e-04	0	0.5
pnut	lin	2	6	7e-04	0	0.5
phyl	lin	2	6	1e-04	0	0.5
CG17739	lin	2	6	0	0	0.5
B4	lin	2	6	0	0	0.5
CG2681	lin	2	6	3e-04	0	0.5
tow	lin	2	6	9e-04	0	0.5
hkl	lin	2	6	0.0087	0	0.5
sina	lin	2	6	1e-04	0	0.5
ry	lin	2	6	5e-04	0	0.5
rux	lin	2	6	3e-04	0	0.5
boss	lin	2	6	0	0	0.5
Mkp3	lin	2	6	0	0	0.5
inaC	lin	2	6	0	0	0.5
sno	lin	2	6	8e-04	0	0.5
jagn	lin	2	6	0.0037	0	0.5
dpn	lin	2	6	9e-04	0	0.5
wrapper	lin	2	6	4e-04	0	0.5
Ca.alpha1D	lin	2	6	2e-04	0	0.5
E2f	lin	2	6	0	0	0.5
Dp	lin	2	6	4e-04	0	0.5
l.2.efl	lin	2	6	1e-04	0	0.5
cnc	lin	2	6	8e-04	0	0.5
Atg5	lin	2	6	4e-04	0	0.5
acj6	lin	2	6	8e-04	0	0.5
Trl	lin	2	6	1e-04	0	0.5
d4	lin	2	6	0.0021	0	0.5
CG16719	lin	2	6	0	0	0.5
CadN	lin	2	6	3e-04	0	0.5
gro	lin	2	6	1e-04	0	0.5
sec13	lin	2	6	9e-04	0	0.5
klar	lin	2	6	3e-04	0	0.5
Rack1	lin	2	6	5e-04	0	0.5
Sobp	lin	2	6	5e-04	0	0.5
ash1	lin	2	6	4e-04	0	0.5
inv	lin	2	6	1e-04	0	0.5
shot	lin	2	6	0	0	0.5
Oseg1	lin	2	6	0	0	0.5
Spred	lin	2	6	1e-04	0	0.5
