Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	lmd	2	6	0	0	0.5
emp	lmd	2	6	0	0	0.5
CG2678	lmd	2	6	0	0	0.5
crc	lmd	2	6	0	0	0.5
pros	lmd	2	6	6e-04	0	0.5
neur	lmd	2	6	0	0	0.5
Rab5	lmd	2	6	0	0	0.5
Rab7	lmd	2	6	0	0	0.5
Mmp2	lmd	2	6	0	0	0.5
W	lmd	2	6	0	0	0.5
bowl	lmd	2	6	0	0	0.5
fd59A	lmd	2	6	0	0	0.5
e	lmd	2	6	0	0	0.5
ben	lmd	2	6	1e-04	0	0.5
rdo	lmd	2	6	0	0	0.5
lin	lmd	2	6	2e-04	0	0.5
tra	lmd	2	6	0	0	0.5
tra2	lmd	2	6	0	0	0.5
cathD	lmd	2	6	0	0	0.5
d	lmd	2	6	4e-04	0	0.5
lva	lmd	2	6	0	0	0.5
pbl	lmd	2	6	0	0	0.5
CG33205	lmd	2	6	1e-04	0	0.5
da	lmd	2	6	0.3864	0	0.5
cactin	lmd	2	6	0	0	0.5
hpo	lmd	2	6	1e-04	0	0.5
Sema.2a	lmd	2	6	0	0	0.5
Eip74EF	lmd	2	6	0	0	0.5
eg	lmd	2	6	1e-04	0	0.5
Arc42	lmd	2	6	0	0	0.5
toy	lmd	2	6	0	0	0.5
Galpha73B	lmd	2	6	0	0	0.5
RhoGAPp190	lmd	2	6	0	0	0.5
MED11	lmd	2	6	0	0	0.5
cher	lmd	2	6	8e-04	0	0.5
BicD	lmd	2	6	2e-04	0	0.5
MYPT.75D	lmd	2	6	0	0	0.5
mus304	lmd	2	6	0	0	0.5
CdsA	lmd	2	6	0	0	0.5
btl	lmd	2	6	4e-04	0	0.5
Cyt.c.d	lmd	2	6	1e-04	0	0.5
tok	lmd	2	6	0	0	0.5
ttk	lmd	2	6	0	0	0.5
tamo	lmd	2	6	0	0	0.5
CG6416	lmd	2	6	3e-04	0	0.5
flfl	lmd	2	6	0	0	0.5
Pvr	lmd	2	6	0	0	0.5
kay	lmd	2	6	1e-04	0	0.5
Jra	lmd	2	6	0	0	0.5
msk	lmd	2	6	0	0	0.5
tll	lmd	2	6	8e-04	0	0.5
Tm1	lmd	2	6	1e-04	0	0.5
srp	lmd	2	6	0	0	0.5
Btk29A	lmd	2	6	0	0	0.5
fred	lmd	2	6	0	0	0.5
Src64B	lmd	2	6	0	0	0.5
Mmp1	lmd	2	6	0	0	0.5
sll	lmd	2	6	0	0	0.5
Hmgs	lmd	2	6	0	0	0.5
caps	lmd	2	6	0	0	0.5
Su.var.2.10	lmd	2	6	6e-04	0	0.5
CycB	lmd	2	6	0	0	0.5
spir	lmd	2	6	0.0018	0	0.5
spn.A	lmd	2	6	0	0	0.5
Ptpmeg	lmd	2	6	0	0	0.5
qua	lmd	2	6	8e-04	0	0.5
msn	lmd	2	6	0	0	0.5
ena	lmd	2	6	0	0	0.5
spen	lmd	2	6	0	0	0.5
emc	lmd	2	6	0	0	0.5
tsh	lmd	2	6	0	0	0.5
Dat	lmd	2	6	0	0	0.5
Lac	lmd	2	6	1e-04	0	0.5
dup	lmd	2	6	0	0	0.5
CG3075	lmd	2	6	0	0	0.5
Akap200	lmd	2	6	0	0	0.5
CG18369	lmd	2	6	0	0	0.5
bnl	lmd	2	6	0.0011	0	0.5
sec23	lmd	2	6	0	0	0.5
Pde8	lmd	2	6	0	0	0.5
Arp66B	lmd	2	6	0	0	0.5
cos	lmd	2	6	0	0	0.5
Borr	lmd	2	6	0	0	0.5
X140up	lmd	2	6	0	0	0.5
Dhc64C	lmd	2	6	0	0	0.5
Not1	lmd	2	6	0	0	0.5
CG9520	lmd	2	6	2e-04	0	0.5
bib	lmd	2	6	0	0	0.5
mib1	lmd	2	6	0	0	0.5
cas	lmd	2	6	0	0	0.5
Abi	lmd	2	6	6e-04	0	0.5
betaTub56D	lmd	2	6	0	0	0.5
nej	lmd	2	6	0	0	0.5
dlg1	lmd	2	6	0	0	0.5
Lcp65Ag1	lmd	2	6	2e-04	0	0.5
Es2	lmd	2	6	0	0	0.5
MED24	lmd	2	6	0	0	0.5
Vhl	lmd	2	6	2e-04	0	0.5
tral	lmd	2	6	4e-04	0	0.5
sns	lmd	2	6	0	0	0.5
mbl	lmd	2	6	0	0	0.5
sav	lmd	2	6	0	0	0.5
lola	lmd	2	6	0	0	0.5
robo	lmd	2	6	0	0	0.5
CG32486	lmd	2	6	0	0	0.5
santa.maria	lmd	2	6	2e-04	0	0.5
stumps	lmd	2	6	0	0	0.5
abd.A	lmd	2	6	0	0	0.5
dock	lmd	2	6	0	0	0.5
Lar	lmd	2	6	6e-04	0	0.5
l.1.G0289	lmd	2	6	0	0	0.5
Abl	lmd	2	6	0	0	0.5
Syb	lmd	2	6	0	0	0.5
dome	lmd	2	6	0	0	0.5
ofs	lmd	2	6	0	0	0.5
MED4	lmd	2	6	0	0	0.5
scrib	lmd	2	6	5e-04	0	0.5
siz	lmd	2	6	0	0	0.5
cbx	lmd	2	6	0	0	0.5
dsx	lmd	2	6	0	0	0.5
Sb	lmd	2	6	0	0	0.5
sax	lmd	2	6	2e-04	0	0.5
foxo	lmd	2	6	4e-04	0	0.5
Cyp1	lmd	2	6	1e-04	0	0.5
brm	lmd	2	6	0	0	0.5
rad50	lmd	2	6	3e-04	0	0.5
chico	lmd	2	6	0	0	0.5
cp309	lmd	2	6	0	0	0.5
hdc	lmd	2	6	4e-04	0	0.5
Axn	lmd	2	6	0	0	0.5
Apc2	lmd	2	6	2e-04	0	0.5
PhKgamma	lmd	2	6	0	0	0.5
eya	lmd	2	6	0	0	0.5
sktl	lmd	2	6	0	0	0.5
sqd	lmd	2	6	0	0	0.5
Akt1	lmd	2	6	0	0	0.5
scyl	lmd	2	6	0	0	0.5
cnk	lmd	2	6	0	0	0.5
CG8149	lmd	2	6	9e-04	0	0.5
CG34379	lmd	2	6	0	0	0.5
Yp1	lmd	2	6	0	0	0.5
yrt	lmd	2	6	2e-04	0	0.5
bap	lmd	2	6	0	0	0.5
tud	lmd	2	6	0	0	0.5
ct	lmd	2	6	2e-04	0	0.5
tup	lmd	2	6	7e-04	0	0.5
G.ialpha65A	lmd	2	6	0	0	0.5
knrl	lmd	2	6	0	0	0.5
Pkn	lmd	2	6	0	0	0.5
Sry.delta	lmd	2	6	2e-04	0	0.5
Alh	lmd	2	6	0	0	0.5
pnut	lmd	2	6	0	0	0.5
phyl	lmd	2	6	0	0	0.5
CG17739	lmd	2	6	4e-04	0	0.5
B4	lmd	2	6	0	0	0.5
CG2681	lmd	2	6	0.0012	0	0.5
tow	lmd	2	6	0	0	0.5
hkl	lmd	2	6	2e-04	0	0.5
sina	lmd	2	6	0	0	0.5
ry	lmd	2	6	0	0	0.5
rux	lmd	2	6	0	0	0.5
boss	lmd	2	6	0	0	0.5
Mkp3	lmd	2	6	0	0	0.5
inaC	lmd	2	6	0.0012	0	0.5
sno	lmd	2	6	0	0	0.5
jagn	lmd	2	6	0	0	0.5
dpn	lmd	2	6	0	0	0.5
wrapper	lmd	2	6	1e-04	0	0.5
Ca.alpha1D	lmd	2	6	3e-04	0	0.5
E2f	lmd	2	6	4e-04	0	0.5
Dp	lmd	2	6	0	0	0.5
l.2.efl	lmd	2	6	0	0	0.5
cnc	lmd	2	6	1e-04	0	0.5
Atg5	lmd	2	6	0	0	0.5
acj6	lmd	2	6	3e-04	0	0.5
Trl	lmd	2	6	0	0	0.5
d4	lmd	2	6	0	0	0.5
CG16719	lmd	2	6	0	0	0.5
CadN	lmd	2	6	0	0	0.5
gro	lmd	2	6	0	0	0.5
