Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	loco	2	6	1e-04	0	0.5
emp	loco	2	6	0	0	0.5
CG2678	loco	2	6	4e-04	0	0.5
crc	loco	2	6	0.0013	0	0.5
pros	loco	2	6	3e-04	0	0.5
neur	loco	2	6	0.0027	0	0.5
Rab5	loco	2	6	0.001	0	0.5
Rab7	loco	2	6	0	0	0.5
Mmp2	loco	2	6	7e-04	0	0.5
W	loco	2	6	2e-04	0	0.5
bowl	loco	2	6	0	0	0.5
fd59A	loco	2	6	0	0	0.5
e	loco	2	6	0	0	0.5
ben	loco	2	6	0.0011	0	0.5
rdo	loco	2	6	1e-04	0	0.5
lin	loco	2	6	6e-04	0	0.5
tra	loco	2	6	1e-04	0	0.5
tra2	loco	2	6	6e-04	0	0.5
cathD	loco	2	6	0	0	0.5
d	loco	2	6	4e-04	0	0.5
lva	loco	2	6	0.0015	0	0.5
pbl	loco	2	6	0	0	0.5
CG33205	loco	2	6	0.0031	0	0.5
da	loco	2	6	0	0	0.5
cactin	loco	2	6	8e-04	0	0.5
hpo	loco	2	6	7e-04	0	0.5
Sema.2a	loco	2	6	0.0032	0	0.5
Eip74EF	loco	2	6	0	0	0.5
eg	loco	2	6	6e-04	0	0.5
Arc42	loco	2	6	4e-04	0	0.5
toy	loco	2	6	4e-04	0	0.5
Galpha73B	loco	2	6	0	0	0.5
RhoGAPp190	loco	2	6	2e-04	0	0.5
MED11	loco	2	6	0	0	0.5
cher	loco	2	6	8e-04	0	0.5
BicD	loco	2	6	0.001	0	0.5
MYPT.75D	loco	2	6	4e-04	0	0.5
mus304	loco	2	6	0	0	0.5
CdsA	loco	2	6	0	0	0.5
btl	loco	2	6	1e-04	0	0.5
Cyt.c.d	loco	2	6	0	0	0.5
tok	loco	2	6	5e-04	0	0.5
ttk	loco	2	6	2e-04	0	0.5
tamo	loco	2	6	0.0071	0	0.5
CG6416	loco	2	6	0.0012	0	0.5
flfl	loco	2	6	3e-04	0	0.5
Pvr	loco	2	6	0.0015	0	0.5
kay	loco	2	6	0.0118	0	0.5
Jra	loco	2	6	0.045	0	0.5
msk	loco	2	6	0.0019	0	0.5
tll	loco	2	6	2e-04	0	0.5
Tm1	loco	2	6	4e-04	0	0.5
srp	loco	2	6	0.0011	0	0.5
Btk29A	loco	2	6	0	0	0.5
fred	loco	2	6	2e-04	0	0.5
Src64B	loco	2	6	4e-04	0	0.5
Mmp1	loco	2	6	4e-04	0	0.5
sll	loco	2	6	3e-04	0	0.5
Hmgs	loco	2	6	8e-04	0	0.5
caps	loco	2	6	1e-04	0	0.5
Su.var.2.10	loco	2	6	0	0	0.5
CycB	loco	2	6	6e-04	0	0.5
spir	loco	2	6	0	0	0.5
spn.A	loco	2	6	8e-04	0	0.5
Ptpmeg	loco	2	6	0.001	0	0.5
qua	loco	2	6	0	0	0.5
msn	loco	2	6	0.0063	0	0.5
ena	loco	2	6	3e-04	0	0.5
spen	loco	2	6	5e-04	0	0.5
emc	loco	2	6	6e-04	0	0.5
tsh	loco	2	6	0.0027	0	0.5
Dat	loco	2	6	0	0	0.5
Lac	loco	2	6	0.0016	0	0.5
dup	loco	2	6	0	0	0.5
CG3075	loco	2	6	6e-04	0	0.5
Akap200	loco	2	6	0.0016	0	0.5
CG18369	loco	2	6	0	0	0.5
bnl	loco	2	6	6e-04	0	0.5
sec23	loco	2	6	0.0011	0	0.5
Pde8	loco	2	6	0.0023	0	0.5
Arp66B	loco	2	6	3e-04	0	0.5
cos	loco	2	6	2e-04	0	0.5
Borr	loco	2	6	0.0012	0	0.5
X140up	loco	2	6	5e-04	0	0.5
Dhc64C	loco	2	6	1e-04	0	0.5
Not1	loco	2	6	0.0015	0	0.5
CG9520	loco	2	6	0	0	0.5
bib	loco	2	6	0.0017	0	0.5
mib1	loco	2	6	0	0	0.5
cas	loco	2	6	3e-04	0	0.5
Abi	loco	2	6	9e-04	0	0.5
betaTub56D	loco	2	6	0	0	0.5
nej	loco	2	6	0.004	0	0.5
dlg1	loco	2	6	0.0012	0	0.5
Lcp65Ag1	loco	2	6	5e-04	0	0.5
Es2	loco	2	6	0	0	0.5
MED24	loco	2	6	0.0011	0	0.5
Vhl	loco	2	6	6e-04	0	0.5
tral	loco	2	6	7e-04	0	0.5
sns	loco	2	6	8e-04	0	0.5
mbl	loco	2	6	5e-04	0	0.5
sav	loco	2	6	1e-04	0	0.5
lola	loco	2	6	0	0	0.5
robo	loco	2	6	3e-04	0	0.5
CG32486	loco	2	6	0	0	0.5
santa.maria	loco	2	6	0.0036	0	0.5
stumps	loco	2	6	8e-04	0	0.5
abd.A	loco	2	6	7e-04	0	0.5
dock	loco	2	6	0.0012	0	0.5
Lar	loco	2	6	5e-04	0	0.5
l.1.G0289	loco	2	6	4e-04	0	0.5
Abl	loco	2	6	8e-04	0	0.5
Syb	loco	2	6	2e-04	0	0.5
dome	loco	2	6	6e-04	0	0.5
ofs	loco	2	6	4e-04	0	0.5
MED4	loco	2	6	2e-04	0	0.5
scrib	loco	2	6	0	0	0.5
siz	loco	2	6	0.0011	0	0.5
cbx	loco	2	6	5e-04	0	0.5
dsx	loco	2	6	2e-04	0	0.5
Sb	loco	2	6	2e-04	0	0.5
sax	loco	2	6	0.0085	0	0.5
foxo	loco	2	6	0.0012	0	0.5
Cyp1	loco	2	6	4e-04	0	0.5
brm	loco	2	6	0	0	0.5
rad50	loco	2	6	7e-04	0	0.5
chico	loco	2	6	3e-04	0	0.5
cp309	loco	2	6	4e-04	0	0.5
hdc	loco	2	6	0	0	0.5
Axn	loco	2	6	2e-04	0	0.5
Apc2	loco	2	6	0	0	0.5
PhKgamma	loco	2	6	2e-04	0	0.5
eya	loco	2	6	1e-04	0	0.5
sktl	loco	2	6	1e-04	0	0.5
sqd	loco	2	6	0.0012	0	0.5
Akt1	loco	2	6	2e-04	0	0.5
scyl	loco	2	6	0.001	0	0.5
cnk	loco	2	6	2e-04	0	0.5
CG8149	loco	2	6	0.0018	0	0.5
CG34379	loco	2	6	7e-04	0	0.5
Yp1	loco	2	6	0.0014	0	0.5
yrt	loco	2	6	0.0014	0	0.5
bap	loco	2	6	4e-04	0	0.5
tud	loco	2	6	5e-04	0	0.5
ct	loco	2	6	0.0033	0	0.5
tup	loco	2	6	8e-04	0	0.5
G.ialpha65A	loco	2	6	6e-04	0	0.5
knrl	loco	2	6	1e-04	0	0.5
Pkn	loco	2	6	3e-04	0	0.5
Sry.delta	loco	2	6	0.0011	0	0.5
Alh	loco	2	6	2e-04	0	0.5
pnut	loco	2	6	6e-04	0	0.5
phyl	loco	2	6	1e-04	0	0.5
CG17739	loco	2	6	0.0016	0	0.5
B4	loco	2	6	7e-04	0	0.5
CG2681	loco	2	6	0.0013	0	0.5
tow	loco	2	6	0	0	0.5
hkl	loco	2	6	0.3868	0	0.5
sina	loco	2	6	3e-04	0	0.5
ry	loco	2	6	2e-04	0	0.5
rux	loco	2	6	0	0	0.5
boss	loco	2	6	2e-04	0	0.5
Mkp3	loco	2	6	7e-04	0	0.5
inaC	loco	2	6	5e-04	0	0.5
sno	loco	2	6	4e-04	0	0.5
jagn	loco	2	6	1e-04	0	0.5
dpn	loco	2	6	0.0096	0	0.5
wrapper	loco	2	6	0.001	0	0.5
Ca.alpha1D	loco	2	6	2e-04	0	0.5
E2f	loco	2	6	0	0	0.5
Dp	loco	2	6	3e-04	0	0.5
l.2.efl	loco	2	6	6e-04	0	0.5
cnc	loco	2	6	2e-04	0	0.5
Atg5	loco	2	6	3e-04	0	0.5
acj6	loco	2	6	6e-04	0	0.5
Trl	loco	2	6	0.002	0	0.5
d4	loco	2	6	0.0012	0	0.5
CG16719	loco	2	6	1e-04	0	0.5
CadN	loco	2	6	1e-04	0	0.5
gro	loco	2	6	0	0	0.5
sec13	loco	2	6	0	0	0.5
klar	loco	2	6	0	0	0.5
Rack1	loco	2	6	1e-04	0	0.5
Sobp	loco	2	6	0.001	0	0.5
ash1	loco	2	6	3e-04	0	0.5
inv	loco	2	6	1e-04	0	0.5
shot	loco	2	6	0	0	0.5
Oseg1	loco	2	6	7e-04	0	0.5
Spred	loco	2	6	0	0	0.5
puc	loco	2	6	0.0028	0	0.5
Atg6	loco	2	6	0.0065	0	0.5
CG3829	loco	2	6	4e-04	0	0.5
sle	loco	2	6	2e-04	0	0.5
Cka	loco	2	6	0.0014	0	0.5
form3	loco	2	6	0.0012	0	0.5
Pk61C	loco	2	6	0	0	0.5
Pcaf	loco	2	6	5e-04	0	0.5
sbb	loco	2	6	0.0012	0	0.5
Ef1gamma	loco	2	6	1e-04	0	0.5
FKBP59	loco	2	6	4e-04	0	0.5
Eip71CD	loco	2	6	0	0	0.5
xmas.2	loco	2	6	5e-04	0	0.5
ppan	loco	2	6	1e-04	0	0.5
Iswi	loco	2	6	0.0015	0	0.5
ine	loco	2	6	0.0014	0	0.5
Tina.1	loco	2	6	1e-04	0	0.5
bon	loco	2	6	6e-04	0	0.5
pot	loco	2	6	0	0	0.5
chic	loco	2	6	0	0	0.5
Hem	loco	2	6	1e-04	0	0.5
chif	loco	2	6	7e-04	0	0.5
S6kII	loco	2	6	2e-04	0	0.5
wal	loco	2	6	3e-04	0	0.5
wls	loco	2	6	0.0027	0	0.5
Ddx1	loco	2	6	0	0	0.5
Sulf1	loco	2	6	0.0018	0	0.5
CG3987	loco	2	6	0	0	0.5
Abd.B	loco	2	6	4e-04	0	0.5
