Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	lola	2	6	2e-04	0	0.5
emp	lola	2	6	0.0023	0	0.5
CG2678	lola	2	6	9e-04	0	0.5
crc	lola	2	6	0.0026	0	0.5
pros	lola	2	6	9e-04	0	0.5
neur	lola	2	6	7e-04	0	0.5
Rab5	lola	2	6	3e-04	0	0.5
Rab7	lola	2	6	0.0087	0	0.5
Mmp2	lola	2	6	4e-04	0	0.5
W	lola	2	6	0.0204	0	0.5
bowl	lola	2	6	0	0	0.5
fd59A	lola	2	6	0	0	0.5
e	lola	2	6	0.002	0	0.5
ben	lola	2	6	0	0	0.5
rdo	lola	2	6	0.0024	0	0.5
lin	lola	2	6	3e-04	0	0.5
tra	lola	2	6	1e-04	0	0.5
tra2	lola	2	6	0.0014	0	0.5
cathD	lola	2	6	0.0078	0	0.5
d	lola	2	6	3e-04	0	0.5
lva	lola	2	6	3e-04	0	0.5
pbl	lola	2	6	6e-04	0	0.5
CG33205	lola	2	6	2e-04	0	0.5
da	lola	2	6	5e-04	0	0.5
cactin	lola	2	6	8e-04	0	0.5
hpo	lola	2	6	6e-04	0	0.5
Sema.2a	lola	2	6	6e-04	0	0.5
Eip74EF	lola	2	6	9e-04	0	0.5
eg	lola	2	6	9e-04	0	0.5
Arc42	lola	2	6	0.0226	0	0.5
toy	lola	2	6	0	0	0.5
Galpha73B	lola	2	6	6e-04	0	0.5
RhoGAPp190	lola	2	6	6e-04	0	0.5
MED11	lola	2	6	0.0021	0	0.5
cher	lola	2	6	9e-04	0	0.5
BicD	lola	2	6	1e-04	0	0.5
MYPT.75D	lola	2	6	6e-04	0	0.5
mus304	lola	2	6	0.0188	0	0.5
CdsA	lola	2	6	4e-04	0	0.5
btl	lola	2	6	4e-04	0	0.5
Cyt.c.d	lola	2	6	8e-04	0	0.5
tok	lola	2	6	4e-04	0	0.5
ttk	lola	2	6	0.0019	0	0.5
tamo	lola	2	6	0.0035	0	0.5
CG6416	lola	2	6	0.001	0	0.5
flfl	lola	2	6	0	0	0.5
Pvr	lola	2	6	0.0031	0	0.5
kay	lola	2	6	4e-04	0	0.5
Jra	lola	2	6	3e-04	0	0.5
msk	lola	2	6	6e-04	0	0.5
tll	lola	2	6	6e-04	0	0.5
Tm1	lola	2	6	1e-04	0	0.5
srp	lola	2	6	4e-04	0	0.5
Btk29A	lola	2	6	8e-04	0	0.5
fred	lola	2	6	0.001	0	0.5
Src64B	lola	2	6	0.0017	0	0.5
Mmp1	lola	2	6	0.0025	0	0.5
sll	lola	2	6	0.0015	0	0.5
Hmgs	lola	2	6	6e-04	0	0.5
caps	lola	2	6	4e-04	0	0.5
Su.var.2.10	lola	2	6	7e-04	0	0.5
CycB	lola	2	6	6e-04	0	0.5
spir	lola	2	6	0.0017	0	0.5
spn.A	lola	2	6	8e-04	0	0.5
Ptpmeg	lola	2	6	0.0012	0	0.5
qua	lola	2	6	0.001	0	0.5
msn	lola	2	6	6e-04	0	0.5
ena	lola	2	6	0.0012	0	0.5
spen	lola	2	6	0.0027	0	0.5
emc	lola	2	6	6e-04	0	0.5
tsh	lola	2	6	0.0022	0	0.5
Dat	lola	2	6	7e-04	0	0.5
Lac	lola	2	6	0	0	0.5
dup	lola	2	6	0.0012	0	0.5
CG3075	lola	2	6	0.0057	0	0.5
Akap200	lola	2	6	5e-04	0	0.5
CG18369	lola	2	6	0.0032	0	0.5
bnl	lola	2	6	2e-04	0	0.5
sec23	lola	2	6	0.0011	0	0.5
Pde8	lola	2	6	8e-04	0	0.5
Arp66B	lola	2	6	0.0015	0	0.5
cos	lola	2	6	0.001	0	0.5
Borr	lola	2	6	0.0026	0	0.5
X140up	lola	2	6	7e-04	0	0.5
Dhc64C	lola	2	6	0.0012	0	0.5
Not1	lola	2	6	2e-04	0	0.5
CG9520	lola	2	6	0.0034	0	0.5
bib	lola	2	6	6e-04	0	0.5
mib1	lola	2	6	0.0017	0	0.5
cas	lola	2	6	0.002	0	0.5
Abi	lola	2	6	9e-04	0	0.5
betaTub56D	lola	2	6	0.0021	0	0.5
nej	lola	2	6	5e-04	0	0.5
dlg1	lola	2	6	0.0012	0	0.5
Lcp65Ag1	lola	2	6	0.0066	0	0.5
Es2	lola	2	6	0.0022	0	0.5
MED24	lola	2	6	0.0133	0	0.5
Vhl	lola	2	6	2e-04	0	0.5
tral	lola	2	6	0.0062	0	0.5
sns	lola	2	6	0.0017	0	0.5
mbl	lola	2	6	0.0031	0	0.5
sav	lola	2	6	0.2085	0	0.5
lola	lola	2	6	0.0023	0	0.5
robo	lola	2	6	9e-04	0	0.5
CG32486	lola	2	6	4e-04	0	0.5
santa.maria	lola	2	6	0.0011	0	0.5
stumps	lola	2	6	4e-04	0	0.5
abd.A	lola	2	6	0.0012	0	0.5
dock	lola	2	6	0.0026	0	0.5
Lar	lola	2	6	0.0018	0	0.5
l.1.G0289	lola	2	6	0.0017	0	0.5
Abl	lola	2	6	0.001	0	0.5
Syb	lola	2	6	4e-04	0	0.5
dome	lola	2	6	0.0031	0	0.5
ofs	lola	2	6	0.0047	0	0.5
MED4	lola	2	6	6e-04	0	0.5
scrib	lola	2	6	2e-04	0	0.5
siz	lola	2	6	0	0	0.5
cbx	lola	2	6	0.001	0	0.5
dsx	lola	2	6	0.001	0	0.5
Sb	lola	2	6	7e-04	0	0.5
sax	lola	2	6	6e-04	0	0.5
foxo	lola	2	6	7e-04	0	0.5
Cyp1	lola	2	6	0.0021	0	0.5
brm	lola	2	6	7e-04	0	0.5
rad50	lola	2	6	0.0012	0	0.5
chico	lola	2	6	0.0015	0	0.5
cp309	lola	2	6	0.0012	0	0.5
hdc	lola	2	6	0.0027	0	0.5
Axn	lola	2	6	0.0019	0	0.5
Apc2	lola	2	6	8e-04	0	0.5
PhKgamma	lola	2	6	2e-04	0	0.5
eya	lola	2	6	3e-04	0	0.5
sktl	lola	2	6	7e-04	0	0.5
sqd	lola	2	6	7e-04	0	0.5
Akt1	lola	2	6	8e-04	0	0.5
scyl	lola	2	6	3e-04	0	0.5
cnk	lola	2	6	4e-04	0	0.5
CG8149	lola	2	6	3e-04	0	0.5
CG34379	lola	2	6	3e-04	0	0.5
Yp1	lola	2	6	8e-04	0	0.5
yrt	lola	2	6	0.0011	0	0.5
bap	lola	2	6	0.005	0	0.5
tud	lola	2	6	0.0023	0	0.5
ct	lola	2	6	0.0016	0	0.5
tup	lola	2	6	8e-04	0	0.5
G.ialpha65A	lola	2	6	1e-04	0	0.5
knrl	lola	2	6	0.0021	0	0.5
Pkn	lola	2	6	6e-04	0	0.5
Sry.delta	lola	2	6	6e-04	0	0.5
Alh	lola	2	6	0.0013	0	0.5
pnut	lola	2	6	3e-04	0	0.5
phyl	lola	2	6	0	0	0.5
CG17739	lola	2	6	5e-04	0	0.5
B4	lola	2	6	0.0101	0	0.5
CG2681	lola	2	6	3e-04	0	0.5
tow	lola	2	6	0.0019	0	0.5
hkl	lola	2	6	0.0017	0	0.5
sina	lola	2	6	0.0015	0	0.5
ry	lola	2	6	0.0011	0	0.5
rux	lola	2	6	6e-04	0	0.5
boss	lola	2	6	0.0021	0	0.5
Mkp3	lola	2	6	0.0015	0	0.5
inaC	lola	2	6	0.022	0	0.5
sno	lola	2	6	8e-04	0	0.5
jagn	lola	2	6	1e-04	0	0.5
dpn	lola	2	6	1e-04	0	0.5
wrapper	lola	2	6	0.0013	0	0.5
Ca.alpha1D	lola	2	6	0	0	0.5
E2f	lola	2	6	0.0013	0	0.5
Dp	lola	2	6	2e-04	0	0.5
l.2.efl	lola	2	6	0	0	0.5
cnc	lola	2	6	9e-04	0	0.5
Atg5	lola	2	6	3e-04	0	0.5
acj6	lola	2	6	0.0018	0	0.5
Trl	lola	2	6	5e-04	0	0.5
d4	lola	2	6	6e-04	0	0.5
CG16719	lola	2	6	4e-04	0	0.5
CadN	lola	2	6	6e-04	0	0.5
gro	lola	2	6	0.0013	0	0.5
sec13	lola	2	6	7e-04	0	0.5
klar	lola	2	6	0.0018	0	0.5
Rack1	lola	2	6	0.0014	0	0.5
Sobp	lola	2	6	0.2014	0	0.5
ash1	lola	2	6	0.0016	0	0.5
inv	lola	2	6	9e-04	0	0.5
shot	lola	2	6	0.0106	0	0.5
Oseg1	lola	2	6	0.001	0	0.5
Spred	lola	2	6	0.0038	0	0.5
puc	lola	2	6	7e-04	0	0.5
Atg6	lola	2	6	0.0013	0	0.5
CG3829	lola	2	6	7e-04	0	0.5
sle	lola	2	6	0.0013	0	0.5
Cka	lola	2	6	1e-04	0	0.5
form3	lola	2	6	0	0	0.5
Pk61C	lola	2	6	0.0036	0	0.5
Pcaf	lola	2	6	1e-04	0	0.5
sbb	lola	2	6	0.0013	0	0.5
Ef1gamma	lola	2	6	4e-04	0	0.5
FKBP59	lola	2	6	0.0011	0	0.5
Eip71CD	lola	2	6	1e-04	0	0.5
xmas.2	lola	2	6	0.001	0	0.5
ppan	lola	2	6	0.0014	0	0.5
Iswi	lola	2	6	0.0012	0	0.5
ine	lola	2	6	6e-04	0	0.5
Tina.1	lola	2	6	0.0099	0	0.5
bon	lola	2	6	0.001	0	0.5
pot	lola	2	6	0.0042	0	0.5
chic	lola	2	6	0.0011	0	0.5
Hem	lola	2	6	2e-04	0	0.5
chif	lola	2	6	1e-04	0	0.5
S6kII	lola	2	6	5e-04	0	0.5
wal	lola	2	6	0.0016	0	0.5
wls	lola	2	6	6e-04	0	0.5
Ddx1	lola	2	6	0.0012	0	0.5
Sulf1	lola	2	6	4e-04	0	0.5
CG3987	lola	2	6	9e-04	0	0.5
Abd.B	lola	2	6	8e-04	0	0.5
Uba1	lola	2	6	9e-04	0	0.5
bigmax	lola	2	6	6e-04	0	0.5
NAT1	lola	2	6	1e-04	0	0.5
wupA	lola	2	6	0.008	0	0.5
Vps28	lola	2	6	0.0088	0	0.5
G.oalpha47A	lola	2	6	8e-04	0	0.5
G.salpha60A	lola	2	6	1e-04	0	0.5
dsf	lola	2	6	2e-04	0	0.5
Khc	lola	2	6	4e-04	0	0.5
CG10641	lola	2	6	9e-04	0	0.5
Alk	lola	2	6	2e-04	0	0.5
ey	lola	2	6	0.0012	0	0.5
noc	lola	2	6	6e-04	0	0.5
ix	lola	2	6	2e-04	0	0.5
Optix	lola	2	6	6e-04	0	0.5
sdt	lola	2	6	6e-04	0	0.5
Sxl	lola	2	6	6e-04	0	0.5
rib	lola	2	6	5e-04	0	0.5
sas	lola	2	6	6e-04	0	0.5
Scgdelta	lola	2	6	0.0041	0	0.5
sw	lola	2	6	4e-04	0	0.5
fal	lola	2	6	0.0018	0	0.5
ea	lola	2	6	9e-04	0	0.5
Ice	lola	2	6	0	0	0.5
cic	lola	2	6	0.0302	0	0.5
Dok	lola	2	6	0.0032	0	0.5
rhea	lola	2	6	0.1721	0	0.5
Glycogenin	lola	2	6	0.0013	0	0.5
