Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	lva	2	6	6e-04	0	0.5
emp	lva	2	6	2e-04	0	0.5
CG2678	lva	2	6	0.0011	0	0.5
crc	lva	2	6	1e-04	0	0.5
pros	lva	2	6	4e-04	0	0.5
neur	lva	2	6	2e-04	0	0.5
Rab5	lva	2	6	9e-04	0	0.5
Rab7	lva	2	6	0.0012	0	0.5
Mmp2	lva	2	6	1e-04	0	0.5
W	lva	2	6	0.643	0.99044	0.5
bowl	lva	2	6	0	0	0.5
fd59A	lva	2	6	0	0	0.5
e	lva	2	6	5e-04	0	0.5
ben	lva	2	6	3e-04	0	0.5
rdo	lva	2	6	1e-04	0	0.5
lin	lva	2	6	9e-04	0	0.5
tra	lva	2	6	1e-04	0	0.5
tra2	lva	2	6	4e-04	0	0.5
cathD	lva	2	6	3e-04	0	0.5
d	lva	2	6	0.0125	0	0.5
lva	lva	2	6	1e-04	0	0.5
pbl	lva	2	6	6e-04	0	0.5
CG33205	lva	2	6	6e-04	0	0.5
da	lva	2	6	2e-04	0	0.5
cactin	lva	2	6	4e-04	0	0.5
hpo	lva	2	6	3e-04	0	0.5
Sema.2a	lva	2	6	0.0048	0	0.5
Eip74EF	lva	2	6	5e-04	0	0.5
eg	lva	2	6	6e-04	0	0.5
Arc42	lva	2	6	6e-04	0	0.5
toy	lva	2	6	9e-04	0	0.5
Galpha73B	lva	2	6	0	0	0.5
RhoGAPp190	lva	2	6	1e-04	0	0.5
MED11	lva	2	6	0	0	0.5
cher	lva	2	6	0.015	0	0.5
BicD	lva	2	6	0.0028	0	0.5
MYPT.75D	lva	2	6	6e-04	0	0.5
mus304	lva	2	6	0	0	0.5
CdsA	lva	2	6	7e-04	0	0.5
btl	lva	2	6	0	0	0.5
Cyt.c.d	lva	2	6	0	0	0.5
tok	lva	2	6	1e-04	0	0.5
ttk	lva	2	6	3e-04	0	0.5
tamo	lva	2	6	3e-04	0	0.5
CG6416	lva	2	6	0	0	0.5
flfl	lva	2	6	0	0	0.5
Pvr	lva	2	6	1e-04	0	0.5
kay	lva	2	6	0.0013	0	0.5
Jra	lva	2	6	2e-04	0	0.5
msk	lva	2	6	0.0056	0	0.5
tll	lva	2	6	3e-04	0	0.5
Tm1	lva	2	6	2e-04	0	0.5
srp	lva	2	6	1e-04	0	0.5
Btk29A	lva	2	6	0.001	0	0.5
fred	lva	2	6	5e-04	0	0.5
Src64B	lva	2	6	4e-04	0	0.5
Mmp1	lva	2	6	3e-04	0	0.5
sll	lva	2	6	8e-04	0	0.5
Hmgs	lva	2	6	7e-04	0	0.5
caps	lva	2	6	0	0	0.5
Su.var.2.10	lva	2	6	0	0	0.5
CycB	lva	2	6	7e-04	0	0.5
spir	lva	2	6	9e-04	0	0.5
spn.A	lva	2	6	1e-04	0	0.5
Ptpmeg	lva	2	6	0	0	0.5
qua	lva	2	6	4e-04	0	0.5
msn	lva	2	6	4e-04	0	0.5
ena	lva	2	6	0	0	0.5
spen	lva	2	6	9e-04	0	0.5
emc	lva	2	6	2e-04	0	0.5
tsh	lva	2	6	4e-04	0	0.5
Dat	lva	2	6	4e-04	0	0.5
Lac	lva	2	6	0.0032	0	0.5
dup	lva	2	6	3e-04	0	0.5
CG3075	lva	2	6	9e-04	0	0.5
Akap200	lva	2	6	4e-04	0	0.5
CG18369	lva	2	6	0	0	0.5
bnl	lva	2	6	0.0188	0	0.5
sec23	lva	2	6	5e-04	0	0.5
Pde8	lva	2	6	1e-04	0	0.5
Arp66B	lva	2	6	7e-04	0	0.5
cos	lva	2	6	7e-04	0	0.5
Borr	lva	2	6	0	0	0.5
X140up	lva	2	6	4e-04	0	0.5
Dhc64C	lva	2	6	2e-04	0	0.5
Not1	lva	2	6	0.001	0	0.5
CG9520	lva	2	6	3e-04	0	0.5
bib	lva	2	6	0.0017	0	0.5
mib1	lva	2	6	3e-04	0	0.5
cas	lva	2	6	0.0014	0	0.5
Abi	lva	2	6	2e-04	0	0.5
betaTub56D	lva	2	6	0	0	0.5
nej	lva	2	6	2e-04	0	0.5
dlg1	lva	2	6	0	0	0.5
