Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	lwr	2	6	0	0	0.5
emp	lwr	2	6	0	0	0.5
CG2678	lwr	2	6	0	0	0.5
crc	lwr	2	6	0	0	0.5
pros	lwr	2	6	1e-04	0	0.5
neur	lwr	2	6	0	0	0.5
Rab5	lwr	2	6	0	0	0.5
Rab7	lwr	2	6	0	0	0.5
Mmp2	lwr	2	6	0	0	0.5
W	lwr	2	6	0	0	0.5
bowl	lwr	2	6	1e-04	0	0.5
fd59A	lwr	2	6	0	0	0.5
e	lwr	2	6	1e-04	0	0.5
ben	lwr	2	6	0	0	0.5
rdo	lwr	2	6	0	0	0.5
lin	lwr	2	6	1e-04	0	0.5
tra	lwr	2	6	2e-04	0	0.5
tra2	lwr	2	6	0	0	0.5
cathD	lwr	2	6	0	0	0.5
d	lwr	2	6	0	0	0.5
lva	lwr	2	6	0	0	0.5
pbl	lwr	2	6	0	0	0.5
CG33205	lwr	2	6	0	0	0.5
da	lwr	2	6	0	0	0.5
cactin	lwr	2	6	0	0	0.5
hpo	lwr	2	6	0	0	0.5
Sema.2a	lwr	2	6	0	0	0.5
Eip74EF	lwr	2	6	1e-04	0	0.5
eg	lwr	2	6	0	0	0.5
Arc42	lwr	2	6	0	0	0.5
toy	lwr	2	6	1e-04	0	0.5
Galpha73B	lwr	2	6	0	0	0.5
RhoGAPp190	lwr	2	6	0	0	0.5
MED11	lwr	2	6	0	0	0.5
cher	lwr	2	6	0	0	0.5
BicD	lwr	2	6	2e-04	0	0.5
MYPT.75D	lwr	2	6	0	0	0.5
mus304	lwr	2	6	1e-04	0	0.5
CdsA	lwr	2	6	0	0	0.5
btl	lwr	2	6	0	0	0.5
Cyt.c.d	lwr	2	6	0	0	0.5
tok	lwr	2	6	0	0	0.5
ttk	lwr	2	6	0	0	0.5
tamo	lwr	2	6	0	0	0.5
CG6416	lwr	2	6	0	0	0.5
flfl	lwr	2	6	0	0	0.5
Pvr	lwr	2	6	0	0	0.5
kay	lwr	2	6	1e-04	0	0.5
Jra	lwr	2	6	0	0	0.5
msk	lwr	2	6	0	0	0.5
tll	lwr	2	6	1e-04	0	0.5
Tm1	lwr	2	6	0	0	0.5
srp	lwr	2	6	0	0	0.5
Btk29A	lwr	2	6	0	0	0.5
fred	lwr	2	6	0	0	0.5
Src64B	lwr	2	6	0	0	0.5
Mmp1	lwr	2	6	0	0	0.5
sll	lwr	2	6	2e-04	0	0.5
Hmgs	lwr	2	6	0	0	0.5
caps	lwr	2	6	0	0	0.5
Su.var.2.10	lwr	2	6	0	0	0.5
CycB	lwr	2	6	3e-04	0	0.5
spir	lwr	2	6	0	0	0.5
spn.A	lwr	2	6	0	0	0.5
Ptpmeg	lwr	2	6	0	0	0.5
qua	lwr	2	6	0	0	0.5
msn	lwr	2	6	0	0	0.5
ena	lwr	2	6	0	0	0.5
spen	lwr	2	6	0	0	0.5
emc	lwr	2	6	0	0	0.5
tsh	lwr	2	6	1e-04	0	0.5
Dat	lwr	2	6	0	0	0.5
Lac	lwr	2	6	0	0	0.5
