Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	mam	2	6	0	0	0.5
emp	mam	2	6	1e-04	0	0.5
CG2678	mam	2	6	0	0	0.5
crc	mam	2	6	0	0	0.5
pros	mam	2	6	0	0	0.5
neur	mam	2	6	8e-04	0	0.5
Rab5	mam	2	6	0	0	0.5
Rab7	mam	2	6	0	0	0.5
Mmp2	mam	2	6	0	0	0.5
W	mam	2	6	0	0	0.5
bowl	mam	2	6	0	0	0.5
fd59A	mam	2	6	0	0	0.5
e	mam	2	6	0	0	0.5
ben	mam	2	6	9e-04	0	0.5
rdo	mam	2	6	5e-04	0	0.5
lin	mam	2	6	0	0	0.5
tra	mam	2	6	0	0	0.5
tra2	mam	2	6	3e-04	0	0.5
cathD	mam	2	6	2e-04	0	0.5
d	mam	2	6	0.0026	0	0.5
lva	mam	2	6	2e-04	0	0.5
pbl	mam	2	6	0	0	0.5
CG33205	mam	2	6	0	0	0.5
da	mam	2	6	8e-04	0	0.5
cactin	mam	2	6	0	0	0.5
hpo	mam	2	6	2e-04	0	0.5
Sema.2a	mam	2	6	2e-04	0	0.5
Eip74EF	mam	2	6	1e-04	0	0.5
eg	mam	2	6	9e-04	0	0.5
Arc42	mam	2	6	5e-04	0	0.5
toy	mam	2	6	2e-04	0	0.5
Galpha73B	mam	2	6	5e-04	0	0.5
RhoGAPp190	mam	2	6	7e-04	0	0.5
MED11	mam	2	6	0	0	0.5
cher	mam	2	6	5e-04	0	0.5
BicD	mam	2	6	0	0	0.5
MYPT.75D	mam	2	6	0	0	0.5
mus304	mam	2	6	3e-04	0	0.5
CdsA	mam	2	6	0	0	0.5
btl	mam	2	6	0	0	0.5
Cyt.c.d	mam	2	6	0	0	0.5
tok	mam	2	6	4e-04	0	0.5
ttk	mam	2	6	0	0	0.5
tamo	mam	2	6	1e-04	0	0.5
CG6416	mam	2	6	0	0	0.5
flfl	mam	2	6	2e-04	0	0.5
Pvr	mam	2	6	0	0	0.5
kay	mam	2	6	0.0165	0	0.5
Jra	mam	2	6	1e-04	0	0.5
msk	mam	2	6	3e-04	0	0.5
tll	mam	2	6	2e-04	0	0.5
Tm1	mam	2	6	0	0	0.5
srp	mam	2	6	7e-04	0	0.5
Btk29A	mam	2	6	0.9655	0.99291	0.5
fred	mam	2	6	0	0	0.5
Src64B	mam	2	6	0	0	0.5
Mmp1	mam	2	6	0	0	0.5
sll	mam	2	6	0	0	0.5
Hmgs	mam	2	6	2e-04	0	0.5
caps	mam	2	6	0	0	0.5
Su.var.2.10	mam	2	6	0	0	0.5
CycB	mam	2	6	3e-04	0	0.5
spir	mam	2	6	0	0	0.5
spn.A	mam	2	6	1e-04	0	0.5
Ptpmeg	mam	2	6	1e-04	0	0.5
qua	mam	2	6	0	0	0.5
msn	mam	2	6	5e-04	0	0.5
ena	mam	2	6	0	0	0.5
spen	mam	2	6	0	0	0.5
emc	mam	2	6	0	0	0.5
tsh	mam	2	6	0	0	0.5
Dat	mam	2	6	2e-04	0	0.5
Lac	mam	2	6	0	0	0.5
dup	mam	2	6	9e-04	0	0.5
CG3075	mam	2	6	0	0	0.5
Akap200	mam	2	6	0	0	0.5
CG18369	mam	2	6	9e-04	0	0.5
bnl	mam	2	6	2e-04	0	0.5
sec23	mam	2	6	0	0	0.5
Pde8	mam	2	6	0	0	0.5
Arp66B	mam	2	6	2e-04	0	0.5
cos	mam	2	6	6e-04	0	0.5
Borr	mam	2	6	3e-04	0	0.5
X140up	mam	2	6	0	0	0.5
Dhc64C	mam	2	6	0	0	0.5
Not1	mam	2	6	0	0	0.5
CG9520	mam	2	6	3e-04	0	0.5
bib	mam	2	6	0	0	0.5
mib1	mam	2	6	4e-04	0	0.5
cas	mam	2	6	0.001	0	0.5
Abi	mam	2	6	7e-04	0	0.5
betaTub56D	mam	2	6	1e-04	0	0.5
nej	mam	2	6	0	0	0.5
dlg1	mam	2	6	0.001	0	0.5
Lcp65Ag1	mam	2	6	0	0	0.5
Es2	mam	2	6	6e-04	0	0.5
MED24	mam	2	6	0	0	0.5
Vhl	mam	2	6	0	0	0.5
tral	mam	2	6	0	0	0.5
sns	mam	2	6	0	0	0.5
mbl	mam	2	6	0.001	0	0.5
sav	mam	2	6	3e-04	0	0.5
lola	mam	2	6	0	0	0.5
robo	mam	2	6	3e-04	0	0.5
CG32486	mam	2	6	0	0	0.5
santa.maria	mam	2	6	0	0	0.5
stumps	mam	2	6	0	0	0.5
abd.A	mam	2	6	2e-04	0	0.5
dock	mam	2	6	1e-04	0	0.5
Lar	mam	2	6	9e-04	0	0.5
l.1.G0289	mam	2	6	0	0	0.5
Abl	mam	2	6	0	0	0.5
Syb	mam	2	6	6e-04	0	0.5
dome	mam	2	6	0	0	0.5
ofs	mam	2	6	0	0	0.5
MED4	mam	2	6	0	0	0.5
scrib	mam	2	6	3e-04	0	0.5
siz	mam	2	6	9e-04	0	0.5
cbx	mam	2	6	0	0	0.5
dsx	mam	2	6	0.001	0	0.5
Sb	mam	2	6	2e-04	0	0.5
sax	mam	2	6	0.0012	0	0.5
foxo	mam	2	6	0	0	0.5
Cyp1	mam	2	6	0	0	0.5
brm	mam	2	6	2e-04	0	0.5
rad50	mam	2	6	0	0	0.5
chico	mam	2	6	5e-04	0	0.5
cp309	mam	2	6	3e-04	0	0.5
hdc	mam	2	6	1e-04	0	0.5
Axn	mam	2	6	0	0	0.5
Apc2	mam	2	6	0	0	0.5
PhKgamma	mam	2	6	4e-04	0	0.5
eya	mam	2	6	4e-04	0	0.5
sktl	mam	2	6	0	0	0.5
sqd	mam	2	6	3e-04	0	0.5
Akt1	mam	2	6	0	0	0.5
scyl	mam	2	6	9e-04	0	0.5
cnk	mam	2	6	0	0	0.5
CG8149	mam	2	6	2e-04	0	0.5
CG34379	mam	2	6	8e-04	0	0.5
Yp1	mam	2	6	5e-04	0	0.5
yrt	mam	2	6	8e-04	0	0.5
bap	mam	2	6	0	0	0.5
tud	mam	2	6	0	0	0.5
ct	mam	2	6	2e-04	0	0.5
tup	mam	2	6	0	0	0.5
G.ialpha65A	mam	2	6	0.9499	-0.99855	0.5
knrl	mam	2	6	2e-04	0	0.5
Pkn	mam	2	6	0	0	0.5
Sry.delta	mam	2	6	0	0	0.5
Alh	mam	2	6	2e-04	0	0.5
pnut	mam	2	6	2e-04	0	0.5
phyl	mam	2	6	1e-04	0	0.5
CG17739	mam	2	6	0.001	0	0.5
B4	mam	2	6	1e-04	0	0.5
CG2681	mam	2	6	0	0	0.5
tow	mam	2	6	0	0	0.5
hkl	mam	2	6	0.001	0	0.5
sina	mam	2	6	1e-04	0	0.5
ry	mam	2	6	2e-04	0	0.5
rux	mam	2	6	0	0	0.5
boss	mam	2	6	0	0	0.5
Mkp3	mam	2	6	0	0	0.5
inaC	mam	2	6	3e-04	0	0.5
sno	mam	2	6	0	0	0.5
jagn	mam	2	6	2e-04	0	0.5
dpn	mam	2	6	9e-04	0	0.5
wrapper	mam	2	6	0	0	0.5
Ca.alpha1D	mam	2	6	0	0	0.5
E2f	mam	2	6	5e-04	0	0.5
Dp	mam	2	6	0	0	0.5
l.2.efl	mam	2	6	5e-04	0	0.5
cnc	mam	2	6	5e-04	0	0.5
Atg5	mam	2	6	3e-04	0	0.5
acj6	mam	2	6	2e-04	0	0.5
Trl	mam	2	6	0	0	0.5
d4	mam	2	6	0	0	0.5
CG16719	mam	2	6	0	0	0.5
CadN	mam	2	6	0	0	0.5
gro	mam	2	6	0	0	0.5
sec13	mam	2	6	1e-04	0	0.5
klar	mam	2	6	0	0	0.5
Rack1	mam	2	6	5e-04	0	0.5
Sobp	mam	2	6	0	0	0.5
ash1	mam	2	6	1e-04	0	0.5
inv	mam	2	6	0	0	0.5
shot	mam	2	6	4e-04	0	0.5
Oseg1	mam	2	6	0	0	0.5
Spred	mam	2	6	0	0	0.5
puc	mam	2	6	1e-04	0	0.5
Atg6	mam	2	6	1e-04	0	0.5
CG3829	mam	2	6	0	0	0.5
sle	mam	2	6	0	0	0.5
Cka	mam	2	6	1e-04	0	0.5
form3	mam	2	6	0	0	0.5
Pk61C	mam	2	6	0.0017	0	0.5
Pcaf	mam	2	6	0.0019	0	0.5
sbb	mam	2	6	7e-04	0	0.5
Ef1gamma	mam	2	6	0	0	0.5
FKBP59	mam	2	6	0	0	0.5
Eip71CD	mam	2	6	0	0	0.5
xmas.2	mam	2	6	0	0	0.5
ppan	mam	2	6	0.0013	0	0.5
Iswi	mam	2	6	0	0	0.5
ine	mam	2	6	0	0	0.5
Tina.1	mam	2	6	3e-04	0	0.5
bon	mam	2	6	0.0015	0	0.5
pot	mam	2	6	8e-04	0	0.5
chic	mam	2	6	0	0	0.5
Hem	mam	2	6	3e-04	0	0.5
chif	mam	2	6	2e-04	0	0.5
S6kII	mam	2	6	6e-04	0	0.5
wal	mam	2	6	0	0	0.5
wls	mam	2	6	1e-04	0	0.5
Ddx1	mam	2	6	0	0	0.5
Sulf1	mam	2	6	0	0	0.5
CG3987	mam	2	6	5e-04	0	0.5
Abd.B	mam	2	6	7e-04	0	0.5
Uba1	mam	2	6	0	0	0.5
bigmax	mam	2	6	3e-04	0	0.5
NAT1	mam	2	6	9e-04	0	0.5
wupA	mam	2	6	5e-04	0	0.5
Vps28	mam	2	6	0	0	0.5
G.oalpha47A	mam	2	6	1e-04	0	0.5
G.salpha60A	mam	2	6	0	0	0.5
dsf	mam	2	6	0	0	0.5
Khc	mam	2	6	0.001	0	0.5
CG10641	mam	2	6	0	0	0.5
Alk	mam	2	6	7e-04	0	0.5
ey	mam	2	6	0	0	0.5
noc	mam	2	6	4e-04	0	0.5
ix	mam	2	6	5e-04	0	0.5
Optix	mam	2	6	0	0	0.5
sdt	mam	2	6	1e-04	0	0.5
Sxl	mam	2	6	1e-04	0	0.5
rib	mam	2	6	3e-04	0	0.5
sas	mam	2	6	0	0	0.5
Scgdelta	mam	2	6	9e-04	0	0.5
sw	mam	2	6	3e-04	0	0.5
fal	mam	2	6	1e-04	0	0.5
ea	mam	2	6	0	0	0.5
Ice	mam	2	6	0	0	0.5
cic	mam	2	6	0	0	0.5
Dok	mam	2	6	0	0	0.5
rhea	mam	2	6	0	0	0.5
Glycogenin	mam	2	6	2e-04	0	0.5
cin	mam	2	6	0.001	0	0.5
chp	mam	2	6	2e-04	0	0.5
Dlic2	mam	2	6	1e-04	0	0.5
Pk92B	mam	2	6	0	0	0.5
Pak	mam	2	6	0	0	0.5
Lim1	mam	2	6	0	0	0.5
CG34450	mam	2	6	0	0	0.5
Su.H.	mam	2	6	0	0	0.5
CG12301	mam	2	6	0	0	0.5
lilli	mam	2	6	0	0	0.5
toe	mam	2	6	0	0	0.5
qkr58E.3	mam	2	6	3e-04	0	0.5
up	mam	2	6	0	0	0.5
hep	mam	2	6	0	0	0.5
Dap160	mam	2	6	0.0014	0	0.5
l.2.gd1	mam	2	6	0	0	0.5
hkb	mam	2	6	0.001	0	0.5
beta4GalNAcTA	mam	2	6	0.0075	0	0.5
Mer	mam	2	6	0	0	0.5
Mtl	mam	2	6	7e-04	0	0.5
spin	mam	2	6	0	0	0.5
mfas	mam	2	6	7e-04	0	0.5
frc	mam	2	6	7e-04	0	0.5
Krn	mam	2	6	0	0	0.5
mam	mam	2	6	0.001	0	0.5
brk	mam	2	6	1e-04	0	0.5
Ark	mam	2	6	0	0	0.5
mmy	mam	2	6	0	0	0.5
mri	mam	2	6	0	0	0.5
Crk	mam	2	6	9e-04	0	0.5
ssh	mam	2	6	2e-04	0	0.5
fs.1.K10	mam	2	6	2e-04	0	0.5
Psn	mam	2	6	0	0	0.5
CG9509	mam	2	6	1e-04	0	0.5
CkIIalpha	mam	2	6	0.0018	0	0.5
car	mam	2	6	0	0	0.5
capu	mam	2	6	0	0	0.5
cact	mam	2	6	0	0	0.5
Patj	mam	2	6	0	0	0.5
dpp	mam	2	6	0.0024	0	0.5
xl6	mam	2	6	3e-04	0	0.5
dally	mam	2	6	0	0	0.5
Pi3K92E	mam	2	6	0	0	0.5
E.bx.	mam	2	6	0	0	0.5
emb	mam	2	6	5e-04	0	0.5
CtBP	mam	2	6	2e-04	0	0.5
Dad	mam	2	6	0	0	0.5
amx	mam	2	6	0.0028	0	0.5
Ank2	mam	2	6	0	0	0.5
CG34417	mam	2	6	0.0018	0	0.5
scra	mam	2	6	0	0	0.5
dsd	mam	2	6	0.0013	0	0.5
Ephrin	mam	2	6	0	0	0.5
Appl	mam	2	6	2e-04	0	0.5
sty	mam	2	6	5e-04	0	0.5
RhoL	mam	2	6	2e-04	0	0.5
twi	mam	2	6	1e-04	0	0.5
tub	mam	2	6	0	0	0.5
ftz.f1	mam	2	6	0	0	0.5
wg	mam	2	6	0	0	0.5
LanB1	mam	2	6	1e-04	0	0.5
LanA	mam	2	6	0	0	0.5
LanB2	mam	2	6	0	0	0.5
Chi	mam	2	6	0	0	0.5
nmo	mam	2	6	0	0	0.5
ics	mam	2	6	0	0	0.5
oaf	mam	2	6	1e-04	0	0.5
dco	mam	2	6	9e-04	0	0.5
Dys	mam	2	6	0	0	0.5
drm	mam	2	6	0	0	0.5
RpL30	mam	2	6	6e-04	0	0.5
how	mam	2	6	0	0	0.5
dei	mam	2	6	0.0013	0	0.5
CG1244	mam	2	6	0	0	0.5
Chc	mam	2	6	0	0	0.5
Orct	mam	2	6	1e-04	0	0.5
sgl	mam	2	6	0	0	0.5
CG17221	mam	2	6	0	0	0.5
gkt	mam	2	6	0	0	0.5
by	mam	2	6	1e-04	0	0.5
Pka.C3	mam	2	6	0	0	0.5
vlc	mam	2	6	6e-04	0	0.5
fl.2.d	mam	2	6	0	0	0.5
Nf1	mam	2	6	0	0	0.5
CG6372	mam	2	6	3e-04	0	0.5
Rho1	mam	2	6	2e-04	0	0.5
kuk	mam	2	6	2e-04	0	0.5
l.2.gl	mam	2	6	5e-04	0	0.5
Ald	mam	2	6	0.0018	0	0.5
jumu	mam	2	6	0	0	0.5
glu	mam	2	6	0	0	0.5
fs.2.ltoPP43	mam	2	6	4e-04	0	0.5
CycE	mam	2	6	0	0	0.5
CG8247	mam	2	6	3e-04	0	0.5
CSN4	mam	2	6	0.0014	0	0.5
X18w	mam	2	6	0	0	0.5
bs	mam	2	6	5e-04	0	0.5
Nrt	mam	2	6	0	0	0.5
mask	mam	2	6	0	0	0.5
gl	mam	2	6	0	0	0.5
Cp1	mam	2	6	0	0	0.5
ex	mam	2	6	0	0	0.5
jing	mam	2	6	0	0	0.5
shrb	mam	2	6	0	0	0.5
raw	mam	2	6	0	0	0.5
CG9445	mam	2	6	3e-04	0	0.5
gbb	mam	2	6	9e-04	0	0.5
Hs2st	mam	2	6	7e-04	0	0.5
sls	mam	2	6	1e-04	0	0.5
kis	mam	2	6	0	0	0.5
