Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	mask	2	6	0	0	0.5
emp	mask	2	6	0	0	0.5
CG2678	mask	2	6	0	0	0.5
crc	mask	2	6	0	0	0.5
pros	mask	2	6	0	0	0.5
neur	mask	2	6	0	0	0.5
Rab5	mask	2	6	0	0	0.5
Rab7	mask	2	6	0	0	0.5
Mmp2	mask	2	6	0	0	0.5
W	mask	2	6	1e-04	0	0.5
bowl	mask	2	6	0	0	0.5
fd59A	mask	2	6	0	0	0.5
e	mask	2	6	0	0	0.5
ben	mask	2	6	0	0	0.5
rdo	mask	2	6	1e-04	0	0.5
lin	mask	2	6	0	0	0.5
tra	mask	2	6	0	0	0.5
tra2	mask	2	6	0	0	0.5
cathD	mask	2	6	0	0	0.5
d	mask	2	6	3e-04	0	0.5
lva	mask	2	6	0	0	0.5
pbl	mask	2	6	0	0	0.5
CG33205	mask	2	6	1e-04	0	0.5
da	mask	2	6	0	0	0.5
cactin	mask	2	6	0	0	0.5
hpo	mask	2	6	0	0	0.5
Sema.2a	mask	2	6	0	0	0.5
Eip74EF	mask	2	6	2e-04	0	0.5
eg	mask	2	6	1e-04	0	0.5
Arc42	mask	2	6	2e-04	0	0.5
toy	mask	2	6	2e-04	0	0.5
Galpha73B	mask	2	6	0	0	0.5
RhoGAPp190	mask	2	6	0	0	0.5
MED11	mask	2	6	0	0	0.5
cher	mask	2	6	2e-04	0	0.5
BicD	mask	2	6	0	0	0.5
MYPT.75D	mask	2	6	0	0	0.5
mus304	mask	2	6	0	0	0.5
CdsA	mask	2	6	0	0	0.5
btl	mask	2	6	0	0	0.5
Cyt.c.d	mask	2	6	0	0	0.5
tok	mask	2	6	3e-04	0	0.5
ttk	mask	2	6	0	0	0.5
tamo	mask	2	6	0	0	0.5
CG6416	mask	2	6	1e-04	0	0.5
flfl	mask	2	6	0	0	0.5
Pvr	mask	2	6	1e-04	0	0.5
kay	mask	2	6	0	0	0.5
Jra	mask	2	6	0	0	0.5
msk	mask	2	6	0	0	0.5
tll	mask	2	6	0	0	0.5
Tm1	mask	2	6	0	0	0.5
srp	mask	2	6	0	0	0.5
Btk29A	mask	2	6	0	0	0.5
fred	mask	2	6	0	0	0.5
Src64B	mask	2	6	0	0	0.5
Mmp1	mask	2	6	0	0	0.5
sll	mask	2	6	0	0	0.5
Hmgs	mask	2	6	0	0	0.5
caps	mask	2	6	0	0	0.5
Su.var.2.10	mask	2	6	0	0	0.5
CycB	mask	2	6	0	0	0.5
spir	mask	2	6	0	0	0.5
spn.A	mask	2	6	0	0	0.5
Ptpmeg	mask	2	6	0	0	0.5
qua	mask	2	6	0	0	0.5
msn	mask	2	6	2e-04	0	0.5
ena	mask	2	6	0	0	0.5
spen	mask	2	6	0	0	0.5
emc	mask	2	6	0	0	0.5
tsh	mask	2	6	0	0	0.5
Dat	mask	2	6	0	0	0.5
Lac	mask	2	6	0	0	0.5
dup	mask	2	6	0	0	0.5
CG3075	mask	2	6	2e-04	0	0.5
Akap200	mask	2	6	0	0	0.5
CG18369	mask	2	6	0	0	0.5
bnl	mask	2	6	0	0	0.5
sec23	mask	2	6	0	0	0.5
Pde8	mask	2	6	7e-04	0	0.5
Arp66B	mask	2	6	0	0	0.5
cos	mask	2	6	0	0	0.5
Borr	mask	2	6	0	0	0.5
X140up	mask	2	6	0	0	0.5
Dhc64C	mask	2	6	0	0	0.5
Not1	mask	2	6	0	0	0.5
CG9520	mask	2	6	0	0	0.5
bib	mask	2	6	0	0	0.5
mib1	mask	2	6	0	0	0.5
cas	mask	2	6	0	0	0.5
Abi	mask	2	6	0	0	0.5
betaTub56D	mask	2	6	0	0	0.5
nej	mask	2	6	0	0	0.5
dlg1	mask	2	6	1e-04	0	0.5
Lcp65Ag1	mask	2	6	0	0	0.5
Es2	mask	2	6	0	0	0.5
MED24	mask	2	6	2e-04	0	0.5
Vhl	mask	2	6	0	0	0.5
tral	mask	2	6	0	0	0.5
sns	mask	2	6	0	0	0.5
mbl	mask	2	6	0	0	0.5
sav	mask	2	6	2e-04	0	0.5
lola	mask	2	6	0	0	0.5
robo	mask	2	6	0	0	0.5
CG32486	mask	2	6	0	0	0.5
santa.maria	mask	2	6	0	0	0.5
