Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	mbl	2	6	0	0	0.5
emp	mbl	2	6	2e-04	0	0.5
CG2678	mbl	2	6	2e-04	0	0.5
crc	mbl	2	6	0	0	0.5
pros	mbl	2	6	8e-04	0	0.5
neur	mbl	2	6	2e-04	0	0.5
Rab5	mbl	2	6	0	0	0.5
Rab7	mbl	2	6	0.006	0	0.5
Mmp2	mbl	2	6	2e-04	0	0.5
W	mbl	2	6	1e-04	0	0.5
bowl	mbl	2	6	1e-04	0	0.5
fd59A	mbl	2	6	2e-04	0	0.5
e	mbl	2	6	0	0	0.5
ben	mbl	2	6	0	0	0.5
rdo	mbl	2	6	2e-04	0	0.5
lin	mbl	2	6	0	0	0.5
tra	mbl	2	6	0	0	0.5
tra2	mbl	2	6	5e-04	0	0.5
cathD	mbl	2	6	8e-04	0	0.5
d	mbl	2	6	0.0013	0	0.5
lva	mbl	2	6	0.001	0	0.5
pbl	mbl	2	6	0	0	0.5
CG33205	mbl	2	6	3e-04	0	0.5
da	mbl	2	6	0	0	0.5
cactin	mbl	2	6	4e-04	0	0.5
hpo	mbl	2	6	3e-04	0	0.5
Sema.2a	mbl	2	6	0	0	0.5
Eip74EF	mbl	2	6	1e-04	0	0.5
eg	mbl	2	6	1e-04	0	0.5
Arc42	mbl	2	6	1e-04	0	0.5
toy	mbl	2	6	4e-04	0	0.5
Galpha73B	mbl	2	6	0	0	0.5
RhoGAPp190	mbl	2	6	3e-04	0	0.5
MED11	mbl	2	6	4e-04	0	0.5
cher	mbl	2	6	2e-04	0	0.5
BicD	mbl	2	6	8e-04	0	0.5
MYPT.75D	mbl	2	6	2e-04	0	0.5
mus304	mbl	2	6	0	0	0.5
CdsA	mbl	2	6	0	0	0.5
btl	mbl	2	6	6e-04	0	0.5
Cyt.c.d	mbl	2	6	0	0	0.5
tok	mbl	2	6	0	0	0.5
ttk	mbl	2	6	0	0	0.5
tamo	mbl	2	6	0	0	0.5
CG6416	mbl	2	6	3e-04	0	0.5
flfl	mbl	2	6	9e-04	0	0.5
Pvr	mbl	2	6	3e-04	0	0.5
kay	mbl	2	6	3e-04	0	0.5
Jra	mbl	2	6	0	0	0.5
msk	mbl	2	6	0.001	0	0.5
tll	mbl	2	6	1e-04	0	0.5
Tm1	mbl	2	6	5e-04	0	0.5
srp	mbl	2	6	1e-04	0	0.5
Btk29A	mbl	2	6	3e-04	0	0.5
fred	mbl	2	6	0	0	0.5
Src64B	mbl	2	6	0	0	0.5
Mmp1	mbl	2	6	0	0	0.5
sll	mbl	2	6	2e-04	0	0.5
Hmgs	mbl	2	6	0	0	0.5
caps	mbl	2	6	1e-04	0	0.5
Su.var.2.10	mbl	2	6	0	0	0.5
CycB	mbl	2	6	3e-04	0	0.5
spir	mbl	2	6	0	0	0.5
spn.A	mbl	2	6	0.001	0	0.5
Ptpmeg	mbl	2	6	2e-04	0	0.5
qua	mbl	2	6	4e-04	0	0.5
msn	mbl	2	6	0	0	0.5
ena	mbl	2	6	3e-04	0	0.5
spen	mbl	2	6	2e-04	0	0.5
emc	mbl	2	6	4e-04	0	0.5
tsh	mbl	2	6	2e-04	0	0.5
Dat	mbl	2	6	0	0	0.5
Lac	mbl	2	6	1e-04	0	0.5
dup	mbl	2	6	3e-04	0	0.5
CG3075	mbl	2	6	0	0	0.5
Akap200	mbl	2	6	2e-04	0	0.5
CG18369	mbl	2	6	1e-04	0	0.5
bnl	mbl	2	6	0	0	0.5
sec23	mbl	2	6	0.001	0	0.5
Pde8	mbl	2	6	3e-04	0	0.5
Arp66B	mbl	2	6	0	0	0.5
cos	mbl	2	6	1e-04	0	0.5
Borr	mbl	2	6	1e-04	0	0.5
X140up	mbl	2	6	0	0	0.5
Dhc64C	mbl	2	6	0	0	0.5
Not1	mbl	2	6	0	0	0.5
CG9520	mbl	2	6	1e-04	0	0.5
bib	mbl	2	6	8e-04	0	0.5
mib1	mbl	2	6	0	0	0.5
cas	mbl	2	6	4e-04	0	0.5
Abi	mbl	2	6	2e-04	0	0.5
betaTub56D	mbl	2	6	5e-04	0	0.5
nej	mbl	2	6	1e-04	0	0.5
dlg1	mbl	2	6	1e-04	0	0.5
Lcp65Ag1	mbl	2	6	2e-04	0	0.5
Es2	mbl	2	6	2e-04	0	0.5
MED24	mbl	2	6	0	0	0.5
Vhl	mbl	2	6	7e-04	0	0.5
tral	mbl	2	6	0	0	0.5
sns	mbl	2	6	2e-04	0	0.5
mbl	mbl	2	6	0	0	0.5
sav	mbl	2	6	2e-04	0	0.5
lola	mbl	2	6	0	0	0.5
robo	mbl	2	6	3e-04	0	0.5
CG32486	mbl	2	6	2e-04	0	0.5
santa.maria	mbl	2	6	2e-04	0	0.5
stumps	mbl	2	6	4e-04	0	0.5
abd.A	mbl	2	6	1e-04	0	0.5
dock	mbl	2	6	0	0	0.5
Lar	mbl	2	6	0	0	0.5
l.1.G0289	mbl	2	6	5e-04	0	0.5
Abl	mbl	2	6	0	0	0.5
Syb	mbl	2	6	1e-04	0	0.5
dome	mbl	2	6	3e-04	0	0.5
ofs	mbl	2	6	0	0	0.5
MED4	mbl	2	6	2e-04	0	0.5
scrib	mbl	2	6	0.0011	0	0.5
siz	mbl	2	6	2e-04	0	0.5
cbx	mbl	2	6	2e-04	0	0.5
dsx	mbl	2	6	4e-04	0	0.5
Sb	mbl	2	6	2e-04	0	0.5
sax	mbl	2	6	1e-04	0	0.5
foxo	mbl	2	6	1e-04	0	0.5
Cyp1	mbl	2	6	4e-04	0	0.5
brm	mbl	2	6	2e-04	0	0.5
rad50	mbl	2	6	1e-04	0	0.5
chico	mbl	2	6	4e-04	0	0.5
cp309	mbl	2	6	1e-04	0	0.5
hdc	mbl	2	6	2e-04	0	0.5
Axn	mbl	2	6	0	0	0.5
Apc2	mbl	2	6	1e-04	0	0.5
PhKgamma	mbl	2	6	4e-04	0	0.5
eya	mbl	2	6	8e-04	0	0.5
sktl	mbl	2	6	0	0	0.5
sqd	mbl	2	6	1e-04	0	0.5
Akt1	mbl	2	6	5e-04	0	0.5
scyl	mbl	2	6	0	0	0.5
cnk	mbl	2	6	3e-04	0	0.5
CG8149	mbl	2	6	1e-04	0	0.5
CG34379	mbl	2	6	2e-04	0	0.5
Yp1	mbl	2	6	0	0	0.5
yrt	mbl	2	6	0	0	0.5
bap	mbl	2	6	0.0011	0	0.5
tud	mbl	2	6	0	0	0.5
ct	mbl	2	6	6e-04	0	0.5
tup	mbl	2	6	5e-04	0	0.5
G.ialpha65A	mbl	2	6	1e-04	0	0.5
knrl	mbl	2	6	5e-04	0	0.5
Pkn	mbl	2	6	3e-04	0	0.5
Sry.delta	mbl	2	6	1e-04	0	0.5
