Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	mbo	2	6	0	0	0.5
emp	mbo	2	6	0	0	0.5
CG2678	mbo	2	6	1e-04	0	0.5
crc	mbo	2	6	0	0	0.5
pros	mbo	2	6	0	0	0.5
neur	mbo	2	6	1e-04	0	0.5
Rab5	mbo	2	6	0	0	0.5
Rab7	mbo	2	6	0	0	0.5
Mmp2	mbo	2	6	0	0	0.5
W	mbo	2	6	0	0	0.5
bowl	mbo	2	6	1e-04	0	0.5
fd59A	mbo	2	6	0	0	0.5
e	mbo	2	6	0	0	0.5
ben	mbo	2	6	0	0	0.5
rdo	mbo	2	6	0	0	0.5
lin	mbo	2	6	0	0	0.5
tra	mbo	2	6	1e-04	0	0.5
tra2	mbo	2	6	0	0	0.5
cathD	mbo	2	6	0	0	0.5
d	mbo	2	6	0	0	0.5
lva	mbo	2	6	0	0	0.5
pbl	mbo	2	6	3e-04	0	0.5
CG33205	mbo	2	6	0	0	0.5
da	mbo	2	6	0	0	0.5
cactin	mbo	2	6	0	0	0.5
hpo	mbo	2	6	0	0	0.5
Sema.2a	mbo	2	6	0	0	0.5
Eip74EF	mbo	2	6	0	0	0.5
eg	mbo	2	6	0	0	0.5
Arc42	mbo	2	6	0	0	0.5
toy	mbo	2	6	0	0	0.5
Galpha73B	mbo	2	6	0	0	0.5
RhoGAPp190	mbo	2	6	0	0	0.5
MED11	mbo	2	6	2e-04	0	0.5
cher	mbo	2	6	0	0	0.5
BicD	mbo	2	6	1e-04	0	0.5
MYPT.75D	mbo	2	6	0	0	0.5
mus304	mbo	2	6	0	0	0.5
CdsA	mbo	2	6	0	0	0.5
btl	mbo	2	6	0	0	0.5
Cyt.c.d	mbo	2	6	0	0	0.5
tok	mbo	2	6	0	0	0.5
ttk	mbo	2	6	1e-04	0	0.5
tamo	mbo	2	6	0	0	0.5
CG6416	mbo	2	6	0	0	0.5
flfl	mbo	2	6	0	0	0.5
Pvr	mbo	2	6	0	0	0.5
kay	mbo	2	6	0	0	0.5
Jra	mbo	2	6	0	0	0.5
msk	mbo	2	6	0	0	0.5
tll	mbo	2	6	0	0	0.5
Tm1	mbo	2	6	2e-04	0	0.5
srp	mbo	2	6	0	0	0.5
Btk29A	mbo	2	6	0	0	0.5
fred	mbo	2	6	0	0	0.5
Src64B	mbo	2	6	0	0	0.5
Mmp1	mbo	2	6	5e-04	0	0.5
sll	mbo	2	6	0	0	0.5
Hmgs	mbo	2	6	0	0	0.5
caps	mbo	2	6	3e-04	0	0.5
Su.var.2.10	mbo	2	6	0	0	0.5
CycB	mbo	2	6	0	0	0.5
spir	mbo	2	6	0	0	0.5
spn.A	mbo	2	6	0	0	0.5
Ptpmeg	mbo	2	6	3e-04	0	0.5
qua	mbo	2	6	0	0	0.5
msn	mbo	2	6	0	0	0.5
ena	mbo	2	6	0	0	0.5
spen	mbo	2	6	0	0	0.5
emc	mbo	2	6	0.001	0	0.5
tsh	mbo	2	6	0	0	0.5
Dat	mbo	2	6	0	0	0.5
Lac	mbo	2	6	0	0	0.5
dup	mbo	2	6	0	0	0.5
CG3075	mbo	2	6	0	0	0.5
Akap200	mbo	2	6	0	0	0.5
CG18369	mbo	2	6	0	0	0.5
bnl	mbo	2	6	2e-04	0	0.5
sec23	mbo	2	6	3e-04	0	0.5
Pde8	mbo	2	6	3e-04	0	0.5
Arp66B	mbo	2	6	0	0	0.5
cos	mbo	2	6	0	0	0.5
Borr	mbo	2	6	0	0	0.5
X140up	mbo	2	6	0	0	0.5
Dhc64C	mbo	2	6	1e-04	0	0.5
Not1	mbo	2	6	0	0	0.5
CG9520	mbo	2	6	0	0	0.5
bib	mbo	2	6	0	0	0.5
mib1	mbo	2	6	0	0	0.5
cas	mbo	2	6	0	0	0.5
Abi	mbo	2	6	0	0	0.5
betaTub56D	mbo	2	6	0	0	0.5
nej	mbo	2	6	0	0	0.5
dlg1	mbo	2	6	1e-04	0	0.5
Lcp65Ag1	mbo	2	6	0	0	0.5
Es2	mbo	2	6	0	0	0.5
MED24	mbo	2	6	0	0	0.5
Vhl	mbo	2	6	0	0	0.5
tral	mbo	2	6	0	0	0.5
sns	mbo	2	6	1e-04	0	0.5
mbl	mbo	2	6	0	0	0.5
sav	mbo	2	6	0	0	0.5
lola	mbo	2	6	2e-04	0	0.5
robo	mbo	2	6	0	0	0.5
CG32486	mbo	2	6	2e-04	0	0.5
santa.maria	mbo	2	6	0	0	0.5
stumps	mbo	2	6	0	0	0.5
abd.A	mbo	2	6	3e-04	0	0.5
dock	mbo	2	6	0	0	0.5
Lar	mbo	2	6	1e-04	0	0.5
l.1.G0289	mbo	2	6	0	0	0.5
Abl	mbo	2	6	0	0	0.5
Syb	mbo	2	6	0	0	0.5
dome	mbo	2	6	1e-04	0	0.5
ofs	mbo	2	6	0	0	0.5
MED4	mbo	2	6	0	0	0.5
scrib	mbo	2	6	0	0	0.5
siz	mbo	2	6	1e-04	0	0.5
cbx	mbo	2	6	3e-04	0	0.5
dsx	mbo	2	6	1e-04	0	0.5
Sb	mbo	2	6	0	0	0.5
sax	mbo	2	6	1e-04	0	0.5
foxo	mbo	2	6	0	0	0.5
Cyp1	mbo	2	6	0	0	0.5
brm	mbo	2	6	0	0	0.5
rad50	mbo	2	6	0	0	0.5
chico	mbo	2	6	0	0	0.5
cp309	mbo	2	6	0	0	0.5
hdc	mbo	2	6	4e-04	0	0.5
Axn	mbo	2	6	3e-04	0	0.5
Apc2	mbo	2	6	1e-04	0	0.5
PhKgamma	mbo	2	6	0	0	0.5
eya	mbo	2	6	2e-04	0	0.5
sktl	mbo	2	6	0	0	0.5
sqd	mbo	2	6	0	0	0.5
Akt1	mbo	2	6	0	0	0.5
scyl	mbo	2	6	0	0	0.5
cnk	mbo	2	6	2e-04	0	0.5
CG8149	mbo	2	6	0	0	0.5
CG34379	mbo	2	6	0	0	0.5
Yp1	mbo	2	6	0	0	0.5
yrt	mbo	2	6	0	0	0.5
bap	mbo	2	6	0	0	0.5
tud	mbo	2	6	0	0	0.5
ct	mbo	2	6	0	0	0.5
tup	mbo	2	6	0	0	0.5
G.ialpha65A	mbo	2	6	0	0	0.5
knrl	mbo	2	6	1e-04	0	0.5
Pkn	mbo	2	6	0	0	0.5
Sry.delta	mbo	2	6	0	0	0.5
Alh	mbo	2	6	0	0	0.5
pnut	mbo	2	6	0	0	0.5
phyl	mbo	2	6	0	0	0.5
CG17739	mbo	2	6	0	0	0.5
B4	mbo	2	6	0	0	0.5
CG2681	mbo	2	6	1e-04	0	0.5
tow	mbo	2	6	0	0	0.5
hkl	mbo	2	6	0	0	0.5
sina	mbo	2	6	0	0	0.5
ry	mbo	2	6	0	0	0.5
rux	mbo	2	6	2e-04	0	0.5
boss	mbo	2	6	1e-04	0	0.5
Mkp3	mbo	2	6	3e-04	0	0.5
inaC	mbo	2	6	0	0	0.5
sno	mbo	2	6	0	0	0.5
jagn	mbo	2	6	3e-04	0	0.5
dpn	mbo	2	6	0	0	0.5
wrapper	mbo	2	6	1e-04	0	0.5
Ca.alpha1D	mbo	2	6	0	0	0.5
E2f	mbo	2	6	0	0	0.5
Dp	mbo	2	6	0	0	0.5
l.2.efl	mbo	2	6	0	0	0.5
cnc	mbo	2	6	1e-04	0	0.5
Atg5	mbo	2	6	5e-04	0	0.5
acj6	mbo	2	6	0	0	0.5
Trl	mbo	2	6	0	0	0.5
d4	mbo	2	6	6e-04	0	0.5
CG16719	mbo	2	6	0	0	0.5
CadN	mbo	2	6	0	0	0.5
gro	mbo	2	6	0	0	0.5
sec13	mbo	2	6	0	0	0.5
klar	mbo	2	6	0	0	0.5
Rack1	mbo	2	6	0	0	0.5
Sobp	mbo	2	6	0	0	0.5
ash1	mbo	2	6	3e-04	0	0.5
inv	mbo	2	6	0	0	0.5
shot	mbo	2	6	2e-04	0	0.5
Oseg1	mbo	2	6	0	0	0.5
Spred	mbo	2	6	0	0	0.5
puc	mbo	2	6	0	0	0.5
Atg6	mbo	2	6	0	0	0.5
CG3829	mbo	2	6	0	0	0.5
sle	mbo	2	6	0	0	0.5
Cka	mbo	2	6	1e-04	0	0.5
form3	mbo	2	6	0	0	0.5
Pk61C	mbo	2	6	0	0	0.5
Pcaf	mbo	2	6	0	0	0.5
sbb	mbo	2	6	0	0	0.5
Ef1gamma	mbo	2	6	3e-04	0	0.5
FKBP59	mbo	2	6	0	0	0.5
Eip71CD	mbo	2	6	3e-04	0	0.5
xmas.2	mbo	2	6	1	0.99923	0.5
ppan	mbo	2	6	0	0	0.5
Iswi	mbo	2	6	0	0	0.5
ine	mbo	2	6	0	0	0.5
Tina.1	mbo	2	6	0	0	0.5
bon	mbo	2	6	0	0	0.5
pot	mbo	2	6	0	0	0.5
chic	mbo	2	6	0	0	0.5
Hem	mbo	2	6	0	0	0.5
chif	mbo	2	6	0	0	0.5
S6kII	mbo	2	6	0	0	0.5
wal	mbo	2	6	0	0	0.5
