Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	mbt	2	6	2e-04	0	0.5
emp	mbt	2	6	0	0	0.5
CG2678	mbt	2	6	0.001	0	0.5
crc	mbt	2	6	0	0	0.5
pros	mbt	2	6	0	0	0.5
neur	mbt	2	6	0	0	0.5
Rab5	mbt	2	6	0	0	0.5
Rab7	mbt	2	6	0	0	0.5
Mmp2	mbt	2	6	0	0	0.5
W	mbt	2	6	0	0	0.5
bowl	mbt	2	6	2e-04	0	0.5
fd59A	mbt	2	6	0	0	0.5
e	mbt	2	6	0	0	0.5
ben	mbt	2	6	0	0	0.5
rdo	mbt	2	6	0	0	0.5
lin	mbt	2	6	1e-04	0	0.5
tra	mbt	2	6	1e-04	0	0.5
tra2	mbt	2	6	2e-04	0	0.5
cathD	mbt	2	6	1e-04	0	0.5
d	mbt	2	6	3e-04	0	0.5
lva	mbt	2	6	0	0	0.5
pbl	mbt	2	6	0	0	0.5
CG33205	mbt	2	6	0	0	0.5
da	mbt	2	6	0.001	0	0.5
cactin	mbt	2	6	0	0	0.5
hpo	mbt	2	6	2e-04	0	0.5
Sema.2a	mbt	2	6	1e-04	0	0.5
Eip74EF	mbt	2	6	0	0	0.5
eg	mbt	2	6	1e-04	0	0.5
Arc42	mbt	2	6	0.0011	0	0.5
toy	mbt	2	6	0	0	0.5
Galpha73B	mbt	2	6	4e-04	0	0.5
RhoGAPp190	mbt	2	6	0	0	0.5
MED11	mbt	2	6	0	0	0.5
cher	mbt	2	6	0	0	0.5
BicD	mbt	2	6	0	0	0.5
MYPT.75D	mbt	2	6	5e-04	0	0.5
mus304	mbt	2	6	0	0	0.5
CdsA	mbt	2	6	4e-04	0	0.5
btl	mbt	2	6	0	0	0.5
Cyt.c.d	mbt	2	6	0	0	0.5
tok	mbt	2	6	5e-04	0	0.5
ttk	mbt	2	6	0	0	0.5
tamo	mbt	2	6	0.0018	0	0.5
CG6416	mbt	2	6	4e-04	0	0.5
flfl	mbt	2	6	0.0886	0	0.5
Pvr	mbt	2	6	0	0	0.5
kay	mbt	2	6	0.0015	0	0.5
Jra	mbt	2	6	6e-04	0	0.5
msk	mbt	2	6	5e-04	0	0.5
tll	mbt	2	6	0	0	0.5
Tm1	mbt	2	6	2e-04	0	0.5
srp	mbt	2	6	0.001	0	0.5
Btk29A	mbt	2	6	4e-04	0	0.5
fred	mbt	2	6	0	0	0.5
Src64B	mbt	2	6	0	0	0.5
Mmp1	mbt	2	6	0	0	0.5
sll	mbt	2	6	4e-04	0	0.5
Hmgs	mbt	2	6	8e-04	0	0.5
caps	mbt	2	6	7e-04	0	0.5
Su.var.2.10	mbt	2	6	1e-04	0	0.5
CycB	mbt	2	6	0	0	0.5
spir	mbt	2	6	0	0	0.5
spn.A	mbt	2	6	0	0	0.5
Ptpmeg	mbt	2	6	0.0019	0	0.5
qua	mbt	2	6	2e-04	0	0.5
msn	mbt	2	6	0	0	0.5
ena	mbt	2	6	0.0013	0	0.5
spen	mbt	2	6	0	0	0.5
emc	mbt	2	6	1e-04	0	0.5
tsh	mbt	2	6	5e-04	0	0.5
Dat	mbt	2	6	2e-04	0	0.5
Lac	mbt	2	6	0	0	0.5
dup	mbt	2	6	0	0	0.5
CG3075	mbt	2	6	6e-04	0	0.5
Akap200	mbt	2	6	0	0	0.5
CG18369	mbt	2	6	8e-04	0	0.5
bnl	mbt	2	6	0	0	0.5
sec23	mbt	2	6	0	0	0.5
Pde8	mbt	2	6	0	0	0.5
Arp66B	mbt	2	6	0	0	0.5
cos	mbt	2	6	5e-04	0	0.5
Borr	mbt	2	6	1e-04	0	0.5
