Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	mfas	2	6	0	0	0.5
emp	mfas	2	6	0	0	0.5
CG2678	mfas	2	6	0	0	0.5
crc	mfas	2	6	1e-04	0	0.5
pros	mfas	2	6	0	0	0.5
neur	mfas	2	6	0	0	0.5
Rab5	mfas	2	6	2e-04	0	0.5
Rab7	mfas	2	6	0	0	0.5
Mmp2	mfas	2	6	0	0	0.5
W	mfas	2	6	0	0	0.5
bowl	mfas	2	6	0	0	0.5
fd59A	mfas	2	6	0.0011	0	0.5
e	mfas	2	6	0	0	0.5
ben	mfas	2	6	0	0	0.5
rdo	mfas	2	6	0	0	0.5
lin	mfas	2	6	0	0	0.5
tra	mfas	2	6	9e-04	0	0.5
tra2	mfas	2	6	5e-04	0	0.5
cathD	mfas	2	6	0	0	0.5
d	mfas	2	6	0	0	0.5
lva	mfas	2	6	2e-04	0	0.5
pbl	mfas	2	6	5e-04	0	0.5
CG33205	mfas	2	6	0	0	0.5
da	mfas	2	6	0	0	0.5
cactin	mfas	2	6	0	0	0.5
hpo	mfas	2	6	0	0	0.5
Sema.2a	mfas	2	6	0	0	0.5
Eip74EF	mfas	2	6	0	0	0.5
eg	mfas	2	6	0.0014	0	0.5
Arc42	mfas	2	6	0	0	0.5
toy	mfas	2	6	2e-04	0	0.5
Galpha73B	mfas	2	6	0	0	0.5
RhoGAPp190	mfas	2	6	0	0	0.5
MED11	mfas	2	6	5e-04	0	0.5
cher	mfas	2	6	0	0	0.5
BicD	mfas	2	6	0	0	0.5
MYPT.75D	mfas	2	6	0	0	0.5
mus304	mfas	2	6	0	0	0.5
CdsA	mfas	2	6	0	0	0.5
btl	mfas	2	6	0	0	0.5
Cyt.c.d	mfas	2	6	0.001	0	0.5
tok	mfas	2	6	2e-04	0	0.5
ttk	mfas	2	6	0	0	0.5
tamo	mfas	2	6	0	0	0.5
CG6416	mfas	2	6	4e-04	0	0.5
flfl	mfas	2	6	9e-04	0	0.5
Pvr	mfas	2	6	0	0	0.5
kay	mfas	2	6	0	0	0.5
Jra	mfas	2	6	0	0	0.5
msk	mfas	2	6	0	0	0.5
tll	mfas	2	6	1e-04	0	0.5
Tm1	mfas	2	6	0	0	0.5
srp	mfas	2	6	0	0	0.5
Btk29A	mfas	2	6	0	0	0.5
fred	mfas	2	6	1e-04	0	0.5
Src64B	mfas	2	6	0	0	0.5
Mmp1	mfas	2	6	1e-04	0	0.5
sll	mfas	2	6	4e-04	0	0.5
Hmgs	mfas	2	6	0	0	0.5
caps	mfas	2	6	0	0	0.5
Su.var.2.10	mfas	2	6	0	0	0.5
CycB	mfas	2	6	3e-04	0	0.5
spir	mfas	2	6	6e-04	0	0.5
spn.A	mfas	2	6	0	0	0.5
Ptpmeg	mfas	2	6	0	0	0.5
qua	mfas	2	6	0	0	0.5
msn	mfas	2	6	5e-04	0	0.5
ena	mfas	2	6	3e-04	0	0.5
spen	mfas	2	6	7e-04	0	0.5
emc	mfas	2	6	1e-04	0	0.5
tsh	mfas	2	6	5e-04	0	0.5
Dat	mfas	2	6	0	0	0.5
Lac	mfas	2	6	0	0	0.5
dup	mfas	2	6	0	0	0.5
CG3075	mfas	2	6	0	0	0.5
Akap200	mfas	2	6	0	0	0.5
CG18369	mfas	2	6	4e-04	0	0.5
bnl	mfas	2	6	0	0	0.5
sec23	mfas	2	6	0	0	0.5
Pde8	mfas	2	6	0	0	0.5
Arp66B	mfas	2	6	0	0	0.5
cos	mfas	2	6	0	0	0.5
Borr	mfas	2	6	0	0	0.5
X140up	mfas	2	6	2e-04	0	0.5
Dhc64C	mfas	2	6	0	0	0.5
Not1	mfas	2	6	5e-04	0	0.5
CG9520	mfas	2	6	8e-04	0	0.5
bib	mfas	2	6	0	0	0.5
mib1	mfas	2	6	0	0	0.5
cas	mfas	2	6	0.0014	0	0.5
Abi	mfas	2	6	0	0	0.5
betaTub56D	mfas	2	6	0.001	0	0.5
nej	mfas	2	6	0	0	0.5
dlg1	mfas	2	6	6e-04	0	0.5
Lcp65Ag1	mfas	2	6	3e-04	0	0.5
Es2	mfas	2	6	6e-04	0	0.5
MED24	mfas	2	6	0	0	0.5
Vhl	mfas	2	6	0	0	0.5
tral	mfas	2	6	0	0	0.5
sns	mfas	2	6	7e-04	0	0.5
mbl	mfas	2	6	1e-04	0	0.5
sav	mfas	2	6	0	0	0.5
lola	mfas	2	6	2e-04	0	0.5
robo	mfas	2	6	0	0	0.5
CG32486	mfas	2	6	0	0	0.5
santa.maria	mfas	2	6	0	0	0.5
stumps	mfas	2	6	0	0	0.5
abd.A	mfas	2	6	1e-04	0	0.5
dock	mfas	2	6	0	0	0.5
Lar	mfas	2	6	0	0	0.5
l.1.G0289	mfas	2	6	0	0	0.5
Abl	mfas	2	6	0	0	0.5
Syb	mfas	2	6	0	0	0.5
dome	mfas	2	6	0	0	0.5
ofs	mfas	2	6	2e-04	0	0.5
MED4	mfas	2	6	0	0	0.5
scrib	mfas	2	6	0	0	0.5
siz	mfas	2	6	3e-04	0	0.5
cbx	mfas	2	6	0	0	0.5
dsx	mfas	2	6	0	0	0.5
Sb	mfas	2	6	8e-04	0	0.5
sax	mfas	2	6	0	0	0.5
foxo	mfas	2	6	3e-04	0	0.5
Cyp1	mfas	2	6	0	0	0.5
brm	mfas	2	6	0	0	0.5
rad50	mfas	2	6	2e-04	0	0.5
chico	mfas	2	6	1e-04	0	0.5
cp309	mfas	2	6	0	0	0.5
hdc	mfas	2	6	1e-04	0	0.5
Axn	mfas	2	6	0	0	0.5
Apc2	mfas	2	6	0	0	0.5
PhKgamma	mfas	2	6	0	0	0.5
eya	mfas	2	6	0	0	0.5
sktl	mfas	2	6	0	0	0.5
sqd	mfas	2	6	0	0	0.5
Akt1	mfas	2	6	0	0	0.5
scyl	mfas	2	6	0	0	0.5
cnk	mfas	2	6	4e-04	0	0.5
CG8149	mfas	2	6	0	0	0.5
CG34379	mfas	2	6	0	0	0.5
Yp1	mfas	2	6	1e-04	0	0.5
yrt	mfas	2	6	1e-04	0	0.5
bap	mfas	2	6	0	0	0.5
tud	mfas	2	6	0	0	0.5
ct	mfas	2	6	0	0	0.5
tup	mfas	2	6	2e-04	0	0.5
G.ialpha65A	mfas	2	6	5e-04	0	0.5
knrl	mfas	2	6	0	0	0.5
Pkn	mfas	2	6	0	0	0.5
Sry.delta	mfas	2	6	0	0	0.5
Alh	mfas	2	6	1e-04	0	0.5
pnut	mfas	2	6	2e-04	0	0.5
phyl	mfas	2	6	0	0	0.5
CG17739	mfas	2	6	4e-04	0	0.5
B4	mfas	2	6	2e-04	0	0.5
CG2681	mfas	2	6	0	0	0.5
tow	mfas	2	6	0	0	0.5
hkl	mfas	2	6	3e-04	0	0.5
sina	mfas	2	6	2e-04	0	0.5
ry	mfas	2	6	3e-04	0	0.5
