Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	morgue	2	6	3e-04	0	0.5
emp	morgue	2	6	0	0	0.5
CG2678	morgue	2	6	0	0	0.5
crc	morgue	2	6	0.001	0	0.5
pros	morgue	2	6	2e-04	0	0.5
neur	morgue	2	6	1e-04	0	0.5
Rab5	morgue	2	6	1e-04	0	0.5
Rab7	morgue	2	6	0	0	0.5
Mmp2	morgue	2	6	1e-04	0	0.5
W	morgue	2	6	1e-04	0	0.5
bowl	morgue	2	6	6e-04	0	0.5
fd59A	morgue	2	6	0.0021	0	0.5
e	morgue	2	6	2e-04	0	0.5
ben	morgue	2	6	4e-04	0	0.5
rdo	morgue	2	6	1e-04	0	0.5
lin	morgue	2	6	0	0	0.5
tra	morgue	2	6	2e-04	0	0.5
tra2	morgue	2	6	0	0	0.5
cathD	morgue	2	6	3e-04	0	0.5
d	morgue	2	6	7e-04	0	0.5
lva	morgue	2	6	0.0012	0	0.5
pbl	morgue	2	6	0	0	0.5
CG33205	morgue	2	6	3e-04	0	0.5
da	morgue	2	6	0	0	0.5
cactin	morgue	2	6	0	0	0.5
hpo	morgue	2	6	0	0	0.5
Sema.2a	morgue	2	6	1e-04	0	0.5
Eip74EF	morgue	2	6	0.0012	0	0.5
eg	morgue	2	6	2e-04	0	0.5
Arc42	morgue	2	6	4e-04	0	0.5
toy	morgue	2	6	2e-04	0	0.5
Galpha73B	morgue	2	6	0	0	0.5
RhoGAPp190	morgue	2	6	7e-04	0	0.5
MED11	morgue	2	6	0	0	0.5
cher	morgue	2	6	8e-04	0	0.5
BicD	morgue	2	6	0	0	0.5
MYPT.75D	morgue	2	6	1e-04	0	0.5
mus304	morgue	2	6	2e-04	0	0.5
CdsA	morgue	2	6	0.001	0	0.5
btl	morgue	2	6	0.001	0	0.5
Cyt.c.d	morgue	2	6	8e-04	0	0.5
tok	morgue	2	6	0	0	0.5
ttk	morgue	2	6	5e-04	0	0.5
tamo	morgue	2	6	1e-04	0	0.5
CG6416	morgue	2	6	8e-04	0	0.5
flfl	morgue	2	6	1e-04	0	0.5
Pvr	morgue	2	6	1e-04	0	0.5
kay	morgue	2	6	0.001	0	0.5
Jra	morgue	2	6	1e-04	0	0.5
msk	morgue	2	6	6e-04	0	0.5
tll	morgue	2	6	0.001	0	0.5
Tm1	morgue	2	6	2e-04	0	0.5
srp	morgue	2	6	4e-04	0	0.5
Btk29A	morgue	2	6	5e-04	0	0.5
fred	morgue	2	6	3e-04	0	0.5
Src64B	morgue	2	6	4e-04	0	0.5
Mmp1	morgue	2	6	6e-04	0	0.5
sll	morgue	2	6	2e-04	0	0.5
Hmgs	morgue	2	6	1e-04	0	0.5
caps	morgue	2	6	4e-04	0	0.5
Su.var.2.10	morgue	2	6	9e-04	0	0.5
CycB	morgue	2	6	5e-04	0	0.5
spir	morgue	2	6	2e-04	0	0.5
spn.A	morgue	2	6	0	0	0.5
Ptpmeg	morgue	2	6	4e-04	0	0.5
qua	morgue	2	6	6e-04	0	0.5
msn	morgue	2	6	2e-04	0	0.5
ena	morgue	2	6	0	0	0.5
spen	morgue	2	6	0.001	0	0.5
emc	morgue	2	6	0.0014	0	0.5
tsh	morgue	2	6	0.0024	0	0.5
Dat	morgue	2	6	0	0	0.5
Lac	morgue	2	6	5e-04	0	0.5
dup	morgue	2	6	8e-04	0	0.5
CG3075	morgue	2	6	3e-04	0	0.5
Akap200	morgue	2	6	3e-04	0	0.5
CG18369	morgue	2	6	5e-04	0	0.5
bnl	morgue	2	6	6e-04	0	0.5
sec23	morgue	2	6	3e-04	0	0.5
Pde8	morgue	2	6	7e-04	0	0.5
Arp66B	morgue	2	6	3e-04	0	0.5
cos	morgue	2	6	2e-04	0	0.5
Borr	morgue	2	6	1e-04	0	0.5
X140up	morgue	2	6	6e-04	0	0.5
Dhc64C	morgue	2	6	8e-04	0	0.5
Not1	morgue	2	6	0.001	0	0.5
CG9520	morgue	2	6	4e-04	0	0.5
bib	morgue	2	6	0.0016	0	0.5
mib1	morgue	2	6	0.0017	0	0.5
cas	morgue	2	6	0.0016	0	0.5
Abi	morgue	2	6	0.001	0	0.5
betaTub56D	morgue	2	6	6e-04	0	0.5
nej	morgue	2	6	1e-04	0	0.5
dlg1	morgue	2	6	0	0	0.5
Lcp65Ag1	morgue	2	6	4e-04	0	0.5
Es2	morgue	2	6	3e-04	0	0.5
MED24	morgue	2	6	2e-04	0	0.5
Vhl	morgue	2	6	1e-04	0	0.5
tral	morgue	2	6	7e-04	0	0.5
sns	morgue	2	6	6e-04	0	0.5
mbl	morgue	2	6	0	0	0.5
sav	morgue	2	6	0.0012	0	0.5
lola	morgue	2	6	0	0	0.5
robo	morgue	2	6	0.0012	0	0.5
CG32486	morgue	2	6	2e-04	0	0.5
santa.maria	morgue	2	6	3e-04	0	0.5
stumps	morgue	2	6	0.0032	0	0.5
abd.A	morgue	2	6	4e-04	0	0.5
dock	morgue	2	6	1e-04	0	0.5
Lar	morgue	2	6	0	0	0.5
l.1.G0289	morgue	2	6	1e-04	0	0.5
Abl	morgue	2	6	2e-04	0	0.5
Syb	morgue	2	6	0	0	0.5
dome	morgue	2	6	1e-04	0	0.5
ofs	morgue	2	6	0.0011	0	0.5
MED4	morgue	2	6	0	0	0.5
scrib	morgue	2	6	0	0	0.5
siz	morgue	2	6	5e-04	0	0.5
cbx	morgue	2	6	0.0018	0	0.5
dsx	morgue	2	6	2e-04	0	0.5
Sb	morgue	2	6	4e-04	0	0.5
sax	morgue	2	6	0.0017	0	0.5
foxo	morgue	2	6	5e-04	0	0.5
Cyp1	morgue	2	6	6e-04	0	0.5
brm	morgue	2	6	4e-04	0	0.5
rad50	morgue	2	6	3e-04	0	0.5
chico	morgue	2	6	1e-04	0	0.5
cp309	morgue	2	6	0	0	0.5
hdc	morgue	2	6	3e-04	0	0.5
Axn	morgue	2	6	5e-04	0	0.5
Apc2	morgue	2	6	5e-04	0	0.5
PhKgamma	morgue	2	6	4e-04	0	0.5
eya	morgue	2	6	8e-04	0	0.5
sktl	morgue	2	6	0	0	0.5
sqd	morgue	2	6	0	0	0.5
Akt1	morgue	2	6	0.0014	0	0.5
scyl	morgue	2	6	8e-04	0	0.5
cnk	morgue	2	6	0	0	0.5
CG8149	morgue	2	6	9e-04	0	0.5
CG34379	morgue	2	6	0.002	0	0.5
Yp1	morgue	2	6	0	0	0.5
yrt	morgue	2	6	0	0	0.5
bap	morgue	2	6	8e-04	0	0.5
tud	morgue	2	6	0	0	0.5
ct	morgue	2	6	2e-04	0	0.5
tup	morgue	2	6	0.0041	0	0.5
G.ialpha65A	morgue	2	6	0.003	0	0.5
knrl	morgue	2	6	8e-04	0	0.5
