Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	mri	2	6	0.0023	0	0.5
emp	mri	2	6	5e-04	0	0.5
CG2678	mri	2	6	6e-04	0	0.5
crc	mri	2	6	0.0027	0	0.5
pros	mri	2	6	0	0	0.5
neur	mri	2	6	8e-04	0	0.5
Rab5	mri	2	6	0.001	0	0.5
Rab7	mri	2	6	8e-04	0	0.5
Mmp2	mri	2	6	0.0015	0	0.5
W	mri	2	6	0.001	0	0.5
bowl	mri	2	6	0.0019	0	0.5
fd59A	mri	2	6	4e-04	0	0.5
e	mri	2	6	2e-04	0	0.5
ben	mri	2	6	0	0	0.5
rdo	mri	2	6	0	0	0.5
lin	mri	2	6	2e-04	0	0.5
tra	mri	2	6	5e-04	0	0.5
tra2	mri	2	6	0.0017	0	0.5
cathD	mri	2	6	0.0023	0	0.5
d	mri	2	6	9e-04	0	0.5
lva	mri	2	6	0.0012	0	0.5
pbl	mri	2	6	8e-04	0	0.5
CG33205	mri	2	6	0.0017	0	0.5
da	mri	2	6	4e-04	0	0.5
cactin	mri	2	6	7e-04	0	0.5
hpo	mri	2	6	1e-04	0	0.5
Sema.2a	mri	2	6	6e-04	0	0.5
Eip74EF	mri	2	6	0.0016	0	0.5
eg	mri	2	6	3e-04	0	0.5
Arc42	mri	2	6	2e-04	0	0.5
toy	mri	2	6	5e-04	0	0.5
Galpha73B	mri	2	6	0.003	0	0.5
RhoGAPp190	mri	2	6	0.0013	0	0.5
MED11	mri	2	6	7e-04	0	0.5
cher	mri	2	6	6e-04	0	0.5
BicD	mri	2	6	7e-04	0	0.5
MYPT.75D	mri	2	6	1e-04	0	0.5
mus304	mri	2	6	0.0594	0	0.5
CdsA	mri	2	6	9e-04	0	0.5
btl	mri	2	6	2e-04	0	0.5
Cyt.c.d	mri	2	6	0.0014	0	0.5
tok	mri	2	6	0.0024	0	0.5
ttk	mri	2	6	1e-04	0	0.5
tamo	mri	2	6	5e-04	0	0.5
CG6416	mri	2	6	1e-04	0	0.5
flfl	mri	2	6	1e-04	0	0.5
Pvr	mri	2	6	6e-04	0	0.5
kay	mri	2	6	0	0	0.5
Jra	mri	2	6	0.0019	0	0.5
msk	mri	2	6	3e-04	0	0.5
tll	mri	2	6	2e-04	0	0.5
Tm1	mri	2	6	0	0	0.5
srp	mri	2	6	4e-04	0	0.5
Btk29A	mri	2	6	2e-04	0	0.5
fred	mri	2	6	6e-04	0	0.5
Src64B	mri	2	6	0.0014	0	0.5
Mmp1	mri	2	6	7e-04	0	0.5
sll	mri	2	6	0.0014	0	0.5
Hmgs	mri	2	6	4e-04	0	0.5
caps	mri	2	6	2e-04	0	0.5
Su.var.2.10	mri	2	6	2e-04	0	0.5
CycB	mri	2	6	0.001	0	0.5
spir	mri	2	6	0.0011	0	0.5
spn.A	mri	2	6	0.0013	0	0.5
Ptpmeg	mri	2	6	9e-04	0	0.5
qua	mri	2	6	5e-04	0	0.5
msn	mri	2	6	4e-04	0	0.5
ena	mri	2	6	8e-04	0	0.5
spen	mri	2	6	9e-04	0	0.5
emc	mri	2	6	6e-04	0	0.5
tsh	mri	2	6	2e-04	0	0.5
Dat	mri	2	6	9e-04	0	0.5
Lac	mri	2	6	7e-04	0	0.5
dup	mri	2	6	0.0011	0	0.5
CG3075	mri	2	6	4e-04	0	0.5
Akap200	mri	2	6	9e-04	0	0.5
