Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	msi	2	6	1e-04	0	0.5
emp	msi	2	6	8e-04	0	0.5
CG2678	msi	2	6	7e-04	0	0.5
crc	msi	2	6	0.002	0	0.5
pros	msi	2	6	0	0	0.5
neur	msi	2	6	0.001	0	0.5
Rab5	msi	2	6	0	0	0.5
Rab7	msi	2	6	4e-04	0	0.5
Mmp2	msi	2	6	3e-04	0	0.5
W	msi	2	6	7e-04	0	0.5
bowl	msi	2	6	0.0033	0	0.5
fd59A	msi	2	6	2e-04	0	0.5
e	msi	2	6	6e-04	0	0.5
ben	msi	2	6	3e-04	0	0.5
rdo	msi	2	6	5e-04	0	0.5
lin	msi	2	6	0.0016	0	0.5
tra	msi	2	6	1e-04	0	0.5
tra2	msi	2	6	1e-04	0	0.5
cathD	msi	2	6	2e-04	0	0.5
d	msi	2	6	0	0	0.5
lva	msi	2	6	3e-04	0	0.5
pbl	msi	2	6	5e-04	0	0.5
CG33205	msi	2	6	1e-04	0	0.5
da	msi	2	6	5e-04	0	0.5
cactin	msi	2	6	1e-04	0	0.5
hpo	msi	2	6	2e-04	0	0.5
Sema.2a	msi	2	6	1e-04	0	0.5
Eip74EF	msi	2	6	5e-04	0	0.5
eg	msi	2	6	4e-04	0	0.5
Arc42	msi	2	6	1e-04	0	0.5
toy	msi	2	6	0	0	0.5
Galpha73B	msi	2	6	7e-04	0	0.5
RhoGAPp190	msi	2	6	6e-04	0	0.5
MED11	msi	2	6	0	0	0.5
cher	msi	2	6	0	0	0.5
BicD	msi	2	6	1e-04	0	0.5
MYPT.75D	msi	2	6	2e-04	0	0.5
mus304	msi	2	6	6e-04	0	0.5
CdsA	msi	2	6	0	0	0.5
btl	msi	2	6	5e-04	0	0.5
Cyt.c.d	msi	2	6	5e-04	0	0.5
tok	msi	2	6	0.0036	0	0.5
ttk	msi	2	6	1e-04	0	0.5
tamo	msi	2	6	0.0019	0	0.5
CG6416	msi	2	6	4e-04	0	0.5
flfl	msi	2	6	0.001	0	0.5
Pvr	msi	2	6	9e-04	0	0.5
kay	msi	2	6	0	0	0.5
Jra	msi	2	6	4e-04	0	0.5
msk	msi	2	6	3e-04	0	0.5
tll	msi	2	6	5e-04	0	0.5
Tm1	msi	2	6	3e-04	0	0.5
srp	msi	2	6	2e-04	0	0.5
Btk29A	msi	2	6	2e-04	0	0.5
fred	msi	2	6	0.0012	0	0.5
Src64B	msi	2	6	0.0102	0	0.5
Mmp1	msi	2	6	3e-04	0	0.5
sll	msi	2	6	0.0029	0	0.5
Hmgs	msi	2	6	8e-04	0	0.5
caps	msi	2	6	2e-04	0	0.5
Su.var.2.10	msi	2	6	4e-04	0	0.5
CycB	msi	2	6	9e-04	0	0.5
spir	msi	2	6	0	0	0.5
spn.A	msi	2	6	4e-04	0	0.5
Ptpmeg	msi	2	6	4e-04	0	0.5
qua	msi	2	6	1e-04	0	0.5
msn	msi	2	6	4e-04	0	0.5
ena	msi	2	6	3e-04	0	0.5
spen	msi	2	6	9e-04	0	0.5
emc	msi	2	6	7e-04	0	0.5
tsh	msi	2	6	0	0	0.5
Dat	msi	2	6	5e-04	0	0.5
Lac	msi	2	6	1e-04	0	0.5
dup	msi	2	6	6e-04	0	0.5
CG3075	msi	2	6	6e-04	0	0.5
