Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	msk	2	6	9e-04	0	0.5
emp	msk	2	6	1e-04	0	0.5
CG2678	msk	2	6	1e-04	0	0.5
crc	msk	2	6	0	0	0.5
pros	msk	2	6	0	0	0.5
neur	msk	2	6	0	0	0.5
Rab5	msk	2	6	0	0	0.5
Rab7	msk	2	6	0	0	0.5
Mmp2	msk	2	6	0	0	0.5
W	msk	2	6	3e-04	0	0.5
bowl	msk	2	6	0	0	0.5
fd59A	msk	2	6	0	0	0.5
e	msk	2	6	4e-04	0	0.5
ben	msk	2	6	0	0	0.5
rdo	msk	2	6	6e-04	0	0.5
lin	msk	2	6	0.001	0	0.5
tra	msk	2	6	0	0	0.5
tra2	msk	2	6	2e-04	0	0.5
cathD	msk	2	6	2e-04	0	0.5
d	msk	2	6	4e-04	0	0.5
lva	msk	2	6	0	0	0.5
pbl	msk	2	6	0	0	0.5
CG33205	msk	2	6	5e-04	0	0.5
da	msk	2	6	1e-04	0	0.5
cactin	msk	2	6	1e-04	0	0.5
hpo	msk	2	6	0	0	0.5
Sema.2a	msk	2	6	0	0	0.5
Eip74EF	msk	2	6	5e-04	0	0.5
eg	msk	2	6	0	0	0.5
Arc42	msk	2	6	2e-04	0	0.5
toy	msk	2	6	1e-04	0	0.5
Galpha73B	msk	2	6	0	0	0.5
RhoGAPp190	msk	2	6	3e-04	0	0.5
MED11	msk	2	6	0	0	0.5
cher	msk	2	6	1e-04	0	0.5
BicD	msk	2	6	0	0	0.5
MYPT.75D	msk	2	6	0	0	0.5
mus304	msk	2	6	0	0	0.5
CdsA	msk	2	6	2e-04	0	0.5
btl	msk	2	6	0	0	0.5
Cyt.c.d	msk	2	6	6e-04	0	0.5
tok	msk	2	6	0	0	0.5
ttk	msk	2	6	0	0	0.5
tamo	msk	2	6	0	0	0.5
CG6416	msk	2	6	0	0	0.5
flfl	msk	2	6	0	0	0.5
Pvr	msk	2	6	0	0	0.5
kay	msk	2	6	0	0	0.5
Jra	msk	2	6	0	0	0.5
msk	msk	2	6	5e-04	0	0.5
tll	msk	2	6	4e-04	0	0.5
Tm1	msk	2	6	0	0	0.5
srp	msk	2	6	0	0	0.5
Btk29A	msk	2	6	0	0	0.5
fred	msk	2	6	0	0	0.5
Src64B	msk	2	6	0	0	0.5
Mmp1	msk	2	6	0	0	0.5
sll	msk	2	6	0	0	0.5
Hmgs	msk	2	6	0	0	0.5
caps	msk	2	6	0	0	0.5
Su.var.2.10	msk	2	6	2e-04	0	0.5
CycB	msk	2	6	0	0	0.5
spir	msk	2	6	5e-04	0	0.5
spn.A	msk	2	6	0	0	0.5
Ptpmeg	msk	2	6	0	0	0.5
qua	msk	2	6	0	0	0.5
msn	msk	2	6	3e-04	0	0.5
ena	msk	2	6	0	0	0.5
spen	msk	2	6	0	0	0.5
emc	msk	2	6	0	0	0.5
tsh	msk	2	6	0	0	0.5
Dat	msk	2	6	6e-04	0	0.5
Lac	msk	2	6	0	0	0.5
dup	msk	2	6	0	0	0.5
CG3075	msk	2	6	0	0	0.5
Akap200	msk	2	6	0	0	0.5
CG18369	msk	2	6	4e-04	0	0.5
bnl	msk	2	6	0	0	0.5
sec23	msk	2	6	0	0	0.5
