Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	msn	2	6	0	0	0.5
emp	msn	2	6	0	0	0.5
CG2678	msn	2	6	0	0	0.5
crc	msn	2	6	0	0	0.5
pros	msn	2	6	1e-04	0	0.5
neur	msn	2	6	0	0	0.5
Rab5	msn	2	6	0	0	0.5
Rab7	msn	2	6	0	0	0.5
Mmp2	msn	2	6	1e-04	0	0.5
W	msn	2	6	0	0	0.5
bowl	msn	2	6	0	0	0.5
fd59A	msn	2	6	0	0	0.5
e	msn	2	6	0	0	0.5
ben	msn	2	6	0	0	0.5
rdo	msn	2	6	0	0	0.5
lin	msn	2	6	0	0	0.5
tra	msn	2	6	0	0	0.5
tra2	msn	2	6	0	0	0.5
cathD	msn	2	6	0	0	0.5
d	msn	2	6	3e-04	0	0.5
lva	msn	2	6	0	0	0.5
pbl	msn	2	6	0	0	0.5
CG33205	msn	2	6	3e-04	0	0.5
da	msn	2	6	0	0	0.5
cactin	msn	2	6	0	0	0.5
hpo	msn	2	6	0	0	0.5
Sema.2a	msn	2	6	0	0	0.5
Eip74EF	msn	2	6	2e-04	0	0.5
eg	msn	2	6	1e-04	0	0.5
Arc42	msn	2	6	0	0	0.5
toy	msn	2	6	0	0	0.5
Galpha73B	msn	2	6	0	0	0.5
RhoGAPp190	msn	2	6	5e-04	0	0.5
MED11	msn	2	6	0	0	0.5
cher	msn	2	6	0	0	0.5
BicD	msn	2	6	0	0	0.5
MYPT.75D	msn	2	6	0	0	0.5
mus304	msn	2	6	0	0	0.5
CdsA	msn	2	6	0	0	0.5
btl	msn	2	6	0	0	0.5
Cyt.c.d	msn	2	6	0	0	0.5
tok	msn	2	6	0	0	0.5
ttk	msn	2	6	0	0	0.5
tamo	msn	2	6	0	0	0.5
CG6416	msn	2	6	0	0	0.5
flfl	msn	2	6	5e-04	0	0.5
Pvr	msn	2	6	0	0	0.5
kay	msn	2	6	0	0	0.5
Jra	msn	2	6	0	0	0.5
msk	msn	2	6	0	0	0.5
tll	msn	2	6	1e-04	0	0.5
Tm1	msn	2	6	0	0	0.5
srp	msn	2	6	0	0	0.5
Btk29A	msn	2	6	0	0	0.5
fred	msn	2	6	0	0	0.5
Src64B	msn	2	6	0	0	0.5
Mmp1	msn	2	6	0	0	0.5
sll	msn	2	6	2e-04	0	0.5
Hmgs	msn	2	6	0	0	0.5
caps	msn	2	6	0	0	0.5
Su.var.2.10	msn	2	6	0	0	0.5
CycB	msn	2	6	0	0	0.5
spir	msn	2	6	0	0	0.5
spn.A	msn	2	6	0	0	0.5
Ptpmeg	msn	2	6	0	0	0.5
qua	msn	2	6	3e-04	0	0.5
msn	msn	2	6	0	0	0.5
ena	msn	2	6	0	0	0.5
spen	msn	2	6	0	0	0.5
emc	msn	2	6	0	0	0.5
tsh	msn	2	6	0	0	0.5
Dat	msn	2	6	0	0	0.5
Lac	msn	2	6	0	0	0.5
dup	msn	2	6	0	0	0.5
CG3075	msn	2	6	0	0	0.5
Akap200	msn	2	6	0	0	0.5
CG18369	msn	2	6	0	0	0.5
bnl	msn	2	6	0	0	0.5
sec23	msn	2	6	0	0	0.5
Pde8	msn	2	6	0	0	0.5
Arp66B	msn	2	6	0	0	0.5
cos	msn	2	6	0	0	0.5
Borr	msn	2	6	0	0	0.5
X140up	msn	2	6	0	0	0.5
Dhc64C	msn	2	6	0	0	0.5
Not1	msn	2	6	0	0	0.5
CG9520	msn	2	6	0	0	0.5
bib	msn	2	6	0	0	0.5
mib1	msn	2	6	3e-04	0	0.5
cas	msn	2	6	0	0	0.5
Abi	msn	2	6	0	0	0.5
betaTub56D	msn	2	6	0	0	0.5
nej	msn	2	6	0	0	0.5
dlg1	msn	2	6	0	0	0.5
Lcp65Ag1	msn	2	6	0	0	0.5
Es2	msn	2	6	2e-04	0	0.5
MED24	msn	2	6	0	0	0.5
Vhl	msn	2	6	0	0	0.5
tral	msn	2	6	2e-04	0	0.5
sns	msn	2	6	0	0	0.5
mbl	msn	2	6	0	0	0.5
sav	msn	2	6	3e-04	0	0.5
