Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	mus304	2	6	0.0012	0	0.5
emp	mus304	2	6	7e-04	0	0.5
CG2678	mus304	2	6	9e-04	0	0.5
crc	mus304	2	6	1e-04	0	0.5
pros	mus304	2	6	3e-04	0	0.5
neur	mus304	2	6	5e-04	0	0.5
Rab5	mus304	2	6	8e-04	0	0.5
Rab7	mus304	2	6	0.0017	0	0.5
Mmp2	mus304	2	6	0.0014	0	0.5
W	mus304	2	6	0.001	0	0.5
bowl	mus304	2	6	7e-04	0	0.5
fd59A	mus304	2	6	5e-04	0	0.5
e	mus304	2	6	3e-04	0	0.5
ben	mus304	2	6	1e-04	0	0.5
rdo	mus304	2	6	0.0022	0	0.5
lin	mus304	2	6	3e-04	0	0.5
tra	mus304	2	6	5e-04	0	0.5
tra2	mus304	2	6	5e-04	0	0.5
cathD	mus304	2	6	0.4551	0	0.5
d	mus304	2	6	2e-04	0	0.5
lva	mus304	2	6	5e-04	0	0.5
pbl	mus304	2	6	0.0037	0	0.5
CG33205	mus304	2	6	0	0	0.5
da	mus304	2	6	8e-04	0	0.5
cactin	mus304	2	6	0.0015	0	0.5
hpo	mus304	2	6	2e-04	0	0.5
Sema.2a	mus304	2	6	0.0017	0	0.5
Eip74EF	mus304	2	6	0	0	0.5
eg	mus304	2	6	2e-04	0	0.5
Arc42	mus304	2	6	5e-04	0	0.5
toy	mus304	2	6	0.0033	0	0.5
Galpha73B	mus304	2	6	5e-04	0	0.5
RhoGAPp190	mus304	2	6	0.001	0	0.5
MED11	mus304	2	6	3e-04	0	0.5
cher	mus304	2	6	3e-04	0	0.5
BicD	mus304	2	6	8e-04	0	0.5
MYPT.75D	mus304	2	6	0.001	0	0.5
mus304	mus304	2	6	0.0785	0	0.5
CdsA	mus304	2	6	7e-04	0	0.5
btl	mus304	2	6	0.0012	0	0.5
Cyt.c.d	mus304	2	6	3e-04	0	0.5
tok	mus304	2	6	2e-04	0	0.5
ttk	mus304	2	6	5e-04	0	0.5
tamo	mus304	2	6	1e-04	0	0.5
CG6416	mus304	2	6	1e-04	0	0.5
flfl	mus304	2	6	2e-04	0	0.5
Pvr	mus304	2	6	0.0035	0	0.5
kay	mus304	2	6	1e-04	0	0.5
Jra	mus304	2	6	3e-04	0	0.5
msk	mus304	2	6	0.0025	0	0.5
tll	mus304	2	6	2e-04	0	0.5
Tm1	mus304	2	6	3e-04	0	0.5
srp	mus304	2	6	3e-04	0	0.5
Btk29A	mus304	2	6	3e-04	0	0.5
fred	mus304	2	6	0	0	0.5
Src64B	mus304	2	6	5e-04	0	0.5
Mmp1	mus304	2	6	1e-04	0	0.5
sll	mus304	2	6	9e-04	0	0.5
Hmgs	mus304	2	6	3e-04	0	0.5
caps	mus304	2	6	0.001	0	0.5
Su.var.2.10	mus304	2	6	5e-04	0	0.5
CycB	mus304	2	6	1e-04	0	0.5
spir	mus304	2	6	0.001	0	0.5
spn.A	mus304	2	6	0.0017	0	0.5
Ptpmeg	mus304	2	6	0	0	0.5
qua	mus304	2	6	6e-04	0	0.5
msn	mus304	2	6	0	0	0.5
ena	mus304	2	6	0.0011	0	0.5
spen	mus304	2	6	1e-04	0	0.5
emc	mus304	2	6	0.004	0	0.5
tsh	mus304	2	6	1e-04	0	0.5
Dat	mus304	2	6	1e-04	0	0.5
Lac	mus304	2	6	0.0021	0	0.5
dup	mus304	2	6	0	0	0.5
CG3075	mus304	2	6	0.0127	0	0.5
Akap200	mus304	2	6	1e-04	0	0.5
CG18369	mus304	2	6	0.0012	0	0.5
bnl	mus304	2	6	0.001	0	0.5
sec23	mus304	2	6	3e-04	0	0.5
Pde8	mus304	2	6	0.0018	0	0.5
Arp66B	mus304	2	6	6e-04	0	0.5
cos	mus304	2	6	4e-04	0	0.5
Borr	mus304	2	6	0.0012	0	0.5
X140up	mus304	2	6	4e-04	0	0.5
Dhc64C	mus304	2	6	0.001	0	0.5
Not1	mus304	2	6	0	0	0.5
CG9520	mus304	2	6	0.0025	0	0.5
bib	mus304	2	6	2e-04	0	0.5
mib1	mus304	2	6	0.0014	0	0.5
cas	mus304	2	6	1e-04	0	0.5
Abi	mus304	2	6	2e-04	0	0.5
betaTub56D	mus304	2	6	2e-04	0	0.5
nej	mus304	2	6	0.017	0	0.5
dlg1	mus304	2	6	1e-04	0	0.5
Lcp65Ag1	mus304	2	6	0.0013	0	0.5
Es2	mus304	2	6	0.0014	0	0.5
MED24	mus304	2	6	0.0021	0	0.5
Vhl	mus304	2	6	5e-04	0	0.5
tral	mus304	2	6	8e-04	0	0.5
sns	mus304	2	6	3e-04	0	0.5
mbl	mus304	2	6	4e-04	0	0.5
sav	mus304	2	6	0.0022	0	0.5
lola	mus304	2	6	0.0032	0	0.5
robo	mus304	2	6	6e-04	0	0.5
CG32486	mus304	2	6	7e-04	0	0.5
santa.maria	mus304	2	6	4e-04	0	0.5
stumps	mus304	2	6	0	0	0.5
abd.A	mus304	2	6	0.0014	0	0.5
dock	mus304	2	6	6e-04	0	0.5
Lar	mus304	2	6	0.0018	0	0.5
l.1.G0289	mus304	2	6	1e-04	0	0.5
Abl	mus304	2	6	0.0011	0	0.5
Syb	mus304	2	6	1e-04	0	0.5
dome	mus304	2	6	6e-04	0	0.5
ofs	mus304	2	6	1e-04	0	0.5
MED4	mus304	2	6	5e-04	0	0.5
scrib	mus304	2	6	4e-04	0	0.5
siz	mus304	2	6	6e-04	0	0.5
cbx	mus304	2	6	9e-04	0	0.5
dsx	mus304	2	6	9e-04	0	0.5
Sb	mus304	2	6	0.002	0	0.5
sax	mus304	2	6	1e-04	0	0.5
foxo	mus304	2	6	5e-04	0	0.5
Cyp1	mus304	2	6	0	0	0.5
brm	mus304	2	6	3e-04	0	0.5
rad50	mus304	2	6	0.0026	0	0.5
chico	mus304	2	6	6e-04	0	0.5
cp309	mus304	2	6	6e-04	0	0.5
hdc	mus304	2	6	0.0017	0	0.5
Axn	mus304	2	6	2e-04	0	0.5
Apc2	mus304	2	6	2e-04	0	0.5
PhKgamma	mus304	2	6	4e-04	0	0.5
eya	mus304	2	6	3e-04	0	0.5
sktl	mus304	2	6	0.0016	0	0.5
sqd	mus304	2	6	3e-04	0	0.5
Akt1	mus304	2	6	3e-04	0	0.5
scyl	mus304	2	6	0	0	0.5
cnk	mus304	2	6	0	0	0.5
CG8149	mus304	2	6	0.001	0	0.5
CG34379	mus304	2	6	1e-04	0	0.5
Yp1	mus304	2	6	5e-04	0	0.5
yrt	mus304	2	6	4e-04	0	0.5
bap	mus304	2	6	7e-04	0	0.5
tud	mus304	2	6	0	0	0.5
ct	mus304	2	6	2e-04	0	0.5
tup	mus304	2	6	0.0011	0	0.5
G.ialpha65A	mus304	2	6	1e-04	0	0.5
knrl	mus304	2	6	7e-04	0	0.5
Pkn	mus304	2	6	0.0015	0	0.5
Sry.delta	mus304	2	6	0.001	0	0.5
Alh	mus304	2	6	0.001	0	0.5
pnut	mus304	2	6	1e-04	0	0.5
phyl	mus304	2	6	8e-04	0	0.5
CG17739	mus304	2	6	1e-04	0	0.5
B4	mus304	2	6	0.0013	0	0.5
CG2681	mus304	2	6	0.0013	0	0.5
tow	mus304	2	6	0.0019	0	0.5
hkl	mus304	2	6	3e-04	0	0.5
sina	mus304	2	6	0.0011	0	0.5
ry	mus304	2	6	7e-04	0	0.5
rux	mus304	2	6	5e-04	0	0.5
boss	mus304	2	6	0.0025	0	0.5
Mkp3	mus304	2	6	2e-04	0	0.5
inaC	mus304	2	6	7e-04	0	0.5
sno	mus304	2	6	0.0013	0	0.5
jagn	mus304	2	6	3e-04	0	0.5
dpn	mus304	2	6	5e-04	0	0.5
wrapper	mus304	2	6	0.0018	0	0.5
Ca.alpha1D	mus304	2	6	0.0013	0	0.5
E2f	mus304	2	6	0.001	0	0.5
Dp	mus304	2	6	0	0	0.5
l.2.efl	mus304	2	6	0	0	0.5
cnc	mus304	2	6	0.0042	0	0.5
Atg5	mus304	2	6	5e-04	0	0.5
acj6	mus304	2	6	5e-04	0	0.5
Trl	mus304	2	6	7e-04	0	0.5
d4	mus304	2	6	9e-04	0	0.5
CG16719	mus304	2	6	0.0013	0	0.5
CadN	mus304	2	6	3e-04	0	0.5
gro	mus304	2	6	6e-04	0	0.5
sec13	mus304	2	6	7e-04	0	0.5
klar	mus304	2	6	0.0028	0	0.5
Rack1	mus304	2	6	8e-04	0	0.5
Sobp	mus304	2	6	0.0044	0	0.5
ash1	mus304	2	6	0.0021	0	0.5
inv	mus304	2	6	0	0	0.5
shot	mus304	2	6	0.0013	0	0.5
Oseg1	mus304	2	6	9e-04	0	0.5
Spred	mus304	2	6	4e-04	0	0.5
puc	mus304	2	6	8e-04	0	0.5
Atg6	mus304	2	6	3e-04	0	0.5
CG3829	mus304	2	6	9e-04	0	0.5
sle	mus304	2	6	0.003	0	0.5
Cka	mus304	2	6	1e-04	0	0.5
form3	mus304	2	6	6e-04	0	0.5
Pk61C	mus304	2	6	0.0015	0	0.5
Pcaf	mus304	2	6	5e-04	0	0.5
sbb	mus304	2	6	0.0043	0	0.5
Ef1gamma	mus304	2	6	7e-04	0	0.5
FKBP59	mus304	2	6	0.0025	0	0.5
Eip71CD	mus304	2	6	0	0	0.5
xmas.2	mus304	2	6	0.0015	0	0.5
ppan	mus304	2	6	5e-04	0	0.5
Iswi	mus304	2	6	0.0011	0	0.5
ine	mus304	2	6	0	0	0.5
Tina.1	mus304	2	6	4e-04	0	0.5
bon	mus304	2	6	0	0	0.5
pot	mus304	2	6	9e-04	0	0.5
chic	mus304	2	6	6e-04	0	0.5
Hem	mus304	2	6	8e-04	0	0.5
chif	mus304	2	6	7e-04	0	0.5
S6kII	mus304	2	6	0.0012	0	0.5
wal	mus304	2	6	1e-04	0	0.5
wls	mus304	2	6	5e-04	0	0.5
Ddx1	mus304	2	6	7e-04	0	0.5
Sulf1	mus304	2	6	0	0	0.5
CG3987	mus304	2	6	9e-04	0	0.5
Abd.B	mus304	2	6	6e-04	0	0.5
Uba1	mus304	2	6	2e-04	0	0.5
bigmax	mus304	2	6	6e-04	0	0.5
NAT1	mus304	2	6	0	0	0.5
wupA	mus304	2	6	7e-04	0	0.5
Vps28	mus304	2	6	0.4847	0	0.5
G.oalpha47A	mus304	2	6	0.0078	0	0.5
G.salpha60A	mus304	2	6	1e-04	0	0.5
dsf	mus304	2	6	2e-04	0	0.5
Khc	mus304	2	6	0.001	0	0.5
CG10641	mus304	2	6	2e-04	0	0.5
Alk	mus304	2	6	0.0021	0	0.5
ey	mus304	2	6	0.0018	0	0.5
noc	mus304	2	6	1e-04	0	0.5
ix	mus304	2	6	0.0016	0	0.5
Optix	mus304	2	6	8e-04	0	0.5
sdt	mus304	2	6	0.0015	0	0.5
Sxl	mus304	2	6	0	0	0.5
rib	mus304	2	6	4e-04	0	0.5
sas	mus304	2	6	8e-04	0	0.5
Scgdelta	mus304	2	6	0.004	0	0.5
sw	mus304	2	6	3e-04	0	0.5
fal	mus304	2	6	1e-04	0	0.5
ea	mus304	2	6	1e-04	0	0.5
Ice	mus304	2	6	4e-04	0	0.5
cic	mus304	2	6	0.0015	0	0.5
Dok	mus304	2	6	4e-04	0	0.5
rhea	mus304	2	6	5e-04	0	0.5
Glycogenin	mus304	2	6	0.0012	0	0.5
cin	mus304	2	6	5e-04	0	0.5
chp	mus304	2	6	1e-04	0	0.5
Dlic2	mus304	2	6	0.0014	0	0.5
Pk92B	mus304	2	6	9e-04	0	0.5
Pak	mus304	2	6	3e-04	0	0.5
Lim1	mus304	2	6	0.0141	0	0.5
CG34450	mus304	2	6	4e-04	0	0.5
Su.H.	mus304	2	6	0	0	0.5
CG12301	mus304	2	6	0	0	0.5
lilli	mus304	2	6	0	0	0.5
toe	mus304	2	6	0.001	0	0.5
qkr58E.3	mus304	2	6	0.0013	0	0.5
up	mus304	2	6	8e-04	0	0.5
hep	mus304	2	6	2e-04	0	0.5
Dap160	mus304	2	6	5e-04	0	0.5
l.2.gd1	mus304	2	6	5e-04	0	0.5
hkb	mus304	2	6	4e-04	0	0.5
beta4GalNAcTA	mus304	2	6	1e-04	0	0.5
Mer	mus304	2	6	4e-04	0	0.5
Mtl	mus304	2	6	2e-04	0	0.5
spin	mus304	2	6	3e-04	0	0.5
mfas	mus304	2	6	0.0012	0	0.5
frc	mus304	2	6	7e-04	0	0.5
Krn	mus304	2	6	0.0038	0	0.5
mam	mus304	2	6	0.0016	0	0.5
brk	mus304	2	6	0	0	0.5
Ark	mus304	2	6	0	0	0.5
mmy	mus304	2	6	0.0012	0	0.5
mri	mus304	2	6	0.0043	0	0.5
Crk	mus304	2	6	4e-04	0	0.5
ssh	mus304	2	6	3e-04	0	0.5
fs.1.K10	mus304	2	6	4e-04	0	0.5
Psn	mus304	2	6	5e-04	0	0.5
CG9509	mus304	2	6	2e-04	0	0.5
CkIIalpha	mus304	2	6	4e-04	0	0.5
car	mus304	2	6	1e-04	0	0.5
capu	mus304	2	6	9e-04	0	0.5
cact	mus304	2	6	0.002	0	0.5
Patj	mus304	2	6	0	0	0.5
dpp	mus304	2	6	5e-04	0	0.5
xl6	mus304	2	6	3e-04	0	0.5
