Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	neur	2	6	0	0	0.5
emp	neur	2	6	0	0	0.5
CG2678	neur	2	6	0	0	0.5
crc	neur	2	6	0	0	0.5
pros	neur	2	6	3e-04	0	0.5
neur	neur	2	6	0	0	0.5
Rab5	neur	2	6	0	0	0.5
Rab7	neur	2	6	2e-04	0	0.5
Mmp2	neur	2	6	0	0	0.5
W	neur	2	6	0	0	0.5
bowl	neur	2	6	0	0	0.5
fd59A	neur	2	6	1e-04	0	0.5
e	neur	2	6	0	0	0.5
ben	neur	2	6	0	0	0.5
rdo	neur	2	6	0	0	0.5
lin	neur	2	6	7e-04	0	0.5
tra	neur	2	6	0	0	0.5
tra2	neur	2	6	0	0	0.5
cathD	neur	2	6	0	0	0.5
d	neur	2	6	0	0	0.5
lva	neur	2	6	3e-04	0	0.5
pbl	neur	2	6	0	0	0.5
CG33205	neur	2	6	0	0	0.5
da	neur	2	6	0	0	0.5
cactin	neur	2	6	0	0	0.5
hpo	neur	2	6	4e-04	0	0.5
Sema.2a	neur	2	6	0	0	0.5
Eip74EF	neur	2	6	0	0	0.5
eg	neur	2	6	2e-04	0	0.5
Arc42	neur	2	6	0	0	0.5
toy	neur	2	6	0	0	0.5
Galpha73B	neur	2	6	0	0	0.5
RhoGAPp190	neur	2	6	0	0	0.5
MED11	neur	2	6	0	0	0.5
cher	neur	2	6	0	0	0.5
BicD	neur	2	6	0	0	0.5
MYPT.75D	neur	2	6	0	0	0.5
mus304	neur	2	6	0	0	0.5
CdsA	neur	2	6	4e-04	0	0.5
btl	neur	2	6	0	0	0.5
Cyt.c.d	neur	2	6	0	0	0.5
tok	neur	2	6	0	0	0.5
ttk	neur	2	6	0	0	0.5
tamo	neur	2	6	5e-04	0	0.5
CG6416	neur	2	6	0	0	0.5
flfl	neur	2	6	0	0	0.5
Pvr	neur	2	6	0	0	0.5
kay	neur	2	6	0	0	0.5
Jra	neur	2	6	0	0	0.5
msk	neur	2	6	0	0	0.5
tll	neur	2	6	0	0	0.5
Tm1	neur	2	6	1e-04	0	0.5
srp	neur	2	6	2e-04	0	0.5
Btk29A	neur	2	6	1e-04	0	0.5
fred	neur	2	6	0	0	0.5
