Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	nmo	2	6	0.0011	0	0.5
emp	nmo	2	6	4e-04	0	0.5
CG2678	nmo	2	6	8e-04	0	0.5
crc	nmo	2	6	1e-04	0	0.5
pros	nmo	2	6	0.001	0	0.5
neur	nmo	2	6	4e-04	0	0.5
Rab5	nmo	2	6	6e-04	0	0.5
Rab7	nmo	2	6	6e-04	0	0.5
Mmp2	nmo	2	6	0	0	0.5
W	nmo	2	6	1e-04	0	0.5
bowl	nmo	2	6	0	0	0.5
fd59A	nmo	2	6	1e-04	0	0.5
e	nmo	2	6	1e-04	0	0.5
ben	nmo	2	6	0	0	0.5
rdo	nmo	2	6	0	0	0.5
lin	nmo	2	6	0.002	0	0.5
tra	nmo	2	6	5e-04	0	0.5
tra2	nmo	2	6	4e-04	0	0.5
cathD	nmo	2	6	1e-04	0	0.5
d	nmo	2	6	2e-04	0	0.5
lva	nmo	2	6	1e-04	0	0.5
pbl	nmo	2	6	0.0011	0	0.5
CG33205	nmo	2	6	0.0048	0	0.5
da	nmo	2	6	0	0	0.5
cactin	nmo	2	6	0	0	0.5
hpo	nmo	2	6	7e-04	0	0.5
Sema.2a	nmo	2	6	0	0	0.5
Eip74EF	nmo	2	6	7e-04	0	0.5
eg	nmo	2	6	1e-04	0	0.5
Arc42	nmo	2	6	0	0	0.5
toy	nmo	2	6	0	0	0.5
Galpha73B	nmo	2	6	4e-04	0	0.5
RhoGAPp190	nmo	2	6	1e-04	0	0.5
MED11	nmo	2	6	0	0	0.5
cher	nmo	2	6	0	0	0.5
BicD	nmo	2	6	2e-04	0	0.5
MYPT.75D	nmo	2	6	0	0	0.5
mus304	nmo	2	6	0	0	0.5
CdsA	nmo	2	6	1e-04	0	0.5
btl	nmo	2	6	0	0	0.5
Cyt.c.d	nmo	2	6	8e-04	0	0.5
tok	nmo	2	6	0.0075	0	0.5
ttk	nmo	2	6	0	0	0.5
tamo	nmo	2	6	6e-04	0	0.5
CG6416	nmo	2	6	1e-04	0	0.5
flfl	nmo	2	6	0.088	0	0.5
Pvr	nmo	2	6	0	0	0.5
kay	nmo	2	6	0	0	0.5
Jra	nmo	2	6	2e-04	0	0.5
msk	nmo	2	6	0	0	0.5
tll	nmo	2	6	0.0043	0	0.5
Tm1	nmo	2	6	1e-04	0	0.5
srp	nmo	2	6	5e-04	0	0.5
Btk29A	nmo	2	6	3e-04	0	0.5
fred	nmo	2	6	1e-04	0	0.5
Src64B	nmo	2	6	0.0024	0	0.5
Mmp1	nmo	2	6	1e-04	0	0.5
sll	nmo	2	6	1e-04	0	0.5
Hmgs	nmo	2	6	5e-04	0	0.5
caps	nmo	2	6	0	0	0.5
Su.var.2.10	nmo	2	6	1e-04	0	0.5
CycB	nmo	2	6	0	0	0.5
spir	nmo	2	6	4e-04	0	0.5
spn.A	nmo	2	6	6e-04	0	0.5
Ptpmeg	nmo	2	6	5e-04	0	0.5
qua	nmo	2	6	1e-04	0	0.5
msn	nmo	2	6	0.0012	0	0.5
ena	nmo	2	6	4e-04	0	0.5
spen	nmo	2	6	4e-04	0	0.5
emc	nmo	2	6	3e-04	0	0.5
tsh	nmo	2	6	9e-04	0	0.5
Dat	nmo	2	6	0.0089	0	0.5
Lac	nmo	2	6	4e-04	0	0.5
dup	nmo	2	6	2e-04	0	0.5
CG3075	nmo	2	6	6e-04	0	0.5
Akap200	nmo	2	6	2e-04	0	0.5
CG18369	nmo	2	6	4e-04	0	0.5
bnl	nmo	2	6	3e-04	0	0.5
