Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	oaf	2	6	7e-04	0	0.5
emp	oaf	2	6	0	0	0.5
CG2678	oaf	2	6	1e-04	0	0.5
crc	oaf	2	6	0	0	0.5
pros	oaf	2	6	6e-04	0	0.5
neur	oaf	2	6	0	0	0.5
Rab5	oaf	2	6	5e-04	0	0.5
Rab7	oaf	2	6	2e-04	0	0.5
Mmp2	oaf	2	6	0	0	0.5
W	oaf	2	6	1e-04	0	0.5
bowl	oaf	2	6	0	0	0.5
fd59A	oaf	2	6	1e-04	0	0.5
e	oaf	2	6	0	0	0.5
ben	oaf	2	6	9e-04	0	0.5
rdo	oaf	2	6	0	0	0.5
lin	oaf	2	6	6e-04	0	0.5
tra	oaf	2	6	0	0	0.5
tra2	oaf	2	6	2e-04	0	0.5
cathD	oaf	2	6	0.002	0	0.5
d	oaf	2	6	0	0	0.5
lva	oaf	2	6	7e-04	0	0.5
pbl	oaf	2	6	0	0	0.5
CG33205	oaf	2	6	0	0	0.5
da	oaf	2	6	8e-04	0	0.5
cactin	oaf	2	6	0.0011	0	0.5
hpo	oaf	2	6	0	0	0.5
Sema.2a	oaf	2	6	0.0012	0	0.5
Eip74EF	oaf	2	6	0	0	0.5
eg	oaf	2	6	0	0	0.5
Arc42	oaf	2	6	0	0	0.5
toy	oaf	2	6	0	0	0.5
Galpha73B	oaf	2	6	0	0	0.5
RhoGAPp190	oaf	2	6	0	0	0.5
MED11	oaf	2	6	0	0	0.5
cher	oaf	2	6	0	0	0.5
BicD	oaf	2	6	0	0	0.5
MYPT.75D	oaf	2	6	0	0	0.5
mus304	oaf	2	6	0	0	0.5
CdsA	oaf	2	6	0	0	0.5
btl	oaf	2	6	0	0	0.5
Cyt.c.d	oaf	2	6	2e-04	0	0.5
tok	oaf	2	6	0	0	0.5
ttk	oaf	2	6	0	0	0.5
tamo	oaf	2	6	2e-04	0	0.5
CG6416	oaf	2	6	0	0	0.5
flfl	oaf	2	6	2e-04	0	0.5
Pvr	oaf	2	6	0	0	0.5
kay	oaf	2	6	3e-04	0	0.5
Jra	oaf	2	6	0	0	0.5
msk	oaf	2	6	0	0	0.5
tll	oaf	2	6	0	0	0.5
Tm1	oaf	2	6	0	0	0.5
srp	oaf	2	6	1e-04	0	0.5
Btk29A	oaf	2	6	1e-04	0	0.5
fred	oaf	2	6	0	0	0.5
Src64B	oaf	2	6	0	0	0.5
Mmp1	oaf	2	6	7e-04	0	0.5
sll	oaf	2	6	0	0	0.5
Hmgs	oaf	2	6	0.003	0	0.5
caps	oaf	2	6	5e-04	0	0.5
Su.var.2.10	oaf	2	6	0	0	0.5
CycB	oaf	2	6	0	0	0.5
spir	oaf	2	6	0	0	0.5
spn.A	oaf	2	6	1e-04	0	0.5
Ptpmeg	oaf	2	6	3e-04	0	0.5
qua	oaf	2	6	0	0	0.5
msn	oaf	2	6	0	0	0.5
ena	oaf	2	6	0	0	0.5
spen	oaf	2	6	0	0	0.5
emc	oaf	2	6	0.0011	0	0.5
tsh	oaf	2	6	0	0	0.5
Dat	oaf	2	6	0	0	0.5
Lac	oaf	2	6	0	0	0.5
dup	oaf	2	6	0	0	0.5
CG3075	oaf	2	6	0	0	0.5
Akap200	oaf	2	6	5e-04	0	0.5
CG18369	oaf	2	6	0	0	0.5
bnl	oaf	2	6	0	0	0.5
sec23	oaf	2	6	0	0	0.5
Pde8	oaf	2	6	6e-04	0	0.5
Arp66B	oaf	2	6	0	0	0.5
cos	oaf	2	6	0.0022	0	0.5
Borr	oaf	2	6	0	0	0.5
X140up	oaf	2	6	1e-04	0	0.5
Dhc64C	oaf	2	6	0	0	0.5
Not1	oaf	2	6	3e-04	0	0.5
CG9520	oaf	2	6	0.0013	0	0.5
bib	oaf	2	6	3e-04	0	0.5
mib1	oaf	2	6	0	0	0.5
cas	oaf	2	6	5e-04	0	0.5
Abi	oaf	2	6	0	0	0.5
betaTub56D	oaf	2	6	0.0016	0	0.5
nej	oaf	2	6	0.0013	0	0.5
dlg1	oaf	2	6	9e-04	0	0.5
Lcp65Ag1	oaf	2	6	2e-04	0	0.5
Es2	oaf	2	6	0	0	0.5
MED24	oaf	2	6	5e-04	0	0.5
Vhl	oaf	2	6	8e-04	0	0.5
tral	oaf	2	6	0	0	0.5
sns	oaf	2	6	0	0	0.5
mbl	oaf	2	6	0	0	0.5
sav	oaf	2	6	0	0	0.5
lola	oaf	2	6	2e-04	0	0.5
robo	oaf	2	6	1e-04	0	0.5
CG32486	oaf	2	6	0	0	0.5
santa.maria	oaf	2	6	0	0	0.5
stumps	oaf	2	6	0	0	0.5
abd.A	oaf	2	6	0	0	0.5
dock	oaf	2	6	0	0	0.5
Lar	oaf	2	6	0	0	0.5
l.1.G0289	oaf	2	6	0	0	0.5
Abl	oaf	2	6	0	0	0.5
Syb	oaf	2	6	3e-04	0	0.5
dome	oaf	2	6	6e-04	0	0.5
ofs	oaf	2	6	1e-04	0	0.5
MED4	oaf	2	6	0	0	0.5
scrib	oaf	2	6	0	0	0.5
siz	oaf	2	6	0	0	0.5
cbx	oaf	2	6	0	0	0.5
dsx	oaf	2	6	0	0	0.5
Sb	oaf	2	6	1e-04	0	0.5
sax	oaf	2	6	0	0	0.5
foxo	oaf	2	6	0.0017	0	0.5
Cyp1	oaf	2	6	2e-04	0	0.5
brm	oaf	2	6	0	0	0.5
rad50	oaf	2	6	0	0	0.5
chico	oaf	2	6	1e-04	0	0.5
cp309	oaf	2	6	0	0	0.5
hdc	oaf	2	6	5e-04	0	0.5
Axn	oaf	2	6	3e-04	0	0.5
Apc2	oaf	2	6	4e-04	0	0.5
PhKgamma	oaf	2	6	0.0013	0	0.5
eya	oaf	2	6	0	0	0.5
sktl	oaf	2	6	0	0	0.5
sqd	oaf	2	6	0.0011	0	0.5
Akt1	oaf	2	6	0	0	0.5
scyl	oaf	2	6	3e-04	0	0.5
cnk	oaf	2	6	0	0	0.5
CG8149	oaf	2	6	0	0	0.5
CG34379	oaf	2	6	0	0	0.5
Yp1	oaf	2	6	0	0	0.5
yrt	oaf	2	6	0	0	0.5
bap	oaf	2	6	0	0	0.5
tud	oaf	2	6	0	0	0.5
ct	oaf	2	6	1e-04	0	0.5
tup	oaf	2	6	0	0	0.5
G.ialpha65A	oaf	2	6	0	0	0.5
knrl	oaf	2	6	2e-04	0	0.5
Pkn	oaf	2	6	0	0	0.5
Sry.delta	oaf	2	6	0	0	0.5
Alh	oaf	2	6	0	0	0.5
pnut	oaf	2	6	2e-04	0	0.5
phyl	oaf	2	6	0	0	0.5
CG17739	oaf	2	6	0	0	0.5
B4	oaf	2	6	0	0	0.5
CG2681	oaf	2	6	0	0	0.5
tow	oaf	2	6	3e-04	0	0.5
hkl	oaf	2	6	0	0	0.5
sina	oaf	2	6	0	0	0.5
ry	oaf	2	6	1e-04	0	0.5
rux	oaf	2	6	1e-04	0	0.5
boss	oaf	2	6	7e-04	0	0.5
Mkp3	oaf	2	6	7e-04	0	0.5
inaC	oaf	2	6	0.001	0	0.5
sno	oaf	2	6	2e-04	0	0.5
jagn	oaf	2	6	0	0	0.5
dpn	oaf	2	6	0	0	0.5
wrapper	oaf	2	6	1e-04	0	0.5
Ca.alpha1D	oaf	2	6	7e-04	0	0.5
E2f	oaf	2	6	5e-04	0	0.5
Dp	oaf	2	6	2e-04	0	0.5
l.2.efl	oaf	2	6	0	0	0.5
cnc	oaf	2	6	2e-04	0	0.5
Atg5	oaf	2	6	3e-04	0	0.5
acj6	oaf	2	6	0	0	0.5
Trl	oaf	2	6	5e-04	0	0.5
d4	oaf	2	6	0	0	0.5
CG16719	oaf	2	6	0	0	0.5
CadN	oaf	2	6	0	0	0.5
gro	oaf	2	6	0	0	0.5
sec13	oaf	2	6	0	0	0.5
klar	oaf	2	6	0	0	0.5
Rack1	oaf	2	6	0	0	0.5
Sobp	oaf	2	6	2e-04	0	0.5
ash1	oaf	2	6	6e-04	0	0.5
inv	oaf	2	6	7e-04	0	0.5
shot	oaf	2	6	0	0	0.5
Oseg1	oaf	2	6	0	0	0.5
Spred	oaf	2	6	0.0012	0	0.5
