Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	opa	2	6	0	0	0.5
emp	opa	2	6	0	0	0.5
CG2678	opa	2	6	1e-04	0	0.5
crc	opa	2	6	0	0	0.5
pros	opa	2	6	0	0	0.5
neur	opa	2	6	0	0	0.5
Rab5	opa	2	6	0	0	0.5
Rab7	opa	2	6	6e-04	0	0.5
Mmp2	opa	2	6	0	0	0.5
W	opa	2	6	0	0	0.5
bowl	opa	2	6	0	0	0.5
fd59A	opa	2	6	0	0	0.5
e	opa	2	6	0	0	0.5
ben	opa	2	6	0	0	0.5
rdo	opa	2	6	0	0	0.5
lin	opa	2	6	0.171	0	0.5
tra	opa	2	6	3e-04	0	0.5
tra2	opa	2	6	0	0	0.5
cathD	opa	2	6	0	0	0.5
d	opa	2	6	2e-04	0	0.5
lva	opa	2	6	3e-04	0	0.5
pbl	opa	2	6	0	0	0.5
CG33205	opa	2	6	1e-04	0	0.5
da	opa	2	6	0	0	0.5
cactin	opa	2	6	0	0	0.5
hpo	opa	2	6	0	0	0.5
Sema.2a	opa	2	6	0	0	0.5
Eip74EF	opa	2	6	0	0	0.5
eg	opa	2	6	1e-04	0	0.5
Arc42	opa	2	6	0	0	0.5
toy	opa	2	6	0	0	0.5
Galpha73B	opa	2	6	0	0	0.5
RhoGAPp190	opa	2	6	0	0	0.5
MED11	opa	2	6	3e-04	0	0.5
cher	opa	2	6	0	0	0.5
BicD	opa	2	6	1e-04	0	0.5
MYPT.75D	opa	2	6	0	0	0.5
mus304	opa	2	6	7e-04	0	0.5
CdsA	opa	2	6	0	0	0.5
btl	opa	2	6	0	0	0.5
Cyt.c.d	opa	2	6	0	0	0.5
tok	opa	2	6	0	0	0.5
ttk	opa	2	6	4e-04	0	0.5
tamo	opa	2	6	0	0	0.5
CG6416	opa	2	6	0	0	0.5
flfl	opa	2	6	1e-04	0	0.5
Pvr	opa	2	6	7e-04	0	0.5
kay	opa	2	6	0	0	0.5
Jra	opa	2	6	1e-04	0	0.5
msk	opa	2	6	0	0	0.5
tll	opa	2	6	3e-04	0	0.5
Tm1	opa	2	6	0	0	0.5
srp	opa	2	6	0	0	0.5
Btk29A	opa	2	6	0	0	0.5
fred	opa	2	6	0	0	0.5
Src64B	opa	2	6	0	0	0.5
Mmp1	opa	2	6	0	0	0.5
sll	opa	2	6	0	0	0.5
Hmgs	opa	2	6	0	0	0.5
caps	opa	2	6	2e-04	0	0.5
Su.var.2.10	opa	2	6	0	0	0.5
CycB	opa	2	6	0	0	0.5
spir	opa	2	6	9e-04	0	0.5
spn.A	opa	2	6	0	0	0.5
Ptpmeg	opa	2	6	0	0	0.5
qua	opa	2	6	6e-04	0	0.5
msn	opa	2	6	0	0	0.5
ena	opa	2	6	9e-04	0	0.5
spen	opa	2	6	0	0	0.5
emc	opa	2	6	0	0	0.5
tsh	opa	2	6	0	0	0.5
Dat	opa	2	6	0	0	0.5
Lac	opa	2	6	3e-04	0	0.5
dup	opa	2	6	0.0012	0	0.5
CG3075	opa	2	6	0	0	0.5
Akap200	opa	2	6	1e-04	0	0.5
CG18369	opa	2	6	3e-04	0	0.5
bnl	opa	2	6	0	0	0.5
sec23	opa	2	6	0	0	0.5
Pde8	opa	2	6	1e-04	0	0.5
Arp66B	opa	2	6	3e-04	0	0.5
cos	opa	2	6	0	0	0.5
Borr	opa	2	6	0	0	0.5
X140up	opa	2	6	0.001	0	0.5
Dhc64C	opa	2	6	0.0014	0	0.5
Not1	opa	2	6	4e-04	0	0.5
CG9520	opa	2	6	6e-04	0	0.5
bib	opa	2	6	0.0012	0	0.5
mib1	opa	2	6	0	0	0.5
cas	opa	2	6	1e-04	0	0.5
Abi	opa	2	6	0	0	0.5
betaTub56D	opa	2	6	0	0	0.5
nej	opa	2	6	0	0	0.5
dlg1	opa	2	6	0	0	0.5
Lcp65Ag1	opa	2	6	0	0	0.5
Es2	opa	2	6	0	0	0.5
MED24	opa	2	6	0	0	0.5
Vhl	opa	2	6	0	0	0.5
tral	opa	2	6	0	0	0.5
sns	opa	2	6	0	0	0.5
mbl	opa	2	6	0	0	0.5
sav	opa	2	6	4e-04	0	0.5
lola	opa	2	6	0	0	0.5
robo	opa	2	6	0	0	0.5
CG32486	opa	2	6	0	0	0.5
santa.maria	opa	2	6	0	0	0.5
stumps	opa	2	6	0.0011	0	0.5
abd.A	opa	2	6	0	0	0.5
dock	opa	2	6	0	0	0.5
Lar	opa	2	6	0.0016	0	0.5
l.1.G0289	opa	2	6	0	0	0.5
Abl	opa	2	6	1e-04	0	0.5
Syb	opa	2	6	0	0	0.5
dome	opa	2	6	6e-04	0	0.5
ofs	opa	2	6	0.001	0	0.5
MED4	opa	2	6	0	0	0.5
scrib	opa	2	6	1e-04	0	0.5
siz	opa	2	6	0	0	0.5
cbx	opa	2	6	0	0	0.5
dsx	opa	2	6	0	0	0.5
Sb	opa	2	6	0	0	0.5
sax	opa	2	6	0	0	0.5
foxo	opa	2	6	0	0	0.5
Cyp1	opa	2	6	0	0	0.5
brm	opa	2	6	2e-04	0	0.5
rad50	opa	2	6	0	0	0.5
chico	opa	2	6	0	0	0.5
cp309	opa	2	6	0	0	0.5
hdc	opa	2	6	0	0	0.5
Axn	opa	2	6	0	0	0.5
Apc2	opa	2	6	0	0	0.5
PhKgamma	opa	2	6	0	0	0.5
eya	opa	2	6	8e-04	0	0.5
sktl	opa	2	6	0	0	0.5
sqd	opa	2	6	3e-04	0	0.5
Akt1	opa	2	6	0	0	0.5
scyl	opa	2	6	0	0	0.5
cnk	opa	2	6	2e-04	0	0.5
CG8149	opa	2	6	0	0	0.5
CG34379	opa	2	6	0	0	0.5
Yp1	opa	2	6	0	0	0.5
yrt	opa	2	6	0	0	0.5
bap	opa	2	6	0	0	0.5
tud	opa	2	6	0	0	0.5
ct	opa	2	6	0	0	0.5
tup	opa	2	6	0	0	0.5
G.ialpha65A	opa	2	6	2e-04	0	0.5
knrl	opa	2	6	0	0	0.5
Pkn	opa	2	6	1e-04	0	0.5
Sry.delta	opa	2	6	0	0	0.5
Alh	opa	2	6	0	0	0.5
pnut	opa	2	6	0	0	0.5
phyl	opa	2	6	0	0	0.5
CG17739	opa	2	6	2e-04	0	0.5
B4	opa	2	6	1e-04	0	0.5
CG2681	opa	2	6	3e-04	0	0.5
tow	opa	2	6	0	0	0.5
hkl	opa	2	6	1e-04	0	0.5
sina	opa	2	6	0	0	0.5
ry	opa	2	6	0	0	0.5
rux	opa	2	6	0	0	0.5
boss	opa	2	6	0	0	0.5
Mkp3	opa	2	6	0	0	0.5
inaC	opa	2	6	2e-04	0	0.5
sno	opa	2	6	0	0	0.5
jagn	opa	2	6	0.6531	0.99915	0.5
dpn	opa	2	6	3e-04	0	0.5
wrapper	opa	2	6	0	0	0.5
Ca.alpha1D	opa	2	6	0	0	0.5
E2f	opa	2	6	0.001	0	0.5
Dp	opa	2	6	0	0	0.5
l.2.efl	opa	2	6	3e-04	0	0.5
cnc	opa	2	6	0	0	0.5
Atg5	opa	2	6	0	0	0.5
acj6	opa	2	6	0	0	0.5
Trl	opa	2	6	0	0	0.5
d4	opa	2	6	0	0	0.5
CG16719	opa	2	6	7e-04	0	0.5
CadN	opa	2	6	2e-04	0	0.5
gro	opa	2	6	1e-04	0	0.5
sec13	opa	2	6	0	0	0.5
klar	opa	2	6	2e-04	0	0.5
Rack1	opa	2	6	0	0	0.5
Sobp	opa	2	6	4e-04	0	0.5
ash1	opa	2	6	0	0	0.5
inv	opa	2	6	0	0	0.5
shot	opa	2	6	1e-04	0	0.5
Oseg1	opa	2	6	1e-04	0	0.5
Spred	opa	2	6	0	0	0.5
puc	opa	2	6	0	0	0.5
Atg6	opa	2	6	0	0	0.5
CG3829	opa	2	6	0	0	0.5
sle	opa	2	6	1e-04	0	0.5
Cka	opa	2	6	0	0	0.5
form3	opa	2	6	0	0	0.5
Pk61C	opa	2	6	0	0	0.5
Pcaf	opa	2	6	2e-04	0	0.5
sbb	opa	2	6	0	0	0.5
Ef1gamma	opa	2	6	0	0	0.5
FKBP59	opa	2	6	7e-04	0	0.5
Eip71CD	opa	2	6	2e-04	0	0.5
xmas.2	opa	2	6	2e-04	0	0.5
ppan	opa	2	6	1e-04	0	0.5
Iswi	opa	2	6	0	0	0.5
