Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	p53	2	6	9e-04	0	0.5
emp	p53	2	6	1e-04	0	0.5
CG2678	p53	2	6	0	0	0.5
crc	p53	2	6	7e-04	0	0.5
pros	p53	2	6	9e-04	0	0.5
neur	p53	2	6	3e-04	0	0.5
Rab5	p53	2	6	1e-04	0	0.5
Rab7	p53	2	6	7e-04	0	0.5
Mmp2	p53	2	6	1e-04	0	0.5
W	p53	2	6	0	0	0.5
bowl	p53	2	6	2e-04	0	0.5
fd59A	p53	2	6	0.0017	0	0.5
e	p53	2	6	0	0	0.5
ben	p53	2	6	5e-04	0	0.5
rdo	p53	2	6	1e-04	0	0.5
lin	p53	2	6	0	0	0.5
tra	p53	2	6	0.001	0	0.5
tra2	p53	2	6	9e-04	0	0.5
cathD	p53	2	6	5e-04	0	0.5
d	p53	2	6	5e-04	0	0.5
lva	p53	2	6	0	0	0.5
pbl	p53	2	6	4e-04	0	0.5
CG33205	p53	2	6	8e-04	0	0.5
da	p53	2	6	0	0	0.5
cactin	p53	2	6	0	0	0.5
hpo	p53	2	6	3e-04	0	0.5
Sema.2a	p53	2	6	5e-04	0	0.5
Eip74EF	p53	2	6	0	0	0.5
eg	p53	2	6	0	0	0.5
Arc42	p53	2	6	8e-04	0	0.5
toy	p53	2	6	0.7931	0.99743	0.5
Galpha73B	p53	2	6	1e-04	0	0.5
RhoGAPp190	p53	2	6	0	0	0.5
MED11	p53	2	6	0.0012	0	0.5
cher	p53	2	6	1e-04	0	0.5
BicD	p53	2	6	2e-04	0	0.5
MYPT.75D	p53	2	6	1e-04	0	0.5
mus304	p53	2	6	7e-04	0	0.5
CdsA	p53	2	6	0	0	0.5
btl	p53	2	6	0.0042	0	0.5
Cyt.c.d	p53	2	6	4e-04	0	0.5
tok	p53	2	6	4e-04	0	0.5
ttk	p53	2	6	0	0	0.5
tamo	p53	2	6	0	0	0.5
CG6416	p53	2	6	0.0011	0	0.5
flfl	p53	2	6	2e-04	0	0.5
Pvr	p53	2	6	3e-04	0	0.5
kay	p53	2	6	1e-04	0	0.5
Jra	p53	2	6	1e-04	0	0.5
msk	p53	2	6	0.0095	0	0.5
tll	p53	2	6	4e-04	0	0.5
Tm1	p53	2	6	5e-04	0	0.5
srp	p53	2	6	0	0	0.5
Btk29A	p53	2	6	6e-04	0	0.5
fred	p53	2	6	0	0	0.5
Src64B	p53	2	6	5e-04	0	0.5
Mmp1	p53	2	6	3e-04	0	0.5
sll	p53	2	6	8e-04	0	0.5
Hmgs	p53	2	6	4e-04	0	0.5
caps	p53	2	6	5e-04	0	0.5
Su.var.2.10	p53	2	6	1e-04	0	0.5
CycB	p53	2	6	0	0	0.5
spir	p53	2	6	0.0013	0	0.5
spn.A	p53	2	6	2e-04	0	0.5
Ptpmeg	p53	2	6	0.0019	0	0.5
qua	p53	2	6	0.0016	0	0.5
msn	p53	2	6	2e-04	0	0.5
ena	p53	2	6	1e-04	0	0.5
spen	p53	2	6	0	0	0.5
