Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	pav	2	6	0	0	0.5
emp	pav	2	6	1e-04	0	0.5
CG2678	pav	2	6	0	0	0.5
crc	pav	2	6	0	0	0.5
pros	pav	2	6	0	0	0.5
neur	pav	2	6	0	0	0.5
Rab5	pav	2	6	3e-04	0	0.5
Rab7	pav	2	6	0	0	0.5
Mmp2	pav	2	6	1e-04	0	0.5
W	pav	2	6	0	0	0.5
bowl	pav	2	6	0	0	0.5
fd59A	pav	2	6	0	0	0.5
e	pav	2	6	1e-04	0	0.5
ben	pav	2	6	0	0	0.5
rdo	pav	2	6	0	0	0.5
lin	pav	2	6	3e-04	0	0.5
tra	pav	2	6	0	0	0.5
tra2	pav	2	6	0	0	0.5
cathD	pav	2	6	0	0	0.5
d	pav	2	6	0	0	0.5
lva	pav	2	6	0	0	0.5
pbl	pav	2	6	0	0	0.5
CG33205	pav	2	6	2e-04	0	0.5
da	pav	2	6	0	0	0.5
cactin	pav	2	6	0	0	0.5
hpo	pav	2	6	0	0	0.5
Sema.2a	pav	2	6	0	0	0.5
Eip74EF	pav	2	6	9e-04	0	0.5
eg	pav	2	6	6e-04	0	0.5
Arc42	pav	2	6	0	0	0.5
toy	pav	2	6	0	0	0.5
Galpha73B	pav	2	6	0	0	0.5
RhoGAPp190	pav	2	6	0.0012	0	0.5
MED11	pav	2	6	0	0	0.5
cher	pav	2	6	7e-04	0	0.5
BicD	pav	2	6	0	0	0.5
MYPT.75D	pav	2	6	0	0	0.5
mus304	pav	2	6	0	0	0.5
CdsA	pav	2	6	4e-04	0	0.5
btl	pav	2	6	1e-04	0	0.5
Cyt.c.d	pav	2	6	0	0	0.5
tok	pav	2	6	0	0	0.5
ttk	pav	2	6	0	0	0.5
tamo	pav	2	6	0	0	0.5
CG6416	pav	2	6	0	0	0.5
flfl	pav	2	6	4e-04	0	0.5
Pvr	pav	2	6	1e-04	0	0.5
kay	pav	2	6	0	0	0.5
Jra	pav	2	6	1e-04	0	0.5
msk	pav	2	6	0	0	0.5
tll	pav	2	6	0	0	0.5
Tm1	pav	2	6	0	0	0.5
srp	pav	2	6	0	0	0.5
Btk29A	pav	2	6	2e-04	0	0.5
fred	pav	2	6	1e-04	0	0.5
Src64B	pav	2	6	0	0	0.5
Mmp1	pav	2	6	0	0	0.5
sll	pav	2	6	0	0	0.5
Hmgs	pav	2	6	1e-04	0	0.5
caps	pav	2	6	0	0	0.5
Su.var.2.10	pav	2	6	1e-04	0	0.5
CycB	pav	2	6	1e-04	0	0.5
spir	pav	2	6	0	0	0.5
spn.A	pav	2	6	3e-04	0	0.5
Ptpmeg	pav	2	6	4e-04	0	0.5
qua	pav	2	6	0	0	0.5
msn	pav	2	6	0	0	0.5
ena	pav	2	6	0	0	0.5
spen	pav	2	6	0	0	0.5
emc	pav	2	6	0	0	0.5
tsh	pav	2	6	6e-04	0	0.5
Dat	pav	2	6	0	0	0.5
Lac	pav	2	6	0	0	0.5
dup	pav	2	6	0	0	0.5
CG3075	pav	2	6	1e-04	0	0.5
Akap200	pav	2	6	0	0	0.5
CG18369	pav	2	6	0	0	0.5
bnl	pav	2	6	0	0	0.5
sec23	pav	2	6	0	0	0.5
Pde8	pav	2	6	0	0	0.5
Arp66B	pav	2	6	0	0	0.5
cos	pav	2	6	0	0	0.5
Borr	pav	2	6	2e-04	0	0.5
X140up	pav	2	6	0	0	0.5
Dhc64C	pav	2	6	2e-04	0	0.5
Not1	pav	2	6	0	0	0.5
CG9520	pav	2	6	2e-04	0	0.5
bib	pav	2	6	0	0	0.5
mib1	pav	2	6	0	0	0.5
cas	pav	2	6	0	0	0.5
Abi	pav	2	6	0	0	0.5
betaTub56D	pav	2	6	0	0	0.5
nej	pav	2	6	0	0	0.5
dlg1	pav	2	6	0	0	0.5
Lcp65Ag1	pav	2	6	0	0	0.5
Es2	pav	2	6	0	0	0.5
MED24	pav	2	6	0	0	0.5
Vhl	pav	2	6	0	0	0.5
tral	pav	2	6	3e-04	0	0.5
sns	pav	2	6	0	0	0.5
mbl	pav	2	6	1e-04	0	0.5
sav	pav	2	6	0	0	0.5
lola	pav	2	6	4e-04	0	0.5
robo	pav	2	6	0	0	0.5
CG32486	pav	2	6	8e-04	0	0.5
santa.maria	pav	2	6	0	0	0.5
stumps	pav	2	6	1e-04	0	0.5
abd.A	pav	2	6	0	0	0.5
dock	pav	2	6	2e-04	0	0.5
Lar	pav	2	6	0	0	0.5
l.1.G0289	pav	2	6	0	0	0.5
Abl	pav	2	6	3e-04	0	0.5
Syb	pav	2	6	0	0	0.5
dome	pav	2	6	0	0	0.5
ofs	pav	2	6	0	0	0.5
MED4	pav	2	6	0	0	0.5
scrib	pav	2	6	2e-04	0	0.5
siz	pav	2	6	0	0	0.5
cbx	pav	2	6	0	0	0.5
dsx	pav	2	6	6e-04	0	0.5
Sb	pav	2	6	0	0	0.5
sax	pav	2	6	0	0	0.5
foxo	pav	2	6	0	0	0.5
Cyp1	pav	2	6	0	0	0.5
brm	pav	2	6	0	0	0.5
rad50	pav	2	6	5e-04	0	0.5
chico	pav	2	6	6e-04	0	0.5
cp309	pav	2	6	0	0	0.5
hdc	pav	2	6	9e-04	0	0.5
Axn	pav	2	6	0	0	0.5
Apc2	pav	2	6	0	0	0.5
PhKgamma	pav	2	6	1e-04	0	0.5
eya	pav	2	6	1e-04	0	0.5
sktl	pav	2	6	0	0	0.5
sqd	pav	2	6	8e-04	0	0.5
