Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	pbl	2	6	0	0	0.5
emp	pbl	2	6	4e-04	0	0.5
CG2678	pbl	2	6	1e-04	0	0.5
crc	pbl	2	6	0	0	0.5
pros	pbl	2	6	2e-04	0	0.5
neur	pbl	2	6	0	0	0.5
Rab5	pbl	2	6	0	0	0.5
Rab7	pbl	2	6	3e-04	0	0.5
Mmp2	pbl	2	6	0	0	0.5
W	pbl	2	6	0	0	0.5
bowl	pbl	2	6	0	0	0.5
fd59A	pbl	2	6	0	0	0.5
e	pbl	2	6	1e-04	0	0.5
ben	pbl	2	6	0	0	0.5
rdo	pbl	2	6	2e-04	0	0.5
lin	pbl	2	6	1e-04	0	0.5
tra	pbl	2	6	0	0	0.5
tra2	pbl	2	6	1e-04	0	0.5
cathD	pbl	2	6	3e-04	0	0.5
d	pbl	2	6	0	0	0.5
lva	pbl	2	6	1e-04	0	0.5
pbl	pbl	2	6	0	0	0.5
CG33205	pbl	2	6	0	0	0.5
da	pbl	2	6	0	0	0.5
cactin	pbl	2	6	0	0	0.5
hpo	pbl	2	6	0	0	0.5
Sema.2a	pbl	2	6	0	0	0.5
Eip74EF	pbl	2	6	0	0	0.5
eg	pbl	2	6	0	0	0.5
Arc42	pbl	2	6	0	0	0.5
toy	pbl	2	6	0	0	0.5
Galpha73B	pbl	2	6	0	0	0.5
RhoGAPp190	pbl	2	6	3e-04	0	0.5
MED11	pbl	2	6	0	0	0.5
cher	pbl	2	6	0	0	0.5
BicD	pbl	2	6	0	0	0.5
MYPT.75D	pbl	2	6	0	0	0.5
mus304	pbl	2	6	0	0	0.5
CdsA	pbl	2	6	3e-04	0	0.5
btl	pbl	2	6	0	0	0.5
Cyt.c.d	pbl	2	6	1e-04	0	0.5
tok	pbl	2	6	2e-04	0	0.5
ttk	pbl	2	6	2e-04	0	0.5
tamo	pbl	2	6	0	0	0.5
CG6416	pbl	2	6	0	0	0.5
flfl	pbl	2	6	5e-04	0	0.5
Pvr	pbl	2	6	4e-04	0	0.5
kay	pbl	2	6	1e-04	0	0.5
Jra	pbl	2	6	0	0	0.5
msk	pbl	2	6	1e-04	0	0.5
tll	pbl	2	6	0	0	0.5
Tm1	pbl	2	6	0	0	0.5
srp	pbl	2	6	2e-04	0	0.5
Btk29A	pbl	2	6	8e-04	0	0.5
fred	pbl	2	6	3e-04	0	0.5
Src64B	pbl	2	6	0	0	0.5
Mmp1	pbl	2	6	0	0	0.5
sll	pbl	2	6	0	0	0.5
Hmgs	pbl	2	6	4e-04	0	0.5
caps	pbl	2	6	1e-04	0	0.5
Su.var.2.10	pbl	2	6	0	0	0.5
CycB	pbl	2	6	3e-04	0	0.5
spir	pbl	2	6	1e-04	0	0.5
spn.A	pbl	2	6	0	0	0.5
