Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	pcm	2	6	1e-04	0	0.5
emp	pcm	2	6	0.0228	0	0.5
CG2678	pcm	2	6	0.0039	0	0.5
crc	pcm	2	6	2e-04	0	0.5
pros	pcm	2	6	7e-04	0	0.5
neur	pcm	2	6	9e-04	0	0.5
Rab5	pcm	2	6	3e-04	0	0.5
Rab7	pcm	2	6	0.0017	0	0.5
Mmp2	pcm	2	6	0.001	0	0.5
W	pcm	2	6	1e-04	0	0.5
bowl	pcm	2	6	6e-04	0	0.5
fd59A	pcm	2	6	8e-04	0	0.5
e	pcm	2	6	6e-04	0	0.5
ben	pcm	2	6	4e-04	0	0.5
rdo	pcm	2	6	0.0124	0	0.5
lin	pcm	2	6	3e-04	0	0.5
tra	pcm	2	6	1e-04	0	0.5
tra2	pcm	2	6	0	0	0.5
cathD	pcm	2	6	4e-04	0	0.5
d	pcm	2	6	4e-04	0	0.5
lva	pcm	2	6	3e-04	0	0.5
pbl	pcm	2	6	0.0015	0	0.5
CG33205	pcm	2	6	0.002	0	0.5
da	pcm	2	6	0.023	0	0.5
cactin	pcm	2	6	0.0435	0	0.5
hpo	pcm	2	6	0.0265	0	0.5
Sema.2a	pcm	2	6	0.001	0	0.5
Eip74EF	pcm	2	6	2e-04	0	0.5
eg	pcm	2	6	0.001	0	0.5
Arc42	pcm	2	6	0.0013	0	0.5
toy	pcm	2	6	0.0015	0	0.5
Galpha73B	pcm	2	6	4e-04	0	0.5
RhoGAPp190	pcm	2	6	8e-04	0	0.5
MED11	pcm	2	6	3e-04	0	0.5
cher	pcm	2	6	3e-04	0	0.5
BicD	pcm	2	6	4e-04	0	0.5
MYPT.75D	pcm	2	6	6e-04	0	0.5
mus304	pcm	2	6	7e-04	0	0.5
CdsA	pcm	2	6	3e-04	0	0.5
btl	pcm	2	6	1e-04	0	0.5
Cyt.c.d	pcm	2	6	0.0071	0	0.5
tok	pcm	2	6	0.0269	0	0.5
ttk	pcm	2	6	0	0	0.5
tamo	pcm	2	6	7e-04	0	0.5
CG6416	pcm	2	6	0.0015	0	0.5
flfl	pcm	2	6	0.0049	0	0.5
Pvr	pcm	2	6	1e-04	0	0.5
kay	pcm	2	6	1e-04	0	0.5
Jra	pcm	2	6	2e-04	0	0.5
msk	pcm	2	6	3e-04	0	0.5
tll	pcm	2	6	0	0	0.5
Tm1	pcm	2	6	0.0016	0	0.5
srp	pcm	2	6	6e-04	0	0.5
Btk29A	pcm	2	6	9e-04	0	0.5
fred	pcm	2	6	2e-04	0	0.5
Src64B	pcm	2	6	0.0016	0	0.5
Mmp1	pcm	2	6	1e-04	0	0.5
sll	pcm	2	6	0.0013	0	0.5
Hmgs	pcm	2	6	0.0011	0	0.5
caps	pcm	2	6	3e-04	0	0.5
