Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	phyl	2	6	2e-04	0	0.5
emp	phyl	2	6	0.0023	0	0.5
CG2678	phyl	2	6	0	0	0.5
crc	phyl	2	6	3e-04	0	0.5
pros	phyl	2	6	9e-04	0	0.5
neur	phyl	2	6	4e-04	0	0.5
Rab5	phyl	2	6	5e-04	0	0.5
Rab7	phyl	2	6	0	0	0.5
Mmp2	phyl	2	6	5e-04	0	0.5
W	phyl	2	6	0	0	0.5
bowl	phyl	2	6	0	0	0.5
fd59A	phyl	2	6	2e-04	0	0.5
e	phyl	2	6	0.0011	0	0.5
ben	phyl	2	6	0.0015	0	0.5
rdo	phyl	2	6	7e-04	0	0.5
lin	phyl	2	6	0.0021	0	0.5
tra	phyl	2	6	4e-04	0	0.5
tra2	phyl	2	6	4e-04	0	0.5
cathD	phyl	2	6	0	0	0.5
d	phyl	2	6	9e-04	0	0.5
lva	phyl	2	6	0	0	0.5
pbl	phyl	2	6	1e-04	0	0.5
CG33205	phyl	2	6	0.0017	0	0.5
da	phyl	2	6	2e-04	0	0.5
cactin	phyl	2	6	6e-04	0	0.5
hpo	phyl	2	6	1e-04	0	0.5
Sema.2a	phyl	2	6	6e-04	0	0.5
Eip74EF	phyl	2	6	0.0093	0	0.5
eg	phyl	2	6	5e-04	0	0.5
Arc42	phyl	2	6	3e-04	0	0.5
toy	phyl	2	6	3e-04	0	0.5
Galpha73B	phyl	2	6	6e-04	0	0.5
RhoGAPp190	phyl	2	6	0	0	0.5
MED11	phyl	2	6	3e-04	0	0.5
cher	phyl	2	6	1e-04	0	0.5
BicD	phyl	2	6	7e-04	0	0.5
MYPT.75D	phyl	2	6	0.001	0	0.5
mus304	phyl	2	6	0	0	0.5
CdsA	phyl	2	6	0	0	0.5
btl	phyl	2	6	5e-04	0	0.5
Cyt.c.d	phyl	2	6	6e-04	0	0.5
tok	phyl	2	6	0	0	0.5
ttk	phyl	2	6	4e-04	0	0.5
tamo	phyl	2	6	1e-04	0	0.5
CG6416	phyl	2	6	8e-04	0	0.5
flfl	phyl	2	6	5e-04	0	0.5
Pvr	phyl	2	6	1e-04	0	0.5
kay	phyl	2	6	2e-04	0	0.5
Jra	phyl	2	6	6e-04	0	0.5
msk	phyl	2	6	0	0	0.5
tll	phyl	2	6	0	0	0.5
Tm1	phyl	2	6	0	0	0.5
srp	phyl	2	6	0.001	0	0.5
Btk29A	phyl	2	6	0	0	0.5
fred	phyl	2	6	1e-04	0	0.5
Src64B	phyl	2	6	3e-04	0	0.5
Mmp1	phyl	2	6	9e-04	0	0.5
sll	phyl	2	6	2e-04	0	0.5
Hmgs	phyl	2	6	0.001	0	0.5
caps	phyl	2	6	1e-04	0	0.5
Su.var.2.10	phyl	2	6	1e-04	0	0.5
CycB	phyl	2	6	7e-04	0	0.5
spir	phyl	2	6	1e-04	0	0.5
spn.A	phyl	2	6	0.0019	0	0.5
Ptpmeg	phyl	2	6	2e-04	0	0.5
qua	phyl	2	6	0	0	0.5
msn	phyl	2	6	8e-04	0	0.5
ena	phyl	2	6	6e-04	0	0.5
spen	phyl	2	6	0	0	0.5
emc	phyl	2	6	6e-04	0	0.5
tsh	phyl	2	6	0.0015	0	0.5
Dat	phyl	2	6	6e-04	0	0.5
Lac	phyl	2	6	6e-04	0	0.5
dup	phyl	2	6	5e-04	0	0.5
CG3075	phyl	2	6	0.0019	0	0.5
Akap200	phyl	2	6	4e-04	0	0.5
CG18369	phyl	2	6	0.001	0	0.5
bnl	phyl	2	6	3e-04	0	0.5
sec23	phyl	2	6	5e-04	0	0.5
Pde8	phyl	2	6	1e-04	0	0.5
Arp66B	phyl	2	6	3e-04	0	0.5
cos	phyl	2	6	1e-04	0	0.5
