Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	pio	2	6	4e-04	0	0.5
emp	pio	2	6	0	0	0.5
CG2678	pio	2	6	0	0	0.5
crc	pio	2	6	0	0	0.5
pros	pio	2	6	0	0	0.5
neur	pio	2	6	0	0	0.5
Rab5	pio	2	6	0	0	0.5
Rab7	pio	2	6	2e-04	0	0.5
Mmp2	pio	2	6	0	0	0.5
W	pio	2	6	0	0	0.5
bowl	pio	2	6	0	0	0.5
fd59A	pio	2	6	0	0	0.5
e	pio	2	6	0	0	0.5
ben	pio	2	6	0	0	0.5
rdo	pio	2	6	0	0	0.5
lin	pio	2	6	0	0	0.5
tra	pio	2	6	0	0	0.5
tra2	pio	2	6	0	0	0.5
cathD	pio	2	6	0	0	0.5
d	pio	2	6	1e-04	0	0.5
lva	pio	2	6	0	0	0.5
pbl	pio	2	6	0	0	0.5
CG33205	pio	2	6	0	0	0.5
da	pio	2	6	0	0	0.5
cactin	pio	2	6	0	0	0.5
hpo	pio	2	6	0	0	0.5
Sema.2a	pio	2	6	0	0	0.5
Eip74EF	pio	2	6	0	0	0.5
eg	pio	2	6	1e-04	0	0.5
Arc42	pio	2	6	0	0	0.5
toy	pio	2	6	0	0	0.5
Galpha73B	pio	2	6	0	0	0.5
RhoGAPp190	pio	2	6	0	0	0.5
MED11	pio	2	6	0	0	0.5
cher	pio	2	6	0	0	0.5
BicD	pio	2	6	0	0	0.5
MYPT.75D	pio	2	6	0	0	0.5
mus304	pio	2	6	0	0	0.5
CdsA	pio	2	6	0	0	0.5
btl	pio	2	6	0	0	0.5
Cyt.c.d	pio	2	6	0	0	0.5
tok	pio	2	6	0	0	0.5
ttk	pio	2	6	0	0	0.5
tamo	pio	2	6	0	0	0.5
CG6416	pio	2	6	2e-04	0	0.5
flfl	pio	2	6	0	0	0.5
Pvr	pio	2	6	4e-04	0	0.5
kay	pio	2	6	1e-04	0	0.5
Jra	pio	2	6	7e-04	0	0.5
msk	pio	2	6	0	0	0.5
tll	pio	2	6	0	0	0.5
Tm1	pio	2	6	0	0	0.5
srp	pio	2	6	0	0	0.5
Btk29A	pio	2	6	1e-04	0	0.5
fred	pio	2	6	0	0	0.5
Src64B	pio	2	6	0	0	0.5
Mmp1	pio	2	6	2e-04	0	0.5
sll	pio	2	6	0	0	0.5
Hmgs	pio	2	6	9e-04	0	0.5
caps	pio	2	6	0	0	0.5
Su.var.2.10	pio	2	6	0	0	0.5
CycB	pio	2	6	0	0	0.5
spir	pio	2	6	0	0	0.5
spn.A	pio	2	6	0	0	0.5
Ptpmeg	pio	2	6	0	0	0.5
qua	pio	2	6	0	0	0.5
msn	pio	2	6	0	0	0.5
ena	pio	2	6	0	0	0.5
spen	pio	2	6	0	0	0.5
emc	pio	2	6	0	0	0.5
tsh	pio	2	6	0	0	0.5
Dat	pio	2	6	0	0	0.5
Lac	pio	2	6	0	0	0.5
dup	pio	2	6	2e-04	0	0.5
CG3075	pio	2	6	0	0	0.5
Akap200	pio	2	6	0	0	0.5
CG18369	pio	2	6	0	0	0.5
bnl	pio	2	6	0	0	0.5
sec23	pio	2	6	0	0	0.5
Pde8	pio	2	6	1e-04	0	0.5
Arp66B	pio	2	6	0	0	0.5
cos	pio	2	6	0	0	0.5
Borr	pio	2	6	0	0	0.5
X140up	pio	2	6	0	0	0.5
Dhc64C	pio	2	6	3e-04	0	0.5
Not1	pio	2	6	0	0	0.5
CG9520	pio	2	6	0	0	0.5
bib	pio	2	6	0	0	0.5
mib1	pio	2	6	4e-04	0	0.5
cas	pio	2	6	0	0	0.5
Abi	pio	2	6	0	0	0.5
betaTub56D	pio	2	6	0	0	0.5
nej	pio	2	6	0	0	0.5
dlg1	pio	2	6	0	0	0.5
Lcp65Ag1	pio	2	6	0	0	0.5
Es2	pio	2	6	0	0	0.5
MED24	pio	2	6	3e-04	0	0.5
Vhl	pio	2	6	0	0	0.5
tral	pio	2	6	0	0	0.5
sns	pio	2	6	0	0	0.5
mbl	pio	2	6	0	0	0.5
sav	pio	2	6	0	0	0.5
lola	pio	2	6	0	0	0.5
robo	pio	2	6	2e-04	0	0.5
CG32486	pio	2	6	2e-04	0	0.5
santa.maria	pio	2	6	0	0	0.5
stumps	pio	2	6	0	0	0.5
abd.A	pio	2	6	0	0	0.5
dock	pio	2	6	0	0	0.5
Lar	pio	2	6	0	0	0.5
l.1.G0289	pio	2	6	0	0	0.5
Abl	pio	2	6	0	0	0.5
Syb	pio	2	6	2e-04	0	0.5
dome	pio	2	6	0	0	0.5
ofs	pio	2	6	0	0	0.5
MED4	pio	2	6	0	0	0.5
scrib	pio	2	6	2e-04	0	0.5
siz	pio	2	6	1e-04	0	0.5
cbx	pio	2	6	0	0	0.5
dsx	pio	2	6	1e-04	0	0.5
Sb	pio	2	6	0	0	0.5
sax	pio	2	6	0	0	0.5
foxo	pio	2	6	2e-04	0	0.5
Cyp1	pio	2	6	2e-04	0	0.5
brm	pio	2	6	0	0	0.5
rad50	pio	2	6	0	0	0.5
chico	pio	2	6	0	0	0.5
