Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	pnut	2	6	6e-04	0	0.5
emp	pnut	2	6	2e-04	0	0.5
CG2678	pnut	2	6	2e-04	0	0.5
crc	pnut	2	6	0.0012	0	0.5
pros	pnut	2	6	5e-04	0	0.5
neur	pnut	2	6	3e-04	0	0.5
Rab5	pnut	2	6	0	0	0.5
Rab7	pnut	2	6	6e-04	0	0.5
Mmp2	pnut	2	6	3e-04	0	0.5
W	pnut	2	6	0	0	0.5
bowl	pnut	2	6	0.0017	0	0.5
fd59A	pnut	2	6	6e-04	0	0.5
e	pnut	2	6	7e-04	0	0.5
ben	pnut	2	6	1e-04	0	0.5
rdo	pnut	2	6	5e-04	0	0.5
lin	pnut	2	6	0.0021	0	0.5
tra	pnut	2	6	7e-04	0	0.5
tra2	pnut	2	6	6e-04	0	0.5
cathD	pnut	2	6	4e-04	0	0.5
d	pnut	2	6	3e-04	0	0.5
lva	pnut	2	6	3e-04	0	0.5
pbl	pnut	2	6	1e-04	0	0.5
CG33205	pnut	2	6	3e-04	0	0.5
da	pnut	2	6	2e-04	0	0.5
cactin	pnut	2	6	8e-04	0	0.5
hpo	pnut	2	6	3e-04	0	0.5
Sema.2a	pnut	2	6	0	0	0.5
Eip74EF	pnut	2	6	1e-04	0	0.5
eg	pnut	2	6	6e-04	0	0.5
Arc42	pnut	2	6	2e-04	0	0.5
toy	pnut	2	6	6e-04	0	0.5
Galpha73B	pnut	2	6	1e-04	0	0.5
RhoGAPp190	pnut	2	6	1e-04	0	0.5
MED11	pnut	2	6	1e-04	0	0.5
cher	pnut	2	6	2e-04	0	0.5
BicD	pnut	2	6	9e-04	0	0.5
MYPT.75D	pnut	2	6	2e-04	0	0.5
mus304	pnut	2	6	6e-04	0	0.5
CdsA	pnut	2	6	9e-04	0	0.5
btl	pnut	2	6	2e-04	0	0.5
Cyt.c.d	pnut	2	6	2e-04	0	0.5
tok	pnut	2	6	9e-04	0	0.5
ttk	pnut	2	6	9e-04	0	0.5
tamo	pnut	2	6	0.0034	0	0.5
CG6416	pnut	2	6	4e-04	0	0.5
flfl	pnut	2	6	0.0026	0	0.5
Pvr	pnut	2	6	9e-04	0	0.5
kay	pnut	2	6	2e-04	0	0.5
Jra	pnut	2	6	3e-04	0	0.5
msk	pnut	2	6	3e-04	0	0.5
tll	pnut	2	6	4e-04	0	0.5
Tm1	pnut	2	6	6e-04	0	0.5
srp	pnut	2	6	6e-04	0	0.5
Btk29A	pnut	2	6	5e-04	0	0.5
fred	pnut	2	6	5e-04	0	0.5
Src64B	pnut	2	6	0.0018	0	0.5
Mmp1	pnut	2	6	0.001	0	0.5
sll	pnut	2	6	2e-04	0	0.5
Hmgs	pnut	2	6	1e-04	0	0.5
caps	pnut	2	6	4e-04	0	0.5
Su.var.2.10	pnut	2	6	0.0011	0	0.5
CycB	pnut	2	6	3e-04	0	0.5
spir	pnut	2	6	5e-04	0	0.5
spn.A	pnut	2	6	6e-04	0	0.5
Ptpmeg	pnut	2	6	0	0	0.5
qua	pnut	2	6	4e-04	0	0.5
msn	pnut	2	6	9e-04	0	0.5
ena	pnut	2	6	2e-04	0	0.5
spen	pnut	2	6	0.0013	0	0.5
emc	pnut	2	6	5e-04	0	0.5
tsh	pnut	2	6	9e-04	0	0.5
Dat	pnut	2	6	0.0029	0	0.5
Lac	pnut	2	6	9e-04	0	0.5
dup	pnut	2	6	0	0	0.5
CG3075	pnut	2	6	1e-04	0	0.5
Akap200	pnut	2	6	8e-04	0	0.5
CG18369	pnut	2	6	2e-04	0	0.5
bnl	pnut	2	6	2e-04	0	0.5
sec23	pnut	2	6	2e-04	0	0.5
Pde8	pnut	2	6	3e-04	0	0.5
Arp66B	pnut	2	6	8e-04	0	0.5
cos	pnut	2	6	0.0011	0	0.5
Borr	pnut	2	6	0	0	0.5
X140up	pnut	2	6	0.0016	0	0.5
Dhc64C	pnut	2	6	1e-04	0	0.5
Not1	pnut	2	6	5e-04	0	0.5
CG9520	pnut	2	6	0.0027	0	0.5
bib	pnut	2	6	2e-04	0	0.5
mib1	pnut	2	6	6e-04	0	0.5
cas	pnut	2	6	3e-04	0	0.5
Abi	pnut	2	6	1e-04	0	0.5
betaTub56D	pnut	2	6	1e-04	0	0.5
nej	pnut	2	6	3e-04	0	0.5
dlg1	pnut	2	6	1e-04	0	0.5
Lcp65Ag1	pnut	2	6	0	0	0.5
Es2	pnut	2	6	5e-04	0	0.5
MED24	pnut	2	6	5e-04	0	0.5
Vhl	pnut	2	6	7e-04	0	0.5
tral	pnut	2	6	0.0051	0	0.5
sns	pnut	2	6	0.0058	0	0.5
