Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	poe	2	6	5e-04	0	0.5
emp	poe	2	6	0.001	0	0.5
CG2678	poe	2	6	0	0	0.5
crc	poe	2	6	0	0	0.5
pros	poe	2	6	5e-04	0	0.5
neur	poe	2	6	0	0	0.5
Rab5	poe	2	6	0.0015	0	0.5
Rab7	poe	2	6	1e-04	0	0.5
Mmp2	poe	2	6	2e-04	0	0.5
W	poe	2	6	3e-04	0	0.5
bowl	poe	2	6	2e-04	0	0.5
fd59A	poe	2	6	3e-04	0	0.5
e	poe	2	6	4e-04	0	0.5
ben	poe	2	6	0	0	0.5
rdo	poe	2	6	1e-04	0	0.5
lin	poe	2	6	1e-04	0	0.5
tra	poe	2	6	4e-04	0	0.5
tra2	poe	2	6	0	0	0.5
cathD	poe	2	6	4e-04	0	0.5
d	poe	2	6	4e-04	0	0.5
lva	poe	2	6	4e-04	0	0.5
pbl	poe	2	6	4e-04	0	0.5
CG33205	poe	2	6	1e-04	0	0.5
da	poe	2	6	2e-04	0	0.5
cactin	poe	2	6	0	0	0.5
hpo	poe	2	6	0	0	0.5
Sema.2a	poe	2	6	6e-04	0	0.5
Eip74EF	poe	2	6	4e-04	0	0.5
eg	poe	2	6	0	0	0.5
Arc42	poe	2	6	0	0	0.5
toy	poe	2	6	8e-04	0	0.5
Galpha73B	poe	2	6	6e-04	0	0.5
RhoGAPp190	poe	2	6	0.001	0	0.5
MED11	poe	2	6	0	0	0.5
cher	poe	2	6	7e-04	0	0.5
BicD	poe	2	6	0	0	0.5
MYPT.75D	poe	2	6	0	0	0.5
mus304	poe	2	6	0	0	0.5
CdsA	poe	2	6	0	0	0.5
btl	poe	2	6	0	0	0.5
Cyt.c.d	poe	2	6	0	0	0.5
tok	poe	2	6	1e-04	0	0.5
ttk	poe	2	6	3e-04	0	0.5
tamo	poe	2	6	1e-04	0	0.5
CG6416	poe	2	6	0.0019	0	0.5
flfl	poe	2	6	0.0032	0	0.5
Pvr	poe	2	6	1e-04	0	0.5
kay	poe	2	6	0	0	0.5
Jra	poe	2	6	0	0	0.5
msk	poe	2	6	5e-04	0	0.5
tll	poe	2	6	5e-04	0	0.5
Tm1	poe	2	6	0	0	0.5
srp	poe	2	6	0	0	0.5
Btk29A	poe	2	6	0	0	0.5
fred	poe	2	6	1e-04	0	0.5
Src64B	poe	2	6	0	0	0.5
Mmp1	poe	2	6	0	0	0.5
sll	poe	2	6	0	0	0.5
Hmgs	poe	2	6	0	0	0.5
caps	poe	2	6	2e-04	0	0.5
Su.var.2.10	poe	2	6	0	0	0.5
CycB	poe	2	6	1e-04	0	0.5
spir	poe	2	6	0	0	0.5
spn.A	poe	2	6	0	0	0.5
Ptpmeg	poe	2	6	1e-04	0	0.5
qua	poe	2	6	3e-04	0	0.5
msn	poe	2	6	0	0	0.5
ena	poe	2	6	8e-04	0	0.5
spen	poe	2	6	1e-04	0	0.5
emc	poe	2	6	3e-04	0	0.5
tsh	poe	2	6	0	0	0.5
Dat	poe	2	6	0	0	0.5
Lac	poe	2	6	2e-04	0	0.5
dup	poe	2	6	3e-04	0	0.5
CG3075	poe	2	6	5e-04	0	0.5
Akap200	poe	2	6	0	0	0.5
CG18369	poe	2	6	0	0	0.5
bnl	poe	2	6	0	0	0.5
sec23	poe	2	6	0	0	0.5
Pde8	poe	2	6	0	0	0.5
Arp66B	poe	2	6	0.0018	0	0.5
cos	poe	2	6	0	0	0.5
Borr	poe	2	6	0	0	0.5
X140up	poe	2	6	0	0	0.5
Dhc64C	poe	2	6	1e-04	0	0.5
Not1	poe	2	6	0	0	0.5
CG9520	poe	2	6	3e-04	0	0.5
bib	poe	2	6	0	0	0.5
mib1	poe	2	6	0	0	0.5
cas	poe	2	6	2e-04	0	0.5
Abi	poe	2	6	0	0	0.5
betaTub56D	poe	2	6	0	0	0.5
nej	poe	2	6	2e-04	0	0.5
dlg1	poe	2	6	1e-04	0	0.5
Lcp65Ag1	poe	2	6	4e-04	0	0.5
Es2	poe	2	6	0	0	0.5
MED24	poe	2	6	3e-04	0	0.5
Vhl	poe	2	6	0	0	0.5
tral	poe	2	6	0.0027	0	0.5
sns	poe	2	6	0.0053	0	0.5
mbl	poe	2	6	2e-04	0	0.5
sav	poe	2	6	2e-04	0	0.5
lola	poe	2	6	1e-04	0	0.5
robo	poe	2	6	1e-04	0	0.5
CG32486	poe	2	6	0	0	0.5
santa.maria	poe	2	6	3e-04	0	0.5
stumps	poe	2	6	4e-04	0	0.5
abd.A	poe	2	6	7e-04	0	0.5
dock	poe	2	6	0.001	0	0.5
Lar	poe	2	6	7e-04	0	0.5
l.1.G0289	poe	2	6	0	0	0.5
Abl	poe	2	6	1e-04	0	0.5
Syb	poe	2	6	1e-04	0	0.5
dome	poe	2	6	0	0	0.5
ofs	poe	2	6	9e-04	0	0.5
MED4	poe	2	6	0	0	0.5
scrib	poe	2	6	5e-04	0	0.5
siz	poe	2	6	0.0014	0	0.5
cbx	poe	2	6	1e-04	0	0.5
dsx	poe	2	6	0	0	0.5
Sb	poe	2	6	1e-04	0	0.5
sax	poe	2	6	1e-04	0	0.5
foxo	poe	2	6	0.0034	0	0.5
Cyp1	poe	2	6	0.0013	0	0.5
brm	poe	2	6	0	0	0.5
rad50	poe	2	6	0	0	0.5
chico	poe	2	6	1e-04	0	0.5
