Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	ppan	2	6	7e-04	0	0.5
emp	ppan	2	6	0	0	0.5
CG2678	ppan	2	6	0	0	0.5
crc	ppan	2	6	7e-04	0	0.5
pros	ppan	2	6	0	0	0.5
neur	ppan	2	6	0	0	0.5
Rab5	ppan	2	6	1e-04	0	0.5
Rab7	ppan	2	6	0	0	0.5
Mmp2	ppan	2	6	0	0	0.5
W	ppan	2	6	0	0	0.5
bowl	ppan	2	6	4e-04	0	0.5
fd59A	ppan	2	6	4e-04	0	0.5
e	ppan	2	6	7e-04	0	0.5
ben	ppan	2	6	0	0	0.5
rdo	ppan	2	6	0.4036	0	0.5
lin	ppan	2	6	0	0	0.5
tra	ppan	2	6	2e-04	0	0.5
tra2	ppan	2	6	1e-04	0	0.5
cathD	ppan	2	6	0	0	0.5
d	ppan	2	6	0	0	0.5
lva	ppan	2	6	0	0	0.5
pbl	ppan	2	6	0	0	0.5
CG33205	ppan	2	6	0	0	0.5
da	ppan	2	6	0	0	0.5
cactin	ppan	2	6	0	0	0.5
hpo	ppan	2	6	0	0	0.5
Sema.2a	ppan	2	6	0	0	0.5
Eip74EF	ppan	2	6	5e-04	0	0.5
eg	ppan	2	6	0	0	0.5
Arc42	ppan	2	6	0	0	0.5
toy	ppan	2	6	0	0	0.5
Galpha73B	ppan	2	6	7e-04	0	0.5
RhoGAPp190	ppan	2	6	0	0	0.5
MED11	ppan	2	6	0	0	0.5
cher	ppan	2	6	5e-04	0	0.5
BicD	ppan	2	6	1e-04	0	0.5
MYPT.75D	ppan	2	6	1e-04	0	0.5
mus304	ppan	2	6	0	0	0.5
CdsA	ppan	2	6	4e-04	0	0.5
btl	ppan	2	6	0	0	0.5
Cyt.c.d	ppan	2	6	0	0	0.5
tok	ppan	2	6	0	0	0.5
ttk	ppan	2	6	0	0	0.5
tamo	ppan	2	6	0	0	0.5
CG6416	ppan	2	6	0	0	0.5
flfl	ppan	2	6	2e-04	0	0.5
Pvr	ppan	2	6	3e-04	0	0.5
kay	ppan	2	6	0	0	0.5
Jra	ppan	2	6	0	0	0.5
msk	ppan	2	6	4e-04	0	0.5
tll	ppan	2	6	0	0	0.5
Tm1	ppan	2	6	4e-04	0	0.5
srp	ppan	2	6	0.001	0	0.5
Btk29A	ppan	2	6	4e-04	0	0.5
fred	ppan	2	6	0	0	0.5
Src64B	ppan	2	6	0	0	0.5
Mmp1	ppan	2	6	1e-04	0	0.5
sll	ppan	2	6	0.001	0	0.5
Hmgs	ppan	2	6	0	0	0.5
caps	ppan	2	6	0	0	0.5
Su.var.2.10	ppan	2	6	0	0	0.5
CycB	ppan	2	6	1e-04	0	0.5
spir	ppan	2	6	9e-04	0	0.5
spn.A	ppan	2	6	0	0	0.5
Ptpmeg	ppan	2	6	0	0	0.5
qua	ppan	2	6	0	0	0.5
msn	ppan	2	6	4e-04	0	0.5
ena	ppan	2	6	0	0	0.5
spen	ppan	2	6	0	0	0.5
emc	ppan	2	6	2e-04	0	0.5
tsh	ppan	2	6	7e-04	0	0.5
Dat	ppan	2	6	0	0	0.5
Lac	ppan	2	6	0	0	0.5
dup	ppan	2	6	2e-04	0	0.5
CG3075	ppan	2	6	6e-04	0	0.5
Akap200	ppan	2	6	0	0	0.5
CG18369	ppan	2	6	0	0	0.5
bnl	ppan	2	6	2e-04	0	0.5
sec23	ppan	2	6	0	0	0.5
Pde8	ppan	2	6	0	0	0.5
Arp66B	ppan	2	6	2e-04	0	0.5
cos	ppan	2	6	0	0	0.5
Borr	ppan	2	6	1e-04	0	0.5
X140up	ppan	2	6	0	0	0.5
Dhc64C	ppan	2	6	0	0	0.5
Not1	ppan	2	6	0	0	0.5
CG9520	ppan	2	6	0	0	0.5
bib	ppan	2	6	0	0	0.5
mib1	ppan	2	6	3e-04	0	0.5
cas	ppan	2	6	2e-04	0	0.5
Abi	ppan	2	6	3e-04	0	0.5
betaTub56D	ppan	2	6	9e-04	0	0.5
