Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	prd	2	6	1e-04	0	0.5
emp	prd	2	6	0.001	0	0.5
CG2678	prd	2	6	5e-04	0	0.5
crc	prd	2	6	4e-04	0	0.5
pros	prd	2	6	0.0014	0	0.5
neur	prd	2	6	0.001	0	0.5
Rab5	prd	2	6	7e-04	0	0.5
Rab7	prd	2	6	6e-04	0	0.5
Mmp2	prd	2	6	0.0058	0	0.5
W	prd	2	6	5e-04	0	0.5
bowl	prd	2	6	5e-04	0	0.5
fd59A	prd	2	6	0	0	0.5
e	prd	2	6	1e-04	0	0.5
ben	prd	2	6	4e-04	0	0.5
rdo	prd	2	6	1e-04	0	0.5
lin	prd	2	6	0	0	0.5
tra	prd	2	6	1e-04	0	0.5
tra2	prd	2	6	0.0067	0	0.5
cathD	prd	2	6	8e-04	0	0.5
d	prd	2	6	0.0014	0	0.5
lva	prd	2	6	0.0178	0	0.5
pbl	prd	2	6	9e-04	0	0.5
CG33205	prd	2	6	9e-04	0	0.5
da	prd	2	6	4e-04	0	0.5
cactin	prd	2	6	4e-04	0	0.5
hpo	prd	2	6	7e-04	0	0.5
Sema.2a	prd	2	6	0.0014	0	0.5
Eip74EF	prd	2	6	0.0039	0	0.5
eg	prd	2	6	0	0	0.5
Arc42	prd	2	6	4e-04	0	0.5
toy	prd	2	6	8e-04	0	0.5
Galpha73B	prd	2	6	8e-04	0	0.5
RhoGAPp190	prd	2	6	6e-04	0	0.5
MED11	prd	2	6	4e-04	0	0.5
cher	prd	2	6	0.0011	0	0.5
BicD	prd	2	6	4e-04	0	0.5
MYPT.75D	prd	2	6	0.0025	0	0.5
mus304	prd	2	6	0.001	0	0.5
CdsA	prd	2	6	2e-04	0	0.5
btl	prd	2	6	5e-04	0	0.5
Cyt.c.d	prd	2	6	1e-04	0	0.5
tok	prd	2	6	5e-04	0	0.5
ttk	prd	2	6	8e-04	0	0.5
tamo	prd	2	6	7e-04	0	0.5
CG6416	prd	2	6	0	0	0.5
flfl	prd	2	6	4e-04	0	0.5
Pvr	prd	2	6	0.0207	0	0.5
kay	prd	2	6	0.0011	0	0.5
