Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	prod	2	6	0	0	0.5
emp	prod	2	6	0	0	0.5
CG2678	prod	2	6	0	0	0.5
crc	prod	2	6	0	0	0.5
pros	prod	2	6	0	0	0.5
neur	prod	2	6	0	0	0.5
Rab5	prod	2	6	0	0	0.5
Rab7	prod	2	6	1e-04	0	0.5
Mmp2	prod	2	6	0	0	0.5
W	prod	2	6	3e-04	0	0.5
bowl	prod	2	6	0	0	0.5
fd59A	prod	2	6	2e-04	0	0.5
e	prod	2	6	0	0	0.5
ben	prod	2	6	0	0	0.5
rdo	prod	2	6	0	0	0.5
lin	prod	2	6	0	0	0.5
tra	prod	2	6	0	0	0.5
tra2	prod	2	6	2e-04	0	0.5
cathD	prod	2	6	2e-04	0	0.5
d	prod	2	6	0	0	0.5
lva	prod	2	6	1e-04	0	0.5
pbl	prod	2	6	0	0	0.5
CG33205	prod	2	6	6e-04	0	0.5
da	prod	2	6	2e-04	0	0.5
cactin	prod	2	6	0	0	0.5
hpo	prod	2	6	1e-04	0	0.5
Sema.2a	prod	2	6	0	0	0.5
Eip74EF	prod	2	6	2e-04	0	0.5
eg	prod	2	6	0	0	0.5
Arc42	prod	2	6	1e-04	0	0.5
toy	prod	2	6	0	0	0.5
Galpha73B	prod	2	6	1e-04	0	0.5
RhoGAPp190	prod	2	6	0	0	0.5
MED11	prod	2	6	0	0	0.5
cher	prod	2	6	0	0	0.5
BicD	prod	2	6	0	0	0.5
MYPT.75D	prod	2	6	0	0	0.5
mus304	prod	2	6	0	0	0.5
CdsA	prod	2	6	1e-04	0	0.5
btl	prod	2	6	0	0	0.5
Cyt.c.d	prod	2	6	0	0	0.5
tok	prod	2	6	2e-04	0	0.5
ttk	prod	2	6	0	0	0.5
tamo	prod	2	6	0	0	0.5
CG6416	prod	2	6	3e-04	0	0.5
flfl	prod	2	6	0	0	0.5
Pvr	prod	2	6	0	0	0.5
kay	prod	2	6	0	0	0.5
Jra	prod	2	6	2e-04	0	0.5
msk	prod	2	6	5e-04	0	0.5
tll	prod	2	6	0	0	0.5
Tm1	prod	2	6	0	0	0.5
srp	prod	2	6	0	0	0.5
Btk29A	prod	2	6	0	0	0.5
fred	prod	2	6	0	0	0.5
Src64B	prod	2	6	1e-04	0	0.5
Mmp1	prod	2	6	0	0	0.5
sll	prod	2	6	0	0	0.5
Hmgs	prod	2	6	3e-04	0	0.5
caps	prod	2	6	0	0	0.5
Su.var.2.10	prod	2	6	0	0	0.5
CycB	prod	2	6	0	0	0.5
spir	prod	2	6	0	0	0.5
spn.A	prod	2	6	0	0	0.5
Ptpmeg	prod	2	6	0	0	0.5
qua	prod	2	6	3e-04	0	0.5
msn	prod	2	6	0	0	0.5
ena	prod	2	6	0	0	0.5
spen	prod	2	6	0	0	0.5
emc	prod	2	6	0	0	0.5
tsh	prod	2	6	0	0	0.5
Dat	prod	2	6	0	0	0.5
Lac	prod	2	6	0	0	0.5
dup	prod	2	6	0	0	0.5
CG3075	prod	2	6	0	0	0.5
Akap200	prod	2	6	0	0	0.5
CG18369	prod	2	6	0	0	0.5
bnl	prod	2	6	1e-04	0	0.5
sec23	prod	2	6	0	0	0.5
Pde8	prod	2	6	2e-04	0	0.5
Arp66B	prod	2	6	2e-04	0	0.5
cos	prod	2	6	3e-04	0	0.5
Borr	prod	2	6	0	0	0.5
X140up	prod	2	6	1e-04	0	0.5
Dhc64C	prod	2	6	0	0	0.5
Not1	prod	2	6	5e-04	0	0.5
CG9520	prod	2	6	1e-04	0	0.5
bib	prod	2	6	0	0	0.5
mib1	prod	2	6	0	0	0.5
cas	prod	2	6	1e-04	0	0.5
Abi	prod	2	6	0	0	0.5
betaTub56D	prod	2	6	0	0	0.5
nej	prod	2	6	2e-04	0	0.5
dlg1	prod	2	6	1e-04	0	0.5
Lcp65Ag1	prod	2	6	0	0	0.5
Es2	prod	2	6	0	0	0.5
MED24	prod	2	6	1e-04	0	0.5
Vhl	prod	2	6	6e-04	0	0.5
tral	prod	2	6	0	0	0.5
sns	prod	2	6	3e-04	0	0.5
mbl	prod	2	6	0	0	0.5
sav	prod	2	6	0	0	0.5
lola	prod	2	6	0	0	0.5
robo	prod	2	6	0	0	0.5
CG32486	prod	2	6	0	0	0.5
santa.maria	prod	2	6	0	0	0.5
stumps	prod	2	6	0	0	0.5
abd.A	prod	2	6	1e-04	0	0.5
dock	prod	2	6	0	0	0.5
Lar	prod	2	6	0	0	0.5
l.1.G0289	prod	2	6	0	0	0.5
Abl	prod	2	6	0	0	0.5
Syb	prod	2	6	0	0	0.5
dome	prod	2	6	0	0	0.5
ofs	prod	2	6	0	0	0.5
MED4	prod	2	6	3e-04	0	0.5
scrib	prod	2	6	0	0	0.5
siz	prod	2	6	0	0	0.5
cbx	prod	2	6	4e-04	0	0.5
dsx	prod	2	6	1e-04	0	0.5
Sb	prod	2	6	2e-04	0	0.5
sax	prod	2	6	0	0	0.5
foxo	prod	2	6	2e-04	0	0.5
Cyp1	prod	2	6	2e-04	0	0.5
brm	prod	2	6	0	0	0.5
rad50	prod	2	6	0	0	0.5
chico	prod	2	6	0	0	0.5
cp309	prod	2	6	0	0	0.5
hdc	prod	2	6	2e-04	0	0.5
Axn	prod	2	6	1e-04	0	0.5
Apc2	prod	2	6	1e-04	0	0.5
PhKgamma	prod	2	6	0	0	0.5
eya	prod	2	6	1e-04	0	0.5
sktl	prod	2	6	1e-04	0	0.5
sqd	prod	2	6	8e-04	0	0.5
Akt1	prod	2	6	2e-04	0	0.5
scyl	prod	2	6	4e-04	0	0.5
cnk	prod	2	6	0	0	0.5
CG8149	prod	2	6	1e-04	0	0.5
CG34379	prod	2	6	0	0	0.5
Yp1	prod	2	6	0	0	0.5
yrt	prod	2	6	0	0	0.5
bap	prod	2	6	0	0	0.5
tud	prod	2	6	0	0	0.5
ct	prod	2	6	0	0	0.5
tup	prod	2	6	0	0	0.5
G.ialpha65A	prod	2	6	0	0	0.5
knrl	prod	2	6	0	0	0.5
Pkn	prod	2	6	0	0	0.5
Sry.delta	prod	2	6	1e-04	0	0.5
Alh	prod	2	6	0	0	0.5
pnut	prod	2	6	0	0	0.5
phyl	prod	2	6	0	0	0.5
CG17739	prod	2	6	0	0	0.5
B4	prod	2	6	0	0	0.5
CG2681	prod	2	6	0	0	0.5
tow	prod	2	6	0	0	0.5
hkl	prod	2	6	0	0	0.5
sina	prod	2	6	0	0	0.5
ry	prod	2	6	0	0	0.5
rux	prod	2	6	0	0	0.5
boss	prod	2	6	0	0	0.5
Mkp3	prod	2	6	0	0	0.5
inaC	prod	2	6	0	0	0.5
sno	prod	2	6	4e-04	0	0.5
jagn	prod	2	6	0	0	0.5
dpn	prod	2	6	0	0	0.5
