Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	puc	2	6	0	0	0.5
emp	puc	2	6	0	0	0.5
CG2678	puc	2	6	0	0	0.5
crc	puc	2	6	0	0	0.5
pros	puc	2	6	6e-04	0	0.5
neur	puc	2	6	4e-04	0	0.5
Rab5	puc	2	6	1e-04	0	0.5
Rab7	puc	2	6	0	0	0.5
Mmp2	puc	2	6	0	0	0.5
W	puc	2	6	0	0	0.5
bowl	puc	2	6	0	0	0.5
fd59A	puc	2	6	0	0	0.5
e	puc	2	6	3e-04	0	0.5
ben	puc	2	6	1e-04	0	0.5
rdo	puc	2	6	0	0	0.5
lin	puc	2	6	3e-04	0	0.5
tra	puc	2	6	0	0	0.5
tra2	puc	2	6	0	0	0.5
cathD	puc	2	6	0	0	0.5
d	puc	2	6	0	0	0.5
lva	puc	2	6	0	0	0.5
pbl	puc	2	6	0	0	0.5
CG33205	puc	2	6	0	0	0.5
da	puc	2	6	0	0	0.5
cactin	puc	2	6	0	0	0.5
hpo	puc	2	6	1e-04	0	0.5
Sema.2a	puc	2	6	0	0	0.5
Eip74EF	puc	2	6	0	0	0.5
eg	puc	2	6	1e-04	0	0.5
Arc42	puc	2	6	0	0	0.5
toy	puc	2	6	0	0	0.5
Galpha73B	puc	2	6	0	0	0.5
RhoGAPp190	puc	2	6	0	0	0.5
MED11	puc	2	6	1e-04	0	0.5
cher	puc	2	6	0	0	0.5
BicD	puc	2	6	0	0	0.5
MYPT.75D	puc	2	6	1e-04	0	0.5
mus304	puc	2	6	2e-04	0	0.5
CdsA	puc	2	6	0	0	0.5
btl	puc	2	6	0	0	0.5
Cyt.c.d	puc	2	6	0	0	0.5
tok	puc	2	6	0	0	0.5
ttk	puc	2	6	0	0	0.5
tamo	puc	2	6	0	0	0.5
CG6416	puc	2	6	0	0	0.5
flfl	puc	2	6	1e-04	0	0.5
Pvr	puc	2	6	0	0	0.5
kay	puc	2	6	0	0	0.5
Jra	puc	2	6	0	0	0.5
msk	puc	2	6	0	0	0.5
tll	puc	2	6	0	0	0.5
Tm1	puc	2	6	0	0	0.5
srp	puc	2	6	0	0	0.5
Btk29A	puc	2	6	0	0	0.5
fred	puc	2	6	3e-04	0	0.5
Src64B	puc	2	6	2e-04	0	0.5
Mmp1	puc	2	6	0	0	0.5
sll	puc	2	6	0	0	0.5
Hmgs	puc	2	6	0	0	0.5
caps	puc	2	6	2e-04	0	0.5
Su.var.2.10	puc	2	6	0	0	0.5
CycB	puc	2	6	0	0	0.5
spir	puc	2	6	0	0	0.5
spn.A	puc	2	6	0	0	0.5
Ptpmeg	puc	2	6	2e-04	0	0.5
qua	puc	2	6	0	0	0.5
msn	puc	2	6	0	0	0.5
ena	puc	2	6	1e-04	0	0.5
spen	puc	2	6	0	0	0.5
emc	puc	2	6	2e-04	0	0.5
tsh	puc	2	6	6e-04	0	0.5
Dat	puc	2	6	0	0	0.5
Lac	puc	2	6	1e-04	0	0.5
dup	puc	2	6	0	0	0.5
