Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	pyd	2	6	0	0	0.5
emp	pyd	2	6	0	0	0.5
CG2678	pyd	2	6	0	0	0.5
crc	pyd	2	6	0	0	0.5
pros	pyd	2	6	1e-04	0	0.5
neur	pyd	2	6	0	0	0.5
Rab5	pyd	2	6	0	0	0.5
Rab7	pyd	2	6	0	0	0.5
Mmp2	pyd	2	6	0	0	0.5
W	pyd	2	6	0	0	0.5
bowl	pyd	2	6	0	0	0.5
fd59A	pyd	2	6	0	0	0.5
e	pyd	2	6	0	0	0.5
ben	pyd	2	6	0	0	0.5
rdo	pyd	2	6	0	0	0.5
lin	pyd	2	6	0	0	0.5
tra	pyd	2	6	2e-04	0	0.5
tra2	pyd	2	6	0	0	0.5
cathD	pyd	2	6	0	0	0.5
d	pyd	2	6	0	0	0.5
lva	pyd	2	6	0	0	0.5
pbl	pyd	2	6	0	0	0.5
CG33205	pyd	2	6	0	0	0.5
da	pyd	2	6	0	0	0.5
cactin	pyd	2	6	0	0	0.5
hpo	pyd	2	6	0	0	0.5
Sema.2a	pyd	2	6	1e-04	0	0.5
Eip74EF	pyd	2	6	0	0	0.5
eg	pyd	2	6	0	0	0.5
Arc42	pyd	2	6	0	0	0.5
toy	pyd	2	6	0	0	0.5
Galpha73B	pyd	2	6	0	0	0.5
RhoGAPp190	pyd	2	6	0	0	0.5
MED11	pyd	2	6	0	0	0.5
cher	pyd	2	6	0	0	0.5
BicD	pyd	2	6	0	0	0.5
MYPT.75D	pyd	2	6	3e-04	0	0.5
mus304	pyd	2	6	0	0	0.5
CdsA	pyd	2	6	1e-04	0	0.5
btl	pyd	2	6	0	0	0.5
Cyt.c.d	pyd	2	6	2e-04	0	0.5
tok	pyd	2	6	0	0	0.5
ttk	pyd	2	6	0	0	0.5
tamo	pyd	2	6	4e-04	0	0.5
CG6416	pyd	2	6	0	0	0.5
flfl	pyd	2	6	1e-04	0	0.5
Pvr	pyd	2	6	0	0	0.5
kay	pyd	2	6	0	0	0.5
Jra	pyd	2	6	1e-04	0	0.5
msk	pyd	2	6	1e-04	0	0.5
tll	pyd	2	6	0	0	0.5
Tm1	pyd	2	6	1e-04	0	0.5
srp	pyd	2	6	0	0	0.5
Btk29A	pyd	2	6	0	0	0.5
fred	pyd	2	6	0	0	0.5
Src64B	pyd	2	6	0	0	0.5
Mmp1	pyd	2	6	0	0	0.5
sll	pyd	2	6	0	0	0.5
Hmgs	pyd	2	6	0	0	0.5
caps	pyd	2	6	1e-04	0	0.5
Su.var.2.10	pyd	2	6	0	0	0.5
CycB	pyd	2	6	0	0	0.5
spir	pyd	2	6	0	0	0.5
spn.A	pyd	2	6	0	0	0.5
Ptpmeg	pyd	2	6	0	0	0.5
qua	pyd	2	6	0	0	0.5
msn	pyd	2	6	0	0	0.5
ena	pyd	2	6	0	0	0.5
spen	pyd	2	6	0	0	0.5
emc	pyd	2	6	0	0	0.5
tsh	pyd	2	6	0	0	0.5
Dat	pyd	2	6	0	0	0.5
Lac	pyd	2	6	0	0	0.5
dup	pyd	2	6	0	0	0.5
CG3075	pyd	2	6	0	0	0.5
Akap200	pyd	2	6	0	0	0.5
CG18369	pyd	2	6	0	0	0.5
bnl	pyd	2	6	1e-04	0	0.5
sec23	pyd	2	6	0	0	0.5
Pde8	pyd	2	6	0	0	0.5
Arp66B	pyd	2	6	1e-04	0	0.5
cos	pyd	2	6	0	0	0.5
Borr	pyd	2	6	0	0	0.5
X140up	pyd	2	6	0	0	0.5
Dhc64C	pyd	2	6	0	0	0.5
Not1	pyd	2	6	0	0	0.5
CG9520	pyd	2	6	0	0	0.5
bib	pyd	2	6	0	0	0.5
mib1	pyd	2	6	0	0	0.5
cas	pyd	2	6	0	0	0.5
Abi	pyd	2	6	1e-04	0	0.5
betaTub56D	pyd	2	6	0	0	0.5
nej	pyd	2	6	0	0	0.5
dlg1	pyd	2	6	0	0	0.5
Lcp65Ag1	pyd	2	6	0	0	0.5
Es2	pyd	2	6	0	0	0.5
MED24	pyd	2	6	0	0	0.5
