Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	qua	2	6	0	0	0.5
emp	qua	2	6	0.0012	0	0.5
CG2678	qua	2	6	0	0	0.5
crc	qua	2	6	0	0	0.5
pros	qua	2	6	0.0012	0	0.5
neur	qua	2	6	3e-04	0	0.5
Rab5	qua	2	6	0.001	0	0.5
Rab7	qua	2	6	2e-04	0	0.5
Mmp2	qua	2	6	0	0	0.5
W	qua	2	6	0.0012	0	0.5
bowl	qua	2	6	1e-04	0	0.5
fd59A	qua	2	6	0	0	0.5
e	qua	2	6	0.0018	0	0.5
ben	qua	2	6	1e-04	0	0.5
rdo	qua	2	6	1e-04	0	0.5
lin	qua	2	6	2e-04	0	0.5
tra	qua	2	6	0.5809	0.99754	0.5
tra2	qua	2	6	1e-04	0	0.5
cathD	qua	2	6	2e-04	0	0.5
d	qua	2	6	4e-04	0	0.5
lva	qua	2	6	1e-04	0	0.5
pbl	qua	2	6	0.0011	0	0.5
CG33205	qua	2	6	0.0015	0	0.5
da	qua	2	6	1e-04	0	0.5
cactin	qua	2	6	4e-04	0	0.5
hpo	qua	2	6	0	0	0.5
Sema.2a	qua	2	6	3e-04	0	0.5
Eip74EF	qua	2	6	0	0	0.5
eg	qua	2	6	4e-04	0	0.5
Arc42	qua	2	6	5e-04	0	0.5
toy	qua	2	6	0.0012	0	0.5
Galpha73B	qua	2	6	0	0	0.5
RhoGAPp190	qua	2	6	9e-04	0	0.5
MED11	qua	2	6	0.0014	0	0.5
cher	qua	2	6	0.0012	0	0.5
BicD	qua	2	6	0	0	0.5
MYPT.75D	qua	2	6	0	0	0.5
mus304	qua	2	6	2e-04	0	0.5
CdsA	qua	2	6	0.0016	0	0.5
btl	qua	2	6	5e-04	0	0.5
Cyt.c.d	qua	2	6	0	0	0.5
tok	qua	2	6	0.0026	0	0.5
ttk	qua	2	6	0.0016	0	0.5
tamo	qua	2	6	0	0	0.5
CG6416	qua	2	6	0	0	0.5
flfl	qua	2	6	0	0	0.5
Pvr	qua	2	6	9e-04	0	0.5
kay	qua	2	6	3e-04	0	0.5
Jra	qua	2	6	2e-04	0	0.5
msk	qua	2	6	0.001	0	0.5
tll	qua	2	6	0	0	0.5
Tm1	qua	2	6	2e-04	0	0.5
srp	qua	2	6	5e-04	0	0.5
Btk29A	qua	2	6	0	0	0.5
fred	qua	2	6	0.0414	0	0.5
Src64B	qua	2	6	0	0	0.5
Mmp1	qua	2	6	5e-04	0	0.5
sll	qua	2	6	1e-04	0	0.5
