Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	rdx	2	6	0	0	0.5
emp	rdx	2	6	0	0	0.5
CG2678	rdx	2	6	2e-04	0	0.5
crc	rdx	2	6	0	0	0.5
pros	rdx	2	6	0	0	0.5
neur	rdx	2	6	0.0311	0	0.5
Rab5	rdx	2	6	0	0	0.5
Rab7	rdx	2	6	0	0	0.5
Mmp2	rdx	2	6	0	0	0.5
W	rdx	2	6	0.0014	0	0.5
bowl	rdx	2	6	0.0015	0	0.5
fd59A	rdx	2	6	1e-04	0	0.5
e	rdx	2	6	1e-04	0	0.5
ben	rdx	2	6	0	0	0.5
rdo	rdx	2	6	6e-04	0	0.5
lin	rdx	2	6	2e-04	0	0.5
tra	rdx	2	6	1e-04	0	0.5
tra2	rdx	2	6	1e-04	0	0.5
cathD	rdx	2	6	0	0	0.5
d	rdx	2	6	6e-04	0	0.5
lva	rdx	2	6	0	0	0.5
pbl	rdx	2	6	0.0013	0	0.5
CG33205	rdx	2	6	0	0	0.5
da	rdx	2	6	0	0	0.5
cactin	rdx	2	6	0	0	0.5
hpo	rdx	2	6	2e-04	0	0.5
Sema.2a	rdx	2	6	0	0	0.5
Eip74EF	rdx	2	6	4e-04	0	0.5
eg	rdx	2	6	5e-04	0	0.5
Arc42	rdx	2	6	7e-04	0	0.5
toy	rdx	2	6	0	0	0.5
Galpha73B	rdx	2	6	0	0	0.5
RhoGAPp190	rdx	2	6	0	0	0.5
MED11	rdx	2	6	0	0	0.5
cher	rdx	2	6	0	0	0.5
BicD	rdx	2	6	3e-04	0	0.5
MYPT.75D	rdx	2	6	0	0	0.5
mus304	rdx	2	6	0.0017	0	0.5
CdsA	rdx	2	6	0	0	0.5
btl	rdx	2	6	0.001	0	0.5
Cyt.c.d	rdx	2	6	2e-04	0	0.5
tok	rdx	2	6	0	0	0.5
ttk	rdx	2	6	0	0	0.5
tamo	rdx	2	6	1e-04	0	0.5
CG6416	rdx	2	6	1e-04	0	0.5
flfl	rdx	2	6	3e-04	0	0.5
Pvr	rdx	2	6	3e-04	0	0.5
kay	rdx	2	6	0	0	0.5
Jra	rdx	2	6	0.0017	0	0.5
msk	rdx	2	6	0	0	0.5
tll	rdx	2	6	2e-04	0	0.5
Tm1	rdx	2	6	0	0	0.5
srp	rdx	2	6	0	0	0.5
Btk29A	rdx	2	6	1e-04	0	0.5
fred	rdx	2	6	3e-04	0	0.5
Src64B	rdx	2	6	0	0	0.5
Mmp1	rdx	2	6	0	0	0.5
sll	rdx	2	6	0	0	0.5
Hmgs	rdx	2	6	3e-04	0	0.5
caps	rdx	2	6	0	0	0.5
Su.var.2.10	rdx	2	6	0	0	0.5
CycB	rdx	2	6	0	0	0.5
spir	rdx	2	6	3e-04	0	0.5
spn.A	rdx	2	6	0	0	0.5
Ptpmeg	rdx	2	6	0	0	0.5
qua	rdx	2	6	1e-04	0	0.5
msn	rdx	2	6	0.0011	0	0.5
ena	rdx	2	6	0	0	0.5
spen	rdx	2	6	0	0	0.5
emc	rdx	2	6	0	0	0.5
tsh	rdx	2	6	0	0	0.5
Dat	rdx	2	6	0	0	0.5
Lac	rdx	2	6	0	0	0.5
dup	rdx	2	6	0	0	0.5
CG3075	rdx	2	6	0	0	0.5
Akap200	rdx	2	6	0	0	0.5
CG18369	rdx	2	6	0	0	0.5
bnl	rdx	2	6	0.001	0	0.5
sec23	rdx	2	6	0	0	0.5
Pde8	rdx	2	6	0	0	0.5
Arp66B	rdx	2	6	1e-04	0	0.5
cos	rdx	2	6	0	0	0.5
Borr	rdx	2	6	0	0	0.5
X140up	rdx	2	6	0	0	0.5
Dhc64C	rdx	2	6	0	0	0.5
Not1	rdx	2	6	3e-04	0	0.5
CG9520	rdx	2	6	3e-04	0	0.5
bib	rdx	2	6	0	0	0.5
mib1	rdx	2	6	2e-04	0	0.5
cas	rdx	2	6	3e-04	0	0.5
Abi	rdx	2	6	0	0	0.5
betaTub56D	rdx	2	6	0	0	0.5
nej	rdx	2	6	9e-04	0	0.5
dlg1	rdx	2	6	9e-04	0	0.5
Lcp65Ag1	rdx	2	6	0	0	0.5
Es2	rdx	2	6	0	0	0.5
MED24	rdx	2	6	0	0	0.5
Vhl	rdx	2	6	0	0	0.5
tral	rdx	2	6	0	0	0.5
sns	rdx	2	6	0	0	0.5
mbl	rdx	2	6	0	0	0.5
sav	rdx	2	6	7e-04	0	0.5
lola	rdx	2	6	0	0	0.5
robo	rdx	2	6	0	0	0.5
CG32486	rdx	2	6	6e-04	0	0.5
santa.maria	rdx	2	6	0	0	0.5
stumps	rdx	2	6	0	0	0.5
abd.A	rdx	2	6	0	0	0.5
dock	rdx	2	6	3e-04	0	0.5
Lar	rdx	2	6	4e-04	0	0.5
l.1.G0289	rdx	2	6	0	0	0.5
Abl	rdx	2	6	0	0	0.5
Syb	rdx	2	6	0	0	0.5
dome	rdx	2	6	2e-04	0	0.5
ofs	rdx	2	6	0	0	0.5
MED4	rdx	2	6	1e-04	0	0.5
scrib	rdx	2	6	0	0	0.5
siz	rdx	2	6	1e-04	0	0.5
cbx	rdx	2	6	0	0	0.5
dsx	rdx	2	6	2e-04	0	0.5
Sb	rdx	2	6	0	0	0.5
sax	rdx	2	6	6e-04	0	0.5
foxo	rdx	2	6	0	0	0.5
Cyp1	rdx	2	6	0.0017	0	0.5
brm	rdx	2	6	0	0	0.5
rad50	rdx	2	6	9e-04	0	0.5
chico	rdx	2	6	0	0	0.5
cp309	rdx	2	6	2e-04	0	0.5
hdc	rdx	2	6	0.0011	0	0.5
Axn	rdx	2	6	0	0	0.5
Apc2	rdx	2	6	4e-04	0	0.5
PhKgamma	rdx	2	6	0	0	0.5
eya	rdx	2	6	0	0	0.5
sktl	rdx	2	6	0	0	0.5
sqd	rdx	2	6	0	0	0.5
Akt1	rdx	2	6	0	0	0.5
scyl	rdx	2	6	0	0	0.5
cnk	rdx	2	6	3e-04	0	0.5
CG8149	rdx	2	6	0.8441	0.99875	0.5
CG34379	rdx	2	6	0	0	0.5
Yp1	rdx	2	6	0	0	0.5
yrt	rdx	2	6	0	0	0.5
bap	rdx	2	6	0	0	0.5
tud	rdx	2	6	4e-04	0	0.5
ct	rdx	2	6	1e-04	0	0.5
tup	rdx	2	6	0	0	0.5
G.ialpha65A	rdx	2	6	3e-04	0	0.5
knrl	rdx	2	6	0	0	0.5
Pkn	rdx	2	6	0	0	0.5
Sry.delta	rdx	2	6	0.0013	0	0.5
Alh	rdx	2	6	0	0	0.5
pnut	rdx	2	6	0	0	0.5
phyl	rdx	2	6	0	0	0.5
CG17739	rdx	2	6	2e-04	0	0.5
B4	rdx	2	6	0	0	0.5
CG2681	rdx	2	6	0.0014	0	0.5
tow	rdx	2	6	0	0	0.5
hkl	rdx	2	6	0	0	0.5
sina	rdx	2	6	7e-04	0	0.5
ry	rdx	2	6	5e-04	0	0.5
rux	rdx	2	6	0.0016	0	0.5
boss	rdx	2	6	7e-04	0	0.5
Mkp3	rdx	2	6	4e-04	0	0.5
inaC	rdx	2	6	0.0013	0	0.5
sno	rdx	2	6	0	0	0.5
jagn	rdx	2	6	0.1563	0	0.5
dpn	rdx	2	6	4e-04	0	0.5
wrapper	rdx	2	6	1e-04	0	0.5
Ca.alpha1D	rdx	2	6	0.0011	0	0.5
E2f	rdx	2	6	5e-04	0	0.5
Dp	rdx	2	6	0	0	0.5
l.2.efl	rdx	2	6	0	0	0.5
cnc	rdx	2	6	7e-04	0	0.5
Atg5	rdx	2	6	4e-04	0	0.5
acj6	rdx	2	6	0	0	0.5
Trl	rdx	2	6	3e-04	0	0.5
d4	rdx	2	6	3e-04	0	0.5
CG16719	rdx	2	6	0.001	0	0.5
CadN	rdx	2	6	4e-04	0	0.5
gro	rdx	2	6	0	0	0.5
sec13	rdx	2	6	0.0025	0	0.5
klar	rdx	2	6	2e-04	0	0.5
Rack1	rdx	2	6	0	0	0.5
Sobp	rdx	2	6	0.5183	-0.99823	0.5
ash1	rdx	2	6	0.0013	0	0.5
inv	rdx	2	6	0	0	0.5
shot	rdx	2	6	0	0	0.5
Oseg1	rdx	2	6	0	0	0.5
Spred	rdx	2	6	1	0.99769	0.5
puc	rdx	2	6	0	0	0.5
Atg6	rdx	2	6	5e-04	0	0.5
CG3829	rdx	2	6	0	0	0.5
sle	rdx	2	6	0	0	0.5
Cka	rdx	2	6	0	0	0.5
form3	rdx	2	6	2e-04	0	0.5
Pk61C	rdx	2	6	1e-04	0	0.5
Pcaf	rdx	2	6	0.4575	0	0.5
sbb	rdx	2	6	0	0	0.5
Ef1gamma	rdx	2	6	0.0011	0	0.5
FKBP59	rdx	2	6	0	0	0.5
Eip71CD	rdx	2	6	0	0	0.5
xmas.2	rdx	2	6	2e-04	0	0.5
ppan	rdx	2	6	0	0	0.5
Iswi	rdx	2	6	0	0	0.5
ine	rdx	2	6	0	0	0.5
Tina.1	rdx	2	6	0	0	0.5
bon	rdx	2	6	2e-04	0	0.5
pot	rdx	2	6	0	0	0.5
chic	rdx	2	6	3e-04	0	0.5
Hem	rdx	2	6	0	0	0.5
chif	rdx	2	6	9e-04	0	0.5
S6kII	rdx	2	6	1e-04	0	0.5
wal	rdx	2	6	3e-04	0	0.5
wls	rdx	2	6	2e-04	0	0.5
Ddx1	rdx	2	6	0	0	0.5
Sulf1	rdx	2	6	0	0	0.5
CG3987	rdx	2	6	3e-04	0	0.5
Abd.B	rdx	2	6	0	0	0.5
Uba1	rdx	2	6	4e-04	0	0.5
bigmax	rdx	2	6	0.001	0	0.5
NAT1	rdx	2	6	7e-04	0	0.5
wupA	rdx	2	6	0	0	0.5
Vps28	rdx	2	6	0	0	0.5
G.oalpha47A	rdx	2	6	0	0	0.5
G.salpha60A	rdx	2	6	5e-04	0	0.5
dsf	rdx	2	6	5e-04	0	0.5
Khc	rdx	2	6	5e-04	0	0.5
CG10641	rdx	2	6	0	0	0.5
Alk	rdx	2	6	0.001	0	0.5
ey	rdx	2	6	0	0	0.5
noc	rdx	2	6	0	0	0.5
ix	rdx	2	6	1e-04	0	0.5
Optix	rdx	2	6	1e-04	0	0.5
sdt	rdx	2	6	0	0	0.5
Sxl	rdx	2	6	0	0	0.5
rib	rdx	2	6	3e-04	0	0.5
sas	rdx	2	6	0	0	0.5
Scgdelta	rdx	2	6	1e-04	0	0.5
sw	rdx	2	6	0	0	0.5
fal	rdx	2	6	6e-04	0	0.5
ea	rdx	2	6	4e-04	0	0.5
Ice	rdx	2	6	0	0	0.5
cic	rdx	2	6	6e-04	0	0.5
Dok	rdx	2	6	0	0	0.5
rhea	rdx	2	6	2e-04	0	0.5
Glycogenin	rdx	2	6	0	0	0.5
cin	rdx	2	6	0	0	0.5
chp	rdx	2	6	0	0	0.5
Dlic2	rdx	2	6	1e-04	0	0.5
Pk92B	rdx	2	6	0	0	0.5
Pak	rdx	2	6	2e-04	0	0.5
Lim1	rdx	2	6	0	0	0.5
CG34450	rdx	2	6	0	0	0.5
Su.H.	rdx	2	6	0	0	0.5
CG12301	rdx	2	6	3e-04	0	0.5
lilli	rdx	2	6	0	0	0.5
toe	rdx	2	6	0	0	0.5
qkr58E.3	rdx	2	6	0	0	0.5
up	rdx	2	6	4e-04	0	0.5
hep	rdx	2	6	0	0	0.5
Dap160	rdx	2	6	0	0	0.5
l.2.gd1	rdx	2	6	0	0	0.5
hkb	rdx	2	6	0.0013	0	0.5
beta4GalNAcTA	rdx	2	6	7e-04	0	0.5
Mer	rdx	2	6	4e-04	0	0.5
Mtl	rdx	2	6	3e-04	0	0.5
spin	rdx	2	6	0	0	0.5
mfas	rdx	2	6	0	0	0.5
frc	rdx	2	6	0.0011	0	0.5
Krn	rdx	2	6	4e-04	0	0.5
mam	rdx	2	6	0	0	0.5
brk	rdx	2	6	0.0018	0	0.5
Ark	rdx	2	6	0	0	0.5
mmy	rdx	2	6	0.001	0	0.5
mri	rdx	2	6	0	0	0.5
Crk	rdx	2	6	2e-04	0	0.5
ssh	rdx	2	6	0	0	0.5
fs.1.K10	rdx	2	6	0	0	0.5
Psn	rdx	2	6	0	0	0.5
CG9509	rdx	2	6	0	0	0.5
CkIIalpha	rdx	2	6	0	0	0.5
car	rdx	2	6	0	0	0.5
capu	rdx	2	6	0	0	0.5
cact	rdx	2	6	0.001	0	0.5
Patj	rdx	2	6	0	0	0.5
dpp	rdx	2	6	0	0	0.5
xl6	rdx	2	6	8e-04	0	0.5
dally	rdx	2	6	0	0	0.5
Pi3K92E	rdx	2	6	2e-04	0	0.5
E.bx.	rdx	2	6	0	0	0.5
emb	rdx	2	6	0	0	0.5
CtBP	rdx	2	6	0.1265	0	0.5
Dad	rdx	2	6	0.4823	0	0.5
amx	rdx	2	6	0.001	0	0.5
Ank2	rdx	2	6	0	0	0.5
CG34417	rdx	2	6	1e-04	0	0.5
scra	rdx	2	6	0	0	0.5
dsd	rdx	2	6	0	0	0.5
Ephrin	rdx	2	6	2e-04	0	0.5
Appl	rdx	2	6	0	0	0.5
sty	rdx	2	6	0	0	0.5
RhoL	rdx	2	6	0	0	0.5
twi	rdx	2	6	0	0	0.5
tub	rdx	2	6	0	0	0.5
ftz.f1	rdx	2	6	6e-04	0	0.5
wg	rdx	2	6	0	0	0.5
LanB1	rdx	2	6	0	0	0.5
LanA	rdx	2	6	0	0	0.5
LanB2	rdx	2	6	0	0	0.5
Chi	rdx	2	6	0	0	0.5
nmo	rdx	2	6	1e-04	0	0.5
ics	rdx	2	6	0	0	0.5
oaf	rdx	2	6	5e-04	0	0.5
dco	rdx	2	6	2e-04	0	0.5
Dys	rdx	2	6	0	0	0.5
drm	rdx	2	6	7e-04	0	0.5
RpL30	rdx	2	6	0	0	0.5
how	rdx	2	6	0	0	0.5
dei	rdx	2	6	0	0	0.5
CG1244	rdx	2	6	0	0	0.5
Chc	rdx	2	6	0	0	0.5
Orct	rdx	2	6	6e-04	0	0.5
sgl	rdx	2	6	4e-04	0	0.5
CG17221	rdx	2	6	0.0012	0	0.5
gkt	rdx	2	6	0	0	0.5
by	rdx	2	6	2e-04	0	0.5
Pka.C3	rdx	2	6	3e-04	0	0.5
vlc	rdx	2	6	0	0	0.5
fl.2.d	rdx	2	6	0	0	0.5
Nf1	rdx	2	6	0.0017	0	0.5
CG6372	rdx	2	6	2e-04	0	0.5
Rho1	rdx	2	6	0	0	0.5
kuk	rdx	2	6	0.1505	0	0.5
l.2.gl	rdx	2	6	1e-04	0	0.5
Ald	rdx	2	6	7e-04	0	0.5
jumu	rdx	2	6	0	0	0.5
glu	rdx	2	6	0	0	0.5
fs.2.ltoPP43	rdx	2	6	0.001	0	0.5
CycE	rdx	2	6	0	0	0.5
CG8247	rdx	2	6	0	0	0.5
CSN4	rdx	2	6	6e-04	0	0.5
X18w	rdx	2	6	0	0	0.5
bs	rdx	2	6	0.0013	0	0.5
Nrt	rdx	2	6	0	0	0.5
mask	rdx	2	6	4e-04	0	0.5
gl	rdx	2	6	2e-04	0	0.5
Cp1	rdx	2	6	0	0	0.5
ex	rdx	2	6	0	0	0.5
jing	rdx	2	6	1e-04	0	0.5
shrb	rdx	2	6	0	0	0.5
raw	rdx	2	6	0.001	0	0.5
CG9445	rdx	2	6	0	0	0.5
gbb	rdx	2	6	0	0	0.5
Hs2st	rdx	2	6	0	0	0.5
sls	rdx	2	6	0	0	0.5
kis	rdx	2	6	0	0	0.5
run	rdx	2	6	0	0	0.5
pnr	rdx	2	6	0	0	0.5
pn	rdx	2	6	0	0	0.5
pnt	rdx	2	6	0	0	0.5
Fmr1	rdx	2	6	0	0	0.5
Myo31DF	rdx	2	6	4e-04	0	0.5
ALiX	rdx	2	6	0	0	0.5
sgg	rdx	2	6	4e-04	0	0.5
mbt	rdx	2	6	3e-04	0	0.5
Sin3A	rdx	2	6	0	0	0.5
dnc	rdx	2	6	3e-04	0	0.5
morgue	rdx	2	6	0	0	0.5
Set2	rdx	2	6	0	0	0.5
exu	rdx	2	6	0	0	0.5
odd	rdx	2	6	3e-04	0	0.5
esc	rdx	2	6	0	0	0.5
dah	rdx	2	6	0	0	0.5
Taf4	rdx	2	6	0	0	0.5
Jafrac2	rdx	2	6	0.001	0	0.5
Fas3	rdx	2	6	1e-04	0	0.5
wus	rdx	2	6	6e-04	0	0.5
