Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	robo	2	6	3e-04	0	0.5
emp	robo	2	6	0	0	0.5
CG2678	robo	2	6	2e-04	0	0.5
crc	robo	2	6	0	0	0.5
pros	robo	2	6	0	0	0.5
neur	robo	2	6	0	0	0.5
Rab5	robo	2	6	0	0	0.5
Rab7	robo	2	6	4e-04	0	0.5
Mmp2	robo	2	6	3e-04	0	0.5
W	robo	2	6	1e-04	0	0.5
bowl	robo	2	6	3e-04	0	0.5
fd59A	robo	2	6	6e-04	0	0.5
e	robo	2	6	0	0	0.5
ben	robo	2	6	3e-04	0	0.5
rdo	robo	2	6	0	0	0.5
lin	robo	2	6	0	0	0.5
tra	robo	2	6	0	0	0.5
tra2	robo	2	6	2e-04	0	0.5
cathD	robo	2	6	5e-04	0	0.5
d	robo	2	6	8e-04	0	0.5
lva	robo	2	6	0	0	0.5
pbl	robo	2	6	0	0	0.5
CG33205	robo	2	6	0	0	0.5
da	robo	2	6	0	0	0.5
cactin	robo	2	6	5e-04	0	0.5
hpo	robo	2	6	0	0	0.5
Sema.2a	robo	2	6	0.001	0	0.5
Eip74EF	robo	2	6	1e-04	0	0.5
eg	robo	2	6	6e-04	0	0.5
Arc42	robo	2	6	1e-04	0	0.5
toy	robo	2	6	0	0	0.5
Galpha73B	robo	2	6	1e-04	0	0.5
RhoGAPp190	robo	2	6	3e-04	0	0.5
MED11	robo	2	6	1e-04	0	0.5
cher	robo	2	6	0	0	0.5
BicD	robo	2	6	0	0	0.5
MYPT.75D	robo	2	6	0	0	0.5
mus304	robo	2	6	0	0	0.5
CdsA	robo	2	6	1e-04	0	0.5
btl	robo	2	6	0	0	0.5
Cyt.c.d	robo	2	6	0	0	0.5
tok	robo	2	6	0.001	0	0.5
ttk	robo	2	6	1e-04	0	0.5
tamo	robo	2	6	1e-04	0	0.5
CG6416	robo	2	6	0	0	0.5
flfl	robo	2	6	7e-04	0	0.5
Pvr	robo	2	6	0	0	0.5
kay	robo	2	6	0	0	0.5
Jra	robo	2	6	0	0	0.5
msk	robo	2	6	0	0	0.5
tll	robo	2	6	0	0	0.5
Tm1	robo	2	6	0	0	0.5
srp	robo	2	6	0	0	0.5
Btk29A	robo	2	6	0	0	0.5
fred	robo	2	6	0	0	0.5
Src64B	robo	2	6	0	0	0.5
Mmp1	robo	2	6	0.7331	-0.99716	0.5
sll	robo	2	6	3e-04	0	0.5
Hmgs	robo	2	6	0	0	0.5
caps	robo	2	6	6e-04	0	0.5
Su.var.2.10	robo	2	6	2e-04	0	0.5
CycB	robo	2	6	6e-04	0	0.5
spir	robo	2	6	1e-04	0	0.5
spn.A	robo	2	6	0	0	0.5
Ptpmeg	robo	2	6	2e-04	0	0.5
qua	robo	2	6	0	0	0.5
msn	robo	2	6	0.0034	0	0.5
ena	robo	2	6	0	0	0.5
spen	robo	2	6	4e-04	0	0.5
emc	robo	2	6	0.0011	0	0.5
tsh	robo	2	6	0	0	0.5
Dat	robo	2	6	4e-04	0	0.5
Lac	robo	2	6	0	0	0.5
dup	robo	2	6	0	0	0.5
CG3075	robo	2	6	7e-04	0	0.5
Akap200	robo	2	6	2e-04	0	0.5
CG18369	robo	2	6	1e-04	0	0.5
bnl	robo	2	6	8e-04	0	0.5
sec23	robo	2	6	0	0	0.5
Pde8	robo	2	6	1e-04	0	0.5
Arp66B	robo	2	6	0	0	0.5
cos	robo	2	6	0	0	0.5
Borr	robo	2	6	1e-04	0	0.5
X140up	robo	2	6	0	0	0.5
Dhc64C	robo	2	6	0	0	0.5
Not1	robo	2	6	1e-04	0	0.5
CG9520	robo	2	6	5e-04	0	0.5
bib	robo	2	6	1e-04	0	0.5
mib1	robo	2	6	9e-04	0	0.5
cas	robo	2	6	0	0	0.5
Abi	robo	2	6	1e-04	0	0.5
betaTub56D	robo	2	6	1e-04	0	0.5
nej	robo	2	6	6e-04	0	0.5
dlg1	robo	2	6	0	0	0.5
Lcp65Ag1	robo	2	6	2e-04	0	0.5
Es2	robo	2	6	1e-04	0	0.5
MED24	robo	2	6	0.0019	0	0.5
Vhl	robo	2	6	2e-04	0	0.5
tral	robo	2	6	0	0	0.5
sns	robo	2	6	0	0	0.5
mbl	robo	2	6	2e-04	0	0.5
sav	robo	2	6	6e-04	0	0.5
lola	robo	2	6	1e-04	0	0.5
robo	robo	2	6	0	0	0.5
CG32486	robo	2	6	7e-04	0	0.5
santa.maria	robo	2	6	0	0	0.5
stumps	robo	2	6	1e-04	0	0.5
abd.A	robo	2	6	0.0049	0	0.5
dock	robo	2	6	2e-04	0	0.5
Lar	robo	2	6	1e-04	0	0.5
l.1.G0289	robo	2	6	3e-04	0	0.5
Abl	robo	2	6	3e-04	0	0.5
Syb	robo	2	6	0	0	0.5
dome	robo	2	6	6e-04	0	0.5
ofs	robo	2	6	2e-04	0	0.5
MED4	robo	2	6	0	0	0.5
scrib	robo	2	6	0.0013	0	0.5
siz	robo	2	6	0	0	0.5
cbx	robo	2	6	5e-04	0	0.5
dsx	robo	2	6	4e-04	0	0.5
Sb	robo	2	6	3e-04	0	0.5
sax	robo	2	6	0.7359	-0.99846	0.5
foxo	robo	2	6	2e-04	0	0.5
Cyp1	robo	2	6	0.0014	0	0.5
brm	robo	2	6	5e-04	0	0.5
rad50	robo	2	6	0	0	0.5
chico	robo	2	6	2e-04	0	0.5
cp309	robo	2	6	4e-04	0	0.5
hdc	robo	2	6	4e-04	0	0.5
Axn	robo	2	6	2e-04	0	0.5
Apc2	robo	2	6	0	0	0.5
PhKgamma	robo	2	6	2e-04	0	0.5
eya	robo	2	6	0	0	0.5
sktl	robo	2	6	0	0	0.5
sqd	robo	2	6	1e-04	0	0.5
Akt1	robo	2	6	4e-04	0	0.5
scyl	robo	2	6	0	0	0.5
cnk	robo	2	6	0	0	0.5
CG8149	robo	2	6	6e-04	0	0.5
CG34379	robo	2	6	0.001	0	0.5
Yp1	robo	2	6	0.001	0	0.5
yrt	robo	2	6	0	0	0.5
bap	robo	2	6	3e-04	0	0.5
tud	robo	2	6	2e-04	0	0.5
ct	robo	2	6	9e-04	0	0.5
tup	robo	2	6	0.0041	0	0.5
G.ialpha65A	robo	2	6	0	0	0.5
knrl	robo	2	6	1e-04	0	0.5
Pkn	robo	2	6	0	0	0.5
Sry.delta	robo	2	6	0	0	0.5
Alh	robo	2	6	3e-04	0	0.5
pnut	robo	2	6	0	0	0.5
phyl	robo	2	6	0	0	0.5
CG17739	robo	2	6	0	0	0.5
B4	robo	2	6	0	0	0.5
