Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	run	2	6	2e-04	0	0.5
emp	run	2	6	1e-04	0	0.5
CG2678	run	2	6	4e-04	0	0.5
crc	run	2	6	1e-04	0	0.5
pros	run	2	6	0	0	0.5
neur	run	2	6	0	0	0.5
Rab5	run	2	6	1e-04	0	0.5
Rab7	run	2	6	0	0	0.5
Mmp2	run	2	6	0	0	0.5
W	run	2	6	0	0	0.5
bowl	run	2	6	0	0	0.5
fd59A	run	2	6	0	0	0.5
e	run	2	6	0.0029	0	0.5
ben	run	2	6	0.0013	0	0.5
rdo	run	2	6	1e-04	0	0.5
lin	run	2	6	0	0	0.5
tra	run	2	6	5e-04	0	0.5
tra2	run	2	6	6e-04	0	0.5
cathD	run	2	6	8e-04	0	0.5
d	run	2	6	0.002	0	0.5
lva	run	2	6	0	0	0.5
pbl	run	2	6	2e-04	0	0.5
CG33205	run	2	6	0	0	0.5
da	run	2	6	0	0	0.5
cactin	run	2	6	1e-04	0	0.5
hpo	run	2	6	0	0	0.5
Sema.2a	run	2	6	0	0	0.5
Eip74EF	run	2	6	0	0	0.5
eg	run	2	6	1e-04	0	0.5
Arc42	run	2	6	4e-04	0	0.5
toy	run	2	6	1e-04	0	0.5
Galpha73B	run	2	6	1e-04	0	0.5
RhoGAPp190	run	2	6	0	0	0.5
MED11	run	2	6	0	0	0.5
cher	run	2	6	0.0012	0	0.5
BicD	run	2	6	1e-04	0	0.5
MYPT.75D	run	2	6	0	0	0.5
mus304	run	2	6	0	0	0.5
CdsA	run	2	6	1e-04	0	0.5
btl	run	2	6	0	0	0.5
Cyt.c.d	run	2	6	1e-04	0	0.5
tok	run	2	6	0	0	0.5
ttk	run	2	6	0	0	0.5
tamo	run	2	6	5e-04	0	0.5
CG6416	run	2	6	7e-04	0	0.5
flfl	run	2	6	3e-04	0	0.5
Pvr	run	2	6	0	0	0.5
kay	run	2	6	6e-04	0	0.5
Jra	run	2	6	1e-04	0	0.5
msk	run	2	6	0	0	0.5
tll	run	2	6	3e-04	0	0.5
Tm1	run	2	6	0	0	0.5
srp	run	2	6	0	0	0.5
Btk29A	run	2	6	1e-04	0	0.5
fred	run	2	6	0	0	0.5
Src64B	run	2	6	0.009	0	0.5
Mmp1	run	2	6	0	0	0.5
sll	run	2	6	8e-04	0	0.5
Hmgs	run	2	6	0	0	0.5
caps	run	2	6	0	0	0.5
Su.var.2.10	run	2	6	3e-04	0	0.5
CycB	run	2	6	2e-04	0	0.5
spir	run	2	6	0	0	0.5
spn.A	run	2	6	2e-04	0	0.5
Ptpmeg	run	2	6	0	0	0.5
qua	run	2	6	0	0	0.5
msn	run	2	6	4e-04	0	0.5
ena	run	2	6	0	0	0.5
spen	run	2	6	0.0012	0	0.5
emc	run	2	6	0	0	0.5
tsh	run	2	6	0	0	0.5
Dat	run	2	6	0	0	0.5
Lac	run	2	6	0	0	0.5
dup	run	2	6	2e-04	0	0.5
CG3075	run	2	6	8e-04	0	0.5
Akap200	run	2	6	2e-04	0	0.5
CG18369	run	2	6	0	0	0.5
bnl	run	2	6	2e-04	0	0.5
sec23	run	2	6	0	0	0.5
Pde8	run	2	6	4e-04	0	0.5
Arp66B	run	2	6	0	0	0.5
cos	run	2	6	3e-04	0	0.5
Borr	run	2	6	6e-04	0	0.5
X140up	run	2	6	3e-04	0	0.5
Dhc64C	run	2	6	0	0	0.5
Not1	run	2	6	3e-04	0	0.5
CG9520	run	2	6	0	0	0.5
bib	run	2	6	0.001	0	0.5
mib1	run	2	6	0	0	0.5
cas	run	2	6	0.0065	0	0.5
Abi	run	2	6	0.001	0	0.5
betaTub56D	run	2	6	0	0	0.5
nej	run	2	6	2e-04	0	0.5
dlg1	run	2	6	5e-04	0	0.5
Lcp65Ag1	run	2	6	0	0	0.5
Es2	run	2	6	1e-04	0	0.5
MED24	run	2	6	0	0	0.5
Vhl	run	2	6	0	0	0.5
tral	run	2	6	3e-04	0	0.5
sns	run	2	6	1e-04	0	0.5
mbl	run	2	6	2e-04	0	0.5
sav	run	2	6	0	0	0.5
lola	run	2	6	1e-04	0	0.5
robo	run	2	6	0	0	0.5
CG32486	run	2	6	0.001	0	0.5
santa.maria	run	2	6	0	0	0.5
stumps	run	2	6	2e-04	0	0.5
abd.A	run	2	6	0	0	0.5
dock	run	2	6	2e-04	0	0.5
Lar	run	2	6	0.001	0	0.5
l.1.G0289	run	2	6	4e-04	0	0.5
Abl	run	2	6	4e-04	0	0.5
Syb	run	2	6	0	0	0.5
dome	run	2	6	0	0	0.5
ofs	run	2	6	5e-04	0	0.5
MED4	run	2	6	0	0	0.5
scrib	run	2	6	0	0	0.5
siz	run	2	6	0	0	0.5
cbx	run	2	6	0	0	0.5
dsx	run	2	6	4e-04	0	0.5
Sb	run	2	6	0	0	0.5
sax	run	2	6	0	0	0.5
foxo	run	2	6	0	0	0.5
Cyp1	run	2	6	2e-04	0	0.5
brm	run	2	6	0.8201	0.9989	0.5
rad50	run	2	6	5e-04	0	0.5
chico	run	2	6	0	0	0.5
cp309	run	2	6	0	0	0.5
hdc	run	2	6	2e-04	0	0.5
Axn	run	2	6	1e-04	0	0.5
Apc2	run	2	6	0	0	0.5
PhKgamma	run	2	6	0	0	0.5
eya	run	2	6	0	0	0.5
sktl	run	2	6	0	0	0.5
sqd	run	2	6	1e-04	0	0.5
Akt1	run	2	6	0	0	0.5
scyl	run	2	6	9e-04	0	0.5
cnk	run	2	6	0	0	0.5
CG8149	run	2	6	7e-04	0	0.5
CG34379	run	2	6	2e-04	0	0.5
Yp1	run	2	6	2e-04	0	0.5
yrt	run	2	6	3e-04	0	0.5
bap	run	2	6	2e-04	0	0.5
tud	run	2	6	0	0	0.5
ct	run	2	6	0	0	0.5
tup	run	2	6	3e-04	0	0.5
G.ialpha65A	run	2	6	2e-04	0	0.5
knrl	run	2	6	0.001	0	0.5
Pkn	run	2	6	0	0	0.5
Sry.delta	run	2	6	2e-04	0	0.5
Alh	run	2	6	0	0	0.5
pnut	run	2	6	0	0	0.5
phyl	run	2	6	3e-04	0	0.5
CG17739	run	2	6	0	0	0.5
B4	run	2	6	2e-04	0	0.5
CG2681	run	2	6	0	0	0.5
tow	run	2	6	0	0	0.5
hkl	run	2	6	0	0	0.5
sina	run	2	6	9e-04	0	0.5
ry	run	2	6	0	0	0.5
rux	run	2	6	0	0	0.5
boss	run	2	6	0	0	0.5
Mkp3	run	2	6	0	0	0.5
inaC	run	2	6	0	0	0.5
sno	run	2	6	0	0	0.5
jagn	run	2	6	2e-04	0	0.5
dpn	run	2	6	0	0	0.5
wrapper	run	2	6	0	0	0.5
Ca.alpha1D	run	2	6	1e-04	0	0.5
E2f	run	2	6	2e-04	0	0.5
Dp	run	2	6	2e-04	0	0.5
l.2.efl	run	2	6	5e-04	0	0.5
cnc	run	2	6	1e-04	0	0.5
Atg5	run	2	6	0	0	0.5
acj6	run	2	6	0.0016	0	0.5
Trl	run	2	6	2e-04	0	0.5
d4	run	2	6	0	0	0.5
CG16719	run	2	6	1e-04	0	0.5
CadN	run	2	6	0	0	0.5
gro	run	2	6	9e-04	0	0.5
sec13	run	2	6	0	0	0.5
klar	run	2	6	0	0	0.5
Rack1	run	2	6	6e-04	0	0.5
Sobp	run	2	6	0	0	0.5
ash1	run	2	6	1e-04	0	0.5
inv	run	2	6	0	0	0.5
shot	run	2	6	2e-04	0	0.5
Oseg1	run	2	6	0	0	0.5
Spred	run	2	6	0	0	0.5
puc	run	2	6	0	0	0.5
Atg6	run	2	6	2e-04	0	0.5
CG3829	run	2	6	0.0156	0	0.5
sle	run	2	6	0	0	0.5
Cka	run	2	6	0	0	0.5
form3	run	2	6	0	0	0.5
Pk61C	run	2	6	0	0	0.5
Pcaf	run	2	6	2e-04	0	0.5
sbb	run	2	6	0	0	0.5
Ef1gamma	run	2	6	2e-04	0	0.5
FKBP59	run	2	6	0	0	0.5
Eip71CD	run	2	6	3e-04	0	0.5
xmas.2	run	2	6	0	0	0.5
ppan	run	2	6	3e-04	0	0.5
Iswi	run	2	6	1e-04	0	0.5
ine	run	2	6	0	0	0.5
Tina.1	run	2	6	0	0	0.5
bon	run	2	6	0	0	0.5
pot	run	2	6	2e-04	0	0.5
chic	run	2	6	0	0	0.5
Hem	run	2	6	3e-04	0	0.5
chif	run	2	6	0	0	0.5
S6kII	run	2	6	2e-04	0	0.5
wal	run	2	6	0	0	0.5
wls	run	2	6	0	0	0.5
Ddx1	run	2	6	0	0	0.5
Sulf1	run	2	6	0	0	0.5
CG3987	run	2	6	8e-04	0	0.5
Abd.B	run	2	6	3e-04	0	0.5
Uba1	run	2	6	0	0	0.5
bigmax	run	2	6	1e-04	0	0.5
NAT1	run	2	6	0	0	0.5
wupA	run	2	6	0	0	0.5
Vps28	run	2	6	0	0	0.5
G.oalpha47A	run	2	6	2e-04	0	0.5
G.salpha60A	run	2	6	0	0	0.5
dsf	run	2	6	2e-04	0	0.5
Khc	run	2	6	0	0	0.5
CG10641	run	2	6	0	0	0.5
Alk	run	2	6	1e-04	0	0.5
ey	run	2	6	0	0	0.5
noc	run	2	6	0	0	0.5
ix	run	2	6	0	0	0.5
Optix	run	2	6	0	0	0.5
sdt	run	2	6	0	0	0.5
Sxl	run	2	6	0.0013	0	0.5
rib	run	2	6	3e-04	0	0.5
sas	run	2	6	0	0	0.5
Scgdelta	run	2	6	0	0	0.5
sw	run	2	6	0	0	0.5
fal	run	2	6	1e-04	0	0.5
ea	run	2	6	0	0	0.5
Ice	run	2	6	0	0	0.5
cic	run	2	6	4e-04	0	0.5
Dok	run	2	6	3e-04	0	0.5
rhea	run	2	6	0	0	0.5
Glycogenin	run	2	6	6e-04	0	0.5
cin	run	2	6	0	0	0.5
chp	run	2	6	4e-04	0	0.5
Dlic2	run	2	6	0	0	0.5
Pk92B	run	2	6	0	0	0.5
Pak	run	2	6	3e-04	0	0.5
Lim1	run	2	6	0	0	0.5
CG34450	run	2	6	9e-04	0	0.5
Su.H.	run	2	6	2e-04	0	0.5
CG12301	run	2	6	0	0	0.5
lilli	run	2	6	5e-04	0	0.5
toe	run	2	6	1e-04	0	0.5
qkr58E.3	run	2	6	7e-04	0	0.5
up	run	2	6	1e-04	0	0.5
hep	run	2	6	0	0	0.5
Dap160	run	2	6	7e-04	0	0.5
l.2.gd1	run	2	6	0	0	0.5
hkb	run	2	6	0	0	0.5
beta4GalNAcTA	run	2	6	0	0	0.5
Mer	run	2	6	3e-04	0	0.5
Mtl	run	2	6	3e-04	0	0.5
spin	run	2	6	0	0	0.5
mfas	run	2	6	0	0	0.5
frc	run	2	6	0	0	0.5
Krn	run	2	6	0	0	0.5
mam	run	2	6	0	0	0.5
brk	run	2	6	5e-04	0	0.5
Ark	run	2	6	1e-04	0	0.5
mmy	run	2	6	1e-04	0	0.5
mri	run	2	6	0	0	0.5
Crk	run	2	6	0	0	0.5
ssh	run	2	6	1e-04	0	0.5
fs.1.K10	run	2	6	3e-04	0	0.5
Psn	run	2	6	3e-04	0	0.5
CG9509	run	2	6	2e-04	0	0.5
CkIIalpha	run	2	6	0	0	0.5
car	run	2	6	0	0	0.5
capu	run	2	6	0	0	0.5
cact	run	2	6	2e-04	0	0.5
Patj	run	2	6	1e-04	0	0.5
dpp	run	2	6	0	0	0.5
xl6	run	2	6	0	0	0.5
dally	run	2	6	0.0017	0	0.5
Pi3K92E	run	2	6	0	0	0.5
E.bx.	run	2	6	6e-04	0	0.5
emb	run	2	6	1e-04	0	0.5
CtBP	run	2	6	2e-04	0	0.5
Dad	run	2	6	0	0	0.5
amx	run	2	6	0	0	0.5
Ank2	run	2	6	1e-04	0	0.5
CG34417	run	2	6	0	0	0.5
scra	run	2	6	2e-04	0	0.5
dsd	run	2	6	0	0	0.5
Ephrin	run	2	6	0.1492	0	0.5
Appl	run	2	6	0	0	0.5
sty	run	2	6	5e-04	0	0.5
RhoL	run	2	6	0	0	0.5
twi	run	2	6	0	0	0.5
tub	run	2	6	0	0	0.5
ftz.f1	run	2	6	0	0	0.5
wg	run	2	6	1e-04	0	0.5
LanB1	run	2	6	1e-04	0	0.5
LanA	run	2	6	0	0	0.5
LanB2	run	2	6	0	0	0.5
Chi	run	2	6	0	0	0.5
nmo	run	2	6	0	0	0.5
ics	run	2	6	1e-04	0	0.5
oaf	run	2	6	1e-04	0	0.5
dco	run	2	6	9e-04	0	0.5
Dys	run	2	6	0	0	0.5
drm	run	2	6	0	0	0.5
RpL30	run	2	6	6e-04	0	0.5
how	run	2	6	0	0	0.5
dei	run	2	6	0	0	0.5
CG1244	run	2	6	4e-04	0	0.5
Chc	run	2	6	0	0	0.5
Orct	run	2	6	0	0	0.5
sgl	run	2	6	0	0	0.5
CG17221	run	2	6	8e-04	0	0.5
gkt	run	2	6	2e-04	0	0.5
by	run	2	6	1e-04	0	0.5
Pka.C3	run	2	6	0.0014	0	0.5
vlc	run	2	6	0	0	0.5
fl.2.d	run	2	6	2e-04	0	0.5
Nf1	run	2	6	6e-04	0	0.5
CG6372	run	2	6	0	0	0.5
Rho1	run	2	6	6e-04	0	0.5
kuk	run	2	6	1e-04	0	0.5
l.2.gl	run	2	6	0	0	0.5
Ald	run	2	6	2e-04	0	0.5
jumu	run	2	6	5e-04	0	0.5
glu	run	2	6	0	0	0.5
fs.2.ltoPP43	run	2	6	4e-04	0	0.5
CycE	run	2	6	0.0011	0	0.5
CG8247	run	2	6	0	0	0.5
CSN4	run	2	6	0	0	0.5
X18w	run	2	6	0	0	0.5
bs	run	2	6	4e-04	0	0.5
Nrt	run	2	6	0	0	0.5
mask	run	2	6	1e-04	0	0.5
gl	run	2	6	0	0	0.5
Cp1	run	2	6	1e-04	0	0.5
ex	run	2	6	5e-04	0	0.5
jing	run	2	6	0	0	0.5
shrb	run	2	6	2e-04	0	0.5
raw	run	2	6	1e-04	0	0.5
CG9445	run	2	6	0	0	0.5
gbb	run	2	6	5e-04	0	0.5
Hs2st	run	2	6	4e-04	0	0.5
sls	run	2	6	0	0	0.5
kis	run	2	6	0.001	0	0.5
run	run	2	6	1e-04	0	0.5
pnr	run	2	6	0	0	0.5
pn	run	2	6	0	0	0.5
pnt	run	2	6	2e-04	0	0.5
Fmr1	run	2	6	0	0	0.5
Myo31DF	run	2	6	5e-04	0	0.5
ALiX	run	2	6	0	0	0.5
sgg	run	2	6	3e-04	0	0.5
mbt	run	2	6	0	0	0.5
Sin3A	run	2	6	0	0	0.5
dnc	run	2	6	1e-04	0	0.5
morgue	run	2	6	4e-04	0	0.5
Set2	run	2	6	0	0	0.5
exu	run	2	6	8e-04	0	0.5
odd	run	2	6	0.0016	0	0.5
esc	run	2	6	3e-04	0	0.5
dah	run	2	6	0	0	0.5
Taf4	run	2	6	4e-04	0	0.5
Jafrac2	run	2	6	2e-04	0	0.5
Fas3	run	2	6	1e-04	0	0.5
wus	run	2	6	0	0	0.5
Wnt5	run	2	6	0	0	0.5
sprt	run	2	6	5e-04	0	0.5
jar	run	2	6	3e-04	0	0.5
v	run	2	6	2e-04	0	0.5
Snap	run	2	6	0	0	0.5
vap	run	2	6	4e-04	0	0.5
Src42A	run	2	6	0	0	0.5
esg	run	2	6	1e-04	0	0.5
zfh1	run	2	6	0	0	0.5
alien	run	2	6	0	0	0.5
peb	run	2	6	0	0	0.5
par.1	run	2	6	0	0	0.5
hyd	run	2	6	0	0	0.5
trc	run	2	6	6e-04	0	0.5
Eip63E	run	2	6	8e-04	0	0.5
ird5	run	2	6	5e-04	0	0.5
bl	run	2	6	0	0	0.5
Syx1A	run	2	6	6e-04	0	0.5
drl	run	2	6	1e-04	0	0.5
rg	run	2	6	0	0	0.5
apt	run	2	6	9e-04	0	0.5
svr	run	2	6	0	0	0.5
sar1	run	2	6	0	0	0.5
Tab2	run	2	6	0	0	0.5
zfh2	run	2	6	1e-04	0	0.5
dj	run	2	6	0	0	0.5
tum	run	2	6	1e-04	0	0.5
yellow.f	run	2	6	0	0	0.5
p53	run	2	6	0	0	0.5
ImpE3	run	2	6	6e-04	0	0.5
cbt	run	2	6	5e-04	0	0.5
dl	run	2	6	0	0	0.5
Dl	run	2	6	0	0	0.5
Sur	run	2	6	0	0	0.5
Rpd3	run	2	6	0	0	0.5
CG4945	run	2	6	2e-04	0	0.5
eve	run	2	6	2e-04	0	0.5
Stat92E	run	2	6	3e-04	0	0.5
ken	run	2	6	0	0	0.5
dpld	run	2	6	0	0	0.5
CG1942	run	2	6	6e-04	0	0.5
Dcp.1	run	2	6	0	0	0.5
Tak1	run	2	6	0	0	0.5
cg	run	2	6	0	0	0.5
fw	run	2	6	0	0	0.5
tutl	run	2	6	0	0	0.5
bhr	run	2	6	0	0	0.5
ash2	run	2	6	0	0	0.5
mth	run	2	6	1e-04	0	0.5
numb	run	2	6	0	0	0.5
X14.3.3zeta	run	2	6	2e-04	0	0.5
Lis.1	run	2	6	1e-04	0	0.5
alpha.Spec	run	2	6	0	0	0.5
twf	run	2	6	0	0	0.5
Bap60	run	2	6	0	0	0.5
drk	run	2	6	1e-04	0	0.5
Nrx.IV	run	2	6	0	0	0.5
trn	run	2	6	0	0	0.5
chn	run	2	6	5e-04	0	0.5
RhoGAP68F	run	2	6	0	0	0.5
CycA	run	2	6	5e-04	0	0.5
LIMK1	run	2	6	0	0	0.5
Rca1	run	2	6	0	0	0.5
pelo	run	2	6	1e-04	0	0.5
CG32082	run	2	6	0	0	0.5
pyd	run	2	6	0.001	0	0.5
Mlc1	run	2	6	1e-04	0	0.5
meso18E	run	2	6	0	0	0.5
rdx	run	2	6	0	0	0.5
t	run	2	6	9e-04	0	0.5
alph	run	2	6	0.0011	0	0.5
elav	run	2	6	0	0	0.5
shg	run	2	6	0	0	0.5
shn	run	2	6	3e-04	0	0.5
th	run	2	6	1e-04	0	0.5
lmd	run	2	6	1e-04	0	0.5
enok	run	2	6	0	0	0.5
loco	run	2	6	3e-04	0	0.5
disco	run	2	6	0	0	0.5
Gtp.bp	run	2	6	1e-04	0	0.5
crol	run	2	6	0	0	0.5
Sema.1b	run	2	6	2e-04	0	0.5
dom	run	2	6	1e-04	0	0.5
Aph.4	run	2	6	1e-04	0	0.5
Hr78	run	2	6	0	0	0.5
kuz	run	2	6	0	0	0.5
mbo	run	2	6	0	0	0.5
par.6	run	2	6	3e-04	0	0.5
ast	run	2	6	3e-04	0	0.5
CG9769	run	2	6	0	0	0.5
