Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	sar1	2	6	0.0014	0	0.5
emp	sar1	2	6	2e-04	0	0.5
CG2678	sar1	2	6	8e-04	0	0.5
crc	sar1	2	6	0.013	0	0.5
pros	sar1	2	6	1e-04	0	0.5
neur	sar1	2	6	1e-04	0	0.5
Rab5	sar1	2	6	6e-04	0	0.5
Rab7	sar1	2	6	3e-04	0	0.5
Mmp2	sar1	2	6	1e-04	0	0.5
W	sar1	2	6	9e-04	0	0.5
bowl	sar1	2	6	0.0017	0	0.5
fd59A	sar1	2	6	1e-04	0	0.5
e	sar1	2	6	8e-04	0	0.5
ben	sar1	2	6	1e-04	0	0.5
rdo	sar1	2	6	6e-04	0	0.5
lin	sar1	2	6	1e-04	0	0.5
tra	sar1	2	6	1e-04	0	0.5
tra2	sar1	2	6	3e-04	0	0.5
cathD	sar1	2	6	0.0013	0	0.5
d	sar1	2	6	0.0017	0	0.5
lva	sar1	2	6	0.001	0	0.5
pbl	sar1	2	6	3e-04	0	0.5
CG33205	sar1	2	6	4e-04	0	0.5
da	sar1	2	6	9e-04	0	0.5
cactin	sar1	2	6	1e-04	0	0.5
hpo	sar1	2	6	1e-04	0	0.5
Sema.2a	sar1	2	6	0.0027	0	0.5
Eip74EF	sar1	2	6	8e-04	0	0.5
eg	sar1	2	6	8e-04	0	0.5
Arc42	sar1	2	6	2e-04	0	0.5
toy	sar1	2	6	0.002	0	0.5
Galpha73B	sar1	2	6	1e-04	0	0.5
RhoGAPp190	sar1	2	6	0.0011	0	0.5
MED11	sar1	2	6	4e-04	0	0.5
cher	sar1	2	6	8e-04	0	0.5
BicD	sar1	2	6	3e-04	0	0.5
MYPT.75D	sar1	2	6	4e-04	0	0.5
mus304	sar1	2	6	0.0038	0	0.5
CdsA	sar1	2	6	8e-04	0	0.5
btl	sar1	2	6	0.002	0	0.5
Cyt.c.d	sar1	2	6	2e-04	0	0.5
tok	sar1	2	6	4e-04	0	0.5
ttk	sar1	2	6	0.0011	0	0.5
tamo	sar1	2	6	3e-04	0	0.5
CG6416	sar1	2	6	1e-04	0	0.5
flfl	sar1	2	6	6e-04	0	0.5
Pvr	sar1	2	6	0.0021	0	0.5
kay	sar1	2	6	1e-04	0	0.5
Jra	sar1	2	6	0	0	0.5
msk	sar1	2	6	9e-04	0	0.5
tll	sar1	2	6	0	0	0.5
Tm1	sar1	2	6	6e-04	0	0.5
srp	sar1	2	6	3e-04	0	0.5
Btk29A	sar1	2	6	4e-04	0	0.5
fred	sar1	2	6	3e-04	0	0.5
Src64B	sar1	2	6	0.0012	0	0.5
Mmp1	sar1	2	6	0	0	0.5
sll	sar1	2	6	0.0025	0	0.5
Hmgs	sar1	2	6	5e-04	0	0.5
caps	sar1	2	6	0.0021	0	0.5
Su.var.2.10	sar1	2	6	5e-04	0	0.5
CycB	sar1	2	6	1e-04	0	0.5
spir	sar1	2	6	0.0012	0	0.5
spn.A	sar1	2	6	6e-04	0	0.5
Ptpmeg	sar1	2	6	6e-04	0	0.5
qua	sar1	2	6	5e-04	0	0.5
msn	sar1	2	6	6e-04	0	0.5
ena	sar1	2	6	3e-04	0	0.5
spen	sar1	2	6	4e-04	0	0.5
emc	sar1	2	6	4e-04	0	0.5
tsh	sar1	2	6	0.0019	0	0.5
Dat	sar1	2	6	3e-04	0	0.5
Lac	sar1	2	6	8e-04	0	0.5
dup	sar1	2	6	4e-04	0	0.5
CG3075	sar1	2	6	0.0016	0	0.5
Akap200	sar1	2	6	0.0015	0	0.5
CG18369	sar1	2	6	9e-04	0	0.5
bnl	sar1	2	6	0.0031	0	0.5
sec23	sar1	2	6	0.0013	0	0.5
Pde8	sar1	2	6	2e-04	0	0.5
Arp66B	sar1	2	6	5e-04	0	0.5
cos	sar1	2	6	2e-04	0	0.5
Borr	sar1	2	6	1e-04	0	0.5
X140up	sar1	2	6	4e-04	0	0.5
Dhc64C	sar1	2	6	8e-04	0	0.5
Not1	sar1	2	6	7e-04	0	0.5
CG9520	sar1	2	6	0.0011	0	0.5
bib	sar1	2	6	6e-04	0	0.5
mib1	sar1	2	6	0.0011	0	0.5
cas	sar1	2	6	0.0027	0	0.5
Abi	sar1	2	6	4e-04	0	0.5
betaTub56D	sar1	2	6	9e-04	0	0.5
nej	sar1	2	6	0.0127	0	0.5
dlg1	sar1	2	6	2e-04	0	0.5
Lcp65Ag1	sar1	2	6	4e-04	0	0.5
Es2	sar1	2	6	4e-04	0	0.5
MED24	sar1	2	6	6e-04	0	0.5
Vhl	sar1	2	6	1e-04	0	0.5
tral	sar1	2	6	0.0011	0	0.5
sns	sar1	2	6	5e-04	0	0.5
mbl	sar1	2	6	1e-04	0	0.5
sav	sar1	2	6	0.0012	0	0.5
lola	sar1	2	6	4e-04	0	0.5
robo	sar1	2	6	0.0012	0	0.5
CG32486	sar1	2	6	0.0017	0	0.5
santa.maria	sar1	2	6	0.003	0	0.5
stumps	sar1	2	6	0.002	0	0.5
abd.A	sar1	2	6	0.0018	0	0.5
dock	sar1	2	6	2e-04	0	0.5
Lar	sar1	2	6	1e-04	0	0.5
l.1.G0289	sar1	2	6	5e-04	0	0.5
Abl	sar1	2	6	7e-04	0	0.5
Syb	sar1	2	6	6e-04	0	0.5
dome	sar1	2	6	9e-04	0	0.5
ofs	sar1	2	6	4e-04	0	0.5
MED4	sar1	2	6	4e-04	0	0.5
scrib	sar1	2	6	3e-04	0	0.5
siz	sar1	2	6	0.0097	0	0.5
cbx	sar1	2	6	8e-04	0	0.5
dsx	sar1	2	6	0.002	0	0.5
Sb	sar1	2	6	0.0029	0	0.5
sax	sar1	2	6	8e-04	0	0.5
foxo	sar1	2	6	0	0	0.5
Cyp1	sar1	2	6	0.0021	0	0.5
brm	sar1	2	6	2e-04	0	0.5
rad50	sar1	2	6	0	0	0.5
chico	sar1	2	6	0.0038	0	0.5
cp309	sar1	2	6	7e-04	0	0.5
hdc	sar1	2	6	2e-04	0	0.5
Axn	sar1	2	6	7e-04	0	0.5
Apc2	sar1	2	6	4e-04	0	0.5
PhKgamma	sar1	2	6	3e-04	0	0.5
eya	sar1	2	6	5e-04	0	0.5
sktl	sar1	2	6	0.001	0	0.5
sqd	sar1	2	6	6e-04	0	0.5
Akt1	sar1	2	6	6e-04	0	0.5
scyl	sar1	2	6	0	0	0.5
cnk	sar1	2	6	0	0	0.5
CG8149	sar1	2	6	0.0034	0	0.5
CG34379	sar1	2	6	5e-04	0	0.5
Yp1	sar1	2	6	0.0011	0	0.5
yrt	sar1	2	6	0.0022	0	0.5
bap	sar1	2	6	0.0118	0	0.5
tud	sar1	2	6	4e-04	0	0.5
ct	sar1	2	6	1e-04	0	0.5
tup	sar1	2	6	0.0012	0	0.5
G.ialpha65A	sar1	2	6	6e-04	0	0.5
knrl	sar1	2	6	2e-04	0	0.5
Pkn	sar1	2	6	6e-04	0	0.5
Sry.delta	sar1	2	6	0	0	0.5
Alh	sar1	2	6	4e-04	0	0.5
pnut	sar1	2	6	0.0018	0	0.5
phyl	sar1	2	6	0.0022	0	0.5
CG17739	sar1	2	6	7e-04	0	0.5
B4	sar1	2	6	0.001	0	0.5
CG2681	sar1	2	6	6e-04	0	0.5
tow	sar1	2	6	2e-04	0	0.5
hkl	sar1	2	6	6e-04	0	0.5
sina	sar1	2	6	8e-04	0	0.5
ry	sar1	2	6	0	0	0.5
rux	sar1	2	6	4e-04	0	0.5
boss	sar1	2	6	0.0039	0	0.5
Mkp3	sar1	2	6	5e-04	0	0.5
inaC	sar1	2	6	7e-04	0	0.5
sno	sar1	2	6	6e-04	0	0.5
jagn	sar1	2	6	3e-04	0	0.5
dpn	sar1	2	6	2e-04	0	0.5
wrapper	sar1	2	6	0	0	0.5
Ca.alpha1D	sar1	2	6	9e-04	0	0.5
E2f	sar1	2	6	4e-04	0	0.5
Dp	sar1	2	6	4e-04	0	0.5
l.2.efl	sar1	2	6	8e-04	0	0.5
cnc	sar1	2	6	0.001	0	0.5
Atg5	sar1	2	6	0.0032	0	0.5
acj6	sar1	2	6	7e-04	0	0.5
Trl	sar1	2	6	4e-04	0	0.5
d4	sar1	2	6	3e-04	0	0.5
CG16719	sar1	2	6	0	0	0.5
CadN	sar1	2	6	4e-04	0	0.5
gro	sar1	2	6	0.0023	0	0.5
sec13	sar1	2	6	0	0	0.5
klar	sar1	2	6	5e-04	0	0.5
Rack1	sar1	2	6	2e-04	0	0.5
Sobp	sar1	2	6	9e-04	0	0.5
ash1	sar1	2	6	4e-04	0	0.5
inv	sar1	2	6	3e-04	0	0.5
