Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	sax	2	6	0	0	0.5
emp	sax	2	6	0	0	0.5
CG2678	sax	2	6	0	0	0.5
crc	sax	2	6	2e-04	0	0.5
pros	sax	2	6	0	0	0.5
neur	sax	2	6	0	0	0.5
Rab5	sax	2	6	2e-04	0	0.5
Rab7	sax	2	6	0	0	0.5
Mmp2	sax	2	6	0	0	0.5
W	sax	2	6	0	0	0.5
bowl	sax	2	6	0	0	0.5
fd59A	sax	2	6	4e-04	0	0.5
e	sax	2	6	3e-04	0	0.5
ben	sax	2	6	3e-04	0	0.5
rdo	sax	2	6	4e-04	0	0.5
lin	sax	2	6	0	0	0.5
tra	sax	2	6	0	0	0.5
tra2	sax	2	6	1e-04	0	0.5
cathD	sax	2	6	1e-04	0	0.5
d	sax	2	6	0	0	0.5
lva	sax	2	6	1e-04	0	0.5
pbl	sax	2	6	0	0	0.5
CG33205	sax	2	6	0.0011	0	0.5
da	sax	2	6	0	0	0.5
cactin	sax	2	6	2e-04	0	0.5
hpo	sax	2	6	0	0	0.5
Sema.2a	sax	2	6	0.9607	-0.99158	0.5
Eip74EF	sax	2	6	0	0	0.5
eg	sax	2	6	0	0	0.5
Arc42	sax	2	6	4e-04	0	0.5
toy	sax	2	6	1e-04	0	0.5
Galpha73B	sax	2	6	4e-04	0	0.5
RhoGAPp190	sax	2	6	0	0	0.5
MED11	sax	2	6	0	0	0.5
cher	sax	2	6	4e-04	0	0.5
BicD	sax	2	6	2e-04	0	0.5
MYPT.75D	sax	2	6	0	0	0.5
mus304	sax	2	6	0	0	0.5
CdsA	sax	2	6	0	0	0.5
btl	sax	2	6	1e-04	0	0.5
Cyt.c.d	sax	2	6	0	0	0.5
tok	sax	2	6	3e-04	0	0.5
ttk	sax	2	6	0	0	0.5
tamo	sax	2	6	0	0	0.5
CG6416	sax	2	6	5e-04	0	0.5
flfl	sax	2	6	3e-04	0	0.5
Pvr	sax	2	6	0	0	0.5
kay	sax	2	6	4e-04	0	0.5
Jra	sax	2	6	0	0	0.5
msk	sax	2	6	1e-04	0	0.5
tll	sax	2	6	0	0	0.5
Tm1	sax	2	6	8e-04	0	0.5
srp	sax	2	6	0.0011	0	0.5
Btk29A	sax	2	6	0.0012	0	0.5
fred	sax	2	6	2e-04	0	0.5
Src64B	sax	2	6	0	0	0.5
Mmp1	sax	2	6	0	0	0.5
sll	sax	2	6	0.0011	0	0.5
Hmgs	sax	2	6	0	0	0.5
caps	sax	2	6	2e-04	0	0.5
Su.var.2.10	sax	2	6	0	0	0.5
