Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	sbb	2	6	7e-04	0	0.5
emp	sbb	2	6	8e-04	0	0.5
CG2678	sbb	2	6	0.0022	0	0.5
crc	sbb	2	6	0.0058	0	0.5
pros	sbb	2	6	7e-04	0	0.5
neur	sbb	2	6	4e-04	0	0.5
Rab5	sbb	2	6	1e-04	0	0.5
Rab7	sbb	2	6	0.0014	0	0.5
Mmp2	sbb	2	6	2e-04	0	0.5
W	sbb	2	6	3e-04	0	0.5
bowl	sbb	2	6	0.0016	0	0.5
fd59A	sbb	2	6	0.0014	0	0.5
e	sbb	2	6	5e-04	0	0.5
ben	sbb	2	6	0	0	0.5
rdo	sbb	2	6	2e-04	0	0.5
lin	sbb	2	6	6e-04	0	0.5
tra	sbb	2	6	6e-04	0	0.5
tra2	sbb	2	6	0	0	0.5
cathD	sbb	2	6	0.0024	0	0.5
d	sbb	2	6	0	0	0.5
lva	sbb	2	6	8e-04	0	0.5
pbl	sbb	2	6	2e-04	0	0.5
CG33205	sbb	2	6	6e-04	0	0.5
da	sbb	2	6	0.0017	0	0.5
cactin	sbb	2	6	7e-04	0	0.5
hpo	sbb	2	6	4e-04	0	0.5
Sema.2a	sbb	2	6	4e-04	0	0.5
Eip74EF	sbb	2	6	5e-04	0	0.5
eg	sbb	2	6	0.0025	0	0.5
Arc42	sbb	2	6	5e-04	0	0.5
toy	sbb	2	6	0.001	0	0.5
Galpha73B	sbb	2	6	0.0032	0	0.5
RhoGAPp190	sbb	2	6	0.0045	0	0.5
MED11	sbb	2	6	0	0	0.5
cher	sbb	2	6	2e-04	0	0.5
BicD	sbb	2	6	8e-04	0	0.5
MYPT.75D	sbb	2	6	8e-04	0	0.5
mus304	sbb	2	6	0.0405	0	0.5
CdsA	sbb	2	6	6e-04	0	0.5
btl	sbb	2	6	5e-04	0	0.5
Cyt.c.d	sbb	2	6	8e-04	0	0.5
tok	sbb	2	6	0.0019	0	0.5
ttk	sbb	2	6	0.0011	0	0.5
tamo	sbb	2	6	0	0	0.5
CG6416	sbb	2	6	4e-04	0	0.5
flfl	sbb	2	6	6e-04	0	0.5
Pvr	sbb	2	6	0.0024	0	0.5
kay	sbb	2	6	6e-04	0	0.5
Jra	sbb	2	6	4e-04	0	0.5
msk	sbb	2	6	3e-04	0	0.5
tll	sbb	2	6	5e-04	0	0.5
Tm1	sbb	2	6	0.0014	0	0.5
srp	sbb	2	6	2e-04	0	0.5
Btk29A	sbb	2	6	0.001	0	0.5
fred	sbb	2	6	5e-04	0	0.5
Src64B	sbb	2	6	0.0017	0	0.5
Mmp1	sbb	2	6	0.0013	0	0.5
sll	sbb	2	6	7e-04	0	0.5
Hmgs	sbb	2	6	0.0018	0	0.5
caps	sbb	2	6	3e-04	0	0.5
Su.var.2.10	sbb	2	6	5e-04	0	0.5
CycB	sbb	2	6	0.001	0	0.5
spir	sbb	2	6	2e-04	0	0.5
spn.A	sbb	2	6	6e-04	0	0.5
Ptpmeg	sbb	2	6	2e-04	0	0.5
qua	sbb	2	6	8e-04	0	0.5
msn	sbb	2	6	5e-04	0	0.5
ena	sbb	2	6	3e-04	0	0.5
spen	sbb	2	6	0.0011	0	0.5
emc	sbb	2	6	3e-04	0	0.5
tsh	sbb	2	6	4e-04	0	0.5
Dat	sbb	2	6	0.001	0	0.5
Lac	sbb	2	6	3e-04	0	0.5
dup	sbb	2	6	9e-04	0	0.5
CG3075	sbb	2	6	2e-04	0	0.5
Akap200	sbb	2	6	5e-04	0	0.5
CG18369	sbb	2	6	0.0015	0	0.5
bnl	sbb	2	6	0.0013	0	0.5
sec23	sbb	2	6	0.0023	0	0.5
Pde8	sbb	2	6	2e-04	0	0.5
Arp66B	sbb	2	6	2e-04	0	0.5
cos	sbb	2	6	3e-04	0	0.5
Borr	sbb	2	6	2e-04	0	0.5
X140up	sbb	2	6	5e-04	0	0.5
Dhc64C	sbb	2	6	5e-04	0	0.5
Not1	sbb	2	6	0.0033	0	0.5
CG9520	sbb	2	6	0.0043	0	0.5
bib	sbb	2	6	0	0	0.5
mib1	sbb	2	6	1e-04	0	0.5
cas	sbb	2	6	0.0012	0	0.5
Abi	sbb	2	6	4e-04	0	0.5
betaTub56D	sbb	2	6	5e-04	0	0.5
nej	sbb	2	6	9e-04	0	0.5
dlg1	sbb	2	6	4e-04	0	0.5
Lcp65Ag1	sbb	2	6	8e-04	0	0.5
Es2	sbb	2	6	2e-04	0	0.5
MED24	sbb	2	6	0.0043	0	0.5
Vhl	sbb	2	6	8e-04	0	0.5
tral	sbb	2	6	0.0014	0	0.5
sns	sbb	2	6	1e-04	0	0.5
mbl	sbb	2	6	6e-04	0	0.5
sav	sbb	2	6	0.0012	0	0.5
lola	sbb	2	6	0.0021	0	0.5
robo	sbb	2	6	2e-04	0	0.5
CG32486	sbb	2	6	0.0022	0	0.5
santa.maria	sbb	2	6	0.001	0	0.5
stumps	sbb	2	6	9e-04	0	0.5
abd.A	sbb	2	6	8e-04	0	0.5
dock	sbb	2	6	2e-04	0	0.5
Lar	sbb	2	6	0.0012	0	0.5
l.1.G0289	sbb	2	6	4e-04	0	0.5
Abl	sbb	2	6	1e-04	0	0.5
Syb	sbb	2	6	2e-04	0	0.5
dome	sbb	2	6	5e-04	0	0.5
ofs	sbb	2	6	0.0049	0	0.5
MED4	sbb	2	6	8e-04	0	0.5
scrib	sbb	2	6	5e-04	0	0.5
siz	sbb	2	6	0	0	0.5
cbx	sbb	2	6	9e-04	0	0.5
dsx	sbb	2	6	4e-04	0	0.5
Sb	sbb	2	6	0	0	0.5
sax	sbb	2	6	5e-04	0	0.5
foxo	sbb	2	6	0.0015	0	0.5
Cyp1	sbb	2	6	0.0018	0	0.5
brm	sbb	2	6	3e-04	0	0.5
rad50	sbb	2	6	4e-04	0	0.5
chico	sbb	2	6	6e-04	0	0.5
cp309	sbb	2	6	0.0019	0	0.5
hdc	sbb	2	6	0	0	0.5
Axn	sbb	2	6	0.0016	0	0.5
Apc2	sbb	2	6	4e-04	0	0.5
PhKgamma	sbb	2	6	4e-04	0	0.5
eya	sbb	2	6	2e-04	0	0.5
