Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	scrib	2	6	0.0031	0	0.5
emp	scrib	2	6	7e-04	0	0.5
CG2678	scrib	2	6	0.0012	0	0.5
crc	scrib	2	6	4e-04	0	0.5
pros	scrib	2	6	8e-04	0	0.5
neur	scrib	2	6	5e-04	0	0.5
Rab5	scrib	2	6	0	0	0.5
Rab7	scrib	2	6	0.001	0	0.5
Mmp2	scrib	2	6	3e-04	0	0.5
W	scrib	2	6	5e-04	0	0.5
bowl	scrib	2	6	1e-04	0	0.5
fd59A	scrib	2	6	1e-04	0	0.5
e	scrib	2	6	0.0011	0	0.5
ben	scrib	2	6	0.0015	0	0.5
rdo	scrib	2	6	0.0012	0	0.5
lin	scrib	2	6	0.0032	0	0.5
tra	scrib	2	6	0.0011	0	0.5
tra2	scrib	2	6	5e-04	0	0.5
cathD	scrib	2	6	7e-04	0	0.5
d	scrib	2	6	3e-04	0	0.5
lva	scrib	2	6	7e-04	0	0.5
pbl	scrib	2	6	0.0023	0	0.5
CG33205	scrib	2	6	6e-04	0	0.5
da	scrib	2	6	0.0024	0	0.5
cactin	scrib	2	6	0.0011	0	0.5
hpo	scrib	2	6	4e-04	0	0.5
Sema.2a	scrib	2	6	8e-04	0	0.5
Eip74EF	scrib	2	6	8e-04	0	0.5
eg	scrib	2	6	9e-04	0	0.5
Arc42	scrib	2	6	1e-04	0	0.5
toy	scrib	2	6	4e-04	0	0.5
Galpha73B	scrib	2	6	0.0013	0	0.5
RhoGAPp190	scrib	2	6	0.001	0	0.5
MED11	scrib	2	6	6e-04	0	0.5
cher	scrib	2	6	0.0015	0	0.5
BicD	scrib	2	6	6e-04	0	0.5
MYPT.75D	scrib	2	6	6e-04	0	0.5
mus304	scrib	2	6	9e-04	0	0.5
CdsA	scrib	2	6	3e-04	0	0.5
btl	scrib	2	6	1e-04	0	0.5
Cyt.c.d	scrib	2	6	0.001	0	0.5
tok	scrib	2	6	0.0023	0	0.5
ttk	scrib	2	6	6e-04	0	0.5
tamo	scrib	2	6	8e-04	0	0.5
CG6416	scrib	2	6	0.001	0	0.5
flfl	scrib	2	6	0.0014	0	0.5
Pvr	scrib	2	6	0.0041	0	0.5
kay	scrib	2	6	4e-04	0	0.5
Jra	scrib	2	6	1e-04	0	0.5
msk	scrib	2	6	8e-04	0	0.5
tll	scrib	2	6	2e-04	0	0.5
Tm1	scrib	2	6	2e-04	0	0.5
srp	scrib	2	6	0.001	0	0.5
Btk29A	scrib	2	6	0.0034	0	0.5
fred	scrib	2	6	1e-04	0	0.5
Src64B	scrib	2	6	7e-04	0	0.5
Mmp1	scrib	2	6	0.0015	0	0.5
sll	scrib	2	6	0	0	0.5
Hmgs	scrib	2	6	3e-04	0	0.5
caps	scrib	2	6	0	0	0.5
Su.var.2.10	scrib	2	6	5e-04	0	0.5
CycB	scrib	2	6	0.0018	0	0.5
spir	scrib	2	6	0.0045	0	0.5
spn.A	scrib	2	6	0.0016	0	0.5
Ptpmeg	scrib	2	6	0.001	0	0.5
qua	scrib	2	6	5e-04	0	0.5
msn	scrib	2	6	0.0021	0	0.5
ena	scrib	2	6	8e-04	0	0.5
spen	scrib	2	6	5e-04	0	0.5
emc	scrib	2	6	5e-04	0	0.5
tsh	scrib	2	6	6e-04	0	0.5
Dat	scrib	2	6	6e-04	0	0.5
Lac	scrib	2	6	3e-04	0	0.5
dup	scrib	2	6	0.0013	0	0.5
CG3075	scrib	2	6	0.0078	0	0.5
Akap200	scrib	2	6	3e-04	0	0.5
CG18369	scrib	2	6	0.0049	0	0.5
bnl	scrib	2	6	2e-04	0	0.5
sec23	scrib	2	6	8e-04	0	0.5
Pde8	scrib	2	6	3e-04	0	0.5
Arp66B	scrib	2	6	0.0011	0	0.5
cos	scrib	2	6	1e-04	0	0.5
Borr	scrib	2	6	6e-04	0	0.5
X140up	scrib	2	6	5e-04	0	0.5
Dhc64C	scrib	2	6	2e-04	0	0.5
Not1	scrib	2	6	0.0104	0	0.5
CG9520	scrib	2	6	0.0011	0	0.5
bib	scrib	2	6	8e-04	0	0.5
mib1	scrib	2	6	2e-04	0	0.5
cas	scrib	2	6	8e-04	0	0.5
Abi	scrib	2	6	4e-04	0	0.5
betaTub56D	scrib	2	6	5e-04	0	0.5
nej	scrib	2	6	3e-04	0	0.5
dlg1	scrib	2	6	0.0014	0	0.5
Lcp65Ag1	scrib	2	6	2e-04	0	0.5
Es2	scrib	2	6	0.0016	0	0.5
MED24	scrib	2	6	0.0011	0	0.5
Vhl	scrib	2	6	0.0019	0	0.5
tral	scrib	2	6	1e-04	0	0.5
sns	scrib	2	6	1e-04	0	0.5
mbl	scrib	2	6	0.0019	0	0.5
sav	scrib	2	6	0	0	0.5
lola	scrib	2	6	0.0011	0	0.5
robo	scrib	2	6	6e-04	0	0.5
CG32486	scrib	2	6	6e-04	0	0.5
santa.maria	scrib	2	6	0	0	0.5
stumps	scrib	2	6	1e-04	0	0.5
abd.A	scrib	2	6	0.0013	0	0.5
dock	scrib	2	6	0.0034	0	0.5
Lar	scrib	2	6	1e-04	0	0.5
l.1.G0289	scrib	2	6	7e-04	0	0.5
Abl	scrib	2	6	8e-04	0	0.5
Syb	scrib	2	6	4e-04	0	0.5
dome	scrib	2	6	0	0	0.5
ofs	scrib	2	6	0.001	0	0.5
MED4	scrib	2	6	7e-04	0	0.5
scrib	scrib	2	6	9e-04	0	0.5
siz	scrib	2	6	4e-04	0	0.5
cbx	scrib	2	6	5e-04	0	0.5
dsx	scrib	2	6	0.0016	0	0.5
Sb	scrib	2	6	0.0014	0	0.5
sax	scrib	2	6	0	0	0.5
foxo	scrib	2	6	6e-04	0	0.5
Cyp1	scrib	2	6	1e-04	0	0.5
brm	scrib	2	6	6e-04	0	0.5
rad50	scrib	2	6	6e-04	0	0.5
chico	scrib	2	6	6e-04	0	0.5
cp309	scrib	2	6	1e-04	0	0.5
hdc	scrib	2	6	9e-04	0	0.5
Axn	scrib	2	6	0.0037	0	0.5
Apc2	scrib	2	6	2e-04	0	0.5
PhKgamma	scrib	2	6	4e-04	0	0.5
eya	scrib	2	6	6e-04	0	0.5
sktl	scrib	2	6	0	0	0.5
sqd	scrib	2	6	5e-04	0	0.5
Akt1	scrib	2	6	9e-04	0	0.5
scyl	scrib	2	6	0.0011	0	0.5
cnk	scrib	2	6	0.007	0	0.5
CG8149	scrib	2	6	6e-04	0	0.5
CG34379	scrib	2	6	9e-04	0	0.5
Yp1	scrib	2	6	0.0015	0	0.5
yrt	scrib	2	6	4e-04	0	0.5
bap	scrib	2	6	6e-04	0	0.5
tud	scrib	2	6	1e-04	0	0.5
ct	scrib	2	6	0.0012	0	0.5
tup	scrib	2	6	2e-04	0	0.5
G.ialpha65A	scrib	2	6	4e-04	0	0.5
knrl	scrib	2	6	6e-04	0	0.5
Pkn	scrib	2	6	1e-04	0	0.5
Sry.delta	scrib	2	6	4e-04	0	0.5
Alh	scrib	2	6	0.0082	0	0.5
pnut	scrib	2	6	4e-04	0	0.5
phyl	scrib	2	6	1e-04	0	0.5
CG17739	scrib	2	6	4e-04	0	0.5
B4	scrib	2	6	0.0014	0	0.5
CG2681	scrib	2	6	0.0011	0	0.5
tow	scrib	2	6	4e-04	0	0.5
hkl	scrib	2	6	1e-04	0	0.5
sina	scrib	2	6	2e-04	0	0.5
ry	scrib	2	6	5e-04	0	0.5
rux	scrib	2	6	4e-04	0	0.5
boss	scrib	2	6	8e-04	0	0.5
Mkp3	scrib	2	6	2e-04	0	0.5
inaC	scrib	2	6	3e-04	0	0.5
sno	scrib	2	6	2e-04	0	0.5
jagn	scrib	2	6	9e-04	0	0.5
dpn	scrib	2	6	8e-04	0	0.5
wrapper	scrib	2	6	6e-04	0	0.5
Ca.alpha1D	scrib	2	6	1e-04	0	0.5
E2f	scrib	2	6	0.0032	0	0.5
Dp	scrib	2	6	2e-04	0	0.5
l.2.efl	scrib	2	6	1e-04	0	0.5
cnc	scrib	2	6	6e-04	0	0.5
Atg5	scrib	2	6	0.0039	0	0.5
acj6	scrib	2	6	3e-04	0	0.5
Trl	scrib	2	6	0.001	0	0.5
d4	scrib	2	6	7e-04	0	0.5
CG16719	scrib	2	6	8e-04	0	0.5
CadN	scrib	2	6	6e-04	0	0.5
gro	scrib	2	6	0.0011	0	0.5
sec13	scrib	2	6	9e-04	0	0.5
klar	scrib	2	6	9e-04	0	0.5
Rack1	scrib	2	6	4e-04	0	0.5
Sobp	scrib	2	6	5e-04	0	0.5
ash1	scrib	2	6	0.0015	0	0.5
inv	scrib	2	6	0.0014	0	0.5
shot	scrib	2	6	2e-04	0	0.5
Oseg1	scrib	2	6	2e-04	0	0.5
Spred	scrib	2	6	9e-04	0	0.5
puc	scrib	2	6	0.0011	0	0.5
Atg6	scrib	2	6	0	0	0.5
CG3829	scrib	2	6	0.0015	0	0.5
sle	scrib	2	6	1e-04	0	0.5
Cka	scrib	2	6	0.007	0	0.5
form3	scrib	2	6	0.0013	0	0.5
Pk61C	scrib	2	6	0.0013	0	0.5
Pcaf	scrib	2	6	5e-04	0	0.5
sbb	scrib	2	6	0.0015	0	0.5
Ef1gamma	scrib	2	6	0.0013	0	0.5
FKBP59	scrib	2	6	0.0014	0	0.5
Eip71CD	scrib	2	6	0	0	0.5
xmas.2	scrib	2	6	0.0122	0	0.5
ppan	scrib	2	6	2e-04	0	0.5
Iswi	scrib	2	6	0.001	0	0.5
ine	scrib	2	6	6e-04	0	0.5
Tina.1	scrib	2	6	0.0012	0	0.5
bon	scrib	2	6	0.0033	0	0.5
pot	scrib	2	6	0.0019	0	0.5
chic	scrib	2	6	0	0	0.5
Hem	scrib	2	6	1e-04	0	0.5
chif	scrib	2	6	1e-04	0	0.5
S6kII	scrib	2	6	2e-04	0	0.5
wal	scrib	2	6	8e-04	0	0.5
wls	scrib	2	6	0.0017	0	0.5
Ddx1	scrib	2	6	0.001	0	0.5
Sulf1	scrib	2	6	9e-04	0	0.5
CG3987	scrib	2	6	3e-04	0	0.5
Abd.B	scrib	2	6	9e-04	0	0.5
Uba1	scrib	2	6	0.0013	0	0.5
bigmax	scrib	2	6	3e-04	0	0.5
NAT1	scrib	2	6	0.0011	0	0.5
wupA	scrib	2	6	7e-04	0	0.5
Vps28	scrib	2	6	6e-04	0	0.5
G.oalpha47A	scrib	2	6	0.0013	0	0.5
G.salpha60A	scrib	2	6	2e-04	0	0.5
dsf	scrib	2	6	0.0012	0	0.5
Khc	scrib	2	6	5e-04	0	0.5
CG10641	scrib	2	6	6e-04	0	0.5
Alk	scrib	2	6	0.0013	0	0.5
ey	scrib	2	6	5e-04	0	0.5
noc	scrib	2	6	4e-04	0	0.5
ix	scrib	2	6	8e-04	0	0.5
Optix	scrib	2	6	7e-04	0	0.5
sdt	scrib	2	6	0.0018	0	0.5
Sxl	scrib	2	6	3e-04	0	0.5
rib	scrib	2	6	9e-04	0	0.5
sas	scrib	2	6	1e-04	0	0.5
Scgdelta	scrib	2	6	1e-04	0	0.5
sw	scrib	2	6	0.0011	0	0.5
fal	scrib	2	6	4e-04	0	0.5
ea	scrib	2	6	6e-04	0	0.5
Ice	scrib	2	6	3e-04	0	0.5
cic	scrib	2	6	0.0019	0	0.5
Dok	scrib	2	6	0.0015	0	0.5
rhea	scrib	2	6	9e-04	0	0.5
Glycogenin	scrib	2	6	0.001	0	0.5
cin	scrib	2	6	0.0023	0	0.5
chp	scrib	2	6	0.0012	0	0.5
Dlic2	scrib	2	6	4e-04	0	0.5
Pk92B	scrib	2	6	0	0	0.5
Pak	scrib	2	6	7e-04	0	0.5
Lim1	scrib	2	6	0.0016	0	0.5
CG34450	scrib	2	6	8e-04	0	0.5
Su.H.	scrib	2	6	0.0018	0	0.5
CG12301	scrib	2	6	2e-04	0	0.5
lilli	scrib	2	6	5e-04	0	0.5
toe	scrib	2	6	0.0019	0	0.5
qkr58E.3	scrib	2	6	0.001	0	0.5
up	scrib	2	6	0.0025	0	0.5
hep	scrib	2	6	6e-04	0	0.5
Dap160	scrib	2	6	7e-04	0	0.5
l.2.gd1	scrib	2	6	0.0017	0	0.5
hkb	scrib	2	6	0	0	0.5
beta4GalNAcTA	scrib	2	6	0.0011	0	0.5
Mer	scrib	2	6	0.0059	0	0.5
Mtl	scrib	2	6	6e-04	0	0.5
spin	scrib	2	6	6e-04	0	0.5
mfas	scrib	2	6	0.0011	0	0.5
frc	scrib	2	6	3e-04	0	0.5
Krn	scrib	2	6	8e-04	0	0.5
mam	scrib	2	6	1e-04	0	0.5
brk	scrib	2	6	4e-04	0	0.5
Ark	scrib	2	6	4e-04	0	0.5
mmy	scrib	2	6	2e-04	0	0.5
mri	scrib	2	6	0.0031	0	0.5
Crk	scrib	2	6	4e-04	0	0.5
ssh	scrib	2	6	0.0028	0	0.5
fs.1.K10	scrib	2	6	3e-04	0	0.5
Psn	scrib	2	6	7e-04	0	0.5
CG9509	scrib	2	6	8e-04	0	0.5
CkIIalpha	scrib	2	6	1e-04	0	0.5
car	scrib	2	6	0.0021	0	0.5
capu	scrib	2	6	7e-04	0	0.5
cact	scrib	2	6	0.0018	0	0.5
Patj	scrib	2	6	8e-04	0	0.5
dpp	scrib	2	6	9e-04	0	0.5
xl6	scrib	2	6	6e-04	0	0.5
dally	scrib	2	6	1e-04	0	0.5
Pi3K92E	scrib	2	6	3e-04	0	0.5
E.bx.	scrib	2	6	0.0026	0	0.5
emb	scrib	2	6	1e-04	0	0.5
CtBP	scrib	2	6	6e-04	0	0.5
Dad	scrib	2	6	8e-04	0	0.5
amx	scrib	2	6	4e-04	0	0.5
Ank2	scrib	2	6	7e-04	0	0.5
CG34417	scrib	2	6	0.0024	0	0.5
scra	scrib	2	6	0	0	0.5
dsd	scrib	2	6	0	0	0.5
Ephrin	scrib	2	6	2e-04	0	0.5
Appl	scrib	2	6	5e-04	0	0.5
sty	scrib	2	6	3e-04	0	0.5
RhoL	scrib	2	6	0.0018	0	0.5
twi	scrib	2	6	0.0015	0	0.5
tub	scrib	2	6	0.0013	0	0.5
ftz.f1	scrib	2	6	4e-04	0	0.5
wg	scrib	2	6	1e-04	0	0.5
LanB1	scrib	2	6	4e-04	0	0.5
LanA	scrib	2	6	7e-04	0	0.5
LanB2	scrib	2	6	0	0	0.5
Chi	scrib	2	6	3e-04	0	0.5
nmo	scrib	2	6	0.0012	0	0.5
ics	scrib	2	6	0.0019	0	0.5
oaf	scrib	2	6	6e-04	0	0.5
dco	scrib	2	6	0	0	0.5
Dys	scrib	2	6	0.0011	0	0.5
drm	scrib	2	6	0.0012	0	0.5
RpL30	scrib	2	6	5e-04	0	0.5
how	scrib	2	6	0.0018	0	0.5
dei	scrib	2	6	0.0042	0	0.5
CG1244	scrib	2	6	1e-04	0	0.5
Chc	scrib	2	6	0.0012	0	0.5
Orct	scrib	2	6	0.002	0	0.5
sgl	scrib	2	6	1e-04	0	0.5
CG17221	scrib	2	6	7e-04	0	0.5
gkt	scrib	2	6	0.0016	0	0.5
by	scrib	2	6	3e-04	0	0.5
Pka.C3	scrib	2	6	3e-04	0	0.5
vlc	scrib	2	6	7e-04	0	0.5
fl.2.d	scrib	2	6	2e-04	0	0.5
Nf1	scrib	2	6	6e-04	0	0.5
CG6372	scrib	2	6	7e-04	0	0.5
Rho1	scrib	2	6	0.0012	0	0.5
kuk	scrib	2	6	5e-04	0	0.5
l.2.gl	scrib	2	6	0.001	0	0.5
Ald	scrib	2	6	0.0019	0	0.5
jumu	scrib	2	6	0.0043	0	0.5
glu	scrib	2	6	0.0024	0	0.5
fs.2.ltoPP43	scrib	2	6	0.0012	0	0.5
CycE	scrib	2	6	8e-04	0	0.5
CG8247	scrib	2	6	8e-04	0	0.5
CSN4	scrib	2	6	0.0014	0	0.5
X18w	scrib	2	6	0.001	0	0.5
bs	scrib	2	6	3e-04	0	0.5
Nrt	scrib	2	6	1e-04	0	0.5
mask	scrib	2	6	7e-04	0	0.5
gl	scrib	2	6	3e-04	0	0.5
Cp1	scrib	2	6	0	0	0.5
ex	scrib	2	6	4e-04	0	0.5
jing	scrib	2	6	0.0015	0	0.5
shrb	scrib	2	6	3e-04	0	0.5
raw	scrib	2	6	0.0037	0	0.5
CG9445	scrib	2	6	0.003	0	0.5
gbb	scrib	2	6	0	0	0.5
Hs2st	scrib	2	6	9e-04	0	0.5
sls	scrib	2	6	9e-04	0	0.5
kis	scrib	2	6	0.0033	0	0.5
run	scrib	2	6	8e-04	0	0.5
pnr	scrib	2	6	1e-04	0	0.5
pn	scrib	2	6	0.0011	0	0.5
pnt	scrib	2	6	3e-04	0	0.5
Fmr1	scrib	2	6	8e-04	0	0.5
Myo31DF	scrib	2	6	0.0014	0	0.5
ALiX	scrib	2	6	2e-04	0	0.5
sgg	scrib	2	6	2e-04	0	0.5
mbt	scrib	2	6	8e-04	0	0.5
Sin3A	scrib	2	6	8e-04	0	0.5
dnc	scrib	2	6	1e-04	0	0.5
morgue	scrib	2	6	3e-04	0	0.5
Set2	scrib	2	6	0.0014	0	0.5
exu	scrib	2	6	3e-04	0	0.5
odd	scrib	2	6	1e-04	0	0.5
esc	scrib	2	6	4e-04	0	0.5
dah	scrib	2	6	0.0072	0	0.5
Taf4	scrib	2	6	0.0012	0	0.5
Jafrac2	scrib	2	6	8e-04	0	0.5
Fas3	scrib	2	6	0.0014	0	0.5
wus	scrib	2	6	4e-04	0	0.5
Wnt5	scrib	2	6	3e-04	0	0.5
sprt	scrib	2	6	1e-04	0	0.5
jar	scrib	2	6	5e-04	0	0.5
v	scrib	2	6	4e-04	0	0.5
Snap	scrib	2	6	0.0012	0	0.5
vap	scrib	2	6	0.0012	0	0.5
Src42A	scrib	2	6	9e-04	0	0.5
esg	scrib	2	6	2e-04	0	0.5
zfh1	scrib	2	6	0.0043	0	0.5
alien	scrib	2	6	1e-04	0	0.5
peb	scrib	2	6	0.002	0	0.5
par.1	scrib	2	6	9e-04	0	0.5
hyd	scrib	2	6	2e-04	0	0.5
trc	scrib	2	6	6e-04	0	0.5
Eip63E	scrib	2	6	0.0012	0	0.5
ird5	scrib	2	6	0.0029	0	0.5
bl	scrib	2	6	0	0	0.5
Syx1A	scrib	2	6	4e-04	0	0.5
drl	scrib	2	6	0.0018	0	0.5
rg	scrib	2	6	4e-04	0	0.5
apt	scrib	2	6	9e-04	0	0.5
svr	scrib	2	6	8e-04	0	0.5
sar1	scrib	2	6	0.0021	0	0.5
Tab2	scrib	2	6	0.0011	0	0.5
zfh2	scrib	2	6	0	0	0.5
dj	scrib	2	6	6e-04	0	0.5
tum	scrib	2	6	8e-04	0	0.5
yellow.f	scrib	2	6	0.0013	0	0.5
p53	scrib	2	6	3e-04	0	0.5
ImpE3	scrib	2	6	5e-04	0	0.5
cbt	scrib	2	6	0.0012	0	0.5
dl	scrib	2	6	5e-04	0	0.5
Dl	scrib	2	6	0.001	0	0.5
Sur	scrib	2	6	2e-04	0	0.5
Rpd3	scrib	2	6	8e-04	0	0.5
CG4945	scrib	2	6	0.0026	0	0.5
eve	scrib	2	6	1e-04	0	0.5
Stat92E	scrib	2	6	4e-04	0	0.5
ken	scrib	2	6	7e-04	0	0.5
dpld	scrib	2	6	0.0025	0	0.5
CG1942	scrib	2	6	0.0014	0	0.5
Dcp.1	scrib	2	6	0.0012	0	0.5
