Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	scyl	2	4	0	0	0.5
emp	scyl	2	4	1e-04	0	0.5
CG2678	scyl	2	4	7e-04	0	0.5
crc	scyl	2	4	0	0	0.5
pros	scyl	2	4	0	0	0.5
neur	scyl	2	4	0	0	0.5
Rab5	scyl	2	4	0	0	0.5
Rab7	scyl	2	4	0	0	0.5
Mmp2	scyl	2	4	0	0	0.5
W	scyl	2	4	0	0	0.5
bowl	scyl	2	4	0	0	0.5
fd59A	scyl	2	4	6e-04	0	0.5
e	scyl	2	4	0	0	0.5
ben	scyl	2	4	0	0	0.5
rdo	scyl	2	4	0	0	0.5
lin	scyl	2	4	0	0	0.5
tra	scyl	2	4	0	0	0.5
tra2	scyl	2	4	0	0	0.5
cathD	scyl	2	4	0	0	0.5
d	scyl	2	4	0	0	0.5
lva	scyl	2	4	0	0	0.5
pbl	scyl	2	4	0	0	0.5
CG33205	scyl	2	4	0	0	0.5
da	scyl	2	4	0	0	0.5
cactin	scyl	2	4	0	0	0.5
hpo	scyl	2	4	8e-04	0	0.5
Sema.2a	scyl	2	4	4e-04	0	0.5
Eip74EF	scyl	2	4	0	0	0.5
eg	scyl	2	4	0	0	0.5
Arc42	scyl	2	4	0	0	0.5
toy	scyl	2	4	0	0	0.5
Galpha73B	scyl	2	4	0	0	0.5
RhoGAPp190	scyl	2	4	0.0011	0	0.5
MED11	scyl	2	4	0	0	0.5
cher	scyl	2	4	2e-04	0	0.5
BicD	scyl	2	4	0	0	0.5
MYPT.75D	scyl	2	4	0	0	0.5
mus304	scyl	2	4	0	0	0.5
CdsA	scyl	2	4	0	0	0.5
btl	scyl	2	4	0	0	0.5
Cyt.c.d	scyl	2	4	0	0	0.5
tok	scyl	2	4	0	0	0.5
ttk	scyl	2	4	1e-04	0	0.5
tamo	scyl	2	4	0	0	0.5
CG6416	scyl	2	4	4e-04	0	0.5
flfl	scyl	2	4	0	0	0.5
Pvr	scyl	2	4	0	0	0.5
kay	scyl	2	4	0	0	0.5
Jra	scyl	2	4	1e-04	0	0.5
msk	scyl	2	4	0	0	0.5
tll	scyl	2	4	1e-04	0	0.5
Tm1	scyl	2	4	0	0	0.5
srp	scyl	2	4	2e-04	0	0.5
Btk29A	scyl	2	4	0	0	0.5
fred	scyl	2	4	0	0	0.5
Src64B	scyl	2	4	1e-04	0	0.5
Mmp1	scyl	2	4	2e-04	0	0.5
sll	scyl	2	4	0	0	0.5
Hmgs	scyl	2	4	0	0	0.5
caps	scyl	2	4	1e-04	0	0.5
Su.var.2.10	scyl	2	4	0	0	0.5
CycB	scyl	2	4	0	0	0.5
spir	scyl	2	4	9e-04	0	0.5
spn.A	scyl	2	4	1e-04	0	0.5
Ptpmeg	scyl	2	4	4e-04	0	0.5
qua	scyl	2	4	0	0	0.5
msn	scyl	2	4	0	0	0.5
ena	scyl	2	4	1e-04	0	0.5
spen	scyl	2	4	0	0	0.5
emc	scyl	2	4	0	0	0.5
tsh	scyl	2	4	1e-04	0	0.5
Dat	scyl	2	4	0	0	0.5
Lac	scyl	2	4	0	0	0.5
dup	scyl	2	4	0	0	0.5
CG3075	scyl	2	4	0	0	0.5
Akap200	scyl	2	4	0	0	0.5
CG18369	scyl	2	4	0	0	0.5
bnl	scyl	2	4	0	0	0.5
sec23	scyl	2	4	6e-04	0	0.5
Pde8	scyl	2	4	0	0	0.5
Arp66B	scyl	2	4	0	0	0.5
cos	scyl	2	4	0	0	0.5
Borr	scyl	2	4	0	0	0.5
X140up	scyl	2	4	0	0	0.5
Dhc64C	scyl	2	4	0	0	0.5
Not1	scyl	2	4	1e-04	0	0.5
CG9520	scyl	2	4	0	0	0.5
bib	scyl	2	4	0	0	0.5
mib1	scyl	2	4	0	0	0.5
cas	scyl	2	4	0	0	0.5
Abi	scyl	2	4	0	0	0.5
betaTub56D	scyl	2	4	0	0	0.5
nej	scyl	2	4	0	0	0.5
dlg1	scyl	2	4	0	0	0.5
Lcp65Ag1	scyl	2	4	0	0	0.5
Es2	scyl	2	4	0	0	0.5
MED24	scyl	2	4	0	0	0.5
Vhl	scyl	2	4	0	0	0.5
tral	scyl	2	4	0	0	0.5
sns	scyl	2	4	1e-04	0	0.5
mbl	scyl	2	4	0	0	0.5
sav	scyl	2	4	0	0	0.5
lola	scyl	2	4	0	0	0.5
robo	scyl	2	4	3e-04	0	0.5
CG32486	scyl	2	4	0	0	0.5
santa.maria	scyl	2	4	0.0012	0	0.5
stumps	scyl	2	4	0	0	0.5
abd.A	scyl	2	4	0	0	0.5
dock	scyl	2	4	0	0	0.5
Lar	scyl	2	4	0	0	0.5
l.1.G0289	scyl	2	4	0	0	0.5
Abl	scyl	2	4	0	0	0.5
Syb	scyl	2	4	0	0	0.5
dome	scyl	2	4	0	0	0.5
ofs	scyl	2	4	0	0	0.5
MED4	scyl	2	4	0	0	0.5
scrib	scyl	2	4	0	0	0.5
siz	scyl	2	4	0	0	0.5
cbx	scyl	2	4	0	0	0.5
dsx	scyl	2	4	0	0	0.5
Sb	scyl	2	4	0	0	0.5
sax	scyl	2	4	0	0	0.5
foxo	scyl	2	4	4e-04	0	0.5
Cyp1	scyl	2	4	0	0	0.5
brm	scyl	2	4	0	0	0.5
rad50	scyl	2	4	0	0	0.5
chico	scyl	2	4	2e-04	0	0.5
cp309	scyl	2	4	1e-04	0	0.5
hdc	scyl	2	4	0	0	0.5
Axn	scyl	2	4	6e-04	0	0.5
Apc2	scyl	2	4	0	0	0.5
PhKgamma	scyl	2	4	2e-04	0	0.5
eya	scyl	2	4	0	0	0.5
sktl	scyl	2	4	0	0	0.5
sqd	scyl	2	4	0	0	0.5
Akt1	scyl	2	4	0	0	0.5
scyl	scyl	2	4	0	0	0.5
cnk	scyl	2	4	0	0	0.5
CG8149	scyl	2	4	3e-04	0	0.5
CG34379	scyl	2	4	0	0	0.5
Yp1	scyl	2	4	0	0	0.5
yrt	scyl	2	4	0.0015	0	0.5
bap	scyl	2	4	1e-04	0	0.5
tud	scyl	2	4	0	0	0.5
ct	scyl	2	4	0	0	0.5
tup	scyl	2	4	0	0	0.5
G.ialpha65A	scyl	2	4	0	0	0.5
knrl	scyl	2	4	5e-04	0	0.5
Pkn	scyl	2	4	0	0	0.5
Sry.delta	scyl	2	4	0	0	0.5
Alh	scyl	2	4	0	0	0.5
pnut	scyl	2	4	0	0	0.5
phyl	scyl	2	4	0	0	0.5
CG17739	scyl	2	4	1e-04	0	0.5
B4	scyl	2	4	0	0	0.5
CG2681	scyl	2	4	0	0	0.5
tow	scyl	2	4	0	0	0.5
hkl	scyl	2	4	0	0	0.5
sina	scyl	2	4	2e-04	0	0.5
ry	scyl	2	4	0	0	0.5
rux	scyl	2	4	0	0	0.5
boss	scyl	2	4	0	0	0.5
Mkp3	scyl	2	4	0	0	0.5
inaC	scyl	2	4	0	0	0.5
sno	scyl	2	4	3e-04	0	0.5
jagn	scyl	2	4	0	0	0.5
dpn	scyl	2	4	0	0	0.5
wrapper	scyl	2	4	0	0	0.5
Ca.alpha1D	scyl	2	4	3e-04	0	0.5
E2f	scyl	2	4	0	0	0.5
Dp	scyl	2	4	0	0	0.5
l.2.efl	scyl	2	4	0	0	0.5
cnc	scyl	2	4	1e-04	0	0.5
Atg5	scyl	2	4	9e-04	0	0.5
acj6	scyl	2	4	0	0	0.5
Trl	scyl	2	4	4e-04	0	0.5
d4	scyl	2	4	0	0	0.5
CG16719	scyl	2	4	0	0	0.5
CadN	scyl	2	4	0	0	0.5
gro	scyl	2	4	0	0	0.5
sec13	scyl	2	4	0	0	0.5
klar	scyl	2	4	0	0	0.5
Rack1	scyl	2	4	0	0	0.5
Sobp	scyl	2	4	0	0	0.5
ash1	scyl	2	4	0	0	0.5
inv	scyl	2	4	0	0	0.5
shot	scyl	2	4	0	0	0.5
Oseg1	scyl	2	4	3e-04	0	0.5
Spred	scyl	2	4	0	0	0.5
puc	scyl	2	4	4e-04	0	0.5
Atg6	scyl	2	4	0	0	0.5
CG3829	scyl	2	4	0	0	0.5
sle	scyl	2	4	0	0	0.5
Cka	scyl	2	4	3e-04	0	0.5
form3	scyl	2	4	0	0	0.5
Pk61C	scyl	2	4	0	0	0.5
Pcaf	scyl	2	4	0	0	0.5
sbb	scyl	2	4	0	0	0.5
Ef1gamma	scyl	2	4	0	0	0.5
FKBP59	scyl	2	4	0	0	0.5
Eip71CD	scyl	2	4	2e-04	0	0.5
xmas.2	scyl	2	4	5e-04	0	0.5
ppan	scyl	2	4	0	0	0.5
Iswi	scyl	2	4	0	0	0.5
ine	scyl	2	4	6e-04	0	0.5
Tina.1	scyl	2	4	0	0	0.5
bon	scyl	2	4	5e-04	0	0.5
pot	scyl	2	4	0	0	0.5
chic	scyl	2	4	0	0	0.5
Hem	scyl	2	4	0	0	0.5
chif	scyl	2	4	0	0	0.5
S6kII	scyl	2	4	1	0.99886	0.5
wal	scyl	2	4	4e-04	0	0.5
wls	scyl	2	4	0	0	0.5
Ddx1	scyl	2	4	0	0	0.5
Sulf1	scyl	2	4	0	0	0.5
CG3987	scyl	2	4	0	0	0.5
Abd.B	scyl	2	4	0	0	0.5
Uba1	scyl	2	4	3e-04	0	0.5
bigmax	scyl	2	4	0	0	0.5
NAT1	scyl	2	4	0	0	0.5
wupA	scyl	2	4	0	0	0.5
Vps28	scyl	2	4	2e-04	0	0.5
G.oalpha47A	scyl	2	4	1e-04	0	0.5
G.salpha60A	scyl	2	4	0	0	0.5
dsf	scyl	2	4	0	0	0.5
Khc	scyl	2	4	2e-04	0	0.5
CG10641	scyl	2	4	0	0	0.5
Alk	scyl	2	4	0	0	0.5
ey	scyl	2	4	0	0	0.5
noc	scyl	2	4	0	0	0.5
ix	scyl	2	4	0	0	0.5
Optix	scyl	2	4	0	0	0.5
sdt	scyl	2	4	0	0	0.5
Sxl	scyl	2	4	1e-04	0	0.5
rib	scyl	2	4	0	0	0.5
sas	scyl	2	4	0	0	0.5
Scgdelta	scyl	2	4	0	0	0.5
sw	scyl	2	4	0	0	0.5
fal	scyl	2	4	0	0	0.5
ea	scyl	2	4	1e-04	0	0.5
Ice	scyl	2	4	0	0	0.5
cic	scyl	2	4	0	0	0.5
Dok	scyl	2	4	1e-04	0	0.5
rhea	scyl	2	4	0	0	0.5
Glycogenin	scyl	2	4	0	0	0.5
cin	scyl	2	4	0	0	0.5
chp	scyl	2	4	0	0	0.5
Dlic2	scyl	2	4	9e-04	0	0.5
Pk92B	scyl	2	4	0.0013	0	0.5
Pak	scyl	2	4	0	0	0.5
Lim1	scyl	2	4	0	0	0.5
CG34450	scyl	2	4	3e-04	0	0.5
Su.H.	scyl	2	4	5e-04	0	0.5
CG12301	scyl	2	4	2e-04	0	0.5
lilli	scyl	2	4	0	0	0.5
toe	scyl	2	4	0	0	0.5
qkr58E.3	scyl	2	4	0	0	0.5
up	scyl	2	4	0	0	0.5
hep	scyl	2	4	0	0	0.5
Dap160	scyl	2	4	0	0	0.5
l.2.gd1	scyl	2	4	0	0	0.5
hkb	scyl	2	4	0	0	0.5
beta4GalNAcTA	scyl	2	4	0	0	0.5
Mer	scyl	2	4	0	0	0.5
Mtl	scyl	2	4	0	0	0.5
spin	scyl	2	4	0	0	0.5
mfas	scyl	2	4	0	0	0.5
frc	scyl	2	4	0	0	0.5
Krn	scyl	2	4	0	0	0.5
mam	scyl	2	4	0	0	0.5
brk	scyl	2	4	0	0	0.5
Ark	scyl	2	4	0	0	0.5
mmy	scyl	2	4	0	0	0.5
mri	scyl	2	4	0	0	0.5
Crk	scyl	2	4	0	0	0.5
ssh	scyl	2	4	0	0	0.5
fs.1.K10	scyl	2	4	0	0	0.5
Psn	scyl	2	4	0	0	0.5
CG9509	scyl	2	4	0	0	0.5
CkIIalpha	scyl	2	4	0	0	0.5
car	scyl	2	4	0	0	0.5
capu	scyl	2	4	0	0	0.5
cact	scyl	2	4	0	0	0.5
Patj	scyl	2	4	0	0	0.5
dpp	scyl	2	4	0	0	0.5
xl6	scyl	2	4	0	0	0.5
dally	scyl	2	4	0	0	0.5
Pi3K92E	scyl	2	4	1e-04	0	0.5
E.bx.	scyl	2	4	0	0	0.5
emb	scyl	2	4	0	0	0.5
CtBP	scyl	2	4	3e-04	0	0.5
Dad	scyl	2	4	0	0	0.5
amx	scyl	2	4	0	0	0.5
Ank2	scyl	2	4	0	0	0.5
CG34417	scyl	2	4	0	0	0.5
scra	scyl	2	4	0	0	0.5
dsd	scyl	2	4	0	0	0.5
Ephrin	scyl	2	4	0	0	0.5
Appl	scyl	2	4	0	0	0.5
sty	scyl	2	4	0	0	0.5
RhoL	scyl	2	4	0	0	0.5
twi	scyl	2	4	0	0	0.5
tub	scyl	2	4	0	0	0.5
ftz.f1	scyl	2	4	0	0	0.5
wg	scyl	2	4	4e-04	0	0.5
LanB1	scyl	2	4	0	0	0.5
LanA	scyl	2	4	0	0	0.5
LanB2	scyl	2	4	0	0	0.5
Chi	scyl	2	4	1e-04	0	0.5
nmo	scyl	2	4	0	0	0.5
ics	scyl	2	4	0	0	0.5
oaf	scyl	2	4	0	0	0.5
dco	scyl	2	4	3e-04	0	0.5
Dys	scyl	2	4	0	0	0.5
drm	scyl	2	4	0	0	0.5
RpL30	scyl	2	4	4e-04	0	0.5
how	scyl	2	4	0	0	0.5
dei	scyl	2	4	0	0	0.5
CG1244	scyl	2	4	1e-04	0	0.5
Chc	scyl	2	4	0.0011	0	0.5
Orct	scyl	2	4	0	0	0.5
sgl	scyl	2	4	0	0	0.5
CG17221	scyl	2	4	0	0	0.5
gkt	scyl	2	4	0	0	0.5
by	scyl	2	4	0	0	0.5
Pka.C3	scyl	2	4	0	0	0.5
vlc	scyl	2	4	0	0	0.5
fl.2.d	scyl	2	4	0	0	0.5
Nf1	scyl	2	4	0	0	0.5
CG6372	scyl	2	4	0	0	0.5
Rho1	scyl	2	4	0	0	0.5
kuk	scyl	2	4	0	0	0.5
l.2.gl	scyl	2	4	7e-04	0	0.5
Ald	scyl	2	4	0	0	0.5
jumu	scyl	2	4	0	0	0.5
glu	scyl	2	4	0	0	0.5
fs.2.ltoPP43	scyl	2	4	2e-04	0	0.5
CycE	scyl	2	4	5e-04	0	0.5
CG8247	scyl	2	4	0	0	0.5
CSN4	scyl	2	4	0	0	0.5
X18w	scyl	2	4	0	0	0.5
bs	scyl	2	4	0	0	0.5
Nrt	scyl	2	4	0.0016	0	0.5
mask	scyl	2	4	0	0	0.5
gl	scyl	2	4	0	0	0.5
Cp1	scyl	2	4	0	0	0.5
ex	scyl	2	4	0	0	0.5
jing	scyl	2	4	0	0	0.5
shrb	scyl	2	4	0	0	0.5
raw	scyl	2	4	0	0	0.5
CG9445	scyl	2	4	0	0	0.5
gbb	scyl	2	4	0	0	0.5
Hs2st	scyl	2	4	0	0	0.5
sls	scyl	2	4	0	0	0.5
kis	scyl	2	4	3e-04	0	0.5
run	scyl	2	4	0	0	0.5
pnr	scyl	2	4	1e-04	0	0.5
pn	scyl	2	4	0	0	0.5
pnt	scyl	2	4	0	0	0.5
Fmr1	scyl	2	4	1e-04	0	0.5
Myo31DF	scyl	2	4	4e-04	0	0.5
ALiX	scyl	2	4	0	0	0.5
sgg	scyl	2	4	0	0	0.5
mbt	scyl	2	4	0	0	0.5
Sin3A	scyl	2	4	0	0	0.5
dnc	scyl	2	4	0	0	0.5
morgue	scyl	2	4	0	0	0.5
Set2	scyl	2	4	0	0	0.5
exu	scyl	2	4	8e-04	0	0.5
odd	scyl	2	4	0	0	0.5
esc	scyl	2	4	4e-04	0	0.5
dah	scyl	2	4	0	0	0.5
Taf4	scyl	2	4	0	0	0.5
Jafrac2	scyl	2	4	0	0	0.5
Fas3	scyl	2	4	4e-04	0	0.5
wus	scyl	2	4	0	0	0.5
Wnt5	scyl	2	4	0	0	0.5
sprt	scyl	2	4	0	0	0.5
jar	scyl	2	4	0	0	0.5
v	scyl	2	4	0	0	0.5
Snap	scyl	2	4	0	0	0.5
vap	scyl	2	4	0	0	0.5
Src42A	scyl	2	4	0	0	0.5
esg	scyl	2	4	0	0	0.5
zfh1	scyl	2	4	4e-04	0	0.5
alien	scyl	2	4	0	0	0.5
peb	scyl	2	4	0	0	0.5
par.1	scyl	2	4	0	0	0.5
hyd	scyl	2	4	0	0	0.5
trc	scyl	2	4	0	0	0.5
Eip63E	scyl	2	4	0	0	0.5
ird5	scyl	2	4	0	0	0.5
bl	scyl	2	4	0	0	0.5
Syx1A	scyl	2	4	0	0	0.5
drl	scyl	2	4	0	0	0.5
rg	scyl	2	4	0	0	0.5
apt	scyl	2	4	0	0	0.5
svr	scyl	2	4	0	0	0.5
sar1	scyl	2	4	0	0	0.5
Tab2	scyl	2	4	0	0	0.5
zfh2	scyl	2	4	0	0	0.5
dj	scyl	2	4	4e-04	0	0.5
tum	scyl	2	4	0	0	0.5
yellow.f	scyl	2	4	0	0	0.5
p53	scyl	2	4	2e-04	0	0.5
ImpE3	scyl	2	4	0	0	0.5
cbt	scyl	2	4	0	0	0.5
dl	scyl	2	4	0	0	0.5
Dl	scyl	2	4	9e-04	0	0.5
Sur	scyl	2	4	0	0	0.5
Rpd3	scyl	2	4	0	0	0.5
CG4945	scyl	2	4	0	0	0.5
eve	scyl	2	4	0	0	0.5
Stat92E	scyl	2	4	0	0	0.5
ken	scyl	2	4	0	0	0.5
dpld	scyl	2	4	0	0	0.5
CG1942	scyl	2	4	0	0	0.5
Dcp.1	scyl	2	4	0	0	0.5
Tak1	scyl	2	4	0	0	0.5
cg	scyl	2	4	0	0	0.5
fw	scyl	2	4	0	0	0.5
tutl	scyl	2	4	0	0	0.5
bhr	scyl	2	4	0	0	0.5
ash2	scyl	2	4	0	0	0.5
mth	scyl	2	4	0	0	0.5
numb	scyl	2	4	0	0	0.5
X14.3.3zeta	scyl	2	4	0	0	0.5
Lis.1	scyl	2	4	0	0	0.5
alpha.Spec	scyl	2	4	8e-04	0	0.5
twf	scyl	2	4	0	0	0.5
Bap60	scyl	2	4	2e-04	0	0.5
drk	scyl	2	4	0	0	0.5
Nrx.IV	scyl	2	4	0	0	0.5
trn	scyl	2	4	0	0	0.5
chn	scyl	2	4	0	0	0.5
RhoGAP68F	scyl	2	4	0	0	0.5
CycA	scyl	2	4	0	0	0.5
LIMK1	scyl	2	4	0	0	0.5
Rca1	scyl	2	4	0	0	0.5
pelo	scyl	2	4	7e-04	0	0.5
CG32082	scyl	2	4	0	0	0.5
pyd	scyl	2	4	0	0	0.5
Mlc1	scyl	2	4	0	0	0.5
meso18E	scyl	2	4	0	0	0.5
rdx	scyl	2	4	0	0	0.5
t	scyl	2	4	0	0	0.5
alph	scyl	2	4	0	0	0.5
elav	scyl	2	4	0	0	0.5
shg	scyl	2	4	0	0	0.5
shn	scyl	2	4	1e-04	0	0.5
th	scyl	2	4	0	0	0.5
lmd	scyl	2	4	0	0	0.5
enok	scyl	2	4	3e-04	0	0.5
