Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	sec13	2	6	0	0	0.5
emp	sec13	2	6	0	0	0.5
CG2678	sec13	2	6	0	0	0.5
crc	sec13	2	6	1e-04	0	0.5
pros	sec13	2	6	0	0	0.5
neur	sec13	2	6	0	0	0.5
Rab5	sec13	2	6	1e-04	0	0.5
Rab7	sec13	2	6	0	0	0.5
Mmp2	sec13	2	6	0	0	0.5
W	sec13	2	6	0	0	0.5
bowl	sec13	2	6	5e-04	0	0.5
fd59A	sec13	2	6	0	0	0.5
e	sec13	2	6	0	0	0.5
ben	sec13	2	6	0	0	0.5
rdo	sec13	2	6	0	0	0.5
lin	sec13	2	6	0	0	0.5
tra	sec13	2	6	2e-04	0	0.5
tra2	sec13	2	6	0	0	0.5
cathD	sec13	2	6	7e-04	0	0.5
d	sec13	2	6	0	0	0.5
lva	sec13	2	6	0	0	0.5
pbl	sec13	2	6	0	0	0.5
CG33205	sec13	2	6	0	0	0.5
da	sec13	2	6	0	0	0.5
cactin	sec13	2	6	0	0	0.5
hpo	sec13	2	6	2e-04	0	0.5
Sema.2a	sec13	2	6	0	0	0.5
Eip74EF	sec13	2	6	0	0	0.5
eg	sec13	2	6	1e-04	0	0.5
Arc42	sec13	2	6	0	0	0.5
toy	sec13	2	6	2e-04	0	0.5
Galpha73B	sec13	2	6	2e-04	0	0.5
RhoGAPp190	sec13	2	6	0	0	0.5
MED11	sec13	2	6	2e-04	0	0.5
cher	sec13	2	6	0	0	0.5
BicD	sec13	2	6	0	0	0.5
MYPT.75D	sec13	2	6	1e-04	0	0.5
mus304	sec13	2	6	0	0	0.5
CdsA	sec13	2	6	4e-04	0	0.5
btl	sec13	2	6	5e-04	0	0.5
Cyt.c.d	sec13	2	6	0	0	0.5
tok	sec13	2	6	0	0	0.5
ttk	sec13	2	6	0	0	0.5
tamo	sec13	2	6	0	0	0.5
CG6416	sec13	2	6	2e-04	0	0.5
flfl	sec13	2	6	0	0	0.5
Pvr	sec13	2	6	2e-04	0	0.5
kay	sec13	2	6	0	0	0.5
Jra	sec13	2	6	0	0	0.5
msk	sec13	2	6	0	0	0.5
tll	sec13	2	6	0	0	0.5
Tm1	sec13	2	6	2e-04	0	0.5
srp	sec13	2	6	0	0	0.5
Btk29A	sec13	2	6	0	0	0.5
fred	sec13	2	6	0	0	0.5
Src64B	sec13	2	6	0	0	0.5
Mmp1	sec13	2	6	0	0	0.5
sll	sec13	2	6	0	0	0.5
Hmgs	sec13	2	6	0	0	0.5
caps	sec13	2	6	0	0	0.5
Su.var.2.10	sec13	2	6	0	0	0.5
CycB	sec13	2	6	0	0	0.5
spir	sec13	2	6	0	0	0.5
spn.A	sec13	2	6	0	0	0.5
Ptpmeg	sec13	2	6	0	0	0.5
qua	sec13	2	6	0	0	0.5
msn	sec13	2	6	0	0	0.5
ena	sec13	2	6	3e-04	0	0.5
