Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	shn	2	6	1e-04	0	0.5
emp	shn	2	6	4e-04	0	0.5
CG2678	shn	2	6	7e-04	0	0.5
crc	shn	2	6	1e-04	0	0.5
pros	shn	2	6	1e-04	0	0.5
neur	shn	2	6	1e-04	0	0.5
Rab5	shn	2	6	4e-04	0	0.5
Rab7	shn	2	6	3e-04	0	0.5
Mmp2	shn	2	6	2e-04	0	0.5
W	shn	2	6	1e-04	0	0.5
bowl	shn	2	6	1e-04	0	0.5
fd59A	shn	2	6	1e-04	0	0.5
e	shn	2	6	6e-04	0	0.5
ben	shn	2	6	0	0	0.5
rdo	shn	2	6	6e-04	0	0.5
lin	shn	2	6	3e-04	0	0.5
tra	shn	2	6	4e-04	0	0.5
tra2	shn	2	6	8e-04	0	0.5
cathD	shn	2	6	1e-04	0	0.5
d	shn	2	6	0.0011	0	0.5
lva	shn	2	6	1e-04	0	0.5
pbl	shn	2	6	2e-04	0	0.5
CG33205	shn	2	6	2e-04	0	0.5
da	shn	2	6	7e-04	0	0.5
cactin	shn	2	6	2e-04	0	0.5
hpo	shn	2	6	1e-04	0	0.5
Sema.2a	shn	2	6	0.0012	0	0.5
Eip74EF	shn	2	6	0.0046	0	0.5
eg	shn	2	6	4e-04	0	0.5
Arc42	shn	2	6	4e-04	0	0.5
toy	shn	2	6	4e-04	0	0.5
Galpha73B	shn	2	6	2e-04	0	0.5
RhoGAPp190	shn	2	6	0	0	0.5
MED11	shn	2	6	1e-04	0	0.5
cher	shn	2	6	0	0	0.5
BicD	shn	2	6	0.0011	0	0.5
MYPT.75D	shn	2	6	1e-04	0	0.5
mus304	shn	2	6	0	0	0.5
CdsA	shn	2	6	3e-04	0	0.5
btl	shn	2	6	4e-04	0	0.5
Cyt.c.d	shn	2	6	3e-04	0	0.5
tok	shn	2	6	2e-04	0	0.5
ttk	shn	2	6	3e-04	0	0.5
tamo	shn	2	6	5e-04	0	0.5
CG6416	shn	2	6	0	0	0.5
flfl	shn	2	6	2e-04	0	0.5
Pvr	shn	2	6	2e-04	0	0.5
kay	shn	2	6	7e-04	0	0.5
Jra	shn	2	6	1e-04	0	0.5
msk	shn	2	6	2e-04	0	0.5
