Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	shot	2	6	0.0026	0	0.5
emp	shot	2	6	2e-04	0	0.5
CG2678	shot	2	6	0.002	0	0.5
crc	shot	2	6	0.0026	0	0.5
pros	shot	2	6	0.0018	0	0.5
neur	shot	2	6	3e-04	0	0.5
Rab5	shot	2	6	2e-04	0	0.5
Rab7	shot	2	6	0.0011	0	0.5
Mmp2	shot	2	6	0.0017	0	0.5
W	shot	2	6	0.001	0	0.5
bowl	shot	2	6	4e-04	0	0.5
fd59A	shot	2	6	1e-04	0	0.5
e	shot	2	6	0.0028	0	0.5
ben	shot	2	6	1e-04	0	0.5
rdo	shot	2	6	0.0012	0	0.5
lin	shot	2	6	0.001	0	0.5
tra	shot	2	6	7e-04	0	0.5
tra2	shot	2	6	1e-04	0	0.5
cathD	shot	2	6	5e-04	0	0.5
d	shot	2	6	0.0014	0	0.5
lva	shot	2	6	0.0025	0	0.5
pbl	shot	2	6	1e-04	0	0.5
CG33205	shot	2	6	1e-04	0	0.5
da	shot	2	6	0.001	0	0.5
cactin	shot	2	6	6e-04	0	0.5
hpo	shot	2	6	9e-04	0	0.5
Sema.2a	shot	2	6	5e-04	0	0.5
Eip74EF	shot	2	6	0	0	0.5
eg	shot	2	6	0.001	0	0.5
Arc42	shot	2	6	1e-04	0	0.5
toy	shot	2	6	0.0011	0	0.5
Galpha73B	shot	2	6	0.0013	0	0.5
RhoGAPp190	shot	2	6	0.001	0	0.5
MED11	shot	2	6	7e-04	0	0.5
cher	shot	2	6	0.001	0	0.5
BicD	shot	2	6	9e-04	0	0.5
MYPT.75D	shot	2	6	1e-04	0	0.5
mus304	shot	2	6	7e-04	0	0.5
CdsA	shot	2	6	3e-04	0	0.5
btl	shot	2	6	0.006	0	0.5
Cyt.c.d	shot	2	6	7e-04	0	0.5
tok	shot	2	6	0.001	0	0.5
ttk	shot	2	6	0.0027	0	0.5
tamo	shot	2	6	1e-04	0	0.5
CG6416	shot	2	6	5e-04	0	0.5
flfl	shot	2	6	0	0	0.5
Pvr	shot	2	6	0.0013	0	0.5
kay	shot	2	6	1e-04	0	0.5
Jra	shot	2	6	7e-04	0	0.5
msk	shot	2	6	0.0017	0	0.5
tll	shot	2	6	0	0	0.5
Tm1	shot	2	6	1e-04	0	0.5
srp	shot	2	6	0.0025	0	0.5
Btk29A	shot	2	6	5e-04	0	0.5
fred	shot	2	6	0.0012	0	0.5
Src64B	shot	2	6	4e-04	0	0.5
Mmp1	shot	2	6	2e-04	0	0.5
sll	shot	2	6	0.001	0	0.5
Hmgs	shot	2	6	7e-04	0	0.5
caps	shot	2	6	3e-04	0	0.5
Su.var.2.10	shot	2	6	2e-04	0	0.5
CycB	shot	2	6	4e-04	0	0.5
spir	shot	2	6	0.0022	0	0.5
spn.A	shot	2	6	0	0	0.5
Ptpmeg	shot	2	6	2e-04	0	0.5
qua	shot	2	6	2e-04	0	0.5
msn	shot	2	6	5e-04	0	0.5
ena	shot	2	6	8e-04	0	0.5
spen	shot	2	6	0.0022	0	0.5
emc	shot	2	6	0.0016	0	0.5
tsh	shot	2	6	0.0018	0	0.5
Dat	shot	2	6	5e-04	0	0.5
Lac	shot	2	6	0.0023	0	0.5
dup	shot	2	6	4e-04	0	0.5
CG3075	shot	2	6	0.0025	0	0.5
Akap200	shot	2	6	0.0014	0	0.5
CG18369	shot	2	6	0.0013	0	0.5
bnl	shot	2	6	0.0374	0	0.5
sec23	shot	2	6	0	0	0.5
Pde8	shot	2	6	4e-04	0	0.5
Arp66B	shot	2	6	0.0012	0	0.5
cos	shot	2	6	0.0026	0	0.5
Borr	shot	2	6	4e-04	0	0.5
X140up	shot	2	6	4e-04	0	0.5
Dhc64C	shot	2	6	4e-04	0	0.5
Not1	shot	2	6	6e-04	0	0.5
CG9520	shot	2	6	0.0017	0	0.5
